date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T17:20:00.000+0000,1000000.0,1000000.0,999999.9999999998,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T17:30:00.000+0000,998883.8180104339,105456.84917588664,1001624.8601824872,999461.8689824702,765382.9351363269,999692.5472957469,668961.7876594268
2025-04-22T17:40:00.000+0000,998121.5504815902,202680.29914215396,1002268.1519205042,999618.9849669718,840428.5274248229,999061.5575745226,668604.3747100269
2025-04-22T17:50:00.000+0000,998232.3650425719,267548.6446487052,1003661.3238244555,999049.262540836,859525.7688193419,999344.5610222731,686900.9541086002
2025-04-22T18:00:00.000+0000,998422.4621918183,4.309750987242154,1005402.9654692261,998817.7505154232,829229.4592917099,999308.5083313922,8.203001423716927
2025-04-22T18:10:00.000+0000,997583.2999540293,822.9807941232933,1004499.7137037106,999151.9134967204,840966.3081470062,997296.043650968,108.20663176782654
2025-04-22T18:20:00.000+0000,997441.9874659734,1997.3773017312965,1004091.1690244392,999349.6159261465,842901.1451649423,996899.9023677281,388.5878272238523
2025-04-22T18:30:00.000+0000,996926.2431427728,1997.3773017312965,1004211.391994898,998981.5869470566,842901.1451649423,997078.4142139115,388.5878272238523
2025-04-22T18:40:00.000+0000,997135.1559487171,1997.3773017312965,1004748.3657681409,998740.3718626252,842901.1451649423,997741.6645887917,388.5878272238523
2025-04-22T18:50:00.000+0000,997906.099054434,1997.3773017312965,1005918.4745552985,998705.311505368,842901.1451649423,998967.3353870965,388.5878272238523
2025-04-22T19:00:00.000+0000,998561.280605541,155.17680173129702,1006560.8447132538,998491.4465063501,840149.1821649425,1000408.139960584,388.5878272238523
2025-04-22T19:10:00.000+0000,997816.2221054328,851.413522875411,1006224.4075907823,998285.9661157104,840253.6484958064,1000216.2070864318,549.645038295902
2025-04-22T19:20:00.000+0000,997291.8753537406,1227.8699982222713,1004714.5783167058,998231.1489303532,831361.7737264223,999424.9026640472,9122.102245615864
2025-04-22T19:30:00.000+0000,994447.3786480401,17088.601414077937,999436.8802824066,998376.8638450889,832233.2790109137,995388.6730929863,28934.87381338408
2025-04-22T19:40:00.000+0000,994347.673600368,13619.12000405417,999709.2941167244,998505.4762748581,738889.2809884818,995521.2458238866,152742.2122391845
2025-04-22T19:50:00.000+0000,995255.7504012176,84374.91093065396,1001905.7176564543,998275.9614373592,774726.9246087546,997165.2902166059,424618.67713628075
2025-04-22T20:00:00.000+0000,994684.0239699386,116667.46082695757,1002697.158811535,997884.1072916632,794577.1918406265,997372.247554177,427555.35781076096
