date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-15T21:10:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-15T21:20:00.000+0000,999944.3591214401,959104.4590000001,1001399.7354237146
2025-04-15T21:30:00.000+0000,999766.6946668001,959104.4590000001,1004437.2541834726
2025-04-15T21:40:00.000+0000,999709.3835524002,959104.4590000001,1005213.8484292973
2025-04-15T21:50:00.000+0000,999697.9213295202,959104.4590000001,1003595.0096211056
2025-04-15T22:00:00.000+0000,999462.9457604801,959104.4590000001,1000724.7886451583
2025-04-15T22:10:00.000+0000,999703.6524409602,959104.4590000001,999314.1090343475
2025-04-15T22:20:00.000+0000,999657.8035494401,959104.4590000001,996852.562132723
2025-04-15T22:30:00.000+0000,999674.9968837602,959104.4590000001,998825.1491262554
2025-04-15T22:40:00.000+0000,999606.2235464802,959104.4590000001,995678.8768519477
2025-04-15T22:50:00.000+0000,999571.8368778401,959104.4590000001,993982.8263332823
2025-04-15T23:00:00.000+0000,999245.1635257602,959104.4590000001,995506.0898734387
2025-04-15T23:10:00.000+0000,999239.4324143202,959104.4590000001,996264.8068201116
2025-04-15T23:20:00.000+0000,999422.8279804002,959104.4590000001,997763.8631505002
2025-04-15T23:30:00.000+0000,999394.1724232001,959104.4590000001,997628.2553706905
2025-04-15T23:40:00.000+0000,999382.7102003201,959104.4590000001,995007.2921260685
2025-04-15T23:50:00.000+0000,999428.5590918402,959104.4590000001,994116.7257901902
2025-04-16T00:00:00.000+0000,999497.3324291201,959104.4590000001,993181.2683789016
2025-04-16T00:10:00.000+0000,999652.0724380001,959104.4590000001,990101.0717275254
2025-04-16T00:20:00.000+0000,999566.1057664001,959104.4590000001,990784.9060673339
2025-04-16T00:30:00.000+0000,999531.7190977602,959104.4590000001,995014.3166071414
2025-04-16T00:40:00.000+0000,999755.2324439201,959104.4590000001,993299.9927242275
2025-04-16T00:50:00.000+0000,999806.8124468802,959104.4590000001,988744.944003325
2025-04-16T01:00:00.000+0000,999674.9968837602,959104.4590000001,989554.9702116821
2025-04-16T01:10:00.000+0000,999566.1057664001,959104.4590000001,992468.2511930983
2025-04-16T01:20:00.000+0000,999394.1724232001,959104.4590000001,994555.2803537094
2025-04-16T01:30:00.000+0000,999566.1057664001,959104.4590000001,992181.0072216487
2025-04-16T01:40:00.000+0000,999388.4413117601,959104.4590000001,992628.2381331568
2025-04-16T01:50:00.000+0000,999508.7946520002,959104.4590000001,995618.3570497881
2025-04-16T02:00:00.000+0000,999405.6346460802,959104.4590000001,997262.173943104
2025-04-16T02:10:00.000+0000,999405.6346460802,959104.4590000001,996877.7146400774
2025-04-16T02:20:00.000+0000,999606.2235464802,959104.4590000001,997250.6239650465
2025-04-16T02:30:00.000+0000,999652.0724380001,959104.4590000001,996644.7745193271
2025-04-16T02:40:00.000+0000,999818.2746697601,959104.4590000001,995354.4114732153
2025-04-16T02:50:00.000+0000,999766.6946668001,959104.4590000001,996742.8797237561
2025-04-16T03:00:00.000+0000,999577.5679892801,959104.4590000001,998794.1004074167
2025-04-16T03:10:00.000+0000,999497.3324291201,959104.4590000001,1000449.906399616
2025-04-16T03:20:00.000+0000,999629.1479922401,959104.4590000001,998060.7893948785
2025-04-16T03:30:00.000+0000,999726.5768867201,959104.4590000001,997297.656004953
2025-04-16T03:40:00.000+0000,999726.5768867201,959104.4590000001,995966.73284744
2025-04-16T03:50:00.000+0000,999766.6946668001,959104.4590000001,995529.4188727743
2025-04-16T04:00:00.000+0000,999663.5346608801,959104.4590000001,995410.5412381381
2025-04-16T04:10:00.000+0000,999749.5013324801,959104.4590000001,991738.9433392265
2025-04-16T04:20:00.000+0000,1000007.4013472801,959104.4590000001,990350.5779169799
2025-04-16T04:30:00.000+0000,999973.0146786402,959104.4590000001,990387.2857612525
2025-04-16T04:40:00.000+0000,1000036.0569044801,959104.4590000001,989275.1842458036
2025-04-16T04:50:00.000+0000,999898.5102299202,959104.4590000001,991806.8242270796
2025-04-16T05:00:00.000+0000,999640.6102151201,959104.4590000001,994188.4972361813
2025-04-16T05:10:00.000+0000,999577.5679892801,959104.4590000001,995058.0276935825
2025-04-16T05:20:00.000+0000,999789.6191125602,959104.4590000001,984364.0519834375
2025-04-16T05:30:00.000+0000,1000024.5946816001,959104.4590000001,983690.6407964893
2025-04-16T05:40:00.000+0000,1000036.0569044801,959104.4590000001,988062.2802284926
2025-04-16T05:50:00.000+0000,999944.3591214401,959104.4590000001,987727.7867193518
2025-04-16T06:00:00.000+0000,999904.2413413601,959104.4590000001,986615.8624816305
2025-04-16T06:10:00.000+0000,999617.6857693602,959104.4590000001,986977.3832689831
2025-04-16T06:20:00.000+0000,999732.3079981601,959104.4590000001,989660.9805884426
2025-04-16T06:30:00.000+0000,999669.2657723201,959104.4590000001,990720.704328462
2025-04-16T06:40:00.000+0000,999652.0724380001,959104.4590000001,991735.2216737177
2025-04-16T06:50:00.000+0000,999881.3168956002,959104.4590000001,992215.2150399772
2025-04-16T07:00:00.000+0000,999881.3168956002,959104.4590000001,989490.222434982
2025-04-16T07:10:00.000+0000,1000167.8724676002,959104.4590000001,988654.5729189379
2025-04-16T07:20:00.000+0000,1000356.9991451201,959104.4590000001,985871.887798053
2025-04-16T07:30:00.000+0000,1000414.3102595202,959104.4590000001,984952.0432053554
2025-04-16T07:40:00.000+0000,1000586.2436027201,959104.4590000001,985515.1925324525
2025-04-16T07:50:00.000+0000,1000660.7480514401,959104.4590000001,984143.4668277046
2025-04-16T08:00:00.000+0000,1000660.7480514401,959104.4590000001,981950.9854406624
2025-04-16T08:10:00.000+0000,1000975.9591806402,959104.4590000001,979638.8153936524
2025-04-16T08:20:00.000+0000,1000695.1347200802,959104.4590000001,981214.4702306231
2025-04-16T08:30:00.000+0000,1000488.8147082401,959104.4590000001,987822.5799807741
2025-04-16T08:40:00.000+0000,1000259.5702506402,959104.4590000001,990034.2825528398
2025-04-16T08:50:00.000+0000,1000632.0924942401,959104.4590000001,988607.5642115141
2025-04-16T09:00:00.000+0000,1000626.3613828002,959104.4590000001,989774.0230458789
2025-04-16T09:10:00.000+0000,1000712.3280544002,959104.4590000001,990121.8820271696
2025-04-16T09:20:00.000+0000,1000700.8658315202,959104.4590000001,989274.501377024
2025-04-16T09:30:00.000+0000,1000781.1013916802,959104.4590000001,988981.2121393757
2025-04-16T09:40:00.000+0000,1000826.9502832001,959104.4590000001,986224.883960813
2025-04-16T09:50:00.000+0000,1000987.4214035202,959104.4590000001,985739.2388310048
2025-04-16T10:00:00.000+0000,1000912.9169548001,959104.4590000001,986293.7228791807
2025-04-16T10:10:00.000+0000,1000941.5725120001,959104.4590000001,988802.6932376774
2025-04-16T10:20:00.000+0000,1000901.4547319202,959104.4590000001,991223.5037733862
2025-04-16T10:30:00.000+0000,1000993.1525149602,959104.4590000001,992037.8312940297
2025-04-16T10:40:00.000+0000,1000930.1102891201,959104.4590000001,991688.6284462987
2025-04-16T10:50:00.000+0000,1000798.2947260002,959104.4590000001,993690.291996894
2025-04-16T11:00:00.000+0000,1000895.7236204802,959104.4590000001,992860.1794259154
2025-04-16T11:10:00.000+0000,1000826.9502832001,959104.4590000001,993486.6260903669
2025-04-16T11:20:00.000+0000,1000889.9925090402,959104.4590000001,990959.4922182425
2025-04-16T11:30:00.000+0000,1001262.5147526402,959104.4590000001,990011.8336152583
2025-04-16T11:40:00.000+0000,1001033.2702950401,959104.4590000001,993618.5990154633
2025-04-16T11:50:00.000+0000,1001096.3125208801,959104.4590000001,995241.5814762642
2025-04-16T12:00:00.000+0000,1001073.3880751202,959104.4590000001,994683.0201130395
2025-04-16T12:10:00.000+0000,1001170.8169696002,959104.4590000001,994070.2108051515
2025-04-16T12:20:00.000+0000,1000970.2280692002,959104.4590000001,995775.2775183836
2025-04-16T12:30:00.000+0000,1001044.7325179201,959104.4590000001,993869.5348981979
2025-04-16T12:40:00.000+0000,1001291.1703098401,959104.4590000001,990949.2976597046
2025-04-16T12:50:00.000+0000,1001594.9192161602,959104.4590000001,990572.6288035396
2025-04-16T13:00:00.000+0000,1001543.3392132001,959104.4590000001,989811.3012528501
2025-04-16T13:10:00.000+0000,1001617.8436619202,959104.4590000001,988039.6786890056
2025-04-16T13:20:00.000+0000,1001657.9614420001,959104.4590000001,987903.2896137079
2025-04-16T13:30:00.000+0000,1001371.4058700001,959104.4590000001,987663.5681466606
2025-04-16T13:40:00.000+0000,1001354.2125356802,959104.4590000001,990740.6006651407
2025-04-16T13:50:00.000+0000,1001394.3303157601,959104.4590000001,986859.2390387645
2025-04-16T14:00:00.000+0000,1001440.1792072802,959104.4590000001,988151.1157692121
2025-04-16T14:10:00.000+0000,1001457.3725416001,959104.4590000001,989924.299076855
2025-04-16T14:20:00.000+0000,1001107.7747437601,959104.4590000001,993755.4389913845
2025-04-16T14:30:00.000+0000,1000809.7569488802,959104.4590000001,999492.2081759778
2025-04-16T14:40:00.000+0000,1000832.6813946401,959104.4590000001,999860.2779345406
2025-04-16T14:50:00.000+0000,1001010.3458492801,959104.4590000001,1001850.6989371332
2025-04-16T15:00:00.000+0000,1001142.1614124002,959104.4590000001,1002778.4943275874
2025-04-16T15:10:00.000+0000,1001262.5147526402,959104.4590000001,1003881.8014742588
2025-04-16T15:20:00.000+0000,1000798.2947260002,959104.4590000001,1006529.0308665006
2025-04-16T15:30:00.000+0000,1001216.6658611201,959104.4590000001,1008448.8148639782
2025-04-16T15:40:00.000+0000,1001411.5236500801,959104.4590000001,1006276.0088434038
2025-04-16T15:50:00.000+0000,1001508.9525445602,959104.4590000001,1004984.6793112019
2025-04-16T16:00:00.000+0000,1001130.6991895202,959104.4590000001,1005949.4945063407
2025-04-16T16:10:00.000+0000,1000970.2280692002,959104.4590000001,1005706.0406876772
2025-04-16T16:20:00.000+0000,1001337.0192013602,959104.4590000001,1003320.1529743364
2025-04-16T16:30:00.000+0000,1001663.6925534401,959104.4590000001,999471.9258946783
2025-04-16T16:40:00.000+0000,1001904.3992339202,959104.4590000001,1000297.9371973043
2025-04-16T16:50:00.000+0000,1001560.5325475201,959104.4590000001,1003999.9994740344
2025-04-16T17:00:00.000+0000,1001228.1280840002,959104.4590000001,1009329.3340176737
2025-04-16T17:10:00.000+0000,1000975.9591806402,959104.4590000001,1008739.3427866783
2025-04-16T17:20:00.000+0000,1000735.2525001601,959104.4590000001,1014537.9725305799
2025-04-16T17:30:00.000+0000,1000998.8836264001,959104.4590000001,1006691.6121708974
2025-04-16T17:40:00.000+0000,1001377.1369814401,959104.4590000001,992442.0668429438
2025-04-16T17:50:00.000+0000,1001887.2058996002,959104.4590000001,980842.6812836278
2025-04-16T18:00:00.000+0000,1001514.6836560002,959104.4590000001,984054.4729527311
2025-04-16T18:10:00.000+0000,1001199.4725268001,959104.4590000001,989695.6207865335
2025-04-16T18:20:00.000+0000,1000666.4791628801,959104.4590000001,991194.3728232342
2025-04-16T18:30:00.000+0000,1000700.8658315202,959104.4590000001,994435.6820097603
2025-04-16T18:40:00.000+0000,1000855.6058404001,959104.4590000001,991610.2710044901
2025-04-16T18:50:00.000+0000,1000546.1258226401,959104.4590000001,993268.1512718843
2025-04-16T19:00:00.000+0000,1000322.6124764801,959104.4590000001,997592.8228697455
2025-04-16T19:10:00.000+0000,1000460.1591510401,959104.4590000001,997593.7927734656
2025-04-16T19:20:00.000+0000,1000867.0680632801,959104.4590000001,995207.1645788355
