date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-23T15:50:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-23T16:00:00.000+0000,936001.0369478014,177.27280000271594,1001516.2002248014,934892.9590493594,3.5310999999649084,1000000.0,1000000.0
2025-04-23T16:10:00.000+0000,807205.4769875864,170.64534556291073,1000512.0143377886,797392.9886340317,3.5310999999649084,999990.5487232801,992826.6885
2025-04-23T16:20:00.000+0000,723021.8412808139,30572.165109362904,997288.2417287568,697214.1800506682,6955.605064839965,999996.9132276,999996.9132276
2025-04-23T16:30:00.000+0000,637777.3038241045,217.13456710699575,1002250.4189841889,589378.6004582774,327.2864248399642,999996.9132276,999996.9132276
2025-04-23T16:40:00.000+0000,693688.305221693,73895.79926325122,1004663.0734828796,661172.1552984016,4441.687388743965,999996.9132276,999996.9132276
2025-04-23T16:50:00.000+0000,716315.5581772905,431764.99873400974,1004582.467907166,693366.9426383699,427516.7535409929,999996.9132276,999996.9132276
2025-04-23T17:00:00.000+0000,725999.4909054271,630454.7336328482,1005414.2775530443,697104.7624553957,691926.8051417924,999996.9132276,999996.9132276
2025-04-23T17:10:00.000+0000,726112.5174068311,664318.647251696,1007507.607085777,697112.3229971196,692112.8496869925,999996.9132276,999996.9132276
2025-04-23T17:20:00.000+0000,725384.0995236981,671510.4866237357,1005191.4092285088,696519.2038283548,692590.1941057125,999996.9132276,999996.9132276
2025-04-23T17:30:00.000+0000,725653.3320751106,50768.63817125495,1004242.327359138,696230.1679658393,1.333385712343416,999996.9132276,999996.9132276
2025-04-23T17:40:00.000+0000,725575.3079669762,5.4476713269218475,1004075.7656225921,696098.041949281,1.333385712343416,999695.0235148638,643919.0812275994
2025-04-23T17:50:00.000+0000,723511.9870502923,578.9279111988961,1004185.4979481753,693976.1289837655,1.333385712343416,998784.7002565431,644540.3324287194
2025-04-23T18:00:00.000+0000,718707.6326948479,632.764065615153,1007035.6511978558,688416.5068085126,1.333385712343416,1003142.0967283997,647013.0097630715
2025-04-23T18:10:00.000+0000,717004.0599452076,1551.7273463831652,1010173.7506136636,686622.8753735042,2365.773119472407,1002917.8146577113,647013.0097630715
2025-04-23T18:20:00.000+0000,719246.0554337894,10684.248240175224,1008466.7805712454,689361.2428065996,17613.86473958476,1000522.2535210074,649401.3701250075
2025-04-23T18:30:00.000+0000,721582.5109038842,16039.035940207217,1006824.9858865492,691919.7455266704,25049.480764160842,1001029.5204825279,649401.3701250075
2025-04-23T18:40:00.000+0000,720920.7889910913,223.68939020721717,1004546.1210440352,690637.8875183885,6189.707244160843,1000808.9691848315,649126.0949779038
2025-04-23T18:50:00.000+0000,722139.0546472514,3207.9009895032223,1004451.2444226205,692042.572474705,6189.707244160843,1000969.9914003835,661620.1764700958
2025-04-23T19:00:00.000+0000,725017.5217488765,4454.06206246322,1001592.955533427,695086.6196811895,6189.707244160843,998472.3313182315,664489.9301490398
2025-04-23T19:10:00.000+0000,725310.8104900256,17951.13896589522,997899.359956796,695468.2772706616,24806.699765728838,998232.1042837284,672816.766636408
