date,total_balance_normal,unlocked_balance_normal,benchmark
2025-02-18T05:10:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-02-18T05:20:00.000+0000,999313.3985937841,815013.42385,999999.9999999999
2025-02-18T05:30:00.000+0000,999262.448796256,815013.42385,999999.9999999999
2025-02-18T05:40:00.000+0000,998840.293331024,815013.42385,999999.9999999999
2025-02-18T05:50:00.000+0000,998338.073898248,815013.42385,999999.9999999999
2025-02-18T06:00:00.000+0000,996292.803454624,815013.42385,999999.9999999999
2025-02-18T06:10:00.000+0000,996067.168637,815013.42385,999999.9999999999
2025-02-18T06:20:00.000+0000,996780.465802392,815013.42385,999999.9999999999
2025-02-18T06:30:00.000+0000,995972.547584448,815013.42385,999999.9999999999
2025-02-18T06:40:00.000+0000,996059.8900944961,815013.42385,999999.9999999999
2025-02-18T06:50:00.000+0000,995317.4787590881,815013.42385,999999.9999999999
2025-02-18T07:00:00.000+0000,995099.122483968,815013.42385,999999.9999999999
2025-02-18T07:10:00.000+0000,995557.67066172,815013.42385,999999.9999999999
2025-02-18T07:20:00.000+0000,997013.3791625199,815013.42385,999999.9999999999
2025-02-18T07:30:00.000+0000,997355.470660208,815013.42385,999999.9999999999
2025-02-18T07:40:00.000+0000,997253.5710651521,815013.42385,999999.9999999999
2025-02-18T07:50:00.000+0000,997035.214790032,815013.42385,999999.9999999999
2025-02-18T08:00:00.000+0000,996576.6666122801,815013.42385,999999.9999999999
2025-02-18T08:10:00.000+0000,996613.0593248,815013.42385,999999.9999999999
2025-02-18T08:20:00.000+0000,996795.0228874,815013.42385,999999.9999999999
2025-02-18T08:30:00.000+0000,996780.465802392,815013.42385,999999.9999999999
2025-02-18T08:40:00.000+0000,995610.2542940481,453128.59215000004,999999.9999999999
2025-02-18T08:50:00.000+0000,995683.039719088,453128.59215000004,999999.9999999999
2025-02-18T09:00:00.000+0000,995668.48263408,453128.59215000004,999999.9999999999
2025-02-18T09:10:00.000+0000,995712.153889104,453128.59215000004,999999.9999999999
2025-02-18T09:20:00.000+0000,997437.168462552,453128.59215000004,999999.9999999999
2025-02-18T09:30:00.000+0000,997742.86724772,453128.59215000004,999999.9999999999
