date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T23:40:00.000+0000,1000000.0,1000000.0,999618.7343752236,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T23:50:00.000+0000,999997.942604,998290.065,998913.7476350118,999998.2646312,998557.707,1000000.0,1000000.0
2025-04-23T00:00:00.000+0000,999731.5645079996,834955.6827543996,997528.6697814018,999773.0724920005,860646.0911896005,1000000.0,1000000.0
2025-04-23T00:10:00.000+0000,998824.0131303996,830673.9808119995,997639.9818612926,999006.5661880006,857050.1443436007,1000000.0,1000000.0
2025-04-23T00:20:00.000+0000,998809.7552593915,832606.0579127995,997488.0517697374,998994.6425378326,858691.0865388007,1000000.0,1000000.0
2025-04-23T00:30:00.000+0000,999431.2842481034,821418.8757056474,996044.2098868947,999519.3203295369,849331.1860871048,1000000.0,1000000.0
2025-04-23T00:40:00.000+0000,1000119.5185813674,822090.0533336474,993423.0719767084,1000100.1655341447,849897.9583063048,1000000.0,1000000.0
2025-04-23T00:50:00.000+0000,1000376.5646498713,824830.3748412314,993493.9290086691,1000316.6848200328,852210.8431569928,1000000.0,1000000.0
2025-04-23T01:00:00.000+0000,999654.6682293916,825833.3658060314,993113.6919830571,999708.0647059528,853064.1339777928,1000000.0,1000000.0
2025-04-23T01:10:00.000+0000,999256.7419053917,809979.3035586715,1000734.4834382487,999372.5165011848,841509.3072219527,999982.106848,990673.12
2025-04-23T01:20:00.000+0000,999226.4581673116,813536.4219330716,998682.8134279076,999353.3266926727,849149.0840944325,999976.57128,990673.12
2025-04-23T01:30:00.000+0000,999180.2405709915,807525.3226641115,999621.4229233353,999320.6698790404,844066.1175953925,999963.561696,990673.12
2025-04-23T01:40:00.000+0000,999729.3131127115,807525.3226641115,997818.300959727,999800.6716322484,844066.1175953925,999945.126456,990673.12
2025-04-23T01:50:00.000+0000,1000126.3517275114,807525.3226641115,994462.3839158937,1000146.6192325845,844066.1175953925,999926.31152,990673.12
2025-04-23T02:00:00.000+0000,1000174.8805233915,810014.9653553115,994629.4493127468,1000185.3938980165,846176.9016161925,999925.9618,990673.12
2025-04-23T02:10:00.000+0000,999959.6096279916,820345.9609417116,997101.9982080978,999992.5473088083,854864.7502725925,999934.694808,990673.12
2025-04-23T02:20:00.000+0000,999277.8167260793,614614.3042837755,1001928.3898945365,999409.8860869523,679601.7814142002,999958.031124,990673.12
2025-04-23T02:30:00.000+0000,999645.5218132637,628841.2981568956,1002316.9353549946,999733.8546626244,691617.3568433203,999951.02193584,992902.86937232
2025-04-23T02:40:00.000+0000,997369.8853209992,587249.8586592954,1004035.9191773965,997805.8103602005,656469.3982201203,999949.23736464,992902.86937232
2025-04-23T02:50:00.000+0000,997081.0061893354,599569.8375251032,1003442.3552313667,997561.2713080724,666856.2342384084,999952.50275024,992902.86937232
2025-04-23T03:00:00.000+0000,999673.3944482713,599569.8375251032,1001386.5456434633,999760.8122265043,666856.2342384084,999943.2989192,992902.86937232
2025-04-23T03:10:00.000+0000,1001051.7735321352,599569.8375251032,1000204.4725401308,1000927.2383784724,666856.2342384084,999939.66902544,992902.86937232
2025-04-23T03:20:00.000+0000,1000172.4882735354,599569.8375251032,1001330.1202114956,1000176.9075237524,666856.2342384084,999950.03472624,992902.86937232
2025-04-23T03:30:00.000+0000,999098.722024295,600311.6444044632,1001809.807921944,999261.7926018324,666856.2342384084,999950.7139823999,993830.12797152
2025-04-23T03:40:00.000+0000,998512.7452010792,607601.4643792631,1004596.7592934631,998768.6368822805,673029.5066664084,999961.98435888,993830.12797152
2025-04-23T03:50:00.000+0000,997981.8431727511,607601.4643792631,1005277.0617789889,998316.9870114644,673029.5066664084,999965.0640931199,993830.12797152
2025-04-23T04:00:00.000+0000,997810.1309025511,610188.2383032631,1005634.3778239035,998168.3522145044,675207.8426024084,999968.44058976,993830.12797152
2025-04-23T04:10:00.000+0000,998626.6447484872,610188.2383032631,1003776.6268446248,998863.2056466963,675207.8426024084,999963.69239136,993830.12797152
2025-04-23T04:20:00.000+0000,999451.1420425512,611121.2772744631,1002431.037907779,999560.4400525846,675992.7801496085,999961.9909535999,993830.12797152
2025-04-23T04:30:00.000+0000,997998.854832527,613972.1886393271,1003636.3102902456,998331.6541483605,678398.8722947604,999966.574284,993830.12797152
2025-04-23T04:40:00.000+0000,996034.4944482392,613972.1886393271,1006924.9247822384,996673.9548096089,678398.8722947604,999967.1961964,972647.10087152
2025-04-23T04:50:00.000+0000,995126.1697479994,821392.5723044793,1011097.5600002743,995863.393595929,863671.654058009,999968.8066070401,978801.1155180801
2025-04-23T05:00:00.000+0000,993009.6532059188,81.33644223966394,1011782.48656269,993608.6908821705,21.049200727681637,999974.1595212801,978801.1155180801
2025-04-23T05:10:00.000+0000,994056.4307134403,22552.516105439743,1010316.7562171039,994689.6852942475,22166.07419656778,999966.81060512,978801.1155180801
2025-04-23T05:20:00.000+0000,998942.2523267198,27467.759962079683,1011335.5977251885,999784.8823730487,26322.344917847862,999967.3549692801,978801.1155180801
2025-04-23T05:30:00.000+0000,996464.6214184001,27467.759962079683,1011594.573298375,997253.3535176086,26322.344917847862,999962.9093286401,978801.1155180801
2025-04-23T05:40:00.000+0000,995363.8753203194,27467.759962079683,1012912.4928163558,996137.5974371281,26322.344917847862,999951.7725452001,978801.1155180801
2025-04-23T05:50:00.000+0000,999666.3727665603,27467.759962079683,1011138.544837826,1000541.7436992079,26322.344917847862,999990.96676472,978801.1155180801
2025-04-23T06:00:00.000+0000,1001252.2424550402,89250.9926030398,1009871.945036045,1002226.4588480077,78485.20202120817,999980.9867551201,978801.1155180801
2025-04-23T06:10:00.000+0000,999422.9529583202,89250.9926030398,1012961.0215030776,1000457.7064828078,78485.20202120817,1000032.59353664,978801.1155180801
2025-04-23T06:20:00.000+0000,999471.5511486406,92431.8794561598,1012750.2788260845,1000441.1672248075,78485.20202120817,1000034.2572046401,982730.44633664
2025-04-23T06:30:00.000+0000,998562.2472741602,92431.8794561598,1012725.1251652854,999523.3355780083,78485.20202120817,1000033.05386808,982730.44633664
2025-04-23T06:40:00.000+0000,1001424.8921247202,93181.08361295974,1011980.16870553,1002474.0021548079,78485.20202120817,1000027.83084984,983573.30101304
2025-04-23T06:50:00.000+0000,1002410.2286244002,97236.38077775974,1010186.5245003535,1003516.8621988076,81907.75778440818,1000023.85643192,983573.30101304
2025-04-23T07:00:00.000+0000,1003053.1212984797,97236.38077775974,1007860.4844061455,1004133.8791900079,81907.75778440818,1000012.09145144,983573.30101304
2025-04-23T07:10:00.000+0000,1008457.8777315195,97236.38077775974,1007345.2936695276,1009856.8956112077,81907.75778440818,1000007.95876024,983573.30101304
2025-04-23T07:20:00.000+0000,1007547.2974789594,97236.38077775974,1007797.9433257186,1008912.0101248076,81907.75778440818,1000009.38321976,983573.30101304
2025-04-23T07:30:00.000+0000,1005870.9184559196,97236.38077775974,1009687.6170735575,1007152.949500008,81907.75778440818,1000027.84843576,983573.30101304
2025-04-23T07:40:00.000+0000,1006018.0529540799,100379.49527295974,1009642.1673910103,1007300.0107568083,84560.66176200818,1000044.97712184,983573.30101304
2025-04-23T07:50:00.000+0000,1002283.9057635994,103259.25432119974,1010674.5655023209,1003367.4751041684,87000.2028665682,1000056.1746566402,983573.30101304
2025-04-23T08:00:00.000+0000,1003707.9202656802,126972.63805127984,1012195.7374420436,1004847.9963388888,93860.66510256835,1000107.53176088,1000107.53176088
2025-04-23T08:10:00.000+0000,1000041.70098936,127723.12438151987,1013726.4899776555,1001046.6503504885,94501.32416496835,1000107.53176088,1000107.53176088
2025-04-23T08:20:00.000+0000,999332.7643927203,127723.12438151987,1015861.1779266108,1000391.8684953687,94501.32416496835,1000107.53176088,1000107.53176088
2025-04-23T08:30:00.000+0000,1002163.6936360797,127723.12438151987,1014716.0567233817,1003334.9345574484,94501.32416496835,1000107.53176088,1000107.53176088
2025-04-23T08:40:00.000+0000,1000085.0035195996,127723.12438151987,1015470.0943240633,1001153.0987236085,94501.32416496835,1000107.53176088,1000107.53176088
2025-04-23T08:50:00.000+0000,1000687.001535599,127723.12438151987,1016213.8306925183,1001795.3550072082,96149.07191136834,1000107.53176088,1000107.53176088
2025-04-23T09:00:00.000+0000,1000100.0332861597,127723.12438151987,1017095.5313008194,1001200.0210556888,96149.07191136834,1000107.53176088,1000107.53176088
2025-04-23T09:10:00.000+0000,997622.5758389601,127723.12438151987,1018431.8774346139,998697.2873456881,96149.07191136834,1000107.53176088,1000107.53176088
2025-04-23T09:20:00.000+0000,1000012.6720311198,132883.85848871994,1017257.0092514164,1001165.1443793676,100502.54034816829,1000107.53176088,1000107.53176088
2025-04-23T09:30:00.000+0000,1000723.4561485598,127952.46655271963,1016330.5734028299,1001906.6408072885,96312.98412416797,1000107.53176088,1000107.53176088
2025-04-23T09:40:00.000+0000,1000620.4060725593,120243.67115271963,1016207.9843337289,1001742.6544489682,96312.98412416797,1000100.01098488,990706.56176088
2025-04-23T09:50:00.000+0000,1000803.1567549601,120243.67115271963,1012891.4558240734,1001939.7714291281,96312.98412416797,1000085.0529608801,990706.56176088
2025-04-23T10:00:00.000+0000,1004122.7311691996,120243.67115271963,1008973.4010398193,1005391.183488809,96312.98412416797,1000040.61853688,990706.56176088
2025-04-23T10:10:00.000+0000,1004024.0237983195,130048.36871463948,1010171.9371780645,1005240.6026499276,120730.11997600799,1000038.59016088,990706.56176088
2025-04-23T10:20:00.000+0000,1000834.5985813597,132719.3452226395,1011979.6554411532,1001962.8818260086,122980.94287600799,1000044.0957528801,990706.56176088
2025-04-23T10:30:00.000+0000,999882.346592879,132719.3452226395,1013692.7088994021,1000977.5980840886,122980.94287600799,1000049.0517848801,990706.56176088
2025-04-23T10:40:00.000+0000,1000466.3638050397,132719.3452226395,1013968.0770678645,1001568.2102160881,122980.94287600799,1000046.29399288,990706.56176088
2025-04-23T10:50:00.000+0000,996689.5702589595,132719.3452226395,1015795.181739355,997692.2219892879,122980.94287600799,1000059.09374488,990706.56176088
2025-04-23T11:00:00.000+0000,997324.4773266397,132719.3452226395,1016466.9457974031,998349.470569449,122980.94287600799,1000059.39350488,990706.56176088
2025-04-23T11:10:00.000+0000,996414.5290680793,132719.3452226395,1017333.8691573683,997382.7084983289,122980.94287600799,1000056.0661688801,990706.56176088
2025-04-23T11:20:00.000+0000,994568.0748141592,132719.3452226395,1016870.9814812287,995479.2397924885,122980.94287600799,1000055.3667288801,990706.56176088
2025-04-23T11:30:00.000+0000,996372.1448026396,132719.3452226395,1016319.3114182078,997302.6969588081,122980.94287600799,1000042.6569048801,990706.56176088
2025-04-23T11:40:00.000+0000,996411.1555690388,132719.3452226395,1014441.0538952325,997359.5021782485,122980.94287600799,1000039.0897608801,990706.56176088
2025-04-23T11:50:00.000+0000,1000775.6289947995,132719.3452226395,1012665.0311736003,1001859.4425436878,122980.94287600799,1000030.4866488801,990706.56176088
2025-04-23T12:00:00.000+0000,996539.1102233602,133302.0786626396,1014113.2577760529,997462.7132432874,123476.26630000805,1000043.22644888,990706.56176088
2025-04-23T12:10:00.000+0000,990608.0476723197,139251.43826431956,1017654.4372457094,991328.7884120077,128500.57713320799,1000059.5633688801,990706.56176088
2025-04-23T12:20:00.000+0000,991267.3692927196,195117.86543943948,1016868.0226058996,992013.5541608077,178200.41233168796,1000060.8903064801,992579.9278680801
2025-04-23T12:30:00.000+0000,991238.4173727998,197334.59063943947,1017654.5307396381,991999.5339859284,180062.46149968798,1000061.4658456801,992579.9278680801
2025-04-23T12:40:00.000+0000,993176.6870155992,197334.59063943947,1017180.9742716649,994036.6300043281,180062.46149968798,1000059.4354712801,992579.9278680801
