date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-02-10T01:40:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000.0,1000000.0
2025-02-10T01:50:00.000+0000,999907.9910759206,916680.9709000007,999999.9999999999,999954.0286179188,958367.4718999988,1000000.0,1000000.0
2025-02-10T02:00:00.000+0000,999688.219827761,680414.2844000006,999999.9999999999,999844.2227697591,840259.3375999988,1000000.0,1000000.0
2025-02-10T02:10:00.000+0000,998899.7400615846,680414.2844000006,999999.9999999999,999450.3152141108,840259.3375999988,1000000.0,1000000.0
2025-02-10T02:20:00.000+0000,999597.3944512166,680414.2844000006,999999.9999999999,999798.8537400467,840259.3375999988,1000000.0,1000000.0
2025-02-10T02:30:00.000+0000,999629.0855974487,374691.0706000006,999999.9999999999,999814.5668365431,687406.4640999992,1000000.0,1000000.0
2025-02-10T02:40:00.000+0000,999232.8833829926,374691.0706000006,999999.9999999999,999616.5750168152,687406.4640999992,1000000.0,1000000.0
2025-02-10T02:50:00.000+0000,999902.2788178886,374691.0706000006,999999.9999999999,999951.0371728631,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:00:00.000+0000,999308.0329851767,374691.0706000006,999999.9999999999,999654.1241134872,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:10:00.000+0000,999410.6445302167,374691.0706000006,999999.9999999999,999705.4079535672,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:20:00.000+0000,998766.1468012086,374691.0706000006,999999.9999999999,999383.3656736632,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:30:00.000+0000,996499.2955041926,374691.0706000006,999999.9999999999,998250.7398597752,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:40:00.000+0000,996360.1065245287,374691.0706000006,999999.9999999999,998181.2074702232,687406.4640999992,1000000.0,1000000.0
2025-02-10T03:50:00.000+0000,996927.6884054807,374691.0706000006,999999.9999999999,998464.8153822392,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:00:00.000+0000,996749.5857516807,374691.0706000006,999999.9999999999,998375.8423176792,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:10:00.000+0000,996502.3724906328,374691.0706000006,999999.9999999999,998252.3089035351,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:20:00.000+0000,996391.4997098728,374691.0706000006,999999.9999999999,998196.9055616951,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:30:00.000+0000,996044.6378914968,374691.0706000006,999999.9999999999,998023.5959803672,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:40:00.000+0000,996696.7705976327,374691.0706000006,999999.9999999999,998349.4861994552,687406.4640999992,1000000.0,1000000.0
2025-02-10T04:50:00.000+0000,996256.7552117766,374691.0706000006,999999.9999999999,998129.6346814872,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:00:00.000+0000,996319.8263344807,374691.0706000006,999999.9999999999,998161.1622991991,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:10:00.000+0000,995773.2681610966,374691.0706000006,999999.9999999999,997888.0635930871,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:20:00.000+0000,996393.6079519286,374691.0706000006,999999.9999999999,998197.9749455032,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:30:00.000+0000,996158.0176650567,374691.0706000006,999999.9999999999,998080.2615116471,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:40:00.000+0000,995483.4947354407,374691.0706000006,999999.9999999999,997743.2575906392,687406.4640999992,1000000.0,1000000.0
2025-02-10T05:50:00.000+0000,994844.0682362006,374691.0706000006,999999.9999999999,997423.7923674391,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:00:00.000+0000,995662.6801323527,374691.0706000006,999999.9999999999,997832.7916860152,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:10:00.000+0000,996232.4837644808,374691.0706000006,999999.9999999999,998117.4863679191,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:20:00.000+0000,996112.0394970408,374691.0706000006,999999.9999999999,998057.3237365591,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:30:00.000+0000,995925.8463608087,374691.0706000006,999999.9999999999,997964.3012341432,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:40:00.000+0000,995919.0093747767,374691.0706000006,999999.9999999999,997960.8828910072,687406.4640999992,1000000.0,1000000.0
2025-02-10T06:50:00.000+0000,995835.2565406887,374691.0706000006,999999.9999999999,997919.0301799831,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:00:00.000+0000,994955.5110106007,374691.0706000006,999999.9999999999,997479.5025635991,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:10:00.000+0000,994944.9140249768,374691.0706000006,999999.9999999999,997474.2349210872,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:20:00.000+0000,994895.3461210488,374691.0706000006,999999.9999999999,997449.4739257433,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:30:00.000+0000,994830.2812446246,374691.0706000006,999999.9999999999,997416.9822798711,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:40:00.000+0000,995064.5607909287,374691.0706000006,999999.9999999999,997534.0119411831,687406.4640999992,1000000.0,1000000.0
2025-02-10T07:50:00.000+0000,994692.3452717527,374691.0706000006,999999.9999999999,997348.0370002552,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:00:00.000+0000,994489.1731795608,374691.0706000006,999999.9999999999,997246.4860260792,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:10:00.000+0000,994117.5844085847,374691.0706000006,999999.9999999999,997060.8266325112,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:20:00.000+0000,994297.0545575127,374691.0706000006,999999.9999999999,997150.4921626551,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:30:00.000+0000,994526.8906014648,374691.0706000006,999999.9999999999,997265.3482841912,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:40:00.000+0000,993817.1572427447,374691.0706000006,999999.9999999999,996910.7442945112,687406.4640999992,1000000.0,1000000.0
2025-02-10T08:50:00.000+0000,993706.7404568966,374691.0706000006,999999.9999999999,996855.5864361272,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:00:00.000+0000,993757.7898546807,374691.0706000006,999999.9999999999,996881.1012679192,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:10:00.000+0000,993836.8706993528,374691.0706000006,999999.9999999999,996920.6137126551,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:20:00.000+0000,994123.7946464168,374691.0706000006,999999.9999999999,997063.9294282872,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:30:00.000+0000,994328.2202350087,374691.0706000006,999999.9999999999,997166.1114971832,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:40:00.000+0000,994023.5770746646,374691.0706000006,999999.9999999999,997013.9343763512,687406.4640999992,1000000.0,1000000.0
2025-02-10T09:50:00.000+0000,994193.8744876568,374691.0706000006,999999.9999999999,997099.0334226072,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:00:00.000+0000,994011.1561093926,374691.0706000006,999999.9999999999,997007.6848000152,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:10:00.000+0000,993940.5077433367,374691.0706000006,999999.9999999999,996972.4059057272,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:20:00.000+0000,993879.4308639606,374691.0706000006,999999.9999999999,996941.8863009592,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:30:00.000+0000,993994.8616354087,374691.0706000006,999999.9999999999,996999.5685382232,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:40:00.000+0000,994170.7997822007,374691.0706000006,999999.9999999999,997087.5075107191,687406.4640999992,1000000.0,1000000.0
2025-02-10T10:50:00.000+0000,994096.9036764167,374691.0706000006,999999.9999999999,997050.5895087672,687406.4640999992,1000000.0,1000000.0
