date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-15T12:30:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-15T12:40:00.000+0000,999439.8877824,299859.7280000001,999388.2780911181,999493.7247603998,367155.9504999997,1000000.0,1000000.0
2025-04-15T12:50:00.000+0000,1028622.1680665602,299859.7280000001,1002130.292385937,1025871.0567997595,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:00:00.000+0000,1079618.9251968,299859.7280000001,1003883.7934273813,1071966.0974427997,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:10:00.000+0000,1073117.9221632,299859.7280000001,1003805.5625465468,1066089.9591171998,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:20:00.000+0000,1064088.7512832,299859.7280000001,1001255.8590481693,1057928.6558871996,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:30:00.000+0000,1060910.48313344,299859.7280000001,1002242.7230177445,1055055.8771502397,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:40:00.000+0000,1077235.22408448,299859.7280000001,1007019.785867263,1069811.5133900796,367155.9504999997,1000000.0,1000000.0
2025-04-15T13:50:00.000+0000,1090164.99678464,299859.7280000001,999850.5636763646,1081498.4996154397,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:00:00.000+0000,1100494.3682713602,299859.7280000001,995560.0732353395,1090835.03051056,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:10:00.000+0000,1132638.2166041601,299859.7280000001,991243.0340016385,1119889.2700093596,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:20:00.000+0000,1128665.3814169602,299859.7280000001,987905.748958414,1116298.2965881596,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:30:00.000+0000,1128231.9812147203,299859.7280000001,988366.5333752127,1115906.5540331197,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:40:00.000+0000,1127870.8143795202,299859.7280000001,991378.4390527206,1115580.1019039196,367155.9504999997,1000000.0,1000000.0
2025-04-15T14:50:00.000+0000,1129893.34865664,299859.7280000001,992830.3461176974,1117408.2338274396,367155.9504999997,1000000.0,1000000.0
2025-04-15T15:00:00.000+0000,1099988.73470208,299859.7280000001,992124.3977576236,1090377.99752968,367155.9504999997,1000000.0,1000000.0
2025-04-15T15:10:00.000+0000,1093198.79820032,299859.7280000001,993906.0525558731,1084240.6975007197,367155.9504999997,1000000.0,1000000.0
2025-04-15T15:20:00.000+0000,1104539.4368256002,299859.7280000001,994568.6130909929,1094491.2943575997,367155.9504999997,1000000.0,1000000.0
2025-04-15T15:30:00.000+0000,1087057.2711556796,385324.0619918398,989605.1720937985,1078689.43576576,444404.3363128,1000000.0,1000000.0
2025-04-15T15:40:00.000+0000,1093328.5187407997,385324.0619918398,987676.4177086791,1084357.9132530403,444404.3363128,1000000.0,1000000.0
2025-04-15T15:50:00.000+0000,1094750.8635539198,385324.0619918398,985050.42541299,1085643.54732232,444404.3363128,1000000.0,1000000.0
2025-04-15T16:00:00.000+0000,1086863.3150447998,385324.0619918398,988311.5776324632,1078514.12202904,444404.3363128,1000000.0,1000000.0
2025-04-15T16:10:00.000+0000,1097724.85725408,385324.0619918398,990167.2621514021,1088331.6912853601,444404.3363128,1000000.0,1000000.0
