date,total_balance_normal,unlocked_balance_normal,benchmark
2025-05-12T04:50:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-05-12T05:00:00.000+0000,999954.0688739165,942586.0923999966,998442.6712366764
2025-05-12T05:10:00.000+0000,998445.228239339,784893.2296199946,996201.104292339
2025-05-12T05:20:00.000+0000,1002932.8764054665,662529.4631453548,993808.0965442453
2025-05-12T05:30:00.000+0000,1007277.7758696027,662529.4631453548,992237.8437430661
2025-05-12T05:40:00.000+0000,1002729.9254728748,662529.4631453548,994610.6578505798
2025-05-12T05:50:00.000+0000,1002385.6057392028,662529.4631453548,993346.2384581291
2025-05-12T06:00:00.000+0000,998856.5552499947,662529.4631453548,992800.6364833934
2025-05-12T06:10:00.000+0000,992425.0033010424,662529.4631453548,992343.7797920264
2025-05-12T06:20:00.000+0000,985510.1145910826,575755.1416453554,994043.6790996103
2025-05-12T06:30:00.000+0000,986310.2370833715,575755.1416453554,997448.2542075049
2025-05-12T06:40:00.000+0000,982048.6892778734,419366.39129535307,998625.4872146832
2025-05-12T06:50:00.000+0000,977916.2037757451,330986.00029535324,999977.3527038867
2025-05-12T07:00:00.000+0000,957920.8647106732,144408.2141460733,1007739.3525082986
2025-05-12T07:10:00.000+0000,955141.8757618091,144408.2141460733,1014415.1785150531
2025-05-12T07:20:00.000+0000,939531.4933863534,144408.2141460733,1016227.8601773187
2025-05-12T07:30:00.000+0000,937877.7975702333,114650.18714607331,1018197.3060413348
2025-05-12T07:40:00.000+0000,953838.5063202011,114650.18714607331,1003873.2036984779
2025-05-12T07:50:00.000+0000,971059.917879137,114858.19049887308,1003288.8883633644
2025-05-12T08:00:00.000+0000,983119.7257383928,119958.06123575298,1001495.3148791926
2025-05-12T08:10:00.000+0000,977310.3533572725,122745.10301719293,999048.6831652117
2025-05-12T08:20:00.000+0000,979175.0555611446,122745.10301719293,999302.9917521592
2025-05-12T08:30:00.000+0000,968359.331298161,122745.10301719293,1002430.0358496839
2025-05-12T08:40:00.000+0000,951066.2747997767,122745.10301719293,1005198.7925857432
2025-05-12T08:50:00.000+0000,948799.2884408969,122745.10301719293,1010037.6882026913
2025-05-12T09:00:00.000+0000,943303.3609730809,122745.10301719293,1008637.565527918
2025-05-12T09:10:00.000+0000,943725.2252514486,122745.10301719293,1007859.3074630257
2025-05-12T09:20:00.000+0000,940745.092346585,122745.10301719293,1007968.9777561226
2025-05-12T09:30:00.000+0000,945191.926211241,122745.10301719293,1006353.9345803573
2025-05-12T09:40:00.000+0000,954813.6550553289,122745.10301719293,1004629.6556783795
2025-05-12T09:50:00.000+0000,960350.508935801,122745.10301719293,1004165.3882536787
2025-05-12T10:00:00.000+0000,960961.695944721,122745.10301719293,1002494.6387082743
2025-05-12T10:10:00.000+0000,965112.4051587688,122745.10301719293,1002906.408682059
2025-05-12T10:20:00.000+0000,965119.3813533445,122745.10301719293,1001694.5513258881
2025-05-12T10:30:00.000+0000,966651.010319145,122745.10301719293,1002758.8713914157
2025-05-12T10:40:00.000+0000,967314.4972846012,122869.69776159305,1004500.2797530983
2025-05-12T10:50:00.000+0000,968785.1616211531,122869.69776159305,1005465.9219431751
2025-05-12T11:00:00.000+0000,968417.9816802888,122869.69776159305,1006156.2052328233
2025-05-12T11:10:00.000+0000,975718.4171159209,122869.69776159305,1004930.8808088172
2025-05-12T11:20:00.000+0000,986369.4083108725,123122.33449039295,1003116.3526549677
2025-05-12T11:30:00.000+0000,978600.6564783207,123122.33449039295,1002432.8513241874
2025-05-12T11:40:00.000+0000,981897.0532595128,123122.33449039295,999888.6184857317
2025-05-12T11:50:00.000+0000,993813.6821936171,123122.33449039295,996008.9328515382
2025-05-12T12:00:00.000+0000,999565.747347225,123122.33449039295,997456.0628049048
2025-05-12T12:10:00.000+0000,1002714.8775160327,123543.32211064898,999360.8222412874
2025-05-12T12:20:00.000+0000,1005591.3078993366,123543.32211064898,999678.3623017925
2025-05-12T12:30:00.000+0000,1005387.4283935288,123843.07191880887,1000927.0347071344
2025-05-12T12:40:00.000+0000,997030.8902764886,123843.07191880887,1003510.3703940611
2025-05-12T12:50:00.000+0000,992854.9560685926,123843.07191880887,1004428.6792691961
2025-05-12T13:00:00.000+0000,996124.4282666969,123843.07191880887,1003431.6660789158
2025-05-12T13:10:00.000+0000,994089.4636318248,123843.07191880887,1005162.0219433109
2025-05-12T13:20:00.000+0000,997250.0676542008,123843.07191880887,1007454.165793105
2025-05-12T13:30:00.000+0000,995558.1876218967,124133.48558186485,1005526.4774052745
2025-05-12T13:40:00.000+0000,1008469.1084256487,82664.56197300903,1003699.2955484067
2025-05-12T13:50:00.000+0000,997880.427823209,82664.56197300903,1011207.5865988518
2025-05-12T14:00:00.000+0000,988873.172696569,82664.56197300903,1010787.1980560817
2025-05-12T14:10:00.000+0000,988298.4991434967,82664.56197300903,1011940.3461163731
2025-05-12T14:20:00.000+0000,990365.1047753051,82664.56197300903,996005.8277978562
2025-05-12T14:30:00.000+0000,1008170.524544897,82664.56197300903,992453.5862954936
2025-05-12T14:40:00.000+0000,1000194.303690449,86948.46610580903,998899.783106612
2025-05-12T14:50:00.000+0000,1016718.8589720412,93284.28369356898,994252.5370907126
2025-05-12T15:00:00.000+0000,1025918.2719792966,95033.99979996888,989741.9159492762
2025-05-12T15:10:00.000+0000,1031030.6625323046,97931.6983850887,991881.1749242323
2025-05-12T15:20:00.000+0000,1027836.6047457688,97176.11758508871,994357.4818584354
2025-05-12T15:30:00.000+0000,1028479.4561029286,97176.11758508871,991298.0695338503
