date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-16T15:50:00.000+0000,1000000.0,1000000.0,999180.8000307914,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-16T16:00:00.000+0000,999963.541602064,991466.64714,999150.3938139137,1000000.0,1000000.0,999976.4642680478,994491.2909799998
2025-04-16T16:10:00.000+0000,999848.718703928,991466.64714,998906.4712448148,1000000.0,1000000.0,999902.3403046958,994491.2909799998
2025-04-16T16:20:00.000+0000,999604.5823259599,991415.55874,996533.3774789686,1000000.0,1000000.0,999744.7380018878,994458.3228799998
2025-04-16T16:30:00.000+0000,999344.9883214959,969596.0480582719,992707.0297794752,1000000.0,1000000.0,999577.1577241118,980372.8137698958
2025-04-16T16:40:00.000+0000,999375.8542289999,959846.9546582719,993528.4631213865,999976.1875274401,994102.2997000001,999597.0832009679,980372.8137698958
2025-04-16T16:50:00.000+0000,999618.5651656558,959846.9546582719,997206.1629218844,999804.33871656,994102.2997000001,999766.4405266318,980372.8137698958
2025-04-16T17:00:00.000+0000,999667.4471187838,959846.9546582719,1002501.9101621192,999787.6311932801,994102.2997000001,999961.0019129039,980372.8137698958
2025-04-16T17:10:00.000+0000,999667.1172428959,952556.4434582719,1001915.3459895282,999654.134453328,989691.8773,999958.2419126718,980372.8137698958
2025-04-16T17:20:00.000+0000,999704.3319934718,951743.6752382718,1007681.2231819928,999579.700248368,989691.8773,1000185.2264516479,979848.1488298959
2025-04-16T17:30:00.000+0000,999669.5664686078,951110.8852382718,999889.0592023234,999691.934469104,989691.8773,999959.4972761996,979440.0838298957
2025-04-16T17:40:00.000+0000,999070.4612554639,902862.938035272,985734.0043262686,999914.8551978401,990717.64135984,999415.1325181758,947197.5330437757
2025-04-16T17:50:00.000+0000,997767.6828699608,770078.0001152321,974190.8712899532,1000001.1864501641,986631.8533848401,998503.0378878477,865760.8842237757
2025-04-16T18:00:00.000+0000,998136.2598043352,768304.1701952323,977381.4589278013,999777.3742727081,986077.7846042002,998810.4372114957,865283.7210837757
