date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-16T15:50:00.000+0000,1000000.0,1000000.0,999180.8000307914
2025-04-16T16:00:00.000+0000,999972.661389616,993601.1996599999,999150.3938139137
2025-04-16T16:10:00.000+0000,999886.5605554319,993601.1996599999,998906.4712448148
2025-04-16T16:20:00.000+0000,999703.493124024,993562.9020599999,996533.3774789686
2025-04-16T16:30:00.000+0000,999508.8361208079,977201.5738487039,992707.0297794752
2025-04-16T16:40:00.000+0000,999531.9810100718,969891.1117487039,993528.4631213865
2025-04-16T16:50:00.000+0000,999713.9782435918,969891.1117487039,997206.1629218844
2025-04-16T17:00:00.000+0000,999750.6294891199,969891.1117487039,1002501.9101621192
2025-04-16T17:10:00.000+0000,999750.3820072638,964350.0241487039,1001915.3459895282
2025-04-16T17:20:00.000+0000,999777.413372112,963740.6201487039,1007681.2231819928
2025-04-16T17:30:00.000+0000,999752.3091508078,963266.4726487038,999889.0592023234
2025-04-16T17:40:00.000+0000,999184.9593970554,912228.2653734556,985734.0043262686
2025-04-16T17:50:00.000+0000,997965.0173102274,812687.0584151754,974190.8712899532
2025-04-16T18:00:00.000+0000,998312.1474537714,811356.9678151754,977381.4589278013
2025-04-16T18:10:00.000+0000,999194.5337122569,715070.4727530801,982990.3236304433
2025-04-16T18:20:00.000+0000,999588.4539254969,747626.2437956402,984480.3304163443
2025-04-16T18:30:00.000+0000,1000392.8254642328,745838.7062956401,987701.64763134
2025-04-16T18:40:00.000+0000,999757.2971359688,730920.9150956401,984892.7321461474
2025-04-16T18:50:00.000+0000,1000122.7679822034,730920.9150956401,986537.5683124928
2025-04-16T19:00:00.000+0000,1000228.6751736153,730920.9150956401,990829.7861255903
2025-04-16T19:10:00.000+0000,1000096.2020499648,730920.9150956401,990829.0618504199
2025-04-16T19:20:00.000+0000,999625.146870956,730880.1154256401,988452.0289181923
2025-04-16T19:30:00.000+0000,999470.6376323123,730880.1154256401,989416.6349437485
2025-04-16T19:40:00.000+0000,1000229.7688301209,730880.1154256401,994081.3742794148
2025-04-16T19:50:00.000+0000,1001192.1334751905,507659.24412564014,1006826.666672369
2025-04-16T20:00:00.000+0000,1001183.9100712106,507735.1514511602,1006875.629931798
2025-04-16T20:10:00.000+0000,1001694.8506784609,508070.1739186002,1007569.8993417418
2025-04-16T20:20:00.000+0000,1002220.8517387027,525318.8271480403,1008350.1557479054
2025-04-16T20:30:00.000+0000,1001259.7706138106,525318.8271480403,1006442.0050652206
2025-04-16T20:40:00.000+0000,1000211.7393490993,530281.8627702802,1003478.79412066
2025-04-16T20:50:00.000+0000,999342.5348504347,530281.8627702802,1001236.927747268
2025-04-16T21:00:00.000+0000,999150.4653470602,532627.4951619603,1001451.4777477386
2025-04-16T21:10:00.000+0000,1000441.5862093915,532627.4951619603,1005129.9193611711
2025-04-16T21:20:00.000+0000,1001522.5626508594,532627.4951619603,1007830.2017920397
2025-04-16T21:30:00.000+0000,1001259.7154289938,532627.4951619603,1007225.9999606776
2025-04-16T21:40:00.000+0000,1001224.4688888018,532627.4951619603,1007493.8755516757
2025-04-16T21:50:00.000+0000,1001672.7292384058,532627.4951619603,1008878.0148112832
2025-04-16T22:00:00.000+0000,1001337.7151192818,532627.4951619603,1007778.650178613
2025-04-16T22:10:00.000+0000,1000568.3972283523,532627.4951619603,1006244.0014688119
2025-04-16T22:20:00.000+0000,1000328.5180053762,532627.4951619603,1005628.3571102347
2025-04-16T22:30:00.000+0000,1000511.8654919504,532627.4951619603,1005147.8968744301
2025-04-16T22:40:00.000+0000,1001253.8709083541,532627.4951619603,1007806.2730116891
2025-04-16T22:50:00.000+0000,1000685.8025728769,532627.4951619603,1006700.5963211409
2025-04-16T23:00:00.000+0000,999910.7033107474,532627.4951619603,1004336.3947134521
2025-04-16T23:10:00.000+0000,999569.3163469811,532627.4951619603,1003310.7616803604
2025-04-16T23:20:00.000+0000,999188.693014441,532627.4951619603,1002361.2226694319
2025-04-16T23:30:00.000+0000,997947.400450445,532337.0800419602,999556.2405937613
2025-04-16T23:40:00.000+0000,997802.5094740307,532337.0800419602,999504.620605746
2025-04-16T23:50:00.000+0000,999034.5466531522,532387.3661808402,1000946.6361493412
2025-04-17T00:00:00.000+0000,998325.436059821,527958.3398717202,999505.4944148667
2025-04-17T00:10:00.000+0000,999028.3220907752,527958.3398717202,1000158.4924255861
2025-04-17T00:20:00.000+0000,998555.0530001826,527958.3398717202,999223.1013256458
2025-04-17T00:30:00.000+0000,998652.4955157571,527958.3398717202,1001197.9955477142
2025-04-17T00:40:00.000+0000,998728.7141000706,527958.3398717202,1001596.8608730063
2025-04-17T00:50:00.000+0000,998816.6032774345,529135.9176552402,1002037.0977054974
2025-04-17T01:00:00.000+0000,999080.235614705,529135.9176552402,1002394.028132356
2025-04-17T01:10:00.000+0000,1000071.2676732898,529135.9176552402,1004715.9109636586
2025-04-17T01:20:00.000+0000,1000135.8217227026,529135.9176552402,1004837.870562027
2025-04-17T01:30:00.000+0000,1000214.6690193443,525961.6960926001,1005463.8436748465
2025-04-17T01:40:00.000+0000,999309.1257869417,525961.6960926001,1004217.2332171865
2025-04-17T01:50:00.000+0000,999020.3350954689,525961.6960926001,1003385.3297475165
2025-04-17T02:00:00.000+0000,999143.2526017338,525961.6960926001,1004091.9100768059
2025-04-17T02:10:00.000+0000,997791.0001338427,525961.6960926001,1000849.6754090076
2025-04-17T02:20:00.000+0000,996892.9076280865,525961.6960926001,999584.9469299058
2025-04-17T02:30:00.000+0000,997556.6987989834,525961.6960926001,1000828.9787932318
2025-04-17T02:40:00.000+0000,998068.0571997315,525961.6960926001,1001899.8136785976
2025-04-17T02:50:00.000+0000,998724.523050576,525961.6960926001,1002360.229520533
2025-04-17T03:00:00.000+0000,999119.8512248242,523364.99335260014,1003500.2331432074
2025-04-17T03:10:00.000+0000,998165.0381574354,523364.99335260014,1001261.5396643744
2025-04-17T03:20:00.000+0000,995975.8958094864,523364.99335260014,995985.1915569043
2025-04-17T03:30:00.000+0000,996132.4499728808,523364.99335260014,996156.7597881679
2025-04-17T03:40:00.000+0000,995962.1159881698,523364.99335260014,995931.6141064726
2025-04-17T03:50:00.000+0000,996797.9315963329,523364.99335260014,998081.7458879806
2025-04-17T04:00:00.000+0000,996619.2359333204,523364.99335260014,997938.9789408639
2025-04-17T04:10:00.000+0000,996517.5576410801,523364.99335260014,997579.4413717906
2025-04-17T04:20:00.000+0000,996716.7369130857,523364.99335260014,997949.2224747362
2025-04-17T04:30:00.000+0000,996608.2598092495,523364.99335260014,998078.087781689
2025-04-17T04:40:00.000+0000,996835.4104772224,523364.99335260014,998553.9673680892
2025-04-17T04:50:00.000+0000,998563.894474909,524437.5867908401,1002640.9308368212
2025-04-17T05:00:00.000+0000,999244.1488287145,524437.5867908401,1003310.3193743387
2025-04-17T05:10:00.000+0000,999872.1019300218,524437.5867908401,1005126.1886703158
2025-04-17T05:20:00.000+0000,1000463.9549385256,524519.3457313201,1006773.2499673392
