date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-24T19:20:00.000+0000,1000000.0,1000000.0,999522.3173685925
2025-04-24T19:30:00.000+0000,999635.4397359295,544299.6699100017,999270.5528642847
2025-04-24T19:40:00.000+0000,993944.0453468494,544299.6699100017,998592.8370230899
2025-04-24T19:50:00.000+0000,993653.4209525136,544299.6699100017,999454.208717058
2025-04-24T20:00:00.000+0000,994961.2307270251,544299.6699100017,998834.1495061957
2025-04-24T20:10:00.000+0000,995663.5730133376,544299.6699100017,999614.3522886692
2025-04-24T20:20:00.000+0000,998206.5364637773,544299.6699100017,999132.9416717119
2025-04-24T20:30:00.000+0000,999901.8454307388,544299.6699100017,998771.7835572197
2025-04-24T20:40:00.000+0000,997697.9437736885,544299.6699100017,998690.2294810761
2025-04-24T20:50:00.000+0000,996123.7283043703,544299.6699100017,998737.0821863398
2025-04-24T21:00:00.000+0000,996196.3844029553,544299.6699100017,998404.5985437047
2025-04-24T21:10:00.000+0000,998787.785252451,544299.6699100017,998190.9456560111
2025-04-24T21:20:00.000+0000,999417.4714401767,544299.6699100017,992413.721669178
2025-04-24T21:30:00.000+0000,1003825.2747542722,544299.6699100017,993682.0386983674
2025-04-24T21:40:00.000+0000,1005351.0528245368,544299.6699100017,995115.7087370048
2025-04-24T21:50:00.000+0000,1003583.0877589921,544299.6699100017,996266.753100856
2025-04-24T22:00:00.000+0000,1002904.9641722097,544299.6699100017,995816.2178864246
2025-04-24T22:10:00.000+0000,1002251.0592849539,544299.6699100017,998002.0222601173
2025-04-24T22:20:00.000+0000,1001815.1226934486,544299.6699100017,997871.309954381
2025-04-24T22:30:00.000+0000,1001233.8739047775,544299.6699100017,999000.9805086587
2025-04-24T22:40:00.000+0000,1003050.276369377,544299.6699100017,996585.051135662
2025-04-24T22:50:00.000+0000,1003849.4934538006,544299.6699100017,995779.3925270173
2025-04-24T23:00:00.000+0000,1002904.9641722097,544299.6699100017,996448.7704485436
2025-04-24T23:10:00.000+0000,1001887.7787920343,544299.6699100017,998987.781344179
2025-04-24T23:20:00.000+0000,1000749.4999142165,544299.6699100017,998879.2177142451
2025-04-24T23:30:00.000+0000,998230.7551633066,544299.6699100017,1002756.9867356664
2025-04-24T23:40:00.000+0000,996704.9770930426,544299.6699100017,1003435.6736958796
2025-04-24T23:50:00.000+0000,997286.2258817151,544299.6699100017,1002931.1055168315
2025-04-25T00:00:00.000+0000,994283.1071402422,544299.6699100017,1002284.0467603081
2025-04-25T00:10:00.000+0000,995251.8551213627,544299.6699100017,1001160.8363522326
2025-04-25T00:20:00.000+0000,994573.7315345779,544299.6699100017,1002829.5205462605
2025-04-25T00:30:00.000+0000,994186.2323421299,544299.6699100017,1002837.372087962
2025-04-25T00:40:00.000+0000,994137.7949430741,544299.6699100017,1003932.8661046205
2025-04-25T00:50:00.000+0000,993726.0770510981,544299.6699100017,1003519.5107855337
