date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-18T18:40:00.000+0000,1000000.0,1000000.0,999259.9825098331
2025-04-18T18:50:00.000+0000,999801.40943224,915594.5316699999,999366.528737469
2025-04-18T19:00:00.000+0000,999555.234170128,915594.5316699999,998523.2718910596
2025-04-18T19:10:00.000+0000,999440.125101112,863532.7889700007,999417.2515556687
2025-04-18T19:20:00.000+0000,999485.0509213287,863532.7889700007,999800.8102304246
2025-04-18T19:30:00.000+0000,999500.8294392935,841405.5185699973,998319.4305690354
2025-04-18T19:40:00.000+0000,999348.9224421893,841405.5185699973,997988.6105895996
2025-04-18T19:50:00.000+0000,999659.7602828213,841405.5185699973,998272.037632913
2025-04-18T20:00:00.000+0000,999590.2224576214,841405.5185699973,998765.9799296419
2025-04-18T20:10:00.000+0000,999636.0015750054,841405.5185699973,997892.6838337395
2025-04-18T20:20:00.000+0000,999415.5312225013,841405.5185699973,998237.1004478934
2025-04-18T20:30:00.000+0000,999799.6166381573,841405.5185699973,997787.0480990903
2025-04-18T20:40:00.000+0000,1000079.0730540293,841405.5185699973,997222.1661723646
2025-04-18T20:50:00.000+0000,999972.0548514576,811458.7505699937,998774.1250319674
2025-04-18T21:00:00.000+0000,1000049.9327992176,811458.7505699937,998829.5661722864
2025-04-18T21:10:00.000+0000,1000694.8270107856,811458.7505699937,999157.4633641192
2025-04-18T21:20:00.000+0000,1000640.5638660574,811458.7505699937,998916.50356033
2025-04-18T21:30:00.000+0000,1000208.5236749377,811458.7505699937,999146.3877830136
2025-04-18T21:40:00.000+0000,1000088.6159778975,811458.7505699937,1000336.5669199098
2025-04-18T21:50:00.000+0000,1000000.9464996338,811458.7505699937,999924.0844434323
2025-04-18T22:00:00.000+0000,1000136.4844024978,811458.7505699937,999915.2102656602
2025-04-18T22:10:00.000+0000,1000577.6848295617,811458.7505699937,998756.6992620256
2025-04-18T22:20:00.000+0000,1000315.2856869459,811458.7505699937,999750.2888731147
2025-04-18T22:30:00.000+0000,1000397.8800185779,811458.7505699937,999720.2342568816
2025-04-18T22:40:00.000+0000,1000424.1610169455,811458.7505699937,999481.9420141713
2025-04-18T22:50:00.000+0000,1000623.3854897615,811458.7505699937,998757.3946842828
2025-04-18T23:00:00.000+0000,1000704.1276343297,811458.7505699937,996149.6679070896
2025-04-18T23:10:00.000+0000,1001057.5922162656,811458.7505699937,995339.9538873858
2025-04-18T23:20:00.000+0000,1001335.8170881617,811458.7505699937,995430.7765011241
2025-04-18T23:30:00.000+0000,1000878.3125748096,811458.7505699937,996954.5589942887
2025-04-18T23:40:00.000+0000,1000641.0047130976,811458.7505699937,997924.636748582
2025-04-18T23:50:00.000+0000,1000938.0405541697,811458.7505699937,997547.6149149918
2025-04-19T00:00:00.000+0000,1000950.5984498097,811458.7505699937,997024.9621092918
2025-04-19T00:10:00.000+0000,1001185.7782753138,811458.7505699937,995975.017971341
2025-04-19T00:20:00.000+0000,1001307.2797463136,811458.7505699937,996125.4464401121
2025-04-19T00:30:00.000+0000,1000576.1777561854,811458.7505699937,997027.3283592399
2025-04-19T00:40:00.000+0000,1000667.6078935137,811458.7505699937,997286.9889293286
2025-04-19T00:50:00.000+0000,1000949.7041558179,811458.7505699937,997681.9505055666
2025-04-19T01:00:00.000+0000,1000621.0980311938,811458.7505699937,997788.3809119833
2025-04-19T01:10:00.000+0000,1000689.0730376494,811458.7505699937,999142.82090348
2025-04-19T01:20:00.000+0000,1000625.8886156578,811458.7505699937,999199.3367362199
2025-04-19T01:30:00.000+0000,1000646.0815483776,811458.7505699937,999434.1626061834
2025-04-19T01:40:00.000+0000,1000745.5934451218,811458.7505699937,998862.4342102751
2025-04-19T01:50:00.000+0000,1000628.0844375938,811458.7505699937,999096.1475627166
2025-04-19T02:00:00.000+0000,1000334.3312183216,811458.7505699937,999965.8077255632
2025-04-19T02:10:00.000+0000,999889.3964910895,811458.7505699937,1003700.584074274
2025-04-19T02:20:00.000+0000,999612.6932009538,811458.7505699937,1006199.4964297477
2025-04-19T02:30:00.000+0000,999634.2639905055,811458.7505699937,1007009.7131851702
2025-04-19T02:40:00.000+0000,999647.2308087457,811458.7505699937,1006524.6415254767
2025-04-19T02:50:00.000+0000,999706.9071094816,811458.7505699937,1008130.183387658
2025-04-19T03:00:00.000+0000,999650.8888100015,811458.7505699937,1008207.7644797456
2025-04-19T03:10:00.000+0000,999210.1651012577,811458.7505699937,1009333.4534093777
2025-04-19T03:20:00.000+0000,998824.7376600815,811458.7505699937,1011509.6011069953
2025-04-19T03:30:00.000+0000,998352.5234139377,811458.7505699937,1012716.2151725634
2025-04-19T03:40:00.000+0000,998557.3160386656,811458.7505699937,1011831.6284138944
2025-04-19T03:50:00.000+0000,998490.0841272579,811458.7505699937,1013256.6883905748
2025-04-19T04:00:00.000+0000,998464.9527484576,811458.7505699937,1012433.8935606168
2025-04-19T04:10:00.000+0000,998270.6465079057,811458.7505699937,1014067.9367894589
2025-04-19T04:20:00.000+0000,998364.850374474,811458.7505699937,1013721.1438773327
2025-04-19T04:30:00.000+0000,998391.8373775859,811458.7505699937,1015702.6914224678
2025-04-19T04:40:00.000+0000,998217.4333025537,811458.7505699937,1015295.2315617971
2025-04-19T04:50:00.000+0000,998546.4706818981,811458.7505699937,1013737.8299921689
2025-04-19T05:00:00.000+0000,998679.0418600416,811458.7505699937,1013413.3696445718
2025-04-19T05:10:00.000+0000,999209.7195579779,811458.7505699937,1012299.4304172853
2025-04-19T05:20:00.000+0000,998846.4272345299,811458.7505699937,1014293.3172505894
2025-04-19T05:30:00.000+0000,998785.7765739057,811458.7505699937,1014264.6227083056
2025-04-19T05:40:00.000+0000,998545.5809242737,811458.7505699937,1014142.9177267791
2025-04-19T05:50:00.000+0000,998531.6564727537,811458.7505699937,1013964.3731168674
2025-04-19T06:00:00.000+0000,998995.4756803056,811458.7505699937,1012534.7927444697
2025-04-19T06:10:00.000+0000,999369.7185562977,811458.7505699937,1012351.5853716668
2025-04-19T06:20:00.000+0000,999339.5948045938,811458.7505699937,1012633.673026487
2025-04-19T06:30:00.000+0000,999521.6373939216,811458.7505699937,1010712.1733206362
2025-04-19T06:40:00.000+0000,999722.7426209296,811458.7505699937,1011011.2518789211
2025-04-19T06:50:00.000+0000,999611.3513353056,811458.7505699937,1011568.2250278352
2025-04-19T07:00:00.000+0000,999553.6193478737,811458.7505699937,1012164.3567981285
2025-04-19T07:10:00.000+0000,999344.4751671777,811458.7505699937,1013093.6830783903
2025-04-19T07:20:00.000+0000,999198.6745210818,811458.7505699937,1013244.1629711712
2025-04-19T07:30:00.000+0000,999095.1664038739,811458.7505699937,1014151.3144996703
2025-04-19T07:40:00.000+0000,999233.3266072178,811458.7505699937,1015833.6876879625
2025-04-19T07:50:00.000+0000,999199.2330838739,811458.7505699937,1015096.8453078277
2025-04-19T08:00:00.000+0000,998967.6911856977,811458.7505699937,1014571.3648190603
2025-04-19T08:10:00.000+0000,999080.6785134658,811458.7505699937,1013849.0395568814
2025-04-19T08:20:00.000+0000,998802.5531918657,811458.7505699937,1015049.3903157292
2025-04-19T08:30:00.000+0000,998651.439789378,811458.7505699937,1014738.7404795424
2025-04-19T08:40:00.000+0000,998126.5117380416,811458.7505699937,1016751.3469916967
2025-04-19T08:50:00.000+0000,998333.7509639218,811458.7505699937,1016484.9480719278
2025-04-19T09:00:00.000+0000,998283.0865878736,811458.7505699937,1016525.1731106092
2025-04-19T09:10:00.000+0000,997937.3044250817,811458.7505699937,1018037.9284902749
2025-04-19T09:20:00.000+0000,998400.4453057298,811458.7505699937,1017819.8412064215
2025-04-19T09:30:00.000+0000,998538.9874033139,811458.7505699937,1016338.9241515012
2025-04-19T09:40:00.000+0000,998667.6159780656,811458.7505699937,1017692.1139407689
2025-04-19T09:50:00.000+0000,998970.1648252018,811458.7505699937,1016566.8905583947
2025-04-19T10:00:00.000+0000,999277.1427962016,811458.7505699937,1015837.3082129024
2025-04-19T10:10:00.000+0000,999140.4012170496,811458.7505699937,1016947.9866424704
2025-04-19T10:20:00.000+0000,999147.2459768577,811458.7505699937,1016314.4675435077
2025-04-19T10:30:00.000+0000,999315.8470080419,811458.7505699937,1014397.7759979034
2025-04-19T10:40:00.000+0000,999244.8625210978,811458.7505699937,1014668.1198530358
2025-04-19T10:50:00.000+0000,999342.4401365058,811458.7505699937,1014672.1457358461
