date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-01-22T09:50:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000,1000000,1000000.0,1000000.0
2025-01-22T10:00:00.000+0000,999200.217538815,271.9235199991366,999999.9999999999,1000000,1000000,999204.0477171123,5059.646390000601
2025-01-22T10:10:00.000+0000,999200.2175388159,239752.747830112,999999.9999999999,1000000,1000000,999204.0477171123,300768.20539779234
2025-01-22T10:20:00.000+0000,999200.2175388159,239752.747830112,999999.9999999999,1000000,1000000,999204.0477171123,300768.20539779234
2025-01-22T10:30:00.000+0000,999200.2175388159,239752.747830112,999999.9999999999,1000000,1000000,999204.0477171117,300768.20539779234
2025-01-22T10:40:00.000+0000,999200.2175388159,717503.324063952,999999.9999999999,1000000,1000000,999204.0477171112,601619.9197670397
2025-01-22T10:50:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:00:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:10:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:20:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:30:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:40:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T11:50:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:00:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:10:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:20:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:30:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:40:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T12:50:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:00:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:10:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:20:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:30:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:40:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T13:50:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:00:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:10:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:20:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:30:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:40:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T14:50:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T15:00:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T15:10:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
2025-01-22T15:20:00.000+0000,999200.2175388169,996910.9694435849,999999.9999999999,1000000,1000000,999204.0477171112,899807.4636790871
