date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-30T23:50:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:00:00.000+0000,1000000.0,1000000.0,1000013.784321509,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:10:00.000+0000,1000000.0,1000000.0,1001181.7741742448,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:20:00.000+0000,1000000.0,1000000.0,1001494.033612171,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:30:00.000+0000,1000000.0,1000000.0,1000395.2630199848,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:40:00.000+0000,1000000.0,1000000.0,1001379.8325887213,1000000.0,1000000.0,1000000,1000000
2025-05-01T00:50:00.000+0000,1000000.0,1000000.0,1001628.4638501725,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:00:00.000+0000,1000000.0,1000000.0,1002932.0975413504,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:10:00.000+0000,1000000.0,1000000.0,1004114.3917374673,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:20:00.000+0000,1000000.0,1000000.0,1005050.6829253365,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:30:00.000+0000,1000000.0,1000000.0,1005738.9828365112,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:40:00.000+0000,1000000.0,1000000.0,1005001.9075786754,1000000.0,1000000.0,1000000,1000000
2025-05-01T01:50:00.000+0000,1000000.0,1000000.0,1005838.3978541843,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:00:00.000+0000,1000000.0,1000000.0,1007489.6991235907,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:10:00.000+0000,1000000.0,1000000.0,1008583.6079343149,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:20:00.000+0000,1000000.0,1000000.0,1009610.3060623696,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:30:00.000+0000,1000000.0,1000000.0,1010269.7225595262,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:40:00.000+0000,1000000.0,1000000.0,1009528.9434792334,1000000.0,1000000.0,1000000,1000000
2025-05-01T02:50:00.000+0000,1000000.0,1000000.0,1007685.9902957695,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:00:00.000+0000,1000000.0,1000000.0,1008137.3310974103,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:10:00.000+0000,1000000.0,1000000.0,1007091.8473821238,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:20:00.000+0000,1000000.0,1000000.0,1007751.5982002644,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:30:00.000+0000,1000000.0,1000000.0,1007267.6584855495,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:40:00.000+0000,1000000.0,1000000.0,1007506.7668935042,1000000.0,1000000.0,1000000,1000000
2025-05-01T03:50:00.000+0000,1000000.0,1000000.0,1007188.1151916392,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:00:00.000+0000,1000000.0,1000000.0,1006754.9478543382,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:10:00.000+0000,1000000.0,1000000.0,1005915.0655793096,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:20:00.000+0000,1000000.0,1000000.0,1005845.9127807859,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:30:00.000+0000,1000000.0,1000000.0,1005751.6088221156,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:40:00.000+0000,1000000.0,1000000.0,1006586.8333688192,1000000.0,1000000.0,1000000,1000000
2025-05-01T04:50:00.000+0000,1000000.0,1000000.0,1006962.7930887833,1000000.0,1000000.0,1000000,1000000
2025-05-01T05:00:00.000+0000,1000000.0,1000000.0,1006453.3741883163,1000000.0,1000000.0,1000000,1000000
2025-05-01T05:10:00.000+0000,1000000.0,1000000.0,1007672.4424259911,1000000.0,1000000.0,1000000,1000000
