date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T05:50:00.000+0000,1000000.0,1000000.0,999848.6230811877,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T06:00:00.000+0000,999998.4485435999,998060.6795,999059.8942339246,999999.22548704,999031.8588,1000000.0,1000000.0
2025-04-22T06:10:00.000+0000,999130.6543316797,60608.92494999989,997058.6976033351,999565.7747682391,530782.7617399989,1000000.0,1000000.0
2025-04-22T06:20:00.000+0000,996483.45464544,3911.392349999905,996124.9056334081,998248.577499439,504873.7926399989,999979.558152,995803.3417999999
2025-04-22T06:30:00.000+0000,999666.6312652796,19983.224989679693,994339.2825222732,999847.3177831993,512901.612442239,999954.88050992,995803.3417999999
2025-04-22T06:40:00.000+0000,999371.9291157594,21457.857139439693,994683.8503158672,999704.5007283189,513636.89734335896,999958.6770702399,995803.3417999999
2025-04-22T06:50:00.000+0000,995739.3243263196,21457.857139439693,996854.4280777164,997877.9142674393,513636.89734335896,999966.2701908799,995803.3417999999
2025-04-22T07:00:00.000+0000,990661.3465610394,26747.288206639663,998485.0303625057,995341.2842961592,516279.0878985591,999979.558152,995803.3417999999
2025-04-22T07:10:00.000+0000,987244.6347189599,26747.288206639663,997903.9049288925,993620.3651337591,516279.0878985591,999979.558152,995803.3417999999
2025-04-22T07:20:00.000+0000,978462.6418382393,31933.879611439777,1000170.2342631642,989224.8878309589,518870.02748735907,1000021.3203155199,995803.3417999999
2025-04-22T07:30:00.000+0000,972896.2768955196,48307.31267759976,1003071.5507073121,986422.6461191991,527048.762161039,1000047.89623776,995803.3417999999
2025-04-22T07:40:00.000+0000,969516.4041585594,66363.26914735977,1007173.3495360182,984738.3010740791,534629.463544399,1000051.38904128,998309.27454872
2025-04-22T07:50:00.000+0000,966568.2607615996,71329.98699183966,1008074.4782412734,983266.0529155991,537110.543691119,1000055.27942648,998309.27454872
2025-04-22T08:00:00.000+0000,962014.2552828798,86598.62630063965,1009756.0238355773,980992.6026319991,544738.0032379989,1000056.83558056,998309.27454872
2025-04-22T08:10:00.000+0000,953249.5119189597,16308.71677727968,1010489.9759095111,976614.250353439,508591.38591943897,1000056.83558056,1000056.83558056
2025-04-22T08:20:00.000+0000,963020.4147383193,37246.31448831967,1007523.062412131,981495.3011863988,519059.11353263893,1000056.83558056,1000056.83558056
2025-04-22T08:30:00.000+0000,957080.0680205598,107065.49682535965,1007484.2256529592,978527.9665547189,553949.717240079,1000056.83558056,1000056.83558056
2025-04-22T08:40:00.000+0000,959268.1930219999,117001.56580599966,1007769.7132892613,979620.952803919,558919.894314959,1000056.83558056,1000056.83558056
2025-04-22T08:50:00.000+0000,960067.0461492001,107872.27680599966,1008371.3341970111,980019.8948269591,554352.591314959,1000056.83558056,1000056.83558056
2025-04-22T09:00:00.000+0000,957153.6627219997,18035.785166799673,1008493.513418651,978564.661345839,509412.56785655895,1000056.83558056,1000056.83558056
2025-04-22T09:10:00.000+0000,954525.8723475998,12927.230366799673,1006923.9236927228,977252.0400238389,506857.2412565589,1000056.83558056,1000056.83558056
2025-04-22T09:20:00.000+0000,941430.8333663195,28769.02408495964,1008014.9646670371,970710.4397939988,514774.3451024789,1000056.83558056,1000056.83558056
2025-04-22T09:30:00.000+0000,938042.9966056794,34117.80753223955,1008365.7961884937,969018.6227312787,517446.1590399989,1000056.83558056,1000056.83558056
2025-04-22T09:40:00.000+0000,938594.42530952,42495.46943671955,1009754.536499914,969294.192998559,521637.12008679885,1000056.83558056,1000056.83558056
2025-04-22T09:50:00.000+0000,928892.0021625594,92579.19537671955,1008789.283478135,964447.435508959,546688.5058324789,1000056.83558056,1000056.83558056
2025-04-22T10:00:00.000+0000,925074.3875994398,99293.14161935957,1009254.0595128062,962540.6164855191,550047.074726159,1000056.83558056,1000056.83558056
2025-04-22T10:10:00.000+0000,922589.7959641595,135680.42258807956,1009452.8351403102,961299.4914804791,568250.788695279,1000056.83558056,1000056.83558056
2025-04-22T10:20:00.000+0000,928760.5006479992,131144.85875855954,1005768.9120430318,964381.8441240794,565961.1594245593,1000056.83558056,1000056.83558056
2025-04-22T10:30:00.000+0000,925132.6948306399,131144.85875855954,1007261.6156474744,962569.6370098394,565961.1594245593,1000056.83558056,1000056.83558056
2025-04-22T10:40:00.000+0000,923479.6972874396,146409.77095143954,1010091.1607583701,961743.9181138393,573609.9998530394,1000056.83558056,1000056.83558056
2025-04-22T10:50:00.000+0000,917955.3337413599,89192.11255143955,1010043.6387721708,958983.4810380792,544940.9615530394,1000056.83558056,1000056.83558056
2025-04-22T11:00:00.000+0000,918157.3126288797,92308.78321863952,1010320.2756267752,959084.1107698394,546501.3886119195,1000056.83558056,1000056.83558056
2025-04-22T11:10:00.000+0000,912075.8274123195,107723.86687815958,1010646.6809265356,956046.3993846396,554219.1252792794,1000056.83558056,1000056.83558056
2025-04-22T11:20:00.000+0000,906946.6836927198,138137.3552873595,1012271.3780391873,953484.2574062395,569455.7077210397,1000056.83558056,1000056.83558056
2025-04-22T11:30:00.000+0000,911512.2433207193,154682.01626287945,1012082.3778377315,955764.9494917595,577709.1064593595,1000056.83558056,1000056.83558056
2025-04-22T11:40:00.000+0000,907890.2011581592,157370.07407727928,1011493.5329610058,953955.5501494395,579036.8368601595,1000056.83558056,1000056.83558056
2025-04-22T11:50:00.000+0000,905474.5850982394,150758.6826379193,1012577.9126053626,952748.8376923195,575692.2251283996,1000056.83558056,1000056.83558056
2025-04-22T12:00:00.000+0000,901731.4303798391,150065.43952391925,1011699.6521316883,950879.2398895196,575315.1316295996,1000056.83558056,1000056.83558056
2025-04-22T12:10:00.000+0000,898871.5545414393,168315.09683807928,1012679.397143651,949450.6986757596,584457.1824715995,1000056.83558056,1000056.83558056
2025-04-22T12:20:00.000+0000,881966.0682498392,88395.17165911938,1012569.7351694731,941002.3530577593,543948.0408257594,1000056.83558056,1000056.83558056
2025-04-22T12:30:00.000+0000,889287.2647033596,105263.47141495948,1013947.7800587803,944670.9441351198,552431.1882742397,1000056.83558056,1000056.83558056
2025-04-22T12:40:00.000+0000,896052.0789363196,214312.66731087925,1011660.7352745063,948054.7861963992,607383.0882568801,1000056.83558056,1000056.83558056
2025-04-22T12:50:00.000+0000,891971.8010013595,198664.49052167946,1016304.4764284653,946014.0031064792,599338.0846914392,1000056.83558056,1000056.83558056
2025-04-22T13:00:00.000+0000,898581.9645366392,204760.77349055943,1017604.5238133817,949319.895175359,602383.437958239,1000056.83558056,1000056.83558056
2025-04-22T13:10:00.000+0000,896728.5453853596,261473.75370727968,1021384.9050688837,948393.7078544793,631067.5803078392,1000056.83558056,1000056.83558056
2025-04-22T13:20:00.000+0000,900829.6504744797,273860.68782599975,1020781.6408597433,950442.5626583191,637255.0571631992,1000056.83558056,1000056.83558056
2025-04-22T13:30:00.000+0000,903287.3375327198,291766.7003290396,1020078.9871701901,951670.1853319991,646069.739629439,1000056.83558056,1000056.83558056
2025-04-22T13:40:00.000+0000,901381.8795282397,288201.50276679953,1024454.5606139651,950718.7183464792,644245.936301119,1000056.83558056,1000056.83558056
2025-04-22T13:50:00.000+0000,904913.2135322402,381500.0887846401,1023694.4334434485,952484.041243279,690919.246914239,1000048.5677737598,989722.0770805598
2025-04-22T14:00:00.000+0000,905883.4916253597,364332.2748690397,1025281.3647286227,952966.9459529591,685684.600227199,1000048.5980346397,968466.1787989598
2025-04-22T14:10:00.000+0000,902979.4041947188,364332.2748690397,1030152.9077891883,951406.3931527992,685684.600227199,1000073.3282346397,990853.0853346398
2025-04-22T14:20:00.000+0000,905236.4792889593,465767.36916247895,1028495.6831990101,952549.251193839,733439.8116283191,1000226.7802747196,996955.0058898396
2025-04-22T14:30:00.000+0000,899325.1607767193,250985.4940796794,1029052.4012799104,949506.9210219189,619252.2394993588,1000226.0001992796,997456.0415403997
2025-04-22T14:40:00.000+0000,899519.6311758396,261534.89909863943,1032635.435099256,949597.9210635988,624542.9393507189,1000257.03475176,1000175.45416848
2025-04-22T14:50:00.000+0000,903253.5709060794,321709.0332490396,1035749.8395307871,951531.7222839989,655498.9450184789,1000230.01471072,996008.83116128
2025-04-22T15:00:00.000+0000,902877.3958870389,469823.7599719988,1043536.0861910933,951346.0904083991,732204.5738844791,1000165.3595974401,973862.9411792001
2025-04-22T15:10:00.000+0000,904937.6513046385,512466.1661694384,1050292.355282026,952455.1135795196,751246.8535270395,1000165.3595974402,1000165.3595974402
2025-04-22T15:20:00.000+0000,906820.2986159981,515383.5076542381,1049011.3770605994,953439.8841479993,752702.1335485594,1000163.4697149602,997803.0064974403
2025-04-22T15:30:00.000+0000,905635.1376691979,4.166627037899835,1043548.310579337,950585.3203920003,181729.2528079201,1000159.2985460004,997799.7240233603
2025-04-22T15:40:00.000+0000,906793.4389862373,5503.588853677758,1040325.5849543838,951759.2372066402,185442.09515592008,1000156.7268050403,999670.0742388003
2025-04-22T15:50:00.000+0000,900607.9065740776,18581.869152637988,1043771.726292651,945204.6917412798,192239.67144096014,1000156.7268050403,999683.8614002402
2025-04-22T16:00:00.000+0000,897279.8585441582,18581.869152637988,1048023.0357472976,941374.9025256793,192239.67144096014,1000157.1452700002,999683.8614002402
2025-04-22T16:10:00.000+0000,898869.9443570382,51603.71142791839,1042998.0401474473,942964.6445138406,209413.61678456026,1000158.1914324003,999683.8614002402
2025-04-22T16:20:00.000+0000,902164.4826162389,88852.81448695896,1044848.6002191841,945897.5529085592,229592.8971352001,1000158.7274032803,999911.3864344803
2025-04-22T16:30:00.000+0000,906477.2617305582,131194.67024199836,1045315.010273281,950318.8077727996,251526.0959276797,1000157.5592485284,998723.4749944805
2025-04-22T16:40:00.000+0000,906896.6504111179,151911.05396591823,1042953.4553911784,950912.0656864793,265207.3516600796,1000159.6245549605,998970.5981376806
2025-04-22T16:50:00.000+0000,909257.418784319,230678.06510575878,1042323.4029124707,953188.6701447202,303928.71576728026,1000160.2522524005,1000160.2522524005
2025-04-22T17:00:00.000+0000,904739.1474500146,230096.47402575877,1045219.1815821687,948789.4819130395,303928.71576728026,1000144.4846678246,999602.9375324006
2025-04-22T17:10:00.000+0000,904350.7597889111,230232.03807768677,1041725.0965837666,948892.42759056,307390.4496628803,1000135.4812962885,999732.8351710886
2025-04-22T17:20:00.000+0000,901424.2261902709,230652.21533675076,1042388.5861862954,945630.0691668795,310840.90728672023,1000135.4812962885,1000135.4812962885
2025-04-22T17:30:00.000+0000,899806.4490168309,229138.03681803073,1044071.5254728183,944066.5907510393,312360.02521936025,1000122.6558186888,993977.2915462888
2025-04-22T17:40:00.000+0000,901747.5636404465,207314.38569587067,1044735.6280339127,945839.8701799203,302428.63787864015,1000176.6113397126,993977.2915462888
2025-04-22T17:50:00.000+0000,902011.5959354946,215131.63934590263,1046199.22236868,946967.6390424802,309514.08658136,1000100.2738985607,994831.6272904807
2025-04-22T18:00:00.000+0000,902722.4016856145,235980.65717758253,1048016.242298627,947622.2987953598,321287.7565042399,1000060.3732046726,994831.6272904807
2025-04-22T18:10:00.000+0000,907802.8557083026,243691.7481657425,1047064.9933918389,952958.4029941597,324278.7368042399,1000013.4822474727,996757.4960419367
2025-04-22T18:20:00.000+0000,909236.0236559827,243853.10421755048,1046652.8618645349,954399.07953016,324347.1420362399,999955.2678163046,996784.2935068005
