date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-19T12:40:00.000+0000,1000000.0,1000000.0,999856.0918861778
2025-04-19T12:50:00.000+0000,999953.6382089052,938192.5305200093,1000126.4825686543
2025-04-19T13:00:00.000+0000,999863.7296795133,938192.5305200093,999601.246426878
2025-04-19T13:10:00.000+0000,999794.4617782013,938192.5305200093,1001447.8877086012
2025-04-19T13:20:00.000+0000,999754.1676193373,938192.5305200093,1002053.0470795329
2025-04-19T13:30:00.000+0000,999743.5629298813,938192.5305200093,1002598.7528291293
2025-04-19T13:40:00.000+0000,999713.0942843133,938192.5305200093,1003085.8482027312
2025-04-19T13:50:00.000+0000,999778.6884269853,938192.5305200093,1003389.1946714977
2025-04-19T14:00:00.000+0000,999722.0930994975,938192.5305200093,1004204.8446744989
2025-04-19T14:10:00.000+0000,999678.0769606013,938192.5305200093,1004207.2137751454
2025-04-19T14:20:00.000+0000,999691.2932590975,938192.5305200093,1004716.2626620876
2025-04-19T14:30:00.000+0000,999587.4653279452,938192.5305200093,1004179.9292885961
2025-04-19T14:40:00.000+0000,999580.3053205375,938192.5305200093,1003964.1264976505
2025-04-19T14:50:00.000+0000,999574.9426141375,938192.5305200093,1004353.2954669879
2025-04-19T15:00:00.000+0000,999578.2585792412,938192.5305200093,1004438.7333994437
2025-04-19T15:10:00.000+0000,999626.8693994493,938192.5305200093,1004452.1981370454
2025-04-19T15:20:00.000+0000,999698.7968514174,938192.5305200093,1006408.5531270467
2025-04-19T15:30:00.000+0000,999504.6131027932,938192.5305200093,1003091.2404439568
2025-04-19T15:40:00.000+0000,999433.2539957853,938192.5305200093,1000967.3152190769
2025-04-19T15:50:00.000+0000,999460.3604932253,938192.5305200093,1001995.274283502
2025-04-19T16:00:00.000+0000,999555.5487416572,938192.5305200093,1003247.7680388571
2025-04-19T16:10:00.000+0000,999658.0859462173,938192.5305200093,1002340.3533047471
2025-04-19T16:20:00.000+0000,999534.2110654655,938192.5305200093,1000787.088245652
2025-04-19T16:30:00.000+0000,999471.0249947932,938192.5305200093,999221.4269411531
2025-04-19T16:40:00.000+0000,999363.5390723773,938192.5305200093,996738.9686757228
2025-04-19T16:50:00.000+0000,999355.9331020254,938192.5305200093,996626.835605236
2025-04-19T17:00:00.000+0000,999436.5160640413,938192.5305200093,997386.1545838828
2025-04-19T17:10:00.000+0000,999417.8667354496,938192.5305200093,997313.8318831401
2025-04-19T17:20:00.000+0000,999537.8905595132,938192.5305200093,999302.383303039
2025-04-19T17:30:00.000+0000,999548.1877751453,938192.5305200093,1001060.2116023995
2025-04-19T17:40:00.000+0000,999596.9537511293,938192.5305200093,1004054.7378488726
2025-04-19T17:50:00.000+0000,999603.0283875292,938192.5305200093,1002252.9238195019
2025-04-19T18:00:00.000+0000,999724.954788313,938192.5305200093,1004526.2821950596
2025-04-19T18:10:00.000+0000,999831.7439685696,938192.5305200093,1004787.4574509314
2025-04-19T18:20:00.000+0000,999843.2795726974,938192.5305200093,1004361.9857416467
2025-04-19T18:30:00.000+0000,999844.4251754814,938192.5305200093,1004684.1271668244
2025-04-19T18:40:00.000+0000,999845.1995354975,938192.5305200093,1003470.1875109059
2025-04-19T18:50:00.000+0000,999867.2550969215,938192.5305200093,1003305.1537532324
2025-04-19T19:00:00.000+0000,999858.2550427291,938192.5305200093,1002322.601085902
2025-04-19T19:10:00.000+0000,999742.2182864572,938192.5305200093,1002598.8117359832
2025-04-19T19:20:00.000+0000,999740.1357138492,938192.5305200093,1002541.6635664377
2025-04-19T19:30:00.000+0000,999880.6838653053,938192.5305200093,1003058.4884800671
2025-04-19T19:40:00.000+0000,999879.7101049374,938192.5305200093,1003734.4623565706
2025-04-19T19:50:00.000+0000,999780.2431821853,938192.5305200093,1003060.8191750486
2025-04-19T20:00:00.000+0000,999883.3103824094,938192.5305200093,1001980.8345731662
2025-04-19T20:10:00.000+0000,1000012.1462711775,938192.5305200093,1002029.7402867407
2025-04-19T20:20:00.000+0000,1000020.4784800735,938192.5305200093,1002359.7890194354
2025-04-19T20:30:00.000+0000,1000030.9760552894,938192.5305200093,1003502.2659340873
2025-04-19T20:40:00.000+0000,1000046.9047421374,938192.5305200093,1004853.7533818877
2025-04-19T20:50:00.000+0000,1000058.8496185851,938192.5305200093,1003868.8574183611
2025-04-19T21:00:00.000+0000,1000122.7542139773,938192.5305200093,1003830.6528414101
2025-04-19T21:10:00.000+0000,1000228.0357812895,938192.5305200093,1005130.1749938098
2025-04-19T21:20:00.000+0000,1000285.2365240572,938192.5305200093,1005443.6282883441
2025-04-19T21:30:00.000+0000,1000190.0638231774,938192.5305200093,1004611.7286807115
2025-04-19T21:40:00.000+0000,1000218.1931616891,938192.5305200093,1005442.8635290528
2025-04-19T21:50:00.000+0000,1000232.0529050176,938192.5305200093,1006272.3041271123
2025-04-19T22:00:00.000+0000,1000235.8817594813,938192.5305200093,1005313.3097957757
2025-04-19T22:10:00.000+0000,1000149.1249405055,938192.5305200093,1005255.4572206363
2025-04-19T22:20:00.000+0000,1000152.5904458816,938192.5305200093,1004777.9558459161
2025-04-19T22:30:00.000+0000,1000032.8392435454,938192.5305200093,1005049.2529654312
2025-04-19T22:40:00.000+0000,1000050.1407712414,938192.5305200093,1005947.9277276591
2025-04-19T22:50:00.000+0000,1000057.2161464093,938192.5305200093,1006065.6553906556
2025-04-19T23:00:00.000+0000,1000039.0492915292,938192.5305200093,1006377.1091223252
2025-04-19T23:10:00.000+0000,999957.6440278811,938192.5305200093,1005201.2564138414
2025-04-19T23:20:00.000+0000,999916.9919755613,938192.5305200093,1004534.9533550909
2025-04-19T23:30:00.000+0000,999918.5845005211,938192.5305200093,1004661.3012677967
2025-04-19T23:40:00.000+0000,999887.9880972416,938192.5305200093,1005530.3263550671
2025-04-19T23:50:00.000+0000,999852.2150386015,938192.5305200093,1005574.6477781921
2025-04-20T00:00:00.000+0000,999912.8588047455,938192.5305200093,1004347.4634126888
2025-04-20T00:10:00.000+0000,1000050.8675493534,938192.5305200093,1006996.95939068
2025-04-20T00:20:00.000+0000,1000116.9599930651,938192.5305200093,1007383.9279033083
2025-04-20T00:30:00.000+0000,1000057.2544357533,938192.5305200093,1006880.212177275
2025-04-20T00:40:00.000+0000,1000022.5461046497,938192.5305200093,1006885.7318187734
2025-04-20T00:50:00.000+0000,999978.6046859293,938192.5305200093,1006608.6860359855
2025-04-20T01:00:00.000+0000,999954.5105366816,938192.5305200093,1006334.4075566751
2025-04-20T01:10:00.000+0000,1000043.1899363614,938192.5305200093,1009355.9880639061
2025-04-20T01:20:00.000+0000,999941.7298494171,938192.5305200093,1009991.5293717589
2025-04-20T01:30:00.000+0000,999940.1005339134,938192.5305200093,1009230.8240278543
2025-04-20T01:40:00.000+0000,1000012.4394564412,938192.5305200093,1010968.8193315559
2025-04-20T01:50:00.000+0000,1000099.0010117536,938192.5305200093,1012042.6319267272
2025-04-20T02:00:00.000+0000,1000085.2953050974,938192.5305200093,1010986.9438628207
2025-04-20T02:10:00.000+0000,1000085.4487022811,938192.5305200093,1010664.4078573517
