date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-19T13:30:00.000+0000,1000000.0,1000000.0,999169.3555262492
2025-04-19T13:40:00.000+0000,999509.5408000043,605623.4020000048,999654.960140149
2025-04-19T13:50:00.000+0000,999700.1941552055,605623.4020000048,999957.9410315022
2025-04-19T14:00:00.000+0000,999831.2971888054,605623.4020000048,1000770.1551203628
2025-04-19T14:10:00.000+0000,999647.5682896043,605623.4020000048,1000772.069628929
2025-04-19T14:20:00.000+0000,999908.8510960054,605623.4020000048,1001279.2087682501
2025-04-19T14:30:00.000+0000,999647.5682896043,605623.4020000048,1000745.1377239702
2025-04-19T14:40:00.000+0000,999571.8609040051,605623.4020000048,1000530.2214847289
2025-04-19T14:50:00.000+0000,999566.7829696052,605623.4020000048,1000917.3993599063
2025-04-19T15:00:00.000+0000,999593.5575328062,605623.4020000048,1001001.916757192
2025-04-19T15:10:00.000+0000,999296.2675552054,605623.4020000048,1001015.0125863157
2025-04-19T15:20:00.000+0000,999972.5560912054,605623.4020000048,1002964.2593980774
2025-04-19T15:30:00.000+0000,999191.0158240043,605623.4020000048,999660.7906096379
2025-04-19T15:40:00.000+0000,998434.8652288043,605623.4020000048,997545.894614168
2025-04-19T15:50:00.000+0000,998597.8207600055,605623.4020000048,998569.3787730346
2025-04-19T16:00:00.000+0000,998782.0112896056,605623.4020000048,999819.6372451247
2025-04-19T16:10:00.000+0000,998850.3325888041,605623.4020000048,998914.9857444211
2025-04-19T16:20:00.000+0000,998437.6350112042,605623.4020000048,997367.9726389386
2025-04-19T16:30:00.000+0000,997905.3751600033,605623.4020000048,995807.6136820083
2025-04-19T16:40:00.000+0000,996525.1002640042,605623.4020000048,993332.6515139688
2025-04-19T16:50:00.000+0000,996717.1385104046,605623.4020000048,993221.2309547263
2025-04-19T17:00:00.000+0000,997154.733953766,605708.1188722447,993979.2768894545
2025-04-19T17:10:00.000+0000,997289.9623844058,605708.1188722447,993908.0033789587
2025-04-19T17:20:00.000+0000,997763.4926568842,605708.1188722447,995887.7628043822
2025-04-19T17:30:00.000+0000,997742.723785284,605708.1188722447,997637.4295860115
2025-04-19T17:40:00.000+0000,998158.5627477652,605708.1188722447,1000621.9779516244
2025-04-19T17:50:00.000+0000,997962.4122937645,605708.1188722447,998828.5272292746
2025-04-19T18:00:00.000+0000,998682.861373046,605708.1188722447,1001092.739988945
2025-04-19T18:10:00.000+0000,998884.0886623238,605708.1188722447,1001354.0208132835
2025-04-19T18:20:00.000+0000,998895.1653938448,605708.1188722447,1000930.2872596233
2025-04-19T18:30:00.000+0000,999070.546976245,605708.1188722447,1001251.5681578016
2025-04-19T18:40:00.000+0000,998510.7105040036,605708.1188722447,1000042.1443095802
2025-04-19T18:50:00.000+0000,998495.4799981655,605708.1188722447,999876.7143280834
2025-04-19T19:00:00.000+0000,998145.1783638463,605708.1188722447,998897.9624475143
2025-04-19T19:10:00.000+0000,998306.2525013643,605708.1188722447,999173.4474824865
2025-04-19T19:20:00.000+0000,998366.2514637648,605708.1188722447,999116.8658957629
2025-04-19T19:30:00.000+0000,998289.6374040842,605708.1188722447,999631.3884788947
2025-04-19T19:40:00.000+0000,998252.2534352045,605708.1188722447,1000303.5675704947
2025-04-19T19:50:00.000+0000,998065.3335908041,605708.1188722447,999632.4027887085
2025-04-19T20:00:00.000+0000,998050.564615444,605708.1188722447,998557.1502404371
2025-04-19T20:10:00.000+0000,998173.7932536037,605708.1188722447,998605.7139089524
2025-04-19T20:20:00.000+0000,998482.0956142454,605708.1188722447,998935.669649807
2025-04-19T20:30:00.000+0000,998813.0129684051,605708.1188722447,1000073.7217386393
2025-04-19T20:40:00.000+0000,998985.1638374442,605708.1188722447,1001418.661399052
2025-04-19T20:50:00.000+0000,998692.5535131257,605708.1188722447,1000437.435279638
2025-04-19T21:00:00.000+0000,998714.2454456855,605708.1188722447,1000400.2598336773
2025-04-19T21:10:00.000+0000,999017.4709710444,605708.1188722447,1001693.9398835951
2025-04-19T21:20:00.000+0000,999123.6229814449,605708.1188722447,1002006.8541685352
2025-04-19T21:30:00.000+0000,998948.7029295241,605708.1188722447,1001178.4185608425
2025-04-19T21:40:00.000+0000,999092.2389088055,605708.1188722447,1002005.7532005806
2025-04-19T21:50:00.000+0000,999294.3892590441,605708.1188722447,1002832.8590532236
2025-04-19T22:00:00.000+0000,999258.8514120858,605708.1188722447,1001878.0874795681
2025-04-19T22:10:00.000+0000,999131.4689996059,605708.1188722447,1001819.710683295
2025-04-19T22:20:00.000+0000,998920.0880397632,605708.1188722447,1001343.4429209556
2025-04-19T22:30:00.000+0000,998923.3187531247,605708.1188722447,1001613.3236304472
2025-04-19T22:40:00.000+0000,998829.6280656853,605708.1188722447,1002506.5881234373
2025-04-19T22:50:00.000+0000,998931.6263017657,605708.1188722447,1002624.2430856306
2025-04-19T23:00:00.000+0000,998710.5532018434,605708.1188722447,1002933.5172965099
2025-04-19T23:10:00.000+0000,998505.6336687254,605708.1188722447,1001762.430310564
2025-04-19T23:20:00.000+0000,998345.4825921638,605708.1188722447,1001098.6498075628
2025-04-19T23:30:00.000+0000,998331.6366777641,605708.1188722447,1001224.1287610191
2025-04-19T23:40:00.000+0000,998370.4052380854,605708.1188722447,1002088.9800403009
2025-04-19T23:50:00.000+0000,998152.1013210437,605708.1188722447,1002130.3991267153
2025-04-20T00:00:00.000+0000,998072.7180784835,605708.1188722447,1000908.796229074
2025-04-20T00:10:00.000+0000,998532.8639670456,605708.1188722447,1003545.6093368595
2025-04-20T00:20:00.000+0000,998553.1713081647,605708.1188722447,1003929.3327544727
2025-04-20T00:30:00.000+0000,998418.8659384843,605708.1188722447,1003427.3051713759
2025-04-20T00:40:00.000+0000,998322.8675986446,605708.1188722447,1003432.3237545544
2025-04-20T00:50:00.000+0000,998313.6369890458,605708.1188722447,1003158.5900773697
2025-04-20T01:00:00.000+0000,998479.7879618449,605708.1188722447,1002885.0960748963
2025-04-20T01:10:00.000+0000,998941.3184418452,605708.1188722447,1005894.2464328781
2025-04-20T01:20:00.000+0000,999047.0089217648,605708.1188722447,1006527.2048403184
2025-04-20T01:30:00.000+0000,998819.4743951245,605708.1188722447,1005769.4135225988
2025-04-20T01:40:00.000+0000,998898.8576376842,605708.1188722447,1007498.4599037762
2025-04-20T01:50:00.000+0000,999036.8552512045,605708.1188722447,1008566.4444376786
2025-04-20T02:00:00.000+0000,998975.4716973647,605708.1188722447,1007515.4695444675
2025-04-20T02:10:00.000+0000,998885.934784244,605708.1188722447,1007193.928483431
2025-04-20T02:20:00.000+0000,998791.7825663236,605708.1188722447,1006386.9823408828
2025-04-20T02:30:00.000+0000,998856.858364005,605708.1188722447,1006903.0295288751
2025-04-20T02:40:00.000+0000,998893.7808024042,605708.1188722447,1007805.8571209735
2025-04-20T02:50:00.000+0000,998779.7827738454,605708.1188722447,1007143.6989004281
2025-04-20T03:00:00.000+0000,998789.0133834444,605708.1188722447,1005810.696157747
2025-04-20T03:10:00.000+0000,998643.1697517646,605708.1188722447,1005397.8239286698
2025-04-20T03:20:00.000+0000,998654.7080137632,605708.1188722447,1004866.0430887952
2025-04-20T03:30:00.000+0000,998464.5574560037,605708.1188722447,1003892.9876278322
2025-04-20T03:40:00.000+0000,998350.0978969636,605708.1188722447,1003917.5707257579
2025-04-20T03:50:00.000+0000,998448.4038892051,605708.1188722447,1004500.0575346977
2025-04-20T04:00:00.000+0000,998331.6366777641,605708.1188722447,1004153.8787086019
2025-04-20T04:10:00.000+0000,998401.7893107263,605708.1188722447,1004501.2180501192
2025-04-20T04:20:00.000+0000,998493.6338762452,605708.1188722447,1005248.5707572957
2025-04-20T04:30:00.000+0000,998604.8627219244,605708.1188722447,1006007.848769478
2025-04-20T04:40:00.000+0000,998772.398286164,605708.1188722447,1006867.3403379172
2025-04-20T04:50:00.000+0000,998656.5541356837,605708.1188722447,1006202.0733162372
2025-04-20T05:00:00.000+0000,998555.0174300844,605708.1188722447,1005137.5241360515
2025-04-20T05:10:00.000+0000,998533.7870280056,605708.1188722447,1005040.489903905
2025-04-20T05:20:00.000+0000,998544.4022290453,605708.1188722447,1005555.3437002227
2025-04-20T05:30:00.000+0000,998401.3277802446,605708.1188722447,1004868.4619134245
2025-04-20T05:40:00.000+0000,998308.5601537654,605708.1188722447,1004929.280935562
2025-04-20T05:50:00.000+0000,998239.7921122452,605708.1188722447,1003908.2446958947
2025-04-20T06:00:00.000+0000,998195.0236556851,605708.1188722447,1003604.3033928061
2025-04-20T06:10:00.000+0000,998249.945782806,605708.1188722447,1004135.8291479134
2025-04-20T06:20:00.000+0000,998133.6401018442,605708.1188722447,1003050.2683451903
2025-04-20T06:30:00.000+0000,998229.1769112058,605708.1188722447,1003030.8557357118
2025-04-20T06:40:00.000+0000,997187.5026178439,605708.1188722447,999584.0593341674
2025-04-20T06:50:00.000+0000,997455.190296245,605708.1188722447,1000324.7064998797
2025-04-20T07:00:00.000+0000,996874.1234219244,605708.1188722447,997885.7366019003
2025-04-20T07:10:00.000+0000,996709.8185710458,605708.1188722447,995438.6097895773
2025-04-20T07:20:00.000+0000,996611.9741092855,605708.1188722447,994835.1872887611
2025-04-20T07:30:00.000+0000,996325.8252116854,605708.1188722447,994908.6048859463
2025-04-20T07:40:00.000+0000,996503.0529160049,605708.1188722447,995396.2551994784
2025-04-20T07:50:00.000+0000,996739.8180522439,605708.1188722447,996448.759687749
2025-04-20T08:00:00.000+0000,996497.0530197648,605708.1188722447,995231.9195853822
2025-04-20T08:10:00.000+0000,996497.0530197648,605708.1188722447,995710.3198656316
2025-04-20T08:20:00.000+0000,996135.2131234445,605708.1188722447,995610.3035668954
2025-04-20T08:30:00.000+0000,996053.5222284858,605708.1188722447,995357.5079453506
2025-04-20T08:40:00.000+0000,996142.1360806443,605708.1188722447,994835.009905147
2025-04-20T08:50:00.000+0000,995978.7542907243,605708.1188722447,992456.7289964829
2025-04-20T09:00:00.000+0000,995903.0632920043,605708.1188722447,992970.6544223438
2025-04-20T09:10:00.000+0000,995825.9877018449,605708.1188722447,993975.5888157374
2025-04-20T09:20:00.000+0000,995797.3728120842,605708.1188722447,994405.8609188064
2025-04-20T09:30:00.000+0000,995534.3004384856,605708.1188722447,993736.8173937724
2025-04-20T09:40:00.000+0000,995221.8443035253,605708.1188722447,992873.0401255828
2025-04-20T09:50:00.000+0000,995276.7664306457,605708.1188722447,992748.7387738784
2025-04-20T10:00:00.000+0000,995149.3840181659,605708.1188722447,993134.2510924619
2025-04-20T10:10:00.000+0000,994964.3102956859,605708.1188722447,993621.4571491028
2025-04-20T10:20:00.000+0000,994982.7715148851,605708.1188722447,993631.1354579222
2025-04-20T10:30:00.000+0000,994825.8511516849,605708.1188722447,993113.7547614959
2025-04-20T10:40:00.000+0000,993888.482746805,605708.1188722447,988176.4623850929
2025-04-20T10:50:00.000+0000,993192.956313445,605708.1188722447,985183.7362770685
2025-04-20T11:00:00.000+0000,993573.7189594444,605708.1188722447,986126.8164924701
2025-04-20T11:10:00.000+0000,993729.7162616851,605708.1188722447,986348.6860918729
2025-04-20T11:20:00.000+0000,993149.110917846,605708.1188722447,982942.3845488597
2025-04-20T11:30:00.000+0000,993031.4206454454,605708.1188722447,981467.8656539788
2025-04-20T11:40:00.000+0000,993075.2660410455,605708.1188722447,979066.2891610321
2025-04-20T11:50:00.000+0000,993182.8026428847,605708.1188722447,979718.3606920966
2025-04-20T12:00:00.000+0000,993650.794549604,605708.1188722447,981183.9812989732
2025-04-20T12:10:00.000+0000,994200.0158208058,605708.1188722447,983499.1053256763
2025-04-20T12:20:00.000+0000,994571.0863267253,605708.1188722447,984339.9543250549
2025-04-20T12:30:00.000+0000,994889.0808274437,605708.1188722447,984979.2181198547
2025-04-20T12:40:00.000+0000,994629.2391672055,605708.1188722447,984964.4561408656
2025-04-20T12:50:00.000+0000,994611.7010089662,605708.1188722447,984511.4466896281
2025-04-20T13:00:00.000+0000,994488.0108403249,605708.1188722447,983855.0552139073
2025-04-20T13:10:00.000+0000,993954.020074965,605708.1188722447,982051.5512779269
2025-04-20T13:20:00.000+0000,994260.9378441654,605708.1188722447,983298.4318227109
2025-04-20T13:30:00.000+0000,994365.2437326447,605708.1188722447,984296.3783034151
2025-04-20T13:40:00.000+0000,994811.0821763247,605708.1188722447,985388.862518782
2025-04-20T13:50:00.000+0000,994637.0851853654,605708.1188722447,985203.8187850632
2025-04-20T14:00:00.000+0000,994414.1659635244,605708.1188722447,984738.997474365
2025-04-20T14:10:00.000+0000,995247.2284799257,605708.1188722447,987107.6545812062
2025-04-20T14:20:00.000+0000,995316.9195824054,605708.1188722447,986089.3036815516
2025-04-20T14:30:00.000+0000,995800.6035254453,605708.1188722447,987681.1138227277
2025-04-20T14:40:00.000+0000,995632.1449002447,605708.1188722447,986995.5388951229
2025-04-20T14:50:00.000+0000,995864.2947316848,605708.1188722447,987462.8554225452
2025-04-20T15:00:00.000+0000,995309.9966252056,605708.1188722447,985745.6205555858
2025-04-20T15:10:00.000+0000,995129.0766770435,605708.1188722447,985146.8095380473
2025-04-20T15:20:00.000+0000,994785.6979999257,605708.1188722447,983296.2674832521
2025-04-20T15:30:00.000+0000,994953.233564165,605708.1188722447,983777.2178231427
2025-04-20T15:40:00.000+0000,995089.3850557655,605708.1188722447,983419.1840109336
2025-04-20T15:50:00.000+0000,994597.3935640847,605708.1188722447,980776.4801391097
2025-04-20T16:00:00.000+0000,994501.395224244,605708.1188722447,981083.5081448308
2025-04-20T16:10:00.000+0000,994976.3100881639,605708.1188722447,983275.6816186769
2025-04-20T16:20:00.000+0000,995323.8425396053,605708.1188722447,984535.5657822685
2025-04-20T16:30:00.000+0000,995453.0710740059,605708.1188722447,983597.4987580068
2025-04-20T16:40:00.000+0000,995448.9172996848,605708.1188722447,984897.1909207953
2025-04-20T16:50:00.000+0000,995756.7581298456,605708.1188722447,985956.4880920767
2025-04-20T17:00:00.000+0000,995544.9156395253,605708.1188722447,984821.7390609195
2025-04-20T17:10:00.000+0000,995418.456288005,605708.1188722447,984169.4337086153
2025-04-20T17:20:00.000+0000,995305.3813204037,605708.1188722447,984063.0309195499
2025-04-20T17:30:00.000+0000,995285.5355097661,605708.1188722447,983446.261352445
2025-04-20T17:40:00.000+0000,995487.6858600043,605708.1188722447,984262.1591473981
2025-04-20T17:50:00.000+0000,995778.9115928842,605708.1188722447,984985.5806469717
2025-04-20T18:00:00.000+0000,995733.2200753652,605708.1188722447,984452.5140356477
2025-04-20T18:10:00.000+0000,995886.9097252055,605708.1188722447,985570.047095415
2025-04-20T18:20:00.000+0000,995717.0665085646,605708.1188722447,985548.8177491829
2025-04-20T18:30:00.000+0000,995523.2237069649,605708.1188722447,984247.7867142207
2025-04-20T18:40:00.000+0000,995378.3031362449,605708.1188722447,984017.4891679729
2025-04-20T18:50:00.000+0000,995580.4534864854,605708.1188722447,985230.0370359537
2025-04-20T19:00:00.000+0000,995750.2967031245,605708.1188722447,985014.975002266
2025-04-20T19:10:00.000+0000,995603.5300104849,605708.1188722447,984814.4359886436
2025-04-20T19:20:00.000+0000,995664.9135643241,605708.1188722447,985794.593005598
2025-04-20T19:30:00.000+0000,995741.9891544853,605708.1188722447,986117.0075941735
2025-04-20T19:40:00.000+0000,995783.0653672053,605708.1188722447,986722.9864915088
2025-04-20T19:50:00.000+0000,996126.4440443243,605708.1188722447,987935.9732086952
2025-04-20T20:00:00.000+0000,996030.9072349652,605708.1188722447,987963.1981747384
2025-04-20T20:10:00.000+0000,997234.1171963256,605708.1188722447,991313.645220578
2025-04-20T20:20:00.000+0000,998201.9466128862,605708.1188722447,993584.8288442276
2025-04-20T20:30:00.000+0000,997963.7968852059,605708.1188722447,991698.5767744064
2025-04-20T20:40:00.000+0000,998265.637819126,605708.1188722447,992061.7756390779
2025-04-20T20:50:00.000+0000,998067.641243206,605708.1188722447,990160.9072685237
2025-04-20T21:00:00.000+0000,997701.6475725641,605708.1188722447,989242.6149592834
2025-04-20T21:10:00.000+0000,997649.4946283263,605708.1188722447,988765.4839134784
2025-04-20T21:20:00.000+0000,997410.8833701643,605708.1188722447,988591.0426442183
2025-04-20T21:30:00.000+0000,997809.6457048848,605708.1188722447,990032.2979427825
2025-04-20T21:40:00.000+0000,998009.4884027248,605708.1188722447,990761.9971477437
2025-04-20T21:50:00.000+0000,997746.8775596044,605708.1188722447,991013.8985338729
2025-04-20T22:00:00.000+0000,996954.891255926,605708.1188722447,987493.1229191858
2025-04-20T22:10:00.000+0000,996913.8150432035,605708.1188722447,987150.3576998729
2025-04-20T22:20:00.000+0000,996332.2866384044,605708.1188722447,984559.2610349238
2025-04-20T22:30:00.000+0000,996382.1319302442,605708.1188722447,985839.6756488746
2025-04-20T22:40:00.000+0000,996762.8945762462,605708.1188722447,986892.5216822964
2025-04-20T22:50:00.000+0000,996790.1248745649,605708.1188722447,986688.309162709
2025-04-20T23:00:00.000+0000,997487.9589603242,605708.1188722447,988672.64123182
2025-04-20T23:10:00.000+0000,997836.8760032044,605708.1188722447,990059.567859238
2025-04-20T23:20:00.000+0000,998194.1005947259,605708.1188722447,990360.7049627573
2025-04-20T23:30:00.000+0000,997898.2595570459,605708.1188722447,989976.7335946086
2025-04-20T23:40:00.000+0000,998026.5650304857,605708.1188722447,989780.4592589119
2025-04-20T23:50:00.000+0000,998125.3325532053,605708.1188722447,991391.8279578241
2025-04-21T00:00:00.000+0000,998547.6329424053,605708.1188722447,991994.8227104556
