date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-21T01:20:00.000+0000,1000000.0,1000000.0,998382.7296061069
2025-04-21T01:30:00.000+0000,999565.194605121,594077.3510000006,1000589.3360693237
2025-04-21T01:40:00.000+0000,1003072.8410207367,439119.7920588327,1002941.0699826165
2025-04-21T01:50:00.000+0000,1002847.0309334404,439119.7920588327,1004204.5014310494
2025-04-21T02:00:00.000+0000,1002507.3853959603,177079.69015883256,1003771.9021651982
2025-04-21T02:10:00.000+0000,1004289.5993532644,156435.00205883253,1004519.3746121147
2025-04-21T02:20:00.000+0000,1004229.53509948,68738.80205883257,1005751.8644281871
2025-04-21T02:30:00.000+0000,1002461.3913864647,68738.80205883257,1002333.308062323
2025-04-21T02:40:00.000+0000,1005217.1657918321,68738.80205883257,1000383.549028263
2025-04-21T02:50:00.000+0000,1006637.9584776484,68738.80205883257,1002913.7320130354
2025-04-21T03:00:00.000+0000,1006180.6033746724,68738.80205883257,1003569.288968967
2025-04-21T03:10:00.000+0000,1006726.945950672,68738.80205883257,1002840.6038342721
2025-04-21T03:20:00.000+0000,1006501.3815566644,68738.80205883257,1001499.3792365685
2025-04-21T03:30:00.000+0000,1013397.2119654729,68738.80205883257,1002100.2935387501
2025-04-21T03:40:00.000+0000,1012745.6405599366,68738.80205883257,1002052.5534841698
2025-04-21T03:50:00.000+0000,1012424.0359496172,68738.80205883257,1000748.3126183779
2025-04-21T04:00:00.000+0000,1010786.9612979044,68738.80205883257,1002119.4999669337
2025-04-21T04:10:00.000+0000,1014099.3611463921,68738.80205883257,1000854.1192269593
2025-04-21T04:20:00.000+0000,1008704.9776983209,68738.80205883257,1001312.8547918547
2025-04-21T04:30:00.000+0000,1006370.2089387774,120118.75927356139,1000405.8838135656
2025-04-21T04:40:00.000+0000,1003399.9833317301,123553.5108123295,1002741.3609599883
2025-04-21T04:50:00.000+0000,1001930.2824837693,124562.7998946016,1005160.9176127178
2025-04-21T05:00:00.000+0000,999444.0520505775,124562.7998946016,1005814.5795987764
2025-04-21T05:10:00.000+0000,998217.2274360652,135429.56122524114,1005810.58686671
2025-04-21T05:20:00.000+0000,997487.2012546011,135490.59269097712,1006924.1899784412
2025-04-21T05:30:00.000+0000,998353.3655983373,135490.59269097712,1006551.1179327336
2025-04-21T05:40:00.000+0000,995335.7105752013,135490.59269097712,1007171.7509054262
2025-04-21T05:50:00.000+0000,993664.9848858733,138235.14029497732,1008717.9769503132
2025-04-21T06:00:00.000+0000,996325.9106608974,138235.14029497732,1008696.6348407203
2025-04-21T06:10:00.000+0000,997943.6741938738,138235.14029497732,1008968.4196525167
2025-04-21T06:20:00.000+0000,1002004.8776798336,138235.14029497732,1009278.4413358947
2025-04-21T06:30:00.000+0000,1003680.4191734333,138235.14029497732,1007970.4395295985
2025-04-21T06:40:00.000+0000,1005725.6200627452,141912.0241528011,1007500.2293252384
2025-04-21T06:50:00.000+0000,1004802.657613873,141912.0241528011,1008549.5159940651
2025-04-21T07:00:00.000+0000,1003834.3680257457,141912.0241528011,1009014.6147202239
2025-04-21T07:10:00.000+0000,1002247.3350886095,141912.0241528011,1006564.2972777964
2025-04-21T07:20:00.000+0000,1002397.4650384892,141912.0241528011,1005766.7989242666
2025-04-21T07:30:00.000+0000,1002639.5509946654,141912.0241528011,1006474.7903238339
2025-04-21T07:40:00.000+0000,1001951.9075598574,143163.26925528116,1007645.8823980631
2025-04-21T07:50:00.000+0000,1001794.154623249,143163.26925528116,1006354.6096740463
2025-04-21T08:00:00.000+0000,1000724.3652399685,143163.26925528116,1006728.4274894828
2025-04-21T08:10:00.000+0000,1001102.6595821928,143163.26925528116,1005711.6124563369
2025-04-21T08:20:00.000+0000,994956.0297630411,143163.26925528116,1006713.97386354
2025-04-21T08:30:00.000+0000,994030.3417563607,143163.26925528116,1007386.327467449
2025-04-21T08:40:00.000+0000,992821.9899217933,143163.26925528116,1006797.83664417
2025-04-21T08:50:00.000+0000,991071.7045211929,143163.26925528116,1008121.3863734498
2025-04-21T09:00:00.000+0000,991026.2877636893,143163.26925528116,1009250.317912109
2025-04-21T09:10:00.000+0000,991640.0361318811,143163.26925528116,1005499.6111511118
2025-04-21T09:20:00.000+0000,996825.1080032812,144534.2502028492,1005329.8476992948
2025-04-21T09:30:00.000+0000,997537.0648022811,144534.2502028492,1003547.9003269938
2025-04-21T09:40:00.000+0000,997023.6041396891,144534.2502028492,1004514.3783994666
2025-04-21T09:50:00.000+0000,996416.8895299851,144534.2502028492,1005405.0818196012
2025-04-21T10:00:00.000+0000,995753.7574104252,144534.2502028492,1004008.0318103256
2025-04-21T10:10:00.000+0000,997197.489290193,144534.2502028492,1003927.0660987332
2025-04-21T10:20:00.000+0000,996904.6772273931,150706.9563242573,1001711.0220992924
2025-04-21T10:30:00.000+0000,1001949.7139965693,157323.17686005705,1000487.082582877
2025-04-21T10:40:00.000+0000,1000633.3154685613,166320.12194133722,1001193.4936206422
2025-04-21T10:50:00.000+0000,999727.0004510812,167513.32233676114,1002445.158901883
2025-04-21T11:00:00.000+0000,1000421.127824585,174002.16561595324,1002037.2027110755
2025-04-21T11:10:00.000+0000,1001493.2695744649,174002.16561595324,996819.3230670801
