date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-21T02:10:00.000+0000,1000000.0,1000000.0,999604.0940256964,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-21T02:20:00.000+0000,999981.26843624,976585.5453,1000831.2103376088,999990.57367608,988217.0951,1000000.0,1000000.0
2025-04-21T02:30:00.000+0000,999955.4892353601,967757.26733624,997411.2382421356,999986.21906608,994547.3111760801,999979.8197067999,974774.6335
2025-04-21T02:40:00.000+0000,999912.3458561602,946026.2652353601,995474.6591166528,999964.5072308801,972846.4250660801,999979.8197067999,999979.8197067999
2025-04-21T02:50:00.000+0000,1000121.20663376,1000121.20663376,997993.1752447421,1000069.61607648,1000069.61607648,999979.8197067999,999979.8197067999
2025-04-21T03:00:00.000+0000,1000121.20663376,1000121.20663376,998647.0961553907,1000069.61607648,1000069.61607648,999979.8197067999,999979.8197067999
2025-04-21T03:10:00.000+0000,999894.89636896,783720.4640337598,997905.4817475055,999982.5012864801,891176.1285764802,999917.1438687999,921635.0222068
2025-04-21T03:20:00.000+0000,999828.5183176,916922.3321689601,996566.523734112,999949.09537512,958225.1120864801,999917.1438687999,999917.1438687999
2025-04-21T03:30:00.000+0000,999828.5183176,999828.5183176,997158.3573368823,999949.09537512,999949.09537512,999917.1438687999,999917.1438687999
2025-04-21T03:40:00.000+0000,999828.5183176,999828.5183176,997116.72604169,999949.09537512,999949.09537512,999917.1438687999,999917.1438687999
2025-04-21T03:50:00.000+0000,999828.5183176,999828.5183176,995821.0413931496,999949.09537512,999949.09537512,999917.1438687999,999917.1438687999
2025-04-21T04:00:00.000+0000,999828.5183176,999828.5183176,997184.6047620557,999949.09537512,999949.09537512,999917.1438687999,999917.1438687999
2025-04-21T04:10:00.000+0000,999783.3457948,943362.8648176,995925.9980757541,999949.09537512,999949.09537512,999863.9115003999,933376.6833688
2025-04-21T04:20:00.000+0000,999738.78699248,944084.8428948,996390.7621936346,999926.6682837601,971915.2311751201,999863.9115003999,999863.9115003999
2025-04-21T04:30:00.000+0000,999316.6211374401,472031.4681924803,995487.1187413431,999714.1799421599,734316.24128376,999863.9115003999,999863.9115003999
2025-04-21T04:40:00.000+0000,999316.6211374401,999316.6211374401,997813.4082168792,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T04:50:00.000+0000,999316.6211374401,999316.6211374401,1000225.0329454001,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T05:00:00.000+0000,999316.6211374401,999316.6211374401,1000878.0187404249,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T05:10:00.000+0000,999316.6211374401,999316.6211374401,1000875.7029508301,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T05:20:00.000+0000,999316.6211374401,999316.6211374401,1001986.0238677689,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T05:30:00.000+0000,999316.6211374401,999316.6211374401,1001615.8495237113,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
2025-04-21T05:40:00.000+0000,999316.6211374401,999316.6211374401,1002236.4463875403,999714.1799421599,999714.1799421599,999863.9115003999,999863.9115003999
