date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-21T02:10:00.000+0000,1000000.0,1000000.0,999604.0940256964
2025-04-21T02:20:00.000+0000,999977.7233976,972154.247,1000831.2103376088
2025-04-21T02:30:00.000+0000,999947.0655512799,961655.4154976,997411.2382421356
2025-04-21T02:40:00.000+0000,999895.75740088,935811.87755128,995474.6591166528
2025-04-21T02:50:00.000+0000,1000144.1445320799,1000144.1445320799,997993.1752447421
2025-04-21T03:00:00.000+0000,1000144.1445320799,1000144.1445320799,998647.0961553907
2025-04-21T03:10:00.000+0000,999874.9995628797,742782.23833208,997905.4817475055
2025-04-21T03:20:00.000+0000,999796.0605308797,901201.2095628796,996566.523734112
2025-04-21T03:30:00.000+0000,999796.0605308797,999796.0605308797,997158.3573368823
2025-04-21T03:40:00.000+0000,999796.0605308797,999796.0605308797,997116.72604169
2025-04-21T03:50:00.000+0000,999796.0605308797,999796.0605308797,995821.0413931496
2025-04-21T04:00:00.000+0000,999796.0605308797,999796.0605308797,997184.6047620557
2025-04-21T04:10:00.000+0000,999742.3404020795,932645.8995308797,995925.9980757541
2025-04-21T04:20:00.000+0000,999689.3503933594,933504.8295020794,996390.7621936346
2025-04-21T04:30:00.000+0000,999187.3107949595,372139.85239335964,995487.1187413431
2025-04-21T04:40:00.000+0000,999187.3107949595,999187.3107949595,997813.4082168792
2025-04-21T04:50:00.000+0000,999187.3107949595,999187.3107949595,1000225.0329454001
2025-04-21T05:00:00.000+0000,999187.3107949595,999187.3107949595,1000878.0187404249
2025-04-21T05:10:00.000+0000,999187.3107949595,999187.3107949595,1000875.7029508301
2025-04-21T05:20:00.000+0000,999187.3107949595,999187.3107949595,1001986.0238677689
2025-04-21T05:30:00.000+0000,999187.3107949595,999187.3107949595,1001615.8495237113
2025-04-21T05:40:00.000+0000,999187.3107949595,999187.3107949595,1002236.4463875403
2025-04-21T05:50:00.000+0000,999187.3107949595,999187.3107949595,1003756.4326254679
2025-04-21T06:00:00.000+0000,999187.3107949595,999187.3107949595,1003734.9729385816
2025-04-21T06:10:00.000+0000,999187.3107949595,999187.3107949595,1004004.765559637
2025-04-21T06:20:00.000+0000,999187.3107949595,999187.3107949595,1004309.1640768786
2025-04-21T06:30:00.000+0000,999187.3107949595,999187.3107949595,1003010.550611257
2025-04-21T06:40:00.000+0000,999187.3107949595,999187.3107949595,1002543.2056093051
2025-04-21T06:50:00.000+0000,999187.3107949595,999187.3107949595,1003588.3990677602
2025-04-21T07:00:00.000+0000,999187.3107949595,999187.3107949595,1004051.5163745349
2025-04-21T07:10:00.000+0000,999187.3107949595,999187.3107949595,1001614.8950925623
2025-04-21T07:20:00.000+0000,999187.3107949595,999187.3107949595,1000820.1825090363
2025-04-21T07:30:00.000+0000,999187.3107949595,999187.3107949595,1001524.1076351498
2025-04-21T07:40:00.000+0000,999187.3107949595,999187.3107949595,1002685.0787055641
2025-04-21T07:50:00.000+0000,999187.3107949595,999187.3107949595,1001399.092432427
2025-04-21T08:00:00.000+0000,996934.6517829597,145.96069495965457,1001768.4863321905
2025-04-21T08:10:00.000+0000,997397.5866385596,322901.50202935975,1000757.1644734503
2025-04-21T08:20:00.000+0000,991825.7900574398,302178.6096293598,1001756.8834259016
2025-04-21T08:30:00.000+0000,991221.4504425598,146128.9746154397,1002424.9893261775
2025-04-21T08:40:00.000+0000,992147.3201537596,322743.51895615977,1001839.166633775
2025-04-21T08:50:00.000+0000,989832.6458757599,322743.51895615977,1003155.622557828
2025-04-21T09:00:00.000+0000,990758.5155869599,322743.51895615977,1004279.9780632324
2025-04-21T09:10:00.000+0000,994461.9944317597,322743.51895615977,1000546.6825449506
2025-04-21T09:20:00.000+0000,998082.1492445596,218588.47895615976,1000380.5588889094
2025-04-21T09:30:00.000+0000,1002248.5629449601,322660.1949241598,998606.5552021606
2025-04-21T09:40:00.000+0000,1003637.3675117596,322660.1949241598,999569.143809716
2025-04-21T09:50:00.000+0000,1002248.5629449601,322660.1949241598,1000456.3110689867
2025-04-21T10:00:00.000+0000,1002711.4978005597,322660.1949241598,999067.7881243906
2025-04-21T10:10:00.000+0000,1005026.1720785598,322660.1949241598,998989.2842896532
2025-04-21T10:20:00.000+0000,1005489.1069341598,322660.1949241598,996785.9909099977
2025-04-21T10:30:00.000+0000,1010581.3903457598,322660.1949241598,995570.6722523724
2025-04-21T10:40:00.000+0000,1009655.5206345597,322660.1949241598,996273.4519014152
2025-04-21T10:50:00.000+0000,1007803.7812121597,322660.1949241598,997521.0234456912
2025-04-21T11:00:00.000+0000,1008266.7160677598,322660.1949241598,997114.8385339113
2025-04-21T11:10:00.000+0000,1010118.4554901599,266919.2079241598,991919.2719599024
2025-04-21T11:20:00.000+0000,1023498.9735129599,232984.9723045598,989105.5260040852
2025-04-21T11:30:00.000+0000,1026912.0328959518,217879.67718835178,990802.3473426433
2025-04-21T11:40:00.000+0000,1028648.6216044798,283674.2387760798,992124.2425559548
2025-04-21T11:50:00.000+0000,1028648.6216044798,322672.9668144798,991933.081346334
2025-04-21T12:00:00.000+0000,1027722.7518932797,322672.9668144798,992858.6040353046
2025-04-21T12:10:00.000+0000,1024019.2730484797,322672.9668144798,994752.7287842573
2025-04-21T12:20:00.000+0000,1022630.46848168,322672.9668144798,994053.5028406613
2025-04-21T12:30:00.000+0000,1024019.2730484797,322672.9668144798,993405.9534856293
2025-04-21T12:40:00.000+0000,1023556.3381928799,322672.9668144798,992163.8818781874
2025-04-21T12:50:00.000+0000,1023093.4033372796,322672.9668144798,990790.0331990663
2025-04-21T13:00:00.000+0000,1023093.4033372796,322672.9668144798,987920.0874816439
2025-04-21T13:10:00.000+0000,1023013.6586332796,222992.08681447982,987929.8371652584
2025-04-21T13:20:00.000+0000,1023476.59348888,322593.2221104798,988604.7220880403
2025-04-21T13:30:00.000+0000,1013292.0266656799,322593.2221104798,988579.28670852
2025-04-21T13:40:00.000+0000,1012829.0918100795,322593.2221104798,990362.6262336327
2025-04-21T13:50:00.000+0000,1014217.8963768797,322593.2221104798,985639.8015892088
2025-04-21T14:00:00.000+0000,1015585.7230003199,296370.79291047977,983898.8023695743
2025-04-21T14:10:00.000+0000,1010493.4395887197,322572.2441671198,989255.499766395
2025-04-21T14:20:00.000+0000,998408.8200813597,262180.6669671198,995559.1397452836
2025-04-21T14:30:00.000+0000,995631.21094776,322523.9309053598,999008.7073237589
2025-04-21T14:40:00.000+0000,994705.3412365597,115325.84398535987,995323.9610838527
2025-04-21T14:50:00.000+0000,999631.8661786239,322358.1724358238,995363.7069663757
2025-04-21T15:00:00.000+0000,1000094.8010342238,322358.1724358238,995080.1562671006
2025-04-21T15:10:00.000+0000,1003335.3450234237,322358.1724358238,993742.3192619362
2025-04-21T15:20:00.000+0000,1005187.0844458238,322358.1724358238,996655.144297007
2025-04-21T15:30:00.000+0000,1002872.4101678238,322358.1724358238,996076.1179372689
2025-04-21T15:40:00.000+0000,1008890.563290624,322358.1724358238,993165.8173045863
2025-04-21T15:50:00.000+0000,1011148.7323251038,272898.8570835038,993264.3933213069
2025-04-21T16:00:00.000+0000,1012027.7399281438,263724.0319923038,992133.2224375093
2025-04-21T16:10:00.000+0000,1007398.3913721436,322254.80508414377,993310.6912625659
2025-04-21T16:20:00.000+0000,1015230.9683613438,275610.36008414376,988548.3217502403
2025-04-21T16:30:00.000+0000,1017545.6426393437,322217.4895281438,988816.6696567188
2025-04-21T16:40:00.000+0000,1033285.4277297439,322217.4895281438,984452.1732692862
2025-04-21T16:50:00.000+0000,1046247.6036865439,322217.4895281438,977283.8959229344
2025-04-21T17:00:00.000+0000,1056444.8295394238,124911.79172814373,968351.5545071252
2025-04-21T17:10:00.000+0000,1058296.5689618238,323156.01826902386,971550.5342646753
2025-04-21T17:20:00.000+0000,1061537.1129510237,323156.01826902386,972486.6600107924
2025-04-21T17:30:00.000+0000,1061537.1129510237,323156.01826902386,973722.6306265297
2025-04-21T17:40:00.000+0000,1059202.1784413438,297830.72866902384,973014.0786757548
2025-04-21T17:50:00.000+0000,1061516.8527193437,323135.75803734385,970775.9019919855
2025-04-21T18:00:00.000+0000,1062905.6572861434,323135.75803734385,970770.640572594
2025-04-21T18:10:00.000+0000,1060590.983008144,323135.75803734385,972007.958951778
2025-04-21T18:20:00.000+0000,1061979.7875749439,323135.75803734385,970653.4047740404
2025-04-21T18:30:00.000+0000,1060128.048152544,323135.75803734385,971072.4791642157
2025-04-21T18:40:00.000+0000,1059665.1132969437,323135.75803734385,972174.373606574
2025-04-21T18:50:00.000+0000,1061053.9178637438,323135.75803734385,971088.6664886691
2025-04-21T19:00:00.000+0000,1061516.8527193437,323135.75803734385,970818.9525458768
