date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-01-31T00:40:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000,1000000
2025-01-31T00:50:00.000+0000,999997.57852272,996973.1534000001,999999.9999999999,999998.78935072,998486.6884,1000000,1000000
2025-01-31T01:00:00.000+0000,999997.5785227201,998484.9195188001,999999.9999999999,999998.7893507201,999242.5156540801,1000000,1000000
2025-01-31T01:10:00.000+0000,999996.61540064,997281.0169188001,999999.9999999999,999998.30778968,998640.5643540801,1000000,1000000
2025-01-31T01:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T01:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T01:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T01:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T02:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T03:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T04:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T05:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:20:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:30:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:40:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T06:50:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T07:00:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
2025-01-31T07:10:00.000+0000,999996.6154006401,999996.6154006401,999999.9999999999,999998.30778968,999998.30778968,1000000,1000000
