date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-20T13:50:00.000+0000,1000000.0,1000000.0,998950.1491058286
2025-04-20T14:00:00.000+0000,999964.8211430402,995060.3266800002,998089.6190390366
2025-04-20T14:10:00.000+0000,991664.860846656,679488.90988,1000491.602914347
2025-04-20T14:20:00.000+0000,989575.9552291199,679488.90988,999458.1470178501
2025-04-20T14:30:00.000+0000,988676.1391641435,172975.08785183987,1001071.9265221881
2025-04-20T14:40:00.000+0000,982938.4801463996,172975.08785183987,1000376.3595517373
2025-04-20T14:50:00.000+0000,981652.2422405756,187339.44036927985,1000849.8764667618
2025-04-20T15:00:00.000+0000,984410.9070817437,187339.44036927985,999108.8782534201
2025-04-20T15:10:00.000+0000,988600.3428497438,187339.44036927985,998502.0332627269
2025-04-20T15:20:00.000+0000,987439.6110786236,187339.44036927985,996624.8892655591
2025-04-20T15:30:00.000+0000,986740.5133046238,187339.44036927985,997112.4473855612
2025-04-20T15:40:00.000+0000,991450.4657059197,187339.44036927985,996747.7046543437
2025-04-20T15:50:00.000+0000,989909.6575593435,201741.63289047984,994067.0410012591
2025-04-20T16:00:00.000+0000,988221.7096987839,201741.63289047984,994378.8100804598
2025-04-20T16:10:00.000+0000,980679.8889060477,436355.58355679986,996601.9633521833
2025-04-20T16:20:00.000+0000,969808.0381387677,412024.9243567998,997878.0487230083
2025-04-20T16:30:00.000+0000,909445.5604820636,412689.6529663998,996926.4171361569
2025-04-20T16:40:00.000+0000,928185.7861981436,442679.2875200239,998246.4231314079
2025-04-20T16:50:00.000+0000,946251.8181410717,483655.027752368,999320.2391448192
2025-04-20T17:00:00.000+0000,950926.7195955758,514882.31493115996,998168.7742898717
2025-04-20T17:10:00.000+0000,955824.0171607437,514882.31493115996,997507.3498717647
2025-04-20T17:20:00.000+0000,962300.6071404237,514882.31493115996,997400.0394141651
2025-04-20T17:30:00.000+0000,962325.1014293036,514882.31493115996,996773.9514524625
2025-04-20T17:40:00.000+0000,966634.5852619598,514882.31493115996,997601.4772534223
2025-04-20T17:50:00.000+0000,964586.6155894478,514882.31493115996,998334.4148498815
2025-04-20T18:00:00.000+0000,963787.7446978479,369334.24853116,997793.4607348123
2025-04-20T18:10:00.000+0000,942270.87735508,369334.24853116,998927.0252934678
2025-04-20T18:20:00.000+0000,932184.5626472561,369334.24853116,998906.0923597525
2025-04-20T18:30:00.000+0000,938589.4734761678,376898.81803036,997586.4170059153
2025-04-20T18:40:00.000+0000,942906.5431353038,384388.5408548399,997352.8250359658
2025-04-20T18:50:00.000+0000,944738.6621865679,391622.11608146393,998582.7346866089
2025-04-20T19:00:00.000+0000,924785.8868868076,391622.11608146393,998363.8585111004
2025-04-20T19:10:00.000+0000,929687.9066012322,417791.23842194426,998160.7170616254
2025-04-20T19:20:00.000+0000,927021.3802702401,417791.23842194426,999155.702621343
2025-04-20T19:30:00.000+0000,928418.1128195762,417791.23842194426,999482.5243782976
2025-04-20T19:40:00.000+0000,933453.7449085203,424910.62934914423,1000097.6873980736
2025-04-20T19:50:00.000+0000,930113.6654114801,424910.62934914423,1001326.9511931539
2025-04-20T20:00:00.000+0000,938716.7648015758,424910.62934914423,1001355.2779226648
2025-04-20T20:10:00.000+0000,938687.4368027598,867730.4485821677,1004752.0659804248
2025-04-20T20:20:00.000+0000,938798.5120913838,867730.4485821677,1007053.774805595
2025-04-20T20:30:00.000+0000,938608.3445072557,867730.4485821677,1005139.9336624404
2025-04-20T20:40:00.000+0000,938827.0720451277,867730.4485821677,1005508.2336860886
2025-04-20T20:50:00.000+0000,938881.8033050636,867730.4485821677,1003579.1960362386
2025-04-20T21:00:00.000+0000,939278.7048296238,867730.4485821677,1002647.8667352379
2025-04-20T21:10:00.000+0000,940035.2059441837,867730.4485821677,1002163.4942126938
2025-04-20T21:20:00.000+0000,940018.1160870157,867730.4485821677,1001988.2732750096
2025-04-20T21:30:00.000+0000,940434.0125234798,867730.4485821677,1003449.1849159375
2025-04-20T21:40:00.000+0000,940778.8404602637,867730.4485821677,1004189.422210851
2025-04-20T21:50:00.000+0000,940735.0727624557,867730.4485821677,1004446.3482280329
2025-04-20T22:00:00.000+0000,940604.1780021037,867730.4485821677,1000875.699485348
2025-04-20T22:10:00.000+0000,939852.9909728718,867730.4485821677,1000528.3668233684
2025-04-20T22:20:00.000+0000,939444.7575610798,867730.4485821677,997900.948806752
2025-04-20T22:30:00.000+0000,939379.9351405357,867730.4485821677,999200.5134775528
2025-04-20T22:40:00.000+0000,939065.2001701037,867730.4485821677,1000267.5362951135
2025-04-20T22:50:00.000+0000,938244.2686011756,867730.4485821677,1000059.7235928072
2025-04-20T23:00:00.000+0000,938395.2247195917,867730.4485821677,1002071.2024844629
2025-04-20T23:10:00.000+0000,938348.1765882317,867730.4485821677,1003478.0910419633
2025-04-20T23:20:00.000+0000,938866.2513965517,867730.4485821677,1003782.5397532054
2025-04-20T23:30:00.000+0000,939452.9005214957,865694.5612821678,1003394.2051023951
2025-04-20T23:40:00.000+0000,939606.4719221598,865694.5612821678,1003194.5512549933
2025-04-20T23:50:00.000+0000,940105.0950542798,865694.5612821678,1004829.4299030522
2025-04-21T00:00:00.000+0000,938799.4106181358,865694.5612821678,1005440.2832076154
2025-04-21T00:10:00.000+0000,939212.2828459038,865694.5612821678,1010547.1506187641
2025-04-21T00:20:00.000+0000,938706.4312611758,865694.5612821678,1012189.9391759697
2025-04-21T00:30:00.000+0000,938222.8441206318,865694.5612821678,1023401.780998545
2025-04-21T00:40:00.000+0000,938548.0144161198,865694.5612821678,1025578.5719167436
2025-04-21T00:50:00.000+0000,937579.5261670477,865694.5612821678,1024780.5335279454
2025-04-21T01:00:00.000+0000,937309.3806165198,865694.5612821678,1027166.4340625338
2025-04-21T01:10:00.000+0000,938266.2619585517,865694.5612821678,1024664.3001444649
2025-04-21T01:20:00.000+0000,939055.2699867599,434412.2812821676,1024990.442945757
2025-04-21T01:30:00.000+0000,928157.6389859756,434412.2812821676,1027255.6513070085
2025-04-21T01:40:00.000+0000,948709.9640918716,434412.2812821676,1029670.0059176148
2025-04-21T01:50:00.000+0000,963326.9842333756,444877.2199283276,1030955.5811537243
2025-04-21T02:00:00.000+0000,997172.1330360959,444877.2199283276,1030510.455114735
2025-04-21T02:10:00.000+0000,999115.1492885678,493810.1673282477,1031270.1352386097
2025-04-21T02:20:00.000+0000,1015570.5222203515,493810.1673282477,1032535.8796081974
2025-04-21T02:30:00.000+0000,1019580.6342222237,493810.1673282477,1029018.0596335031
2025-04-21T02:40:00.000+0000,1019703.9357620158,493810.1673282477,1027020.3672249017
2025-04-21T02:50:00.000+0000,1026126.5005264718,493810.1673282477,1029617.1991737557
2025-04-21T03:00:00.000+0000,1027512.8590017117,493810.1673282477,1030291.6089594759
2025-04-21T03:10:00.000+0000,1031891.2820088717,493810.1673282477,1029534.3422006705
2025-04-21T03:20:00.000+0000,1035362.0850933116,493810.1673282477,1028156.4509784973
2025-04-21T03:30:00.000+0000,1038459.8769056876,493810.1673282477,1028767.8189841369
2025-04-21T03:40:00.000+0000,1042099.1394146876,493810.1673282477,1028721.3677615903
2025-04-21T03:50:00.000+0000,1041721.3335813435,493810.1673282477,1027384.8276768613
2025-04-21T04:00:00.000+0000,1042559.9571153676,493810.1673282477,1028790.8052106095
2025-04-21T04:10:00.000+0000,1042388.7359530398,474463.4584282477,1027492.8592924073
2025-04-21T04:20:00.000+0000,1040162.9797570239,482694.20564792765,1027967.0655111047
2025-04-21T04:30:00.000+0000,1040352.995633872,858318.750645056,1027035.5841815359
2025-04-21T04:40:00.000+0000,1040322.590445616,1008512.4263916641,1029434.0407025521
2025-04-21T04:50:00.000+0000,1040338.406023024,1014256.2212767841,1031918.8982645608
2025-04-21T05:00:00.000+0000,1040500.270467792,993193.0294567841,1032590.9613627575
2025-04-21T05:10:00.000+0000,1041056.8464019682,1004216.7737765921,1032587.6820239084
2025-04-21T05:20:00.000+0000,1041188.1115657601,1014677.4397436321,1033731.9396077741
2025-04-21T05:30:00.000+0000,1041156.1656229761,1014677.4397436321,1033349.5703583027
2025-04-21T05:40:00.000+0000,1041142.9456873921,1014677.4397436321,1033988.4769841237
2025-04-21T05:50:00.000+0000,1041092.3467989122,1014677.4397436321,1035564.0473894286
2025-04-21T06:00:00.000+0000,1041211.8257991842,1014677.4397436321,1035542.1667053184
2025-04-21T06:10:00.000+0000,1041270.0450864641,1014677.4397436321,1035819.5109123948
2025-04-21T06:20:00.000+0000,1041212.2523176961,1014677.4397436321,1036135.0272168709
2025-04-21T06:30:00.000+0000,1041281.8189398401,1014677.4397436321,1034794.074516689
2025-04-21T06:40:00.000+0000,1041270.3050783041,1014677.4397436321,1034312.1656940002
2025-04-21T06:50:00.000+0000,1041283.5250138881,1014677.4397436321,1035390.7763936028
2025-04-21T07:00:00.000+0000,1041263.3894552322,1014677.4397436321,1035868.1865667392
2025-04-21T07:10:00.000+0000,1041484.0479670881,1014677.4397436321,1033355.4796209338
2025-04-21T07:20:00.000+0000,1041565.1101853921,1014677.4397436321,1032535.6791332245
2025-04-21T07:30:00.000+0000,1041751.5236352321,1014677.4397436321,1033262.3414396173
2025-04-21T07:40:00.000+0000,1041763.9087991681,1014677.4397436321,1034461.5669415095
2025-04-21T07:50:00.000+0000,1041724.97203352,1014677.4397436321,1033136.0431582285
2025-04-21T08:00:00.000+0000,1041836.7941042401,1014677.4397436321,1033517.8675073308
2025-04-21T08:10:00.000+0000,1041836.0527977601,1014677.4397436321,1032476.3693036821
2025-04-21T08:20:00.000+0000,1041819.235922032,1014677.4397436321,1033505.4952800409
2025-04-21T08:30:00.000+0000,1041942.4235929921,1014677.4397436321,1034196.3676585273
2025-04-21T08:40:00.000+0000,1041837.0723614561,1014677.4397436321,1033591.9395102946
2025-04-21T08:50:00.000+0000,1041758.4392583042,1014677.4397436321,1034949.5370703866
2025-04-21T09:00:00.000+0000,1041730.2750477121,1014677.4397436321,1036107.4787975935
2025-04-21T09:10:00.000+0000,1041732.3879687759,972723.1085236322,1032258.6136182318
2025-04-21T09:20:00.000+0000,1041674.909987976,1014558.942370184,1032084.4449999986
2025-04-21T09:30:00.000+0000,1041676.059547592,1014558.942370184,1030256.570399268
