date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-30T17:50:00.000+0000,1000000.0,1000000.0,999234.131366827
2025-04-30T18:00:00.000+0000,995458.2174072,69.42500000024688,998794.0381306753
2025-04-30T18:10:00.000+0000,995196.0353208,898383.6192632,1003976.6325894279
2025-04-30T18:20:00.000+0000,995505.2757304,898383.6192632,1001572.3154054359
2025-04-30T18:30:00.000+0000,995491.8304951999,898383.6192632,1001031.4705838792
2025-04-30T18:40:00.000+0000,995350.6555256,898383.6192632,1000154.2859241691
2025-04-30T18:50:00.000+0000,995350.6555256,898383.6192632,1002282.655709568
2025-04-30T19:00:00.000+0000,995370.8233784,898383.6192632,1002696.402953892
2025-04-30T19:10:00.000+0000,995390.9912311999,898383.6192632,1001370.5890407083
2025-04-30T19:20:00.000+0000,995720.3994936,898383.6192632,998326.5510868863
2025-04-30T19:30:00.000+0000,995686.7864055999,898383.6192632,998597.4433981276
2025-04-30T19:40:00.000+0000,995505.2757304,898383.6192632,1000065.1458524421
2025-04-30T19:50:00.000+0000,995196.0353208,898383.6192632,1003589.4153117852
2025-04-30T20:00:00.000+0000,995095.1960568,898383.6192632,1003697.1565094509
2025-04-30T20:10:00.000+0000,995216.2031736001,995216.2031736001,1009973.5865283934
2025-04-30T20:20:00.000+0000,994420.4060856003,469.8431736000155,1011523.1545903401
2025-04-30T20:30:00.000+0000,994555.3620344,469.8431736000155,1010681.606616044
2025-04-30T20:40:00.000+0000,995162.663804,469.8431736000155,1010230.479101917
2025-04-30T20:50:00.000+0000,995500.0536760003,469.8431736000155,1009539.6375346158
2025-04-30T21:00:00.000+0000,996174.8334200003,469.8431736000155,1009775.0968028195
2025-04-30T21:10:00.000+0000,997119.5250616,469.8431736000155,1008763.180539851
2025-04-30T21:20:00.000+0000,997254.4810104003,469.8431736000155,1009914.1755945103
2025-04-30T21:30:00.000+0000,996849.613164,469.8431736000155,1008904.9474438204
2025-04-30T21:40:00.000+0000,997187.0030360002,469.8431736000155,1008863.8009069294
2025-04-30T21:50:00.000+0000,995843.5616496002,469.8431736000155,1007094.1478378033
2025-04-30T22:00:00.000+0000,995654.1183256002,7418.124098400013,1009266.5667507058
2025-04-30T22:10:00.000+0000,995859.3280264002,491761.6980112,1010064.041367494
2025-04-30T22:20:00.000+0000,995380.5053912002,491761.6980112,1008995.624497849
2025-04-30T22:30:00.000+0000,996064.5377272001,491761.6980112,1007826.6671672903
2025-04-30T22:40:00.000+0000,997022.1829976002,491761.6980112,1006388.6472047064
2025-04-30T22:50:00.000+0000,996269.747428,491761.6980112,1006699.6050943763
2025-04-30T23:00:00.000+0000,994867.4811392002,491761.6980112,1007835.0543305608
2025-04-30T23:10:00.000+0000,993157.4002992001,491761.6980112,1010254.7388970719
2025-04-30T23:20:00.000+0000,993362.6100000001,491761.6980112,1009845.4053195592
2025-04-30T23:30:00.000+0000,993123.1986824002,491761.6980112,1010626.5554063234
