date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-05T08:00:00.000+0000,1000000.0,1000000.0,999649.4568841766
2025-04-05T08:10:00.000+0000,999998.9433439199,998876.6468,997520.5336655052
2025-04-05T08:20:00.000+0000,999997.2056352,998876.6468,996806.8138535738
2025-04-05T08:30:00.000+0000,999998.83802824,998876.6468,997408.6991903067
2025-04-05T08:40:00.000+0000,999997.67955576,998876.6468,999153.0991194468
2025-04-05T08:50:00.000+0000,999998.15347632,998876.6468,999091.6183890001
2025-04-05T09:00:00.000+0000,999996.6790568,998876.6468,999406.9717493183
2025-04-05T09:10:00.000+0000,999995.8365313599,998876.6468,1001359.6015868665
2025-04-05T09:20:00.000+0000,999996.73171464,998876.6468,1001210.0815164938
2025-04-05T09:30:00.000+0000,999997.41626656,998876.6468,1000704.6065276541
2025-04-05T09:40:00.000+0000,999993.4669285599,998876.6468,1001463.8915968093
2025-04-05T09:50:00.000+0000,999991.8345355199,998876.6468,1002567.1942852014
2025-04-05T10:00:00.000+0000,999988.56974944,998876.6468,1002486.7849416452
2025-04-05T10:10:00.000+0000,999985.67356824,998876.6468,1001448.1900569038
2025-04-05T10:20:00.000+0000,999984.77838496,998876.6468,1000746.3191186204
2025-04-05T10:30:00.000+0000,999984.5677536,998876.6468,1000104.374843094
2025-04-05T10:40:00.000+0000,999989.51759056,998876.6468,998965.9004857594
2025-04-05T10:50:00.000+0000,999987.09532992,998876.6468,999727.7837574088
2025-04-05T11:00:00.000+0000,999985.14698984,998876.6468,998737.5771689834
2025-04-05T11:10:00.000+0000,999984.3044643999,998876.6468,995694.6562077125
2025-04-05T11:20:00.000+0000,999983.46193896,998876.6468,996499.3415517185
2025-04-05T11:30:00.000+0000,999980.3551264,998876.6468,994533.4668628414
2025-04-05T11:40:00.000+0000,999984.40978008,998876.6468,994821.3323710908
2025-04-05T11:50:00.000+0000,999981.88220376,998876.6468,995305.0058167086
2025-04-05T12:00:00.000+0000,999981.25030968,998876.6468,994265.7635899287
2025-04-05T12:10:00.000+0000,999979.67057448,998876.6468,994389.2744702729
2025-04-05T12:20:00.000+0000,999978.98602256,998876.6468,992870.5888916291
2025-04-05T12:30:00.000+0000,999977.51160304,998876.6468,991142.6792764307
2025-04-05T12:40:00.000+0000,999985.46293688,998876.6468,987969.266477677
2025-04-05T12:50:00.000+0000,999989.93885328,998876.6468,988034.7704019987
2025-04-05T13:00:00.000+0000,999988.46443376,998876.6468,987428.2454502187
2025-04-05T13:10:00.000+0000,999992.67706096,998876.6468,984612.743974053
2025-04-05T13:20:00.000+0000,999998.36410768,998876.6468,983069.5350486364
2025-04-05T13:30:00.000+0000,999997.78487144,998876.6468,982950.3807456424
