date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-05T08:00:00.000+0000,1000000.0,1000000.0,999649.4568841766,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-05T08:10:00.000+0000,999984.8619480002,983906.4200000002,997520.5336655052,999992.43498408,991957.4732,1000000.0,1000000.0
2025-04-05T08:20:00.000+0000,999959.9668800002,983906.4200000002,996806.8138535738,999979.9940448,991957.4732,1000000.0,1000000.0
2025-04-05T08:30:00.000+0000,999983.3531560001,983906.4200000002,997408.6991903067,999991.68098776,991957.4732,1000000.0,1000000.0
2025-04-05T08:40:00.000+0000,999966.7564440002,983906.4200000002,999153.0991194468,999983.38702824,991957.4732,1000000.0,1000000.0
2025-04-05T08:50:00.000+0000,999973.5460080002,983906.4200000002,999091.6183890001,999986.78001168,991957.4732,1000000.0,1000000.0
2025-04-05T09:00:00.000+0000,999952.4229200002,983906.4200000002,999406.9717493183,999976.2240632001,991957.4732,1000000.0,1000000.0
2025-04-05T09:10:00.000+0000,999940.3525840002,983906.4200000002,1001359.6015868665,999970.19209264,991957.4732,1000000.0,1000000.0
2025-04-05T09:20:00.000+0000,999953.1773160002,983906.4200000002,1001210.0815164938,999976.60106136,991957.4732,1000000.0,1000000.0
2025-04-05T09:30:00.000+0000,999962.9844640002,983906.4200000002,1000704.6065276541,999981.50203744,991957.4732,1000000.0,1000000.0
2025-04-05T09:40:00.000+0000,999906.4047640002,983906.4200000002,1001463.8915968093,999953.22717544,991957.4732,1000000.0,1000000.0
2025-04-05T09:50:00.000+0000,999883.0184880001,983906.4200000002,1002567.1942852014,999941.54023248,991957.4732,1000000.0,1000000.0
2025-04-05T10:00:00.000+0000,999836.2459360001,983906.4200000002,1002486.7849416452,999918.16634656,991957.4732,1000000.0,1000000.0
2025-04-05T10:10:00.000+0000,999794.7541560002,983906.4200000002,1001448.1900569038,999897.43144776,991957.4732,1000000.0,1000000.0
2025-04-05T10:20:00.000+0000,999781.9294240002,983906.4200000002,1000746.3191186204,999891.02247904,991957.4732,1000000.0,1000000.0
2025-04-05T10:30:00.000+0000,999778.9118400002,983906.4200000002,1000104.374843094,999889.5144864001,991957.4732,1000000.0,1000000.0
2025-04-05T10:40:00.000+0000,999849.8250640002,983906.4200000002,998965.9004857594,999924.95231344,991957.4732,1000000.0,1000000.0
2025-04-05T10:50:00.000+0000,999815.1228480001,983906.4200000002,999727.7837574088,999907.61039808,991957.4732,1000000.0,1000000.0
2025-04-05T11:00:00.000+0000,999787.2101960002,983906.4200000002,998737.5771689834,999893.66146616,991957.4732,1000000.0,1000000.0
2025-04-05T11:10:00.000+0000,999775.1398600001,983906.4200000002,995694.6562077125,999887.6294956,991957.4732,1000000.0,1000000.0
2025-04-05T11:20:00.000+0000,999763.0695240002,983906.4200000002,996499.3415517185,999881.59752504,991957.4732,1000000.0,1000000.0
2025-04-05T11:30:00.000+0000,999718.5601600001,983906.4200000002,994533.4668628414,999859.3546336,991957.4732,1000000.0,1000000.0
2025-04-05T11:40:00.000+0000,999776.6486520001,983906.4200000002,994821.3323710908,999888.38349192,991957.4732,1000000.0,1000000.0
2025-04-05T11:50:00.000+0000,999740.4376440002,983906.4200000002,995305.0058167086,999870.28758024,991957.4732,1000000.0,1000000.0
2025-04-05T12:00:00.000+0000,999731.3848920001,983906.4200000002,994265.7635899287,999865.76360232,991957.4732,1000000.0,1000000.0
2025-04-05T12:10:00.000+0000,999708.7530120001,983906.4200000002,994389.2744702729,999854.45365752,991957.4732,1000000.0,1000000.0
2025-04-05T12:20:00.000+0000,999698.9458640001,983906.4200000002,992870.5888916291,999849.55268144,991957.4732,1000000.0,1000000.0
2025-04-05T12:30:00.000+0000,999677.8227760001,983906.4200000002,991142.6792764307,999838.99673296,991957.4732,1000000.0,1000000.0
2025-04-05T12:40:00.000+0000,999791.7365720002,983906.4200000002,987969.266477677,999895.9234551201,991957.4732,1000000.0,1000000.0
2025-04-05T12:50:00.000+0000,999855.8602320001,983906.4200000002,988034.7704019987,999927.96829872,991957.4732,1000000.0,1000000.0
2025-04-05T13:00:00.000+0000,999834.7371440001,983906.4200000002,987428.2454502187,999917.41235024,991957.4732,1000000.0,1000000.0
2025-04-05T13:10:00.000+0000,999895.0888240002,983906.4200000002,984612.743974053,999947.57220304,991957.4732,1000000.0,1000000.0
