date,total_balance_normal,unlocked_balance_normal,benchmark
2025-03-15T01:30:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-03-15T01:40:00.000+0000,999984.6926161366,992446.8853600007,999999.9999999999
2025-03-15T01:50:00.000+0000,999983.0576351687,992446.8853600007,999999.9999999999
2025-03-15T02:00:00.000+0000,999999.4074448487,992446.8853600007,999999.9999999999
2025-03-15T02:10:00.000+0000,1000002.6774067846,992446.8853600007,999999.9999999999
2025-03-15T02:20:00.000+0000,999943.2730982807,992446.8853600007,999999.9999999999
2025-03-15T02:30:00.000+0000,999944.3630855926,992446.8853600007,999999.9999999999
2025-03-15T02:40:00.000+0000,999873.5139103127,992446.8853600007,999999.9999999999
2025-03-15T02:50:00.000+0000,999826.0994622407,992446.8853600007,999999.9999999999
2025-03-15T03:00:00.000+0000,999794.4898301926,992446.8853600007,999999.9999999999
2025-03-15T03:10:00.000+0000,999773.7800712646,992446.8853600007,999999.9999999999
2025-03-15T03:20:00.000+0000,999773.2350776086,992446.8853600007,999999.9999999999
2025-03-15T03:30:00.000+0000,999755.7952806166,992446.8853600007,999999.9999999999
2025-03-15T03:40:00.000+0000,999751.4353313687,992446.8853600007,999999.9999999999
2025-03-15T03:50:00.000+0000,999743.2604265286,992446.8853600007,999999.9999999999
2025-03-15T04:00:00.000+0000,999777.5950268566,992446.8853600007,999999.9999999999
2025-03-15T04:10:00.000+0000,999778.1400205126,992446.8853600007,999999.9999999999
2025-03-15T04:20:00.000+0000,999809.7496525607,992446.8853600007,999999.9999999999
2025-03-15T04:30:00.000+0000,999762.8801981447,992446.8853600007,999999.9999999999
2025-03-15T04:40:00.000+0000,999706.7458515767,992446.8853600007,999999.9999999999
2025-03-15T04:50:00.000+0000,999633.1717080167,992446.8853600007,999999.9999999999
2025-03-15T05:00:00.000+0000,999620.6368539287,992446.8853600007,999999.9999999999
2025-03-15T05:10:00.000+0000,999582.4872980086,992446.8853600007,999999.9999999999
2025-03-15T05:20:00.000+0000,999612.4619490886,992446.8853600007,999999.9999999999
2025-03-15T05:30:00.000+0000,999626.0867904887,992446.8853600007,999999.9999999999
2025-03-15T05:40:00.000+0000,999647.3415430726,992446.8853600007,999999.9999999999
2025-03-15T05:50:00.000+0000,999624.4518095207,992446.8853600007,999999.9999999999
2025-03-15T06:00:00.000+0000,999586.3022536007,992446.8853600007,999999.9999999999
2025-03-15T06:10:00.000+0000,999528.5329260647,992446.8853600007,999999.9999999999
2025-03-15T06:20:00.000+0000,999524.1729768167,992446.8853600007,999999.9999999999
2025-03-15T06:30:00.000+0000,999521.9930021927,992446.8853600007,999999.9999999999
2025-03-15T06:40:00.000+0000,999502.3732305766,992446.8853600007,999999.9999999999
2025-03-15T06:50:00.000+0000,999525.2629641286,992446.8853600007,999999.9999999999
2025-03-15T07:00:00.000+0000,999527.4429387527,992446.8853600007,999999.9999999999
2025-03-15T07:10:00.000+0000,999598.2921140327,992446.8853600007,999999.9999999999
2025-03-15T07:20:00.000+0000,999608.6469934967,992446.8853600007,999999.9999999999
2025-03-15T07:30:00.000+0000,999623.9068158646,992446.8853600007,999999.9999999999
2025-03-15T07:40:00.000+0000,999613.5519364007,992446.8853600007,999999.9999999999
2025-03-15T07:50:00.000+0000,999629.9017460806,992446.8853600007,999999.9999999999
2025-03-15T08:00:00.000+0000,999676.7712004967,992446.8853600007,999999.9999999999
2025-03-15T08:10:00.000+0000,999713.2857754487,992446.8853600007,999999.9999999999
2025-03-15T08:20:00.000+0000,999728.0006041607,992446.8853600007,999999.9999999999
2025-03-15T08:30:00.000+0000,999668.5962956566,992446.8853600007,999999.9999999999
2025-03-15T08:40:00.000+0000,999664.2363464086,992446.8853600007,999999.9999999999
2025-03-15T08:50:00.000+0000,999642.9815938247,992446.8853600007,999999.9999999999
2025-03-15T09:00:00.000+0000,999619.0018729607,992446.8853600007,999999.9999999999
2025-03-15T09:10:00.000+0000,999633.7167016726,992446.8853600007,999999.9999999999
2025-03-15T09:20:00.000+0000,999641.3466128566,992446.8853600007,999999.9999999999
2025-03-15T09:30:00.000+0000,999638.0766509207,992446.8853600007,999999.9999999999
2025-03-15T09:40:00.000+0000,999641.8916065127,992446.8853600007,999999.9999999999
2025-03-15T09:50:00.000+0000,999681.6761434006,992446.8853600007,999999.9999999999
2025-03-15T10:00:00.000+0000,999641.3466128566,992446.8853600007,999999.9999999999
2025-03-15T10:10:00.000+0000,999630.9917333927,992446.8853600007,999999.9999999999
2025-03-15T10:20:00.000+0000,999609.7369808087,992446.8853600007,999999.9999999999
2025-03-15T10:30:00.000+0000,999602.6520632807,992446.8853600007,999999.9999999999
2025-03-15T10:40:00.000+0000,999680.5861560886,992446.8853600007,999999.9999999999
2025-03-15T10:50:00.000+0000,999704.5658769526,992446.8853600007,999999.9999999999
2025-03-15T11:00:00.000+0000,999735.6305153447,992446.8853600007,999999.9999999999
2025-03-15T11:10:00.000+0000,999756.8852679287,992446.8853600007,999999.9999999999
2025-03-15T11:20:00.000+0000,999767.2401473926,992446.8853600007,999999.9999999999
2025-03-15T11:30:00.000+0000,999759.6102362087,992446.8853600007,999999.9999999999
2025-03-15T11:40:00.000+0000,999760.1552298646,992446.8853600007,999999.9999999999
2025-03-15T11:50:00.000+0000,999754.7052933046,992446.8853600007,999999.9999999999
2025-03-15T12:00:00.000+0000,999710.5608071686,992446.8853600007,999999.9999999999
2025-03-15T12:10:00.000+0000,999696.9359657686,992446.8853600007,999999.9999999999
2025-03-15T12:20:00.000+0000,999696.9359657686,992446.8853600007,999999.9999999999
2025-03-15T12:30:00.000+0000,999682.2211370567,992446.8853600007,999999.9999999999
2025-03-15T12:40:00.000+0000,999672.9562449047,992446.8853600007,999999.9999999999
2025-03-15T12:50:00.000+0000,999692.0310228646,992446.8853600007,999999.9999999999
2025-03-15T13:00:00.000+0000,999640.2566255446,992446.8853600007,999999.9999999999
2025-03-15T13:10:00.000+0000,999604.8320379046,992446.8853600007,999999.9999999999
2025-03-15T13:20:00.000+0000,999573.7673995127,992446.8853600007,999999.9999999999
2025-03-15T13:30:00.000+0000,999547.6077040246,992446.8853600007,999999.9999999999
2025-03-15T13:40:00.000+0000,999500.1932559527,992446.8853600007,999999.9999999999
2025-03-15T13:50:00.000+0000,999519.8130275686,992446.8853600007,999999.9999999999
2025-03-15T14:00:00.000+0000,999536.7078309046,992446.8853600007,999999.9999999999
2025-03-15T14:10:00.000+0000,999561.7775390807,992446.8853600007,999999.9999999999
2025-03-15T14:20:00.000+0000,999585.2122662887,992446.8853600007,999999.9999999999
2025-03-15T14:30:00.000+0000,999616.8218983366,992446.8853600007,999999.9999999999
2025-03-15T14:40:00.000+0000,999568.3174629527,992446.8853600007,999999.9999999999
2025-03-15T14:50:00.000+0000,999543.2477547766,992446.8853600007,999999.9999999999
2025-03-15T15:00:00.000+0000,999548.6976913366,992446.8853600007,999999.9999999999
2025-03-15T15:10:00.000+0000,999541.6127738087,992446.8853600007,999999.9999999999
2025-03-15T15:20:00.000+0000,999549.2426849926,992446.8853600007,999999.9999999999
2025-03-15T15:30:00.000+0000,999585.7572599447,992446.8853600007,999999.9999999999
2025-03-15T15:40:00.000+0000,999594.4771584406,992446.8853600007,999999.9999999999
2025-03-15T15:50:00.000+0000,999614.6419237127,992446.8853600007,999999.9999999999
2025-03-15T16:00:00.000+0000,999533.9828626247,992446.8853600007,999999.9999999999
2025-03-15T16:10:00.000+0000,999522.5379958487,992446.8853600007,999999.9999999999
2025-03-15T16:20:00.000+0000,999543.7927484326,992446.8853600007,999999.9999999999
2025-03-15T16:30:00.000+0000,999553.6026342406,992446.8853600007,999999.9999999999
2025-03-15T16:40:00.000+0000,999542.7027611206,992446.8853600007,999999.9999999999
2025-03-15T16:50:00.000+0000,999590.1172091927,992446.8853600007,999999.9999999999
2025-03-15T17:00:00.000+0000,999591.2071965047,992446.8853600007,999999.9999999999
2025-03-15T17:10:00.000+0000,999575.4023804807,992446.8853600007,999999.9999999999
2025-03-15T17:20:00.000+0000,999531.2578943446,992446.8853600007,999999.9999999999
2025-03-15T17:30:00.000+0000,999533.9828626247,992446.8853600007,999999.9999999999
2025-03-15T17:40:00.000+0000,999543.7927484326,992446.8853600007,999999.9999999999
2025-03-15T17:50:00.000+0000,999513.8180973526,992446.8853600007,999999.9999999999
2025-03-15T18:00:00.000+0000,999480.0284906806,992446.8853600007,999999.9999999999
2025-03-15T18:10:00.000+0000,999477.3035224007,992446.8853600007,999999.9999999999
2025-03-15T18:20:00.000+0000,999477.8485160567,992446.8853600007,999999.9999999999
2025-03-15T18:30:00.000+0000,999550.8776659607,992446.8853600007,999999.9999999999
2025-03-15T18:40:00.000+0000,999696.9359657686,992446.8853600007,999999.9999999999
2025-03-15T18:50:00.000+0000,999721.4606802886,992446.8853600007,999999.9999999999
2025-03-15T19:00:00.000+0000,999723.0956612567,992446.8853600007,999999.9999999999
2025-03-15T19:10:00.000+0000,999719.2807056647,992446.8853600007,999999.9999999999
2025-03-15T19:20:00.000+0000,999685.4910989926,992446.8853600007,999999.9999999999
2025-03-15T19:30:00.000+0000,999678.9511751207,992446.8853600007,999999.9999999999
2025-03-15T19:40:00.000+0000,999695.3009848007,992446.8853600007,999999.9999999999
2025-03-15T19:50:00.000+0000,999669.1412893126,992446.8853600007,999999.9999999999
2025-03-15T20:00:00.000+0000,999674.5912258726,992446.8853600007,999999.9999999999
2025-03-15T20:10:00.000+0000,999671.3212639367,992446.8853600007,999999.9999999999
2025-03-15T20:20:00.000+0000,999694.7559911447,992446.8853600007,999999.9999999999
2025-03-15T20:30:00.000+0000,999675.1362195286,992446.8853600007,999999.9999999999
2025-03-15T20:40:00.000+0000,999672.4112512487,992446.8853600007,999999.9999999999
2025-03-15T20:50:00.000+0000,999673.5012385607,992446.8853600007,999999.9999999999
2025-03-15T21:00:00.000+0000,999665.3263337207,992446.8853600007,999999.9999999999
2025-03-15T21:10:00.000+0000,999657.6964225366,992446.8853600007,999999.9999999999
2025-03-15T21:20:00.000+0000,999642.9815938247,992446.8853600007,999999.9999999999
2025-03-15T21:30:00.000+0000,999603.1970569367,992446.8853600007,999999.9999999999
2025-03-15T21:40:00.000+0000,999595.5671457526,992446.8853600007,999999.9999999999
2025-03-15T21:50:00.000+0000,999615.7319110247,992446.8853600007,999999.9999999999
2025-03-15T22:00:00.000+0000,999588.4822282246,992446.8853600007,999999.9999999999
2025-03-15T22:10:00.000+0000,999614.6419237127,992446.8853600007,999999.9999999999
2025-03-15T22:20:00.000+0000,999590.1172091927,992446.8853600007,999999.9999999999
2025-03-15T22:30:00.000+0000,999581.3973106967,992446.8853600007,999999.9999999999
2025-03-15T22:40:00.000+0000,999581.3973106967,992446.8853600007,999999.9999999999
2025-03-15T22:50:00.000+0000,999573.2224058567,992446.8853600007,999999.9999999999
2025-03-15T23:00:00.000+0000,999578.6723424167,992446.8853600007,999999.9999999999
2025-03-15T23:10:00.000+0000,999592.2971838167,992446.8853600007,999999.9999999999
2025-03-15T23:20:00.000+0000,999615.7319110247,992446.8853600007,999999.9999999999
2025-03-15T23:30:00.000+0000,999686.5810863046,992446.8853600007,999999.9999999999
2025-03-15T23:40:00.000+0000,999703.4758896406,992446.8853600007,999999.9999999999
2025-03-15T23:50:00.000+0000,999686.0360926486,992446.8853600007,999999.9999999999
2025-03-16T00:00:00.000+0000,999682.2211370567,992446.8853600007,999999.9999999999
2025-03-16T00:10:00.000+0000,999738.3554836246,992446.8853600007,999999.9999999999
2025-03-16T00:20:00.000+0000,999751.4353313687,992446.8853600007,999999.9999999999
2025-03-16T00:30:00.000+0000,999764.5151791127,992446.8853600007,999999.9999999999
2025-03-16T00:40:00.000+0000,999790.6748746006,992446.8853600007,999999.9999999999
2025-03-16T00:50:00.000+0000,999789.0398936326,992446.8853600007,999999.9999999999
2025-03-16T01:00:00.000+0000,999833.7293734247,992446.8853600007,999999.9999999999
2025-03-16T01:10:00.000+0000,999832.0943924567,992446.8853600007,999999.9999999999
2025-03-16T01:20:00.000+0000,999847.3542148246,992446.8853600007,999999.9999999999
2025-03-16T01:30:00.000+0000,999864.7940118166,992446.8853600007,999999.9999999999
2025-03-16T01:40:00.000+0000,999850.0791831047,992446.8853600007,999999.9999999999
2025-03-16T01:50:00.000+0000,999869.6989547206,992446.8853600007,999999.9999999999
2025-03-16T02:00:00.000+0000,999882.7788024647,992446.8853600007,999999.9999999999
2025-03-16T02:10:00.000+0000,999885.5037707447,992446.8853600007,999999.9999999999
2025-03-16T02:20:00.000+0000,999899.6736058006,992446.8853600007,999999.9999999999
2025-03-16T02:30:00.000+0000,999848.4442021367,992446.8853600007,999999.9999999999
2025-03-16T02:40:00.000+0000,999876.7838722486,992446.8853600007,999999.9999999999
2025-03-16T02:50:00.000+0000,999914.9334281686,992446.8853600007,999999.9999999999
2025-03-16T03:00:00.000+0000,999923.1083330087,992446.8853600007,999999.9999999999
2025-03-16T03:10:00.000+0000,999879.5088405287,992446.8853600007,999999.9999999999
2025-03-16T03:20:00.000+0000,999878.9638468727,992446.8853600007,999999.9999999999
2025-03-16T03:30:00.000+0000,999858.2540879446,992446.8853600007,999999.9999999999
2025-03-16T03:40:00.000+0000,999851.7141640726,992446.8853600007,999999.9999999999
2025-03-16T03:50:00.000+0000,999836.4543417046,992446.8853600007,999999.9999999999
2025-03-16T04:00:00.000+0000,999844.6292465447,992446.8853600007,999999.9999999999
2025-03-16T04:10:00.000+0000,999845.1742402007,992446.8853600007,999999.9999999999
2025-03-16T04:20:00.000+0000,999873.5139103127,992446.8853600007,999999.9999999999
2025-03-16T04:30:00.000+0000,999884.4137834327,992446.8853600007,999999.9999999999
2025-03-16T04:40:00.000+0000,999918.7483837607,992446.8853600007,999999.9999999999
2025-03-16T04:50:00.000+0000,999940.5481300007,992446.8853600007,999999.9999999999
2025-03-16T05:00:00.000+0000,999929.1032632247,992446.8853600007,999999.9999999999
2025-03-16T05:10:00.000+0000,999951.4480031206,992446.8853600007,999999.9999999999
2025-03-16T05:20:00.000+0000,999945.4530729046,992446.8853600007,999999.9999999999
2025-03-16T05:30:00.000+0000,999944.3630855926,992446.8853600007,999999.9999999999
2025-03-16T05:40:00.000+0000,999978.6976859206,992446.8853600007,999999.9999999999
2025-03-16T05:50:00.000+0000,999991.2325400086,992446.8853600007,999999.9999999999
2025-03-16T06:00:00.000+0000,1000001.0424258166,992446.8853600007,999999.9999999999
2025-03-16T06:10:00.000+0000,999973.7927430166,992446.8853600007,999999.9999999999
2025-03-16T06:20:00.000+0000,999986.3275971047,992446.8853600007,999999.9999999999
2025-03-16T06:30:00.000+0000,999983.0576351687,992446.8853600007,999999.9999999999
2025-03-16T06:40:00.000+0000,1000023.9321593686,992446.8853600007,999999.9999999999
2025-03-16T06:50:00.000+0000,1000031.5620705526,992446.8853600007,999999.9999999999
2025-03-16T07:00:00.000+0000,1000078.9765186247,992446.8853600007,999999.9999999999
2025-03-16T07:10:00.000+0000,1000029.9270895846,992446.8853600007,999999.9999999999
2025-03-16T07:20:00.000+0000,1000002.6774067846,992446.8853600007,999999.9999999999
2025-03-16T07:30:00.000+0000,1000022.2971784007,992446.8853600007,999999.9999999999
2025-03-16T07:40:00.000+0000,1000034.2870388327,992446.8853600007,999999.9999999999
2025-03-16T07:50:00.000+0000,999981.4226542007,992446.8853600007,999999.9999999999
2025-03-16T08:00:00.000+0000,999999.9524385047,992446.8853600007,999999.9999999999
2025-03-16T08:10:00.000+0000,1000037.0120071126,992446.8853600007,999999.9999999999
2025-03-16T08:20:00.000+0000,1000058.8117533526,992446.8853600007,999999.9999999999
2025-03-16T08:30:00.000+0000,1000058.2667596966,992446.8853600007,999999.9999999999
2025-03-16T08:40:00.000+0000,1000002.6774067846,992446.8853600007,999999.9999999999
2025-03-16T08:50:00.000+0000,1000003.7673940967,992446.8853600007,999999.9999999999
2025-03-16T09:00:00.000+0000,1000007.0373560326,992446.8853600007,999999.9999999999
2025-03-16T09:10:00.000+0000,1000065.3516772246,992446.8853600007,999999.9999999999
2025-03-16T09:20:00.000+0000,1000059.9017406646,992446.8853600007,999999.9999999999
2025-03-16T09:30:00.000+0000,1000101.3212585207,992446.8853600007,999999.9999999999
2025-03-16T09:40:00.000+0000,1000120.3960364807,992446.8853600007,999999.9999999999
2025-03-16T09:50:00.000+0000,1000132.3858969127,992446.8853600007,999999.9999999999
2025-03-16T10:00:00.000+0000,1000096.9613092727,992446.8853600007,999999.9999999999
2025-03-16T10:10:00.000+0000,1000088.7864044326,992446.8853600007,999999.9999999999
2025-03-16T10:20:00.000+0000,1000140.0158080966,992446.8853600007,999999.9999999999
2025-03-16T10:30:00.000+0000,1000159.6355797127,992446.8853600007,999999.9999999999
2025-03-16T10:40:00.000+0000,1000168.3554782086,992446.8853600007,999999.9999999999
2025-03-16T10:50:00.000+0000,1000190.7002181046,992446.8853600007,999999.9999999999
2025-03-16T11:00:00.000+0000,1000191.2452117606,992446.8853600007,999999.9999999999
