date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-21T01:40:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-21T01:50:00.000+0000,999909.72770032,887159.6253999999,997453.4621769364
2025-04-21T02:00:00.000+0000,998386.5302287193,778944.4435534399,997023.1418265712
2025-04-21T02:10:00.000+0000,997798.5064243993,905007.6295595997,997761.0307221315
2025-04-21T02:20:00.000+0000,997798.5064243996,997798.5064243996,998985.4761158827
2025-04-21T02:30:00.000+0000,997798.5064243996,997798.5064243996,995584.852334488
2025-04-21T02:40:00.000+0000,997798.5064243996,997798.5064243996,993650.3400779853
2025-04-21T02:50:00.000+0000,997798.5064243996,997798.5064243996,996163.1980679289
2025-04-21T03:00:00.000+0000,997798.5064243996,997798.5064243996,996815.1079801791
2025-04-21T03:10:00.000+0000,997625.7976487997,885189.4742243992,996085.9111913487
2025-04-21T03:20:00.000+0000,997334.4592394393,624524.3386254394,994752.985246148
2025-04-21T03:30:00.000+0000,996433.5932092795,624524.3386254394,995346.8269003758
2025-04-21T03:40:00.000+0000,997351.4931014394,740919.2495443193,995300.999652894
2025-04-21T03:50:00.000+0000,997544.7351839994,740919.2495443193,994006.8292032776
2025-04-21T04:00:00.000+0000,996626.8352918394,740919.2495443193,995367.9127080862
2025-04-21T04:10:00.000+0000,994742.7249868794,740919.2495443193,994111.6209633099
2025-04-21T04:20:00.000+0000,994887.6565487992,740919.2495443193,994569.3446247354
2025-04-21T04:30:00.000+0000,992885.29823632,406626.7955443194,993668.2350416656
2025-04-21T04:40:00.000+0000,993429.5199103998,738060.1078073598,995988.5150494011
2025-04-21T04:50:00.000+0000,992801.4831420798,738060.1078073598,998392.4542727382
2025-04-21T05:00:00.000+0000,991013.9938783997,738060.1078073598,999042.3516955114
2025-04-21T05:10:00.000+0000,990917.3728371197,738060.1078073598,999038.8811855309
2025-04-21T05:20:00.000+0000,991642.0306467199,738060.1078073598,1000145.6049911869
2025-04-21T05:30:00.000+0000,991158.9254403198,738060.1078073598,999775.4145576672
2025-04-21T05:40:00.000+0000,993332.8988691198,738060.1078073598,1000392.8933119411
2025-04-21T05:50:00.000+0000,992946.4147039998,738060.1078073598,1001921.9005357092
2025-04-21T06:00:00.000+0000,991883.5832499198,738060.1078073598,1001900.7020341584
2025-04-21T06:10:00.000+0000,991690.3411673598,738060.1078073598,1002169.8180080919
2025-04-21T06:20:00.000+0000,989854.5413830397,738060.1078073598,1002476.179248186
2025-04-21T06:30:00.000+0000,990530.8886719998,738060.1078073598,1001178.0627201389
2025-04-21T06:40:00.000+0000,990482.5781513598,738060.1078073598,1000711.4434965504
2025-04-21T06:50:00.000+0000,990337.6465894398,738060.1078073598,1001754.3936926117
2025-04-21T07:00:00.000+0000,990434.2676307198,738060.1078073598,1002216.3466697787
2025-04-21T07:10:00.000+0000,988260.2942019198,738060.1078073598,999783.9851445311
2025-04-21T07:20:00.000+0000,988501.8468051197,738060.1078073598,998991.2750328478
2025-04-21T07:30:00.000+0000,989371.4361766397,738060.1078073598,999694.3776594361
2025-04-21T07:40:00.000+0000,989757.9203417598,738060.1078073598,1000855.859161251
2025-04-21T07:50:00.000+0000,990869.0623164799,738060.1078073598,999573.2730177466
2025-04-21T08:00:00.000+0000,991303.8570022398,643284.8206073588,999943.4840367092
2025-04-21T08:10:00.000+0000,993141.8138250408,737965.6438045608,998934.6819566009
2025-04-21T08:20:00.000+0000,992465.4665360807,737965.6438045608,999930.4775104315
2025-04-21T08:30:00.000+0000,991692.4982058407,737965.6438045608,1000598.5384086827
2025-04-21T08:40:00.000+0000,991402.6350820008,737965.6438045608,1000013.8671592005
2025-04-21T08:50:00.000+0000,990871.2193549607,737965.6438045608,1001327.9027184866
2025-04-21T09:00:00.000+0000,990871.2193549607,737965.6438045608,1002448.7981760137
2025-04-21T09:10:00.000+0000,989663.4563389608,737965.6438045608,998724.0859916813
2025-04-21T09:20:00.000+0000,985991.8567703208,737965.6438045608,998555.698623661
2025-04-21T09:30:00.000+0000,977529.966902161,737965.6438045608,996786.4167027047
2025-04-21T09:40:00.000+0000,978330.929219281,835988.483148241,997746.4659286777
2025-04-21T09:50:00.000+0000,978416.746610401,835988.483148241,998631.7579734956
2025-04-21T10:00:00.000+0000,978845.8335660009,835988.483148241,997244.9548428281
2025-04-21T10:10:00.000+0000,980762.4219676809,835988.483148241,997165.2566390052
2025-04-21T10:20:00.000+0000,980476.363997281,835988.483148241,994965.42997724
2025-04-21T10:30:00.000+0000,981563.384284801,835988.483148241,993751.2169249909
2025-04-21T10:40:00.000+0000,991260.7494813609,835988.483148241,994452.2461105697
