date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T11:30:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-04-22T11:40:00.000+0000,999986.15304928,982691.3116,998906.0268506401
2025-04-22T11:50:00.000+0000,999970.7250016,982691.3116,999985.8142222981
2025-04-22T12:00:00.000+0000,1000009.2951208,982691.3116,999107.7226743381
2025-04-22T12:10:00.000+0000,1000040.15121616,982691.3116,1000069.3172955753
2025-04-22T12:20:00.000+0000,999916.72683472,982691.3116,999962.9121337589
2025-04-22T12:30:00.000+0000,999978.43902544,982691.3116,1001333.2693583004
2025-04-22T12:40:00.000+0000,999993.86707312,982691.3116,999077.4976612567
2025-04-22T12:50:00.000+0000,999893.5119081468,952573.5333999865,1003662.0780561271
2025-04-22T13:00:00.000+0000,999804.1868254265,952573.5333999865,1004957.0315667496
2025-04-22T13:10:00.000+0000,999695.4938494264,952573.5333999865,1008740.65492105
2025-04-22T13:20:00.000+0000,999705.6631075066,952573.5333999865,1008152.1742508842
2025-04-22T13:30:00.000+0000,999762.9044777467,952573.5333999865,1007446.8317218695
2025-04-22T13:40:00.000+0000,999480.0321567863,952573.5333999865,1011769.8642022191
2025-04-22T13:50:00.000+0000,998671.6246704825,759363.7248899864,1011025.2509194606
2025-04-22T14:00:00.000+0000,999265.4653875462,759363.7248899864,1012589.4492483616
2025-04-22T14:10:00.000+0000,997718.6980121701,759363.7248899864,1017403.2724727802
2025-04-22T14:20:00.000+0000,994179.6311824506,759363.7248899864,1015774.7929790884
2025-04-22T14:30:00.000+0000,993252.8619814184,759363.7248899864,1016323.6144234333
2025-04-22T14:40:00.000+0000,993348.9603311865,759363.7248899864,1019864.2820133575
2025-04-22T14:50:00.000+0000,993503.2703043704,759363.7248899864,1022886.296491595
2025-04-22T15:00:00.000+0000,991822.8333702581,759363.7248899864,1030494.2072752721
2025-04-22T15:10:00.000+0000,993710.3644963707,759363.7248899864,1037111.6525073454
2025-04-22T15:20:00.000+0000,993569.4820725464,759363.7248899864,1035839.6566763932
