date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-23T02:10:00.000+0000,1000000.0,1000000.0,999764.1860132089,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-23T02:20:00.000+0000,999804.5573651439,548697.8287336794,1003502.3138813172,999900.7714838721,730329.3418272418,999810.7507541584,952995.0428065584
2025-04-23T02:30:00.000+0000,1000138.1705211762,409209.5237779519,1003875.6474476242,1000404.4206479611,732339.1120238019,999547.7379273588,850636.3580108791
2025-04-23T02:40:00.000+0000,1000078.1920941209,434647.3282988559,1005591.5400585057,999351.5642990491,763626.7172197615,999806.042718079,853295.8509131189
2025-04-23T02:50:00.000+0000,999367.560642577,486031.8180961932,1005001.3788103939,999323.9456571771,792686.991937529,999718.848488319,858627.3293744789
2025-04-23T03:00:00.000+0000,999343.3371551456,295765.73943201086,1002954.4463379972,999878.9427521763,654866.8502376495,999232.3691833587,859990.268849919
2025-04-23T03:10:00.000+0000,1000387.3879942507,302584.05731049087,1001773.6422777674,1001028.5900848818,659748.4761102096,999016.5661077587,859262.9804901589
2025-04-23T03:20:00.000+0000,998465.5983711546,135410.52751532246,1002900.3456973399,999583.3505544809,532576.521131689,999177.5455311986,861245.7721867986
2025-04-23T03:30:00.000+0000,994677.6882589707,85153.86459273017,1003383.5160258932,996555.6499883619,496600.7153234337,999208.7816223188,863965.7547195987
2025-04-23T03:40:00.000+0000,984356.8331936598,100928.90420340293,1006169.1212304714,988867.4010519299,502950.89943876985,999727.6554418387,872033.6608271186
2025-04-23T03:50:00.000+0000,985293.2882897706,100928.90420340293,1006850.0512378318,989403.7582226498,502950.89943876985,999849.7190127985,872033.6608271186
2025-04-23T04:00:00.000+0000,985273.4025910671,100928.90420340293,1007206.9731060853,989193.2523421862,502950.89943876985,999906.9290081586,872033.6608271186
2025-04-23T04:10:00.000+0000,987588.5782176668,100928.90420340293,1005356.9161805816,991232.989805738,502950.89943876985,999522.5586506387,872033.6608271186
2025-04-23T04:20:00.000+0000,993535.5665878511,100928.90420340293,1004010.6905097361,995879.7982726258,502950.89943876985,999320.4390757586,872033.6608271186
2025-04-23T04:30:00.000+0000,994411.9428754908,100928.90420340293,1005216.0106057512,995924.4333759537,502950.89943876985,999525.7389043985,872033.6608271186
2025-04-23T04:40:00.000+0000,993225.0465227949,100928.90420340293,1008508.6115632453,994596.0627932579,502950.89943876985,1000061.9158194386,872033.6608271186
2025-04-23T04:50:00.000+0000,990934.2493678029,100928.90420340293,1012691.6887749296,991170.5125375697,502950.89943876985,1000749.6306071186,872033.6608271186
2025-04-23T05:00:00.000+0000,992894.1991526028,100928.90420340293,1013360.8406590195,993129.43574429,502950.89943876985,1000980.8962464785,872033.6608271186
2025-04-23T05:10:00.000+0000,992321.5659359546,100928.90420340293,1011903.8771857801,992661.1525707699,502950.89943876985,1000620.3376243184,872033.6608271186
2025-04-23T05:20:00.000+0000,992721.6660995554,100928.90420340293,1012921.211315213,993646.4035289378,502950.89943876985,1000784.4964920786,872033.6608271186
2025-04-23T05:30:00.000+0000,989810.7203506508,100928.90420340293,1013182.7417380251,991167.757673226,502950.89943876985,1000731.3839161586,872033.6608271186
2025-04-23T05:40:00.000+0000,991636.1309929388,100928.90420340293,1014489.915079261,992328.4219783617,502950.89943876985,1001002.2504494386,872033.6608271186
2025-04-23T05:50:00.000+0000,995672.9082555231,100928.90420340293,1012729.7556078752,995775.4257474979,502950.89943876985,1000632.7154141585,872033.6608271186
2025-04-23T06:00:00.000+0000,996778.2687890993,100928.90420340293,1011467.538794003,996797.1863245862,502950.89943876985,1000367.3877462386,872033.6608271186
2025-04-23T06:10:00.000+0000,992814.9995030508,100928.90420340293,1014566.5119046606,993762.1784648334,502950.89943876985,1000751.2032479986,872033.6608271186
2025-04-23T06:20:00.000+0000,991507.625399723,100928.90420340293,1014358.9702007889,992575.7002473618,502950.89943876985,1000777.1977357586,872033.6608271186
2025-04-23T06:30:00.000+0000,997816.6351808987,100928.90420340293,1014329.1202589627,997275.175966714,502950.89943876985,1000823.2253841585,872033.6608271186
2025-04-23T06:40:00.000+0000,999415.8728464347,100928.90420340293,1013585.035802128,998587.0697713858,502950.89943876985,1000707.9384875186,872033.6608271186
2025-04-23T06:50:00.000+0000,998998.8421181311,100928.90420340293,1011797.4828122703,998564.0026298739,502950.89943876985,1000382.3116975185,872033.6608271186
2025-04-23T07:00:00.000+0000,999031.9205142269,100928.90420340293,1009474.5314364487,998474.4145976816,502950.89943876985,999923.3226827185,872033.6608271186
2025-04-23T07:10:00.000+0000,1000354.430798915,100928.90420340293,1008967.1410245304,1000260.0906730737,502950.89943876985,999721.2249903185,872033.6608271186
2025-04-23T07:20:00.000+0000,1003288.402802067,100928.90420340293,1009418.1217348208,1002168.7421194019,502950.89943876985,999838.6909423185,872033.6608271186
2025-04-23T07:30:00.000+0000,1002634.1120837231,100928.90420340293,1011310.1486958426,1001410.2752087379,502950.89943876985,1000124.4998121586,872033.6608271186
2025-04-23T07:40:00.000+0000,1005109.2954816187,100928.90420340293,1011264.0477086653,1003302.1129068338,502950.89943876985,1000155.7455955185,872033.6608271186
2025-04-23T07:50:00.000+0000,1002163.4559201149,100928.90420340293,1012296.585101519,1000422.9186364098,502950.89943876985,1000345.2576644785,872033.6608271186
2025-04-23T08:00:00.000+0000,1003825.8282474829,100928.90420340293,1013820.5004677144,1001843.1723237699,502950.89943876985,1000522.5468195986,872033.6608271186
2025-04-23T08:10:00.000+0000,1001685.3581763629,100552.05820340292,1015350.2901535267,999763.953751761,502668.26493876986,1000756.6435922387,872033.6608271186
2025-04-23T08:20:00.000+0000,1001821.1673803704,76791.92805237033,1017493.0686460142,999661.7260351452,499643.3418704567,1000971.9292258386,849917.4703659187
2025-04-23T08:30:00.000+0000,1001307.022684835,56938.50573662701,1016346.776162475,999933.4228548646,511080.6586981041,1000633.9243268784,818299.3599659184
2025-04-23T08:40:00.000+0000,999219.888961066,57.78313145826898,1017102.3376993618,997615.7554023461,456139.0676151138,1000852.0134159182,818299.3599659184
2025-04-23T08:50:00.000+0000,998570.4849802025,8.117934890119445,1017852.7771361289,997196.4470376099,459085.4398201619,1001128.1016684785,782712.4569134383
2025-04-23T09:00:00.000+0000,1000290.1836492422,2497.374055594007,1018735.3564168727,998149.0728759377,469627.8204622899,1001448.0562782065,782748.2496563183
2025-04-23T09:10:00.000+0000,997254.0899801226,30932.684747394105,1020066.3493011626,995157.081965066,477663.9612324179,1002150.2035454304,791949.6979359505
2025-04-23T09:20:00.000+0000,997303.317037211,3.161474787062806,1018891.4628235938,995625.2216035055,430554.4956799547,1001593.2142036622,799944.4162705663
2025-04-23T09:30:00.000+0000,996829.2507961391,5.988923306821938,1017960.597798398,995158.2333723782,368939.9327434743,1001433.6222072463,798577.3052527983
2025-04-23T09:40:00.000+0000,995429.0636327063,10523.625707202867,1017836.5443885154,994052.6967997461,376229.83140527416,1001685.5591563181,798798.1235167502
2025-04-23T09:50:00.000+0000,994884.1112136896,34320.20911846586,1014521.6369007505,993452.953308682,404975.5364692421,1001655.8383919662,798953.9912227502
2025-04-23T10:00:00.000+0000,995693.0093270899,51059.5406714738,1010593.4754579966,995442.9308254663,428289.17494578625,1000167.4658433262,800589.3019267502
2025-04-23T10:10:00.000+0000,996279.5210361627,114896.5793645865,1011786.2777520614,996381.2302319787,470910.5237578018,1000619.4676523663,824950.1121052062
2025-04-23T10:20:00.000+0000,995101.9233186031,140870.76146374695,1013591.3995537857,994749.2562564586,505199.9815586026,1001700.3437092062,826434.2813192062
