date,total_balance_normal,unlocked_balance_normal,benchmark
2025-03-12T12:30:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-03-12T12:40:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T12:50:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:00:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:10:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:20:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:30:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:40:00.000+0000,999200.0386052803,48.25660000013498,999999.9999999999
2025-03-12T13:50:00.000+0000,999200.03860528,48.25660000013498,999999.9999999999
2025-03-12T14:00:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T14:10:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T14:20:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T14:30:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T14:40:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T14:50:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:00:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:10:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:20:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:30:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:40:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T15:50:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:00:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:10:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:20:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:30:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:40:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T16:50:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:00:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:10:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:20:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:30:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:40:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T17:50:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T18:00:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
2025-03-12T18:10:00.000+0000,999200.03860528,999027.56289632,999999.9999999999
