date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-21T15:00:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-21T15:10:00.000+0000,999865.3220217599,831652.5271999999,998645.5166130243,1000000.0,1000000.0,999932.66101088,915826.2636000001
2025-04-21T15:20:00.000+0000,999671.03861872,737431.7714,1001573.2718511389,1000000.0,1000000.0,999835.51930936,868715.8857
2025-04-21T15:30:00.000+0000,998347.8270327206,3.907520000243977,1000990.1627126269,1000000.0,1000000.0,998430.6239227192,86.70440999969937
2025-04-21T15:40:00.000+0000,996147.1667704806,3.907520000243977,998057.5230815774,1000000.0,1000000.0,996229.9636604796,86.70440999969937
2025-04-21T15:50:00.000+0000,996578.9131967998,3.907520000243977,998154.7533686828,1000000.0,1000000.0,996661.7100868004,86.70440999969937
2025-04-21T16:00:00.000+0000,996226.4902608802,3.907520000243977,997011.4710398368,1000000.0,1000000.0,996309.287150879,86.70440999969937
2025-04-21T16:10:00.000+0000,996620.8413274403,3.907520000243977,998205.0920332274,1000000.0,1000000.0,996703.6382174388,86.70440999969937
2025-04-21T16:20:00.000+0000,993383.3097264007,3.907520000243977,993404.7441601185,1000000.0,1000000.0,993466.1066164001,86.70440999969937
2025-04-21T16:30:00.000+0000,994155.0139687201,3.907520000243977,993669.2480903438,1000000.0,1000000.0,994237.8108587197,86.70440999969937
2025-04-21T16:40:00.000+0000,991263.0260412799,3.907520000243977,989278.8608673504,999217.2830425601,21603.803199999893,990910.0214217594,86.70440999969937
2025-04-21T16:50:00.000+0000,989597.2507284797,200463.0957027203,982060.3293500337,1000395.0282920003,21603.803199999893,987474.0637886393,210071.2282931997
2025-04-21T17:00:00.000+0000,985775.9815913603,273981.1086032002,973070.5315267225,1002857.2552333603,928886.8652243203,981695.6514196799,210071.2282931997
2025-04-21T17:10:00.000+0000,987349.2291855998,423347.1296156002,976278.496874063,1002997.0856794404,1002997.0856794404,983854.0689032001,210071.2282931997
2025-04-21T17:20:00.000+0000,989059.6252732006,423520.49081560026,977219.6020005434,1002997.0856794404,1002997.0856794404,986200.8654627992,210157.90889319972
2025-04-21T17:30:00.000+0000,989679.3570907998,423520.49081560026,978464.8101559255,1002997.0856794404,1002997.0856794404,987051.2725923995,210157.90889319972
2025-04-21T17:40:00.000+0000,989301.1384079999,423520.49081560026,977751.0224692742,1002997.0856794404,1002997.0856794404,986532.274123599,210157.90889319972
2025-04-21T17:50:00.000+0000,987928.2241188006,423520.49081560026,975508.9438674189,1002997.0856794404,1002997.0856794404,984648.3364804,210157.90889319972
2025-04-21T18:00:00.000+0000,987854.0125356001,423520.49081560026,975502.2087851622,1002997.0856794404,1002997.0856794404,984546.5020132002,210157.90889319972
2025-04-21T18:10:00.000+0000,988570.0892156003,423520.49081560026,976752.8214310096,1002997.0856794404,1002997.0856794404,985529.1152932005,210157.90889319972
2025-04-21T18:20:00.000+0000,988268.0350524005,423520.49081560026,975384.8631352042,1002997.0856794404,1002997.0856794404,985114.6311459999,210157.90889319972
2025-04-21T18:30:00.000+0000,988829.8297568002,423520.49081560026,975804.7284314698,1002997.0856794404,1002997.0856794404,985885.5359283998,210157.90889319972
2025-04-21T18:40:00.000+0000,988633.2341592002,423520.49081560026,976924.653725497,1002997.0856794404,1002997.0856794404,985615.7639187995,210157.90889319972
2025-04-21T18:50:00.000+0000,988311.6506320005,423520.49081560026,975837.413364389,1002997.0856794404,1002997.0856794404,985174.4812276005,210157.90889319972
2025-04-21T19:00:00.000+0000,987928.2241188006,423520.49081560026,975567.7544332789,1002997.0856794404,1002997.0856794404,984648.3364804,210157.90889319972
2025-04-21T19:10:00.000+0000,989815.4116600006,423520.49081560026,979535.6809090623,1002997.0856794404,1002997.0856794404,987237.9691155993,210157.90889319972
2025-04-21T19:20:00.000+0000,990973.5029452003,423520.49081560026,981654.070153079,1002997.0856794404,1002997.0856794404,988827.1227748,210157.90889319972
2025-04-21T19:30:00.000+0000,991347.8157552003,423520.49081560026,982678.127130612,1002997.0856794404,1002997.0856794404,989340.7615347999,210157.90889319972
