date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-25T14:10:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-25T14:20:00.000+0000,999946.8403741607,977083.3635000007,993847.8713032862
2025-04-25T14:30:00.000+0000,999912.0140575207,977083.3635000007,993585.5667446714
2025-04-25T14:40:00.000+0000,999755.2956326407,977083.3635000007,997553.5230637464
2025-04-25T14:50:00.000+0000,999668.2298410407,977083.3635000007,1002833.5057220843
2025-04-25T15:00:00.000+0000,999668.2298410407,977083.3635000007,1002264.6168881541
2025-04-25T15:10:00.000+0000,999685.6429993607,977083.3635000007,1000909.8337103275
2025-04-25T15:20:00.000+0000,999650.8166827207,977083.3635000007,1002458.1232739661
2025-04-25T15:30:00.000+0000,999668.2298410407,977083.3635000007,998179.5615661228
2025-04-25T15:40:00.000+0000,999807.5351076007,977083.3635000007,998329.7730066394
2025-04-25T15:50:00.000+0000,999703.0561576807,977083.3635000007,998494.1478435863
2025-04-25T16:00:00.000+0000,999598.5772077607,977083.3635000007,996333.783904803
2025-04-25T16:10:00.000+0000,999703.0561576807,977083.3635000007,992503.9899205647
2025-04-25T16:20:00.000+0000,999563.7508911206,977083.3635000007,992447.7645968937
2025-04-25T16:30:00.000+0000,999581.1640494406,977083.3635000007,994673.8161482696
2025-04-25T16:40:00.000+0000,999581.1640494406,977083.3635000007,997283.1810973029
2025-04-25T16:50:00.000+0000,999615.9903660807,977083.3635000007,996441.397331681
2025-04-25T17:00:00.000+0000,999650.8166827207,977083.3635000007,998014.6136517699
2025-04-25T17:10:00.000+0000,999703.0561576807,977083.3635000007,999186.3779993646
2025-04-25T17:20:00.000+0000,999755.2956326407,977083.3635000007,999619.2441004766
2025-04-25T17:30:00.000+0000,999894.6008992007,977083.3635000007,993077.0057682246
2025-04-25T17:40:00.000+0000,999981.6666908007,977083.3635000007,987933.3636696313
2025-04-25T17:50:00.000+0000,999964.2535324807,977083.3635000007,988335.8368262623
2025-04-25T18:00:00.000+0000,999859.7745825606,977083.3635000007,989627.6915374831
2025-04-25T18:10:00.000+0000,999894.6008992007,977083.3635000007,990664.8403162125
2025-04-25T18:20:00.000+0000,999842.3614242406,977083.3635000007,992251.4127535294
2025-04-25T18:30:00.000+0000,999807.5351076007,977083.3635000007,993236.072628023
2025-04-25T18:40:00.000+0000,999807.5351076007,977083.3635000007,995091.035551036
2025-04-25T18:50:00.000+0000,999824.9482659206,977083.3635000007,992983.7299877399
2025-04-25T19:00:00.000+0000,999859.7745825606,977083.3635000007,993436.6776964844
2025-04-25T19:10:00.000+0000,999894.6008992007,977083.3635000007,992317.9848712946
2025-04-25T19:20:00.000+0000,999912.0140575207,977083.3635000007,992299.6727550866
2025-04-25T19:30:00.000+0000,999894.6008992007,977083.3635000007,991946.7242921852
2025-04-25T19:40:00.000+0000,999894.6008992007,977083.3635000007,992425.0162582803
2025-04-25T19:50:00.000+0000,999859.7745825606,977083.3635000007,993261.4397463527
2025-04-25T20:00:00.000+0000,999824.9482659206,977083.3635000007,994230.453909975
2025-04-25T20:10:00.000+0000,999824.9482659206,977083.3635000007,993444.0395399608
2025-04-25T20:20:00.000+0000,1000033.9061657607,977083.3635000007,993026.2953800184
2025-04-25T20:30:00.000+0000,1000068.7324824007,977083.3635000007,993571.2047933727
2025-04-25T20:40:00.000+0000,1000033.9061657607,977083.3635000007,992887.1993717975
2025-04-25T20:50:00.000+0000,1000033.9061657607,977083.3635000007,994615.741662068
2025-04-25T21:00:00.000+0000,1000016.4930074407,977083.3635000007,993870.4449215023
2025-04-25T21:10:00.000+0000,1000068.7324824007,977083.3635000007,994202.8690502197
2025-04-25T21:20:00.000+0000,1000138.3851156806,977083.3635000007,991723.710388745
2025-04-25T21:30:00.000+0000,1000138.3851156806,977083.3635000007,991825.0132589117
2025-04-25T21:40:00.000+0000,1000120.9719573606,977083.3635000007,988895.7446409373
2025-04-25T21:50:00.000+0000,1000190.6245906407,977083.3635000007,987698.0773003281
2025-04-25T22:00:00.000+0000,1000155.7982740006,977083.3635000007,989786.3446795089
2025-04-25T22:10:00.000+0000,1000138.3851156806,977083.3635000007,989993.3498449461
2025-04-25T22:20:00.000+0000,1000103.5587990407,977083.3635000007,990752.9637604724
2025-04-25T22:30:00.000+0000,1000086.1456407206,977083.3635000007,991679.1549265306
2025-04-25T22:40:00.000+0000,1000016.4930074407,977083.3635000007,993116.1712468523
2025-04-25T22:50:00.000+0000,999999.0798491207,977083.3635000007,992169.4492643378
2025-04-25T23:00:00.000+0000,999946.8403741607,977083.3635000007,991306.2844235654
2025-04-25T23:10:00.000+0000,999929.4272158407,977083.3635000007,991410.4941018528
2025-04-25T23:20:00.000+0000,1000016.4930074407,977083.3635000007,989707.4973936467
2025-04-25T23:30:00.000+0000,1000051.3193240807,977083.3635000007,988824.0000083791
2025-04-25T23:40:00.000+0000,1000086.1456407206,977083.3635000007,989278.8269924868
2025-04-25T23:50:00.000+0000,1000068.7324824007,977083.3635000007,988725.5669042012
