date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-08T09:50:00.000+0000,1000000.0,1000000.0,999018.1789729545,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-08T10:00:00.000+0000,999885.7349628159,857168.70352,998214.0627344085,999942.155033984,927693.79248,1000000.0,1000000.0
2025-04-08T10:10:00.000+0000,999885.734962816,999885.734962816,999562.5396218891,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T10:20:00.000+0000,999885.734962816,999885.734962816,1000614.6775363921,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T10:30:00.000+0000,999885.734962816,999885.734962816,1000916.5271342525,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T10:40:00.000+0000,999885.734962816,999885.734962816,1002230.3418531006,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T10:50:00.000+0000,999885.734962816,999885.734962816,1000166.0157440524,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:00:00.000+0000,999885.734962816,999885.734962816,1000006.5346879971,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:10:00.000+0000,999885.734962816,999885.734962816,1001799.677707238,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:20:00.000+0000,999885.734962816,999885.734962816,1004715.3709252076,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:30:00.000+0000,999885.734962816,999885.734962816,1009228.2032458722,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:40:00.000+0000,999885.734962816,999885.734962816,1010793.589152337,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T11:50:00.000+0000,999885.734962816,999885.734962816,1015597.979656901,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:00:00.000+0000,999885.734962816,999885.734962816,1014441.2892617828,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:10:00.000+0000,999885.734962816,999885.734962816,1013988.8164377636,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:20:00.000+0000,999885.734962816,999885.734962816,1010769.3749789081,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:30:00.000+0000,999885.734962816,999885.734962816,1008347.8354114924,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:40:00.000+0000,999885.734962816,999885.734962816,1006356.1125882455,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T12:50:00.000+0000,999885.734962816,999885.734962816,1005883.0865813693,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:00:00.000+0000,999885.734962816,999885.734962816,1009036.5970359636,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:10:00.000+0000,999885.734962816,999885.734962816,1009948.7008686217,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:20:00.000+0000,999885.734962816,999885.734962816,1014063.1583069877,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:30:00.000+0000,999885.734962816,999885.734962816,1003970.1099928633,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:40:00.000+0000,999885.734962816,999885.734962816,1005168.4193163693,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T13:50:00.000+0000,999885.734962816,999885.734962816,1004370.8934203191,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T14:00:00.000+0000,999885.734962816,999885.734962816,1006898.7463620646,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T14:10:00.000+0000,999885.734962816,999885.734962816,1010610.8276503689,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T14:20:00.000+0000,999885.734962816,999885.734962816,1002559.744577327,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T14:30:00.000+0000,999885.734962816,999885.734962816,999721.5993350557,999942.155033984,999942.155033984,1000000.0,1000000.0
2025-04-08T14:40:00.000+0000,999885.734962816,999885.734962816,995306.2834984338,999942.155033984,999942.155033984,1000000.0,1000000.0
