date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-10T02:40:00.000+0000,1000000.0,1000000.0,999999.9999999998,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-10T02:50:00.000+0000,999899.0818479763,871825.4327700003,999134.5112436446,999971.4019961759,964252.4952199999,999952.3338074561,939144.52832
2025-04-10T03:00:00.000+0000,999189.6704919761,528981.588341808,996544.6774770939,999848.7443543843,760228.8974771763,999295.2680704879,835900.4422175839
2025-04-10T03:10:00.000+0000,998472.9436815968,342975.9110616768,986603.3773595737,1000601.6457150322,673033.4333066369,996958.351662088,763918.608307016
2025-04-10T03:20:00.000+0000,997943.4384714165,229384.2230664262,985451.2340727054,1003203.5108613888,618897.326412752,996175.3263896237,719809.9709852238
2025-04-10T03:30:00.000+0000,998252.1708495462,94180.35468366556,984445.5925580352,1002508.20894051,611756.4875469514,996036.1894881835,641086.6564856876
2025-04-10T03:40:00.000+0000,995254.1200491169,52441.3354489536,987376.4858270911,1002757.487508989,622247.9401049995,994757.1323897835,608539.6712563116
2025-04-10T03:50:00.000+0000,995066.3095328595,89638.26968249393,987492.1824552829,1002747.7264835432,612178.0057198073,994878.3641388312,633838.8448164792
2025-04-10T04:00:00.000+0000,994205.8290639584,67507.9890209697,988725.371989134,999243.3301635284,388763.99782307516,994567.8578761995,647673.3422089756
2025-04-10T04:10:00.000+0000,994186.1558851893,94722.76660412131,988142.3508206687,1000310.0987219005,479041.7140515061,994817.8538592877,618255.9306976077
2025-04-10T04:20:00.000+0000,993206.3277026654,135714.46231113767,987253.3800391303,1003986.5568026431,489890.29190137837,993680.3015070796,637980.7912312956
2025-04-10T04:30:00.000+0000,992618.162459065,201806.44115982566,986291.1975521154,1006020.4411707249,511126.8867627144,992711.5002186396,668106.1639713835
2025-04-10T04:40:00.000+0000,993710.4735825274,207085.13905044174,989834.6334024647,1004515.6326194145,514710.60207505047,994192.2242509916,669457.5407343995
2025-04-10T04:50:00.000+0000,995006.2037894306,207085.13905044174,991431.4269451057,1003647.0911349137,514710.60207505047,995830.8519992314,669457.5407343995
2025-04-10T05:00:00.000+0000,995161.1775991201,207085.13905044174,991061.2577309285,1000070.9052871832,514710.60207505047,995755.7633482476,669457.5407343995
2025-04-10T05:10:00.000+0000,995861.4013785946,207085.13905044174,992477.7605126614,997954.4610052176,514710.60207505047,996414.9804023674,669457.5407343995
2025-04-10T05:20:00.000+0000,996357.4686930057,207085.13905044174,993106.0165609024,999518.5186912704,514710.60207505047,996848.8051147275,669457.5407343995
2025-04-10T05:30:00.000+0000,996540.4898828266,207085.13905044174,993541.5467159909,1003533.0634381073,514710.60207505047,997002.3274185513,669457.5407343995
2025-04-10T05:40:00.000+0000,996540.7895688857,207085.13905044174,992824.4379626334,1004551.6830369896,514710.60207505047,996817.6870890794,669457.5407343995
2025-04-10T05:50:00.000+0000,995452.4621269265,207085.13905044174,992185.3042764998,1008924.4082390431,514710.60207505047,996416.8258947915,669457.5407343995
2025-04-10T06:00:00.000+0000,995487.9288098633,207085.13905044174,993667.3442260234,1010542.9138998417,514710.60207505047,996651.5484963674,669457.5407343995
2025-04-10T06:10:00.000+0000,995747.013604081,207085.13905044174,995660.8702026745,1011202.7828410346,514710.60207505047,997573.2608561113,669457.5407343995
2025-04-10T06:20:00.000+0000,995664.8969230225,207085.13905044174,993648.857751661,1006231.6559466182,514710.60207505047,997361.5236215196,669457.5407343995
2025-04-10T06:30:00.000+0000,994486.1689543873,207085.13905044174,991761.1735049239,1007283.2239077073,514710.60207505047,996257.4796638393,669457.5407343995
2025-04-10T06:40:00.000+0000,993457.8662771697,207085.13905044174,990546.7710660979,1007076.8667046439,514710.60207505047,995271.9369792395,669457.5407343995
2025-04-10T06:50:00.000+0000,993895.7427555218,207085.13905044174,991776.5303557037,1006279.3534280824,514710.60207505047,995977.2105986075,669457.5407343995
2025-04-10T07:00:00.000+0000,993864.2822800528,207085.13905044174,992074.4794686651,998114.2137776761,514710.60207505047,996018.3319451914,669457.5407343995
2025-04-10T07:10:00.000+0000,994325.9899771656,207085.13905044174,991370.4618309623,998224.1981087648,514710.60207505047,996469.7450455753,669457.5407343995
2025-04-10T07:20:00.000+0000,993990.5039698544,207085.13905044174,989216.9019955439,999248.7227578249,514710.60207505047,996185.9855449274,669457.5407343995
2025-04-10T07:30:00.000+0000,992046.7456814866,207085.13905044174,979505.8069848323,1000690.1561978168,514710.60207505047,993126.6789896955,669457.5407343995
2025-04-10T07:40:00.000+0000,992039.0173740826,207085.13905044174,980697.2304630277,999477.6901432599,514710.60207505047,993321.7836210234,669457.5407343995
2025-04-10T07:50:00.000+0000,992776.3495560664,207085.13905044174,982763.9464012814,998310.3690128481,514710.60207505047,994573.4340689675,669457.5407343995
2025-04-10T08:00:00.000+0000,993072.1505298234,207085.13905044174,981339.9112539287,1004708.0970875642,514710.60207505047,994167.1752762155,669457.5407343995
2025-04-10T08:10:00.000+0000,993677.251409545,207085.13905044174,982404.3223037687,1004817.3213691793,514710.60207505047,994767.3723940875,669457.5407343995
2025-04-10T08:20:00.000+0000,993178.6137930217,207085.13905044174,981516.1885869219,1003683.1647589088,514710.60207505047,994518.4022696555,669457.5407343995
2025-04-10T08:30:00.000+0000,992148.299940033,207085.13905044174,978746.7146871126,1004018.0075591977,514710.60207505047,993203.5179692954,669457.5407343995
2025-04-10T08:40:00.000+0000,992421.187769981,207085.13905044174,979393.3803944166,1004905.14832536,514710.60207505047,993344.1984847755,669457.5407343995
2025-04-10T08:50:00.000+0000,992474.114919361,207085.13905044174,980741.5054182567,1004307.0212641167,514710.60207505047,993775.8891357515,669457.5407343995
