date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T23:40:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-22T23:50:00.000+0000,999980.5564971635,975695.6214699874,999702.543581407
2025-04-23T00:00:00.000+0000,1000027.1203462593,975695.6214699874,998316.3139354996
2025-04-23T00:10:00.000+0000,1000155.9174960438,977155.2880018278,998427.7307705447
2025-04-23T00:20:00.000+0000,1000173.216935418,1000173.216935418,998275.7116617528
2025-04-23T00:30:00.000+0000,1000173.216935418,1000173.216935418,996830.7268351086
2025-04-23T00:40:00.000+0000,1000173.216935418,1000173.216935418,994207.4976171479
2025-04-23T00:50:00.000+0000,1000173.216935418,1000173.216935418,994278.4407960417
2025-04-23T01:00:00.000+0000,1000173.216935418,1000173.216935418,993897.9099317302
2025-04-23T01:10:00.000+0000,1000169.8560310979,995972.0865354179,1001524.8581275013
2025-04-23T01:20:00.000+0000,1000169.8560310979,1000169.8560310979,999471.5195995783
2025-04-23T01:30:00.000+0000,1000169.8560310979,1000169.8560310979,1000410.9279795374
2025-04-23T01:40:00.000+0000,1000169.8560310979,1000169.8560310979,998606.4002240472
2025-04-23T01:50:00.000+0000,1000169.8560310979,1000169.8560310979,995247.8035906998
2025-04-23T02:00:00.000+0000,1000169.8560310979,1000169.8560310979,995415.0003830486
2025-04-23T02:10:00.000+0000,999466.9169110872,121495.95603109524,997889.5476242403
2025-04-23T02:20:00.000+0000,996484.0054642915,117273.37684429523,1002719.825762185
2025-04-23T02:30:00.000+0000,997473.8099185387,121489.20867853523,1003108.7387915778
2025-04-23T02:40:00.000+0000,993342.1818673416,121489.20867853523,1004829.1332162892
2025-04-23T02:50:00.000+0000,992190.0932761423,121489.20867853523,1004235.070516981
2025-04-23T03:00:00.000+0000,997155.992376126,121489.20867853523,1002177.5900430505
2025-04-23T03:10:00.000+0000,995527.1774713226,121489.20867853523,1000994.569678337
2025-04-23T03:20:00.000+0000,992229.8204689394,121489.20867853523,1002121.1064295731
2025-04-23T03:30:00.000+0000,991554.4581913465,121489.20867853523,1002601.1776703133
2025-04-23T03:40:00.000+0000,990005.0976721407,121489.20867853523,1005390.3598541638
2025-04-23T03:50:00.000+0000,989011.9178521326,121489.20867853523,1006071.2043109179
2025-04-23T04:00:00.000+0000,989409.1897801391,121489.20867853523,1006428.7987516378
2025-04-23T04:10:00.000+0000,992507.9108185297,121489.20867853523,1004569.5417248886
2025-04-23T04:20:00.000+0000,993381.9090601405,121489.20867853523,1003222.8638770573
2025-04-23T04:30:00.000+0000,992547.6380113284,121489.20867853523,1004429.0998743565
2025-04-23T04:40:00.000+0000,988932.4634665343,121489.20867853523,1007720.3732196051
2025-04-23T04:50:00.000+0000,984085.7459449486,121489.20867853523,1011896.3417322984
2025-04-23T05:00:00.000+0000,985317.2889217427,121489.20867853523,1012581.8409790844
2025-04-23T05:10:00.000+0000,986628.2862841373,121489.20867853523,1011114.9141373263
2025-04-23T05:20:00.000+0000,990640.7327569367,121489.20867853523,1012134.5842837365
2025-04-23T05:30:00.000+0000,989528.3713585357,121489.20867853523,1012393.7604026595
2025-04-23T05:40:00.000+0000,990124.2792505337,121489.20867853523,1013712.7950312039
2025-04-23T05:50:00.000+0000,993342.1818673416,121489.20867853523,1011937.3405726925
2025-04-23T06:00:00.000+0000,992507.9108185297,121489.20867853523,1010669.713379273
2025-04-23T06:10:00.000+0000,991157.1862633391,121489.20867853523,1013761.2309588788
2025-04-23T06:20:00.000+0000,989528.3713585357,121489.20867853523,1013550.3155686506
2025-04-23T06:30:00.000+0000,988495.4643457305,121489.20867853523,1013525.1528722516
2025-04-23T06:40:00.000+0000,986548.8318985421,121489.20867853523,1012779.5955206235
2025-04-23T06:50:00.000+0000,985754.2880425239,121489.20867853523,1010984.4855289559
2025-04-23T07:00:00.000+0000,980271.9354361388,121489.20867853523,1008656.5621704049
2025-04-23T07:10:00.000+0000,988932.4634665343,121489.20867853523,1008140.9460293342
2025-04-23T07:20:00.000+0000,987383.1029473274,121489.20867853523,1008593.9668141651
2025-04-23T07:30:00.000+0000,980987.0249065288,121489.20867853523,1010485.151081172
2025-04-23T07:40:00.000+0000,983172.0205105381,121489.20867853523,1010439.6418114558
2025-04-23T07:50:00.000+0000,981026.7520993286,121489.20867853523,1011472.8644731399
2025-04-23T08:00:00.000+0000,979636.3003513404,121489.20867853523,1012995.2354701497
2025-04-23T08:10:00.000+0000,975425.2179145255,121489.20867853523,1014527.2085412596
2025-04-23T08:20:00.000+0000,972167.5881049408,121489.20867853523,1016663.6032643762
2025-04-23T08:30:00.000+0000,975663.5810713388,121489.20867853523,1015517.5407774667
2025-04-23T08:40:00.000+0000,964253.6558197387,121489.20867853523,1016272.1807872675
2025-04-23T08:50:00.000+0000,965755.1446669222,126067.26330253495,1017016.5114533852
2025-04-23T09:00:00.000+0000,964293.1686841358,126067.26330253495,1017898.9079729082
2025-04-23T09:10:00.000+0000,964925.3745145326,126067.26330253495,1019236.3680081542
2025-04-23T09:20:00.000+0000,970022.5340221352,126067.26330253495,1018060.5620435803
2025-04-23T09:30:00.000+0000,970970.842767743,126067.26330253495,1017133.408405063
2025-04-23T09:40:00.000+0000,969627.4053781284,126067.26330253495,1017010.7127778042
2025-04-23T09:50:00.000+0000,969745.9439713228,126067.26330253495,1013691.517735902
2025-04-23T10:00:00.000+0000,973223.076038543,126067.26330253495,1009770.3933202145
2025-04-23T10:10:00.000+0000,977846.0811733417,126067.26330253495,1010969.918864947
2025-04-23T10:20:00.000+0000,977411.4396649365,126067.26330253495,1012779.0977989878
2025-04-23T10:30:00.000+0000,976068.0022753434,126067.26330253495,1014493.5423654347
2025-04-23T10:40:00.000+0000,975159.2063941332,126067.26330253495,1014769.1422857654
2025-04-23T10:50:00.000+0000,974803.5906145266,126067.26330253495,1016597.6911141963
2025-04-23T11:00:00.000+0000,976147.0280041385,126067.26330253495,1017270.0188057274
2025-04-23T11:10:00.000+0000,973924.3720525417,136827.47773893498,1018137.6459969708
2025-04-23T11:20:00.000+0000,972675.9635789443,136827.47773893498,1017674.4004766042
2025-04-23T11:30:00.000+0000,973885.3592877416,136827.47773893498,1017122.2984205815
2025-04-23T11:40:00.000+0000,975914.0230573283,136827.47773893498,1015242.5205929764
2025-04-23T11:50:00.000+0000,979776.2867725294,136827.47773893498,1013465.0787493954
2025-04-23T12:00:00.000+0000,977942.6868269364,136827.47773893498,1014914.4555655047
2025-04-23T12:10:00.000+0000,975953.0358221263,136827.47773893498,1018458.5014865969
2025-04-23T12:20:00.000+0000,971232.4912813343,136827.47773893498,1017671.4529205067
2025-04-23T12:30:00.000+0000,971708.3602813397,139892.94540133502,1018458.5947192584
2025-04-23T12:40:00.000+0000,969803.7362005246,139892.94540133502,1017984.6647014136
2025-04-23T12:50:00.000+0000,968793.1193413424,139892.94540133502,1019339.3789697385
2025-04-23T13:00:00.000+0000,970347.9145093253,139892.94540133502,1018714.3491974832
2025-04-23T13:10:00.000+0000,967238.3241733396,139892.94540133502,1021415.4801458302
2025-04-23T13:20:00.000+0000,967627.022965346,139892.94540133502,1021398.9410734324
2025-04-23T13:30:00.000+0000,966305.4470725302,131462.63490133503,1014515.447151588
2025-04-23T13:40:00.000+0000,969631.1821455028,26063.93627525483,1013764.2342730786
2025-04-23T13:50:00.000+0000,970130.8219136662,98925.76088013485,1006707.9645795502
2025-04-23T14:00:00.000+0000,979096.5522483689,131840.76480309485,1008796.9286928356
2025-04-23T14:10:00.000+0000,979903.767559103,149087.01870661465,1004547.2869579445
2025-04-23T14:20:00.000+0000,983265.6137288611,149087.01870661465,1005555.8142322329
2025-04-23T14:30:00.000+0000,984636.4833550882,156897.7870890145,1009118.3436172332
2025-04-23T14:40:00.000+0000,981856.6643907718,156897.7870890145,1010300.4800181449
2025-04-23T14:50:00.000+0000,985931.1935576638,156897.7870890145,1008887.0493959952
2025-04-23T15:00:00.000+0000,987503.3780030864,163174.63658901423,1007048.0876685273
2025-04-23T15:10:00.000+0000,988383.444885894,171026.69831029428,1000043.8821335812
2025-04-23T15:20:00.000+0000,997668.0520532503,175793.24741797431,995934.5712881837
2025-04-23T15:30:00.000+0000,993696.7531360508,201215.49923325397,999237.850231792
2025-04-23T15:40:00.000+0000,994803.741736127,209198.92877613383,1005330.4538815797
2025-04-23T15:50:00.000+0000,992423.7185791,210787.15048149382,1006542.1859851193
2025-04-23T16:00:00.000+0000,991721.1708672473,210787.15048149382,1009745.5409474894
2025-04-23T16:10:00.000+0000,993318.3910680629,213945.92064213366,1008724.1876854568
2025-04-23T16:20:00.000+0000,993850.7978016612,213945.92064213366,1005461.7750025892
2025-04-23T16:30:00.000+0000,989485.0625861327,213945.92064213366,1010470.3763635599
2025-04-23T16:40:00.000+0000,990514.3822710925,213945.92064213366,1012902.6661974541
2025-04-23T16:50:00.000+0000,990691.8511822873,213945.92064213366,1012814.6190254089
2025-04-23T17:00:00.000+0000,987289.9005218163,213945.92064213366,1013655.8439004172
2025-04-23T17:10:00.000+0000,987573.2768392507,215514.49997397364,1015771.9278899501
2025-04-23T17:20:00.000+0000,988210.8735535019,215514.49997397364,1013426.0361432715
2025-04-23T17:30:00.000+0000,990088.2416565274,215514.49997397364,1012470.8723705239
2025-04-23T17:40:00.000+0000,990973.7926485351,215514.49997397364,1012297.0946832772
2025-04-23T17:50:00.000+0000,988281.7176328581,215514.49997397364,1012403.0177736448
2025-04-23T18:00:00.000+0000,986900.2580853342,215514.49997397364,1015287.2417974547
2025-04-23T18:10:00.000+0000,984774.9357045395,215514.49997397364,1018460.2949333098
2025-04-23T18:20:00.000+0000,984349.8712283749,215514.49997397364,1016738.2144410228
2025-04-23T18:30:00.000+0000,987679.5429582855,215514.49997397364,1015078.3024270966
2025-04-23T18:40:00.000+0000,991150.9028469307,215514.49997397364,1012770.5947954729
2025-04-23T18:50:00.000+0000,993134.5370690089,215514.49997397364,1012680.0933463853
2025-04-23T19:00:00.000+0000,993665.8676642071,215514.49997397364,1009791.837642099
2025-04-23T19:10:00.000+0000,994976.4831323798,215514.49997397364,1006053.2092951391
2025-04-23T19:20:00.000+0000,997951.9344655,215514.49997397364,1002487.4110196013
2025-04-23T19:30:00.000+0000,996747.5851163657,215514.49997397364,1003666.4416615694
2025-04-23T19:40:00.000+0000,995118.1712910923,215514.49997397364,1007197.3771048097
2025-04-23T19:50:00.000+0000,995436.9696482171,215514.49997397364,1005649.4869233731
2025-04-23T20:00:00.000+0000,995401.5476085392,215514.49997397364,1008707.2885761475
2025-04-23T20:10:00.000+0000,993205.3811483694,215514.49997397364,1009535.4556004474
2025-04-23T20:20:00.000+0000,992851.1607515794,215514.49997397364,1012519.6570998578
2025-04-23T20:30:00.000+0000,992603.2064738111,215514.49997397364,1013459.4972608609
2025-04-23T20:40:00.000+0000,993240.803188047,215514.49997397364,1012101.2910644205
2025-04-23T20:50:00.000+0000,994834.7949736448,215514.49997397364,1012048.1673187304
2025-04-23T21:00:00.000+0000,994586.8406958934,215514.49997397364,1013135.3369641135
2025-04-23T21:10:00.000+0000,993099.115029331,215514.49997397364,1013684.2773655711
2025-04-23T21:20:00.000+0000,993913.8219419783,215514.49997397364,1012911.8736134593
2025-04-23T21:30:00.000+0000,994197.1982594061,215514.49997397364,1012664.7573917396
2025-04-23T21:40:00.000+0000,995720.3459656473,215514.49997397364,1010351.6447685057
2025-04-23T21:50:00.000+0000,995118.1712910923,215514.49997397364,1009886.7244101714
