date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-12T06:40:00.000+0000,1000000.0,1000000.0,998488.5593584212
2025-04-12T06:50:00.000+0000,999848.8136423206,811017.0529000006,997817.8245553421
2025-04-12T07:00:00.000+0000,999668.7028463206,811017.0529000006,997255.671714859
2025-04-12T07:10:00.000+0000,1000064.9465975206,811017.0529000006,998370.68289059
2025-04-12T07:20:00.000+0000,1000052.9392111205,811017.0529000006,998936.9517791327
2025-04-12T07:30:00.000+0000,1000290.6854618406,811017.0529000006,1000355.9152374915
2025-04-12T07:40:00.000+0000,1000523.6287580007,811017.0529000006,1001566.5080759565
2025-04-12T07:50:00.000+0000,1000775.7838724005,811017.0529000006,1003360.0833879339
2025-04-12T08:00:00.000+0000,1000790.1927360806,811017.0529000006,1003503.5572037445
2025-04-12T08:10:00.000+0000,1002584.0962642406,811017.0529000006,1009011.1446536018
2025-04-12T08:20:00.000+0000,1002115.8081946406,811017.0529000006,1006254.2836924903
2025-04-12T08:30:00.000+0000,1001862.4523416006,811017.0529000006,1005361.1613697661
2025-04-12T08:40:00.000+0000,1002074.9830808806,811017.0529000006,1005129.5071363121
2025-04-12T08:50:00.000+0000,1002065.3771717605,811017.0529000006,1005512.2838454712
2025-04-12T09:00:00.000+0000,1002124.2133651206,811017.0529000006,1006320.5648665698
2025-04-12T09:10:00.000+0000,1001749.5829094406,811017.0529000006,1004200.5062406603
2025-04-12T09:20:00.000+0000,1002181.8488198406,811017.0529000006,1005859.7537057026
2025-04-12T09:30:00.000+0000,1002321.1345020805,811017.0529000006,1005840.8913552669
2025-04-12T09:40:00.000+0000,1002474.8290480005,811017.0529000006,1006591.7361528387
2025-04-12T09:50:00.000+0000,1002732.9878556007,811017.0529000006,1007592.4164514476
2025-04-12T10:00:00.000+0000,1002403.9854682406,811017.0529000006,1006695.5034782684
2025-04-12T10:10:00.000+0000,1002162.6370016007,811017.0529000006,1005360.7031052881
2025-04-12T10:20:00.000+0000,1002106.2022855206,811017.0529000006,1005241.096396007
