date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T15:20:00.000+0000,1000000.0,1000000.0,998821.6713484952,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T15:30:00.000+0000,999932.5235738385,937857.0872805577,993682.7440925213,999929.7163881582,938572.8263999982,999985.5657255971,995510.9927499971
2025-04-22T15:40:00.000+0000,1000053.35971771,934758.5303433576,990609.3891551241,1000070.5912878385,940395.5656309581,999983.8790260371,995510.9927499971
2025-04-22T15:50:00.000+0000,999927.9236069418,938666.351583358,993888.2576256116,999940.3845366384,944539.7635182386,999955.464665725,995510.9927499971
2025-04-22T16:00:00.000+0000,999908.48436079,939580.7219014378,997960.330250111,999895.4804886386,945467.2779126385,999956.688485885,995513.038651965
2025-04-22T16:10:00.000+0000,999937.414717974,939776.019008662,993180.5261232432,999997.9134766386,945649.0815532786,999940.5785041889,995520.432332285
2025-04-22T16:20:00.000+0000,999945.1570591421,940594.9022775422,994912.2116887486,1000016.7088283187,946558.9181012787,999957.169380861,995520.432332285
2025-04-22T16:30:00.000+0000,999968.9210926943,940594.9022775422,995339.4808441801,1000039.6812356787,946558.9181012787,999958.852513277,995520.432332285
2025-04-22T16:40:00.000+0000,999952.4083334779,940594.9022775422,993130.9854500224,1000017.1544715186,946558.9181012787,999960.776093181,995520.432332285
2025-04-22T16:50:00.000+0000,1000010.0758625179,940958.831301222,992532.7909108999,1000059.4605995187,946922.8471249586,999971.596230141,995520.432332285
2025-04-22T17:00:00.000+0000,999953.96105031,940987.0093007741,995283.9920005009,999929.5661982386,946922.8471249586,999983.6111405169,995535.8190030929
2025-04-22T17:10:00.000+0000,999979.7489834462,940987.0093007741,991989.3909290554,999969.6549015987,946922.8471249586,999989.6124855969,995535.8190030929
2025-04-22T17:20:00.000+0000,999994.7794494461,940994.4580569981,992590.1675849229,999945.5162279987,946922.8471249586,999986.260909005,995539.9157630609
2025-04-22T17:30:00.000+0000,999795.7353422219,941561.2751502701,994204.2790000937,999723.2641719986,947286.9048455986,1000029.024780517,995650.3756244209
2025-04-22T17:40:00.000+0000,999784.0751978063,942045.438349598,994842.7261368404,999735.2213985589,947286.9048455986,1000014.5816442769,995913.4750963249
2025-04-22T17:50:00.000+0000,999735.0972015742,946168.5294857983,996223.7739942878,999650.5498899989,951628.8545047989,1000021.5248152927,995991.0411837728
2025-04-22T18:00:00.000+0000,999709.2408632064,956609.6851735582,997952.1262478228,999628.871646479,962107.5585298389,1000025.2314675967,996167.4301196447
2025-04-22T18:10:00.000+0000,999740.1022942944,963787.6360053263,997058.5877038224,999720.6538619193,969508.7291527992,999998.9620099887,996291.0517331726
2025-04-22T18:20:00.000+0000,999743.5418304635,974522.1641671989,996650.3709162679,999738.4967761599,979463.1666268794,999995.875261365,996913.1344285649
2025-04-22T18:30:00.000+0000,999754.5887658399,983471.3383158239,996769.3484184197,999736.2440797603,988607.8899908802,1000001.035449909,997003.9251378451
2025-04-22T18:40:00.000+0000,999754.5680124562,985608.9870276643,997301.4564395507,999716.8196317602,989966.0381024802,1000009.2267416298,997427.8708297497
2025-04-22T18:50:00.000+0000,999770.4834199366,986996.6071727608,998461.7900208391,999710.9461343202,990598.0332016002,1000023.816510471,997839.4008421504
2025-04-22T19:00:00.000+0000,999753.8518758251,989088.2461518567,999103.9848153688,999695.6165078402,990598.0332016002,1000023.1074481757,998976.5907018796
2025-04-22T19:10:00.000+0000,999761.0353344574,990188.6344663935,998768.6687606906,999696.8073544002,990598.0332016002,1000027.2591441598,999574.960392864
2025-04-22T19:20:00.000+0000,999760.3969056096,991021.8733216097,997271.2822618729,999696.9082736002,990598.0332016002,1000027.3486824718,1000027.3486824718
2025-04-22T19:30:00.000+0000,999758.5166110497,991021.8733216097,992033.2830592901,999694.9504411202,990598.0332016002,1000027.3486824718,1000027.3486824718
2025-04-22T19:40:00.000+0000,999788.6885541697,991021.8733216097,992305.1847837076,999726.3665880802,990598.0332016002,1000027.3486824718,1000027.3486824718
2025-04-22T19:50:00.000+0000,999780.2756898496,991021.8733216097,994484.9693558905,999717.6068015202,990598.0332016002,1000027.3486824718,1000027.3486824718
2025-04-22T20:00:00.000+0000,999773.7043511297,991021.8733216097,995265.8270852827,999710.7644797602,990598.0332016002,1000027.3486824718,1000027.3486824718
