date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T15:20:00.000+0000,1000000.0,1000000.0,998821.6713484952
2025-04-22T15:30:00.000+0000,999961.6351290394,964196.7812079989,993682.7440925213
2025-04-22T15:40:00.000+0000,1000029.9270268943,962099.738692318,990609.3891551241
2025-04-22T15:50:00.000+0000,999957.5827886225,964362.7155613584,993888.2576256116
2025-04-22T16:00:00.000+0000,999944.9015617265,964921.4560910545,997960.330250111
2025-04-22T16:10:00.000+0000,999961.5009715664,964929.5891394065,993180.5261232432
2025-04-22T16:20:00.000+0000,999965.8126194866,965293.5033749265,994912.2116887486
2025-04-22T16:30:00.000+0000,999979.6586338065,965293.5033749265,995339.4808441801
2025-04-22T16:40:00.000+0000,999970.1337598065,965293.5033749265,993130.9854500224
2025-04-22T16:50:00.000+0000,1000003.9796614066,965475.4678867665,992532.7909108999
2025-04-22T17:00:00.000+0000,999973.1218973825,965492.5229917585,995283.9920005009
2025-04-22T17:10:00.000+0000,999987.1425318946,965492.5229917585,991989.3909290554
2025-04-22T17:20:00.000+0000,999997.3931248545,965496.9922135186,992590.1675849229
2025-04-22T17:30:00.000+0000,999881.8718458706,965801.8374620626,994204.2790000937
2025-04-22T17:40:00.000+0000,999874.5910551671,966094.9624543188,994842.7261368404
2025-04-22T17:50:00.000+0000,999847.0840084234,968623.4653025032,996223.7739942878
2025-04-22T18:00:00.000+0000,999832.0123154316,974872.1904200232,997952.1262478228
2025-04-22T18:10:00.000+0000,999847.7419716314,979161.5979765597,997058.5877038224
2025-04-22T18:20:00.000+0000,999849.1958975594,985192.4262910873,996650.3709162679
2025-04-22T18:30:00.000+0000,999855.7897182796,990182.5071401997,996769.3484184197
2025-04-22T18:40:00.000+0000,999856.2057751685,991469.2120920883,997301.4564395507
2025-04-22T18:50:00.000+0000,999865.8959268415,992287.9607887127,998461.7900208391
2025-04-22T19:00:00.000+0000,999856.1354015139,993553.8001764178,999103.9848153688
2025-04-22T19:10:00.000+0000,999860.46736317,994220.53347273,998768.6687606906
2025-04-22T19:20:00.000+0000,999860.0782447143,994725.0695407143,997271.2822618729
2025-04-22T19:30:00.000+0000,999858.9733293543,994725.0695407143,992033.2830592901
2025-04-22T19:40:00.000+0000,999876.7032340743,994725.0695407143,992305.1847837076
2025-04-22T19:50:00.000+0000,999871.7595921543,994725.0695407143,994484.9693558905
2025-04-22T20:00:00.000+0000,999867.8980838342,994725.0695407143,995265.8270852827
2025-04-22T20:10:00.000+0000,999876.1393855143,994725.0695407143,994120.7235054756
2025-04-22T20:20:00.000+0000,999880.3483156742,994725.0695407143,994102.5017706999
2025-04-22T20:30:00.000+0000,999881.4703173543,994725.0695407143,995164.6955467488
2025-04-22T20:40:00.000+0000,999883.5719347142,994725.0695407143,995532.9154681184
2025-04-22T20:50:00.000+0000,999887.2625798343,994725.0695407143,995232.447182361
2025-04-22T21:00:00.000+0000,999877.8252357543,994725.0695407143,995045.9546391992
2025-04-22T21:10:00.000+0000,999865.9274615942,994725.0695407143,996593.4843804819
2025-04-22T21:20:00.000+0000,999847.9583483943,994725.0695407143,1000564.0884206432
2025-04-22T21:30:00.000+0000,999859.7820818343,994725.0695407143,1001341.8399627171
2025-04-22T21:40:00.000+0000,999754.1943196743,994725.0695407143,1003924.8229576016
2025-04-22T21:50:00.000+0000,999776.5204444743,994725.0695407143,1018294.6481128458
2025-04-22T22:00:00.000+0000,999767.4931720743,994725.0695407143,1018131.3441744868
2025-04-22T22:10:00.000+0000,999780.2224804743,994725.0695407143,1016502.8967350491
2025-04-22T22:20:00.000+0000,999780.6325521542,994725.0695407143,1020297.9408498006
2025-04-22T22:30:00.000+0000,999783.5941809543,994725.0695407143,1015640.1910586318
2025-04-22T22:40:00.000+0000,999792.9859615143,994725.0695407143,1015516.0477474816
2025-04-22T22:50:00.000+0000,999788.9308082343,994725.0695407143,1017539.3824732802
2025-04-22T23:00:00.000+0000,999778.0354315143,994725.0695407143,1022542.0854687642
2025-04-22T23:10:00.000+0000,999767.6526443943,994725.0695407143,1022566.502357574
2025-04-22T23:20:00.000+0000,999743.6919283143,994725.0695407143,1021178.9540547384
2025-04-22T23:30:00.000+0000,999731.9991899943,994725.0695407143,1025130.2979024902
2025-04-22T23:40:00.000+0000,999744.2728631942,994725.0695407143,1025939.8378973498
2025-04-22T23:50:00.000+0000,999745.4518192742,994725.0695407143,1025633.982499087
2025-04-23T00:00:00.000+0000,999739.2437896742,994725.0695407143,1024211.022769569
2025-04-23T00:10:00.000+0000,999733.6223903942,994725.0695407143,1024324.8875315518
2025-04-23T00:20:00.000+0000,999737.7800615942,994725.0695407143,1024169.2914866339
2025-04-23T00:30:00.000+0000,999764.4575025543,994725.0695407143,1022687.4924076103
2025-04-23T00:40:00.000+0000,999771.2635533543,994725.0695407143,1019996.3931619918
2025-04-23T00:50:00.000+0000,999777.4089331143,994725.0695407143,1020069.6518018679
2025-04-23T01:00:00.000+0000,999767.7039033542,994725.0695407143,1019679.8718927751
2025-04-23T01:10:00.000+0000,999544.4329817134,721531.1979007054,1027509.4769983041
2025-04-23T01:20:00.000+0000,997728.80692549,721531.1979007054,1025401.3864380918
2025-04-23T01:30:00.000+0000,998108.9620778724,721531.1979007054,1026366.2138393787
2025-04-23T01:40:00.000+0000,999446.3043874374,723835.4022613454,1024515.2334605451
2025-04-23T01:50:00.000+0000,999997.267024431,726589.3887082253,1021070.501513598
2025-04-23T02:00:00.000+0000,997820.4217540175,516284.6811161445,1021241.090506464
2025-04-23T02:10:00.000+0000,997783.0807307514,516655.2036607845,1023780.5875215038
2025-04-23T02:20:00.000+0000,996894.8024223528,517025.98719646456,1028738.7666117698
2025-04-23T02:30:00.000+0000,999228.7256388725,517828.6260213045,1029140.2552605616
2025-04-23T02:40:00.000+0000,998450.1432734566,531408.6925698642,1030905.3124610549
2025-04-23T02:50:00.000+0000,998539.5594432484,544209.4025029046,1030295.5398860502
2025-04-23T03:00:00.000+0000,999531.8018437858,546244.7723033846,1028182.7870185126
2025-04-23T03:10:00.000+0000,1000857.6792126535,547912.6558282647,1026968.6233297117
2025-04-23T03:20:00.000+0000,998907.9453285831,547912.6558282647,1028124.5855229583
2025-04-23T03:30:00.000+0000,996364.0015230582,547912.6558282647,1028616.247167094
2025-04-23T03:40:00.000+0000,996315.0366563108,547912.6558282647,1031478.4870537797
2025-04-23T03:50:00.000+0000,995874.2977197615,547912.6558282647,1032176.9832823265
2025-04-23T04:00:00.000+0000,995345.3559519674,547912.6558282647,1032544.2251036027
2025-04-23T04:10:00.000+0000,995447.3834046558,547912.6558282647,1030634.9964834892
2025-04-23T04:20:00.000+0000,996092.9293344304,547912.6558282647,1029253.7340477249
2025-04-23T04:30:00.000+0000,995910.5941793454,547912.6558282647,1030491.4294642528
2025-04-23T04:40:00.000+0000,995243.8617623284,547912.6558282647,1033866.6460435798
2025-04-23T04:50:00.000+0000,993238.0529541196,547912.6558282647,1038148.8476079
2025-04-23T05:00:00.000+0000,993425.7731976882,547912.6558282647,1038855.7370967297
2025-04-23T05:10:00.000+0000,992769.8359875917,547912.6558282647,1037348.8995566855
2025-04-23T05:20:00.000+0000,994051.8014341188,547912.6558282647,1038395.1697422435
2025-04-23T05:30:00.000+0000,994801.1532826704,547912.6558282647,1038660.611446904
2025-04-23T05:40:00.000+0000,995035.3643538002,547912.6558282647,1040015.1602389528
2025-04-23T05:50:00.000+0000,995596.3391446581,547912.6558282647,1038192.2445822384
2025-04-23T06:00:00.000+0000,995895.9601159685,547912.6558282647,1036890.7955579243
2025-04-23T06:10:00.000+0000,996101.3868829783,547912.6558282647,1040061.1498200437
2025-04-23T06:20:00.000+0000,995879.0770432394,547912.6558282647,1039843.9950519083
2025-04-23T06:30:00.000+0000,996045.2093509872,547912.6558282647,1039819.1144137448
2025-04-23T06:40:00.000+0000,996217.3027460387,547912.6558282647,1039054.024491831
2025-04-23T06:50:00.000+0000,995089.9306857848,547912.6558282647,1037211.36618651
2025-04-23T07:00:00.000+0000,995047.1619481676,547912.6558282647,1034822.5610766737
2025-04-23T07:10:00.000+0000,997737.5055700723,547912.6558282647,1034291.7909536297
2025-04-23T07:20:00.000+0000,998540.0839333219,547912.6558282647,1034756.8111711396
2025-04-23T07:30:00.000+0000,998033.1770834789,547912.6558282647,1036696.7152377217
2025-04-23T07:40:00.000+0000,998954.195438875,547912.6558282647,1036650.868998585
2025-04-23T07:50:00.000+0000,996280.3096002003,547912.6558282647,1037711.0371120358
2025-04-23T08:00:00.000+0000,997327.2004569682,547912.6558282647,1039272.8898693091
2025-04-23T08:10:00.000+0000,995423.8642050793,548278.6494989047,1040845.1883831171
2025-04-23T08:20:00.000+0000,995040.6463248384,548278.6494989047,1043035.1503089471
2025-04-23T08:30:00.000+0000,995488.7454385366,549191.2302497845,1041860.24850273
2025-04-23T08:40:00.000+0000,993974.1739858013,549921.6624361845,1042634.1819189843
2025-04-23T08:50:00.000+0000,993921.4968903358,396562.8545098637,1043396.1433988353
2025-04-23T09:00:00.000+0000,993438.5017058476,396836.41698466375,1044301.5887054913
2025-04-23T09:10:00.000+0000,992202.4674349589,396836.41698466375,1045674.0595068194
2025-04-23T09:20:00.000+0000,993704.2425629505,396836.41698466375,1044467.5358615642
2025-04-23T09:30:00.000+0000,994912.0775613203,396836.41698466375,1043516.7150188569
2025-04-23T09:40:00.000+0000,994143.7722376873,396836.41698466375,1043391.4595154808
2025-04-23T09:50:00.000+0000,994694.2571371753,396836.41698466375,1039985.6623963716
2025-04-23T10:00:00.000+0000,997460.4079547678,396836.41698466375,1035963.116929454
2025-04-23T10:10:00.000+0000,998956.1106545917,396836.41698466375,1037194.572505903
2025-04-23T10:20:00.000+0000,997639.1848587331,396836.41698466375,1039051.2045246321
2025-04-23T10:30:00.000+0000,997335.394006,396836.41698466375,1040810.7759387214
2025-04-23T10:40:00.000+0000,997617.1485818714,396836.41698466375,1041093.3773482242
2025-04-23T10:50:00.000+0000,996627.3179403861,396836.41698466375,1042968.5397017068
2025-04-23T11:00:00.000+0000,996917.0076031067,396836.41698466375,1043659.9568496465
2025-04-23T11:10:00.000+0000,996737.0539712722,396836.41698466375,1044548.7459729707
2025-04-23T11:20:00.000+0000,996075.5678038965,396836.41698466375,1044075.5585616034
2025-04-23T11:30:00.000+0000,997763.81804236,396836.41698466375,1043508.927229498
2025-04-23T11:40:00.000+0000,997698.1152366906,396836.41698466375,1041579.5735330423
2025-04-23T11:50:00.000+0000,998984.5155424888,396836.41698466375,1039755.6303906825
2025-04-23T12:00:00.000+0000,997607.2781045749,396836.41698466375,1041243.2925982613
2025-04-23T12:10:00.000+0000,994936.0624880152,396836.41698466375,1044882.7846976551
2025-04-23T12:20:00.000+0000,994873.6668245103,396836.41698466375,1044075.7824233972
2025-04-23T12:30:00.000+0000,994931.5041276246,396836.41698466375,1044882.3403662827
2025-04-23T12:40:00.000+0000,995504.2691287613,396836.41698466375,1044397.0293040345
2025-04-23T12:50:00.000+0000,994463.7642491201,396836.41698466375,1045785.6725986745
2025-04-23T13:00:00.000+0000,994154.3859798966,396836.41698466375,1045145.2066195338
2025-04-23T13:10:00.000+0000,993140.4567627,396836.41698466375,1047914.30749192
2025-04-23T13:20:00.000+0000,994125.8647851167,396836.41698466375,1047896.8260452964
2025-04-23T13:30:00.000+0000,992920.6324629434,396836.41698466375,1040833.3479757016
2025-04-23T13:40:00.000+0000,997450.8014261469,396836.41698466375,1040064.6768930526
2025-04-23T13:50:00.000+0000,1000236.9909998969,396836.41698466375,1032826.1967595619
2025-04-23T14:00:00.000+0000,1001833.8423160433,396836.41698466375,1034969.3344995263
2025-04-23T14:10:00.000+0000,1004267.4579048085,412604.423379944,1030610.9845273868
2025-04-23T14:20:00.000+0000,1002825.9008338033,427254.3198793042,1031645.409548359
2025-04-23T14:30:00.000+0000,1003391.8014708243,452416.1532961039,1035298.5221761724
2025-04-23T14:40:00.000+0000,1000853.4439826639,497162.2531557838,1036509.8881341873
2025-04-23T14:50:00.000+0000,1002185.7099365676,510308.1799941839,1035059.244816608
