date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-25T08:20:00.000+0000,1000000.0,1000000.0,999485.5810385663
2025-04-25T08:30:00.000+0000,999583.5835936001,828553.7590000001,998658.3169411442
2025-04-25T08:40:00.000+0000,999966.9736360001,828553.7590000001,998878.9593829617
2025-04-25T08:50:00.000+0000,999852.8163383999,62.28214400019158,998548.573377765
2025-04-25T09:00:00.000+0000,995632.8070488,62.28214400019158,995799.3502244789
2025-04-25T09:10:00.000+0000,1006615.6517384008,62.28214400019158,994847.1794952245
2025-04-25T09:20:00.000+0000,1005127.8279504016,62.28214400019158,996411.7880260713
2025-04-25T09:30:00.000+0000,998662.5573080006,62.28214400019158,997416.6005998466
2025-04-25T09:40:00.000+0000,993549.853745601,62.28214400019158,997006.8927311297
2025-04-25T09:50:00.000+0000,996444.347296801,62.28214400019158,998752.2854870481
2025-04-25T10:00:00.000+0000,1004045.7742864012,62.28214400019158,998999.1431950915
2025-04-25T10:10:00.000+0000,1018725.2043400009,1018725.2043400009,999214.1040572266
2025-04-25T10:20:00.000+0000,1018725.2043400009,1018725.2043400009,999286.5824054217
2025-04-25T10:30:00.000+0000,1018725.2043400009,1018725.2043400009,995553.2965791287
2025-04-25T10:40:00.000+0000,1018725.2043400009,1018725.2043400009,995002.168537878
2025-04-25T10:50:00.000+0000,1018725.2043400009,1018725.2043400009,994799.7536388154
2025-04-25T11:00:00.000+0000,1018725.2043400009,1018725.2043400009,996211.9452693677
2025-04-25T11:10:00.000+0000,1018725.2043400009,1018725.2043400009,998520.0319009185
2025-04-25T11:20:00.000+0000,1018725.2043400009,1018725.2043400009,1000006.2872518704
2025-04-25T11:30:00.000+0000,1018725.2043400009,1018725.2043400009,999960.4826978638
2025-04-25T11:40:00.000+0000,1018725.2043400009,1018725.2043400009,1001436.50765569
2025-04-25T11:50:00.000+0000,1018725.2043400009,1018725.2043400009,1002434.3100302066
2025-04-25T12:00:00.000+0000,1018725.2043400009,1018725.2043400009,1004037.3907334539
2025-04-25T12:10:00.000+0000,1018049.6004616008,174220.35634000073,1005370.2504509802
2025-04-25T12:20:00.000+0000,1019940.6963736007,174220.35634000073,1003776.5722363286
2025-04-25T12:30:00.000+0000,1028239.2701992011,1028239.2701992011,1003054.671084508
2025-04-25T12:40:00.000+0000,1028239.2701992011,1028239.2701992011,1003613.9683301551
2025-04-25T12:50:00.000+0000,1028239.2701992011,1028239.2701992011,999211.6730401479
2025-04-25T13:00:00.000+0000,1028239.2701992011,1028239.2701992011,998320.498071721
2025-04-25T13:10:00.000+0000,1028239.2701992011,1028239.2701992011,997498.266590771
2025-04-25T13:20:00.000+0000,1028239.2701992011,1028239.2701992011,996003.2253492803
2025-04-25T13:30:00.000+0000,1028239.2701992011,1028239.2701992011,993649.0474813959
2025-04-25T13:40:00.000+0000,1028239.2701992011,1028239.2701992011,998364.8673827129
2025-04-25T13:50:00.000+0000,1028239.2701992011,1028239.2701992011,996723.7240254353
2025-04-25T14:00:00.000+0000,1028239.2701992011,1028239.2701992011,999203.9863041057
2025-04-25T14:10:00.000+0000,1028239.2701992011,1028239.2701992011,1005058.9162598869
2025-04-25T14:20:00.000+0000,1028239.2701992011,1028239.2701992011,1001082.0123806251
2025-04-25T14:30:00.000+0000,1028239.2701992011,1028239.2701992011,1000820.2736086096
2025-04-25T14:40:00.000+0000,1028239.2701992011,1028239.2701992011,1004812.9064968328
2025-04-25T14:50:00.000+0000,1028239.2701992011,1028239.2701992011,1010127.9670279091
2025-04-25T15:00:00.000+0000,1028239.2701992011,1028239.2701992011,1009557.778002782
2025-04-25T15:10:00.000+0000,1027056.7213940806,8.011799200324656,1008197.5750764452
2025-04-25T15:20:00.000+0000,1030512.3738587206,8.011799200324656,1009752.8648408114
2025-04-25T15:30:00.000+0000,1031952.2290523207,8.011799200324656,1005441.2639743031
2025-04-25T15:40:00.000+0000,1055987.9989412008,1055987.9989412008,1005594.3653922891
2025-04-25T15:50:00.000+0000,1055987.9989412008,1055987.9989412008,1005763.6826369725
2025-04-25T16:00:00.000+0000,1055987.9989412008,1055987.9989412008,1003591.788203197
2025-04-25T16:10:00.000+0000,1055987.9989412008,1055987.9989412008,999742.0937644185
2025-04-25T16:20:00.000+0000,1055987.9989412008,1055987.9989412008,999685.1286595818
2025-04-25T16:30:00.000+0000,1055987.9989412008,1055987.9989412008,1001930.36055118
2025-04-25T16:40:00.000+0000,1055987.9989412008,1055987.9989412008,1004556.7633201515
2025-04-25T16:50:00.000+0000,1055987.9989412008,1055987.9989412008,1003711.6346714629
2025-04-25T17:00:00.000+0000,1055987.9989412008,1055987.9989412008,1005289.3710509164
