date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-19T08:20:00.000+0000,1000000.0,1000000.0,999929.2745155538
2025-04-19T08:30:00.000+0000,999995.306147296,999203.19946,999114.3350384812
2025-04-19T08:40:00.000+0000,999991.987264528,999203.19946,1001093.7192982684
2025-04-19T08:50:00.000+0000,1000002.6814423361,999203.19946,1000830.6511793861
2025-04-19T09:00:00.000+0000,1000014.8506791521,999203.19946,1000862.1983179215
2025-04-19T09:10:00.000+0000,1000020.750915184,999203.19946,1002351.2003485367
2025-04-19T09:20:00.000+0000,1000021.488444688,999203.19946,1002125.2619542653
2025-04-19T09:30:00.000+0000,1000024.8073274561,999203.19946,1000670.225868638
2025-04-19T09:40:00.000+0000,1000017.432032416,999203.19946,1001989.1406824093
2025-04-19T09:50:00.000+0000,1000023.7010332,999203.19946,1000884.8288996344
2025-04-19T10:00:00.000+0000,1000017.063267664,999203.19946,1000168.4026728412
2025-04-19T10:10:00.000+0000,1000017.800797168,999203.19946,1001236.8395607318
2025-04-19T10:20:00.000+0000,1000049.51456584,999203.19946,1000624.378397976
2025-04-19T10:30:00.000+0000,999976.1303801921,999203.19946,998752.7858820232
2025-04-19T10:40:00.000+0000,999965.4362023841,999203.19946,999020.9642953207
2025-04-19T10:50:00.000+0000,999977.236674448,999203.19946,999029.4933450246
2025-04-19T11:00:00.000+0000,999973.549026928,999203.19946,999364.4531939399
2025-04-19T11:10:00.000+0000,999997.5187358081,999203.19946,1000101.3232662249
2025-04-19T11:20:00.000+0000,1000010.056737376,999203.19946,999286.4698799197
2025-04-19T11:30:00.000+0000,999986.455793248,999203.19946,997782.9575370209
2025-04-19T11:40:00.000+0000,999981.661851472,999203.19946,997682.4789639704
2025-04-19T11:50:00.000+0000,999979.0804982081,999203.19946,997906.5914809249
2025-04-19T12:00:00.000+0000,999984.243204736,999203.19946,998987.280908654
2025-04-19T12:10:00.000+0000,999982.768145728,999203.19946,999082.4825877829
2025-04-19T12:20:00.000+0000,999982.399380976,999203.19946,999029.2953414075
2025-04-19T12:30:00.000+0000,999978.3429687041,999203.19946,999453.9438039545
2025-04-19T12:40:00.000+0000,999969.123849904,999203.19946,998241.7777694305
2025-04-19T12:50:00.000+0000,999964.329908128,999203.19946,998511.7713260283
2025-04-19T13:00:00.000+0000,999965.804967136,999203.19946,997987.2773711699
2025-04-19T13:10:00.000+0000,999949.84436872,993045.38326,999830.214200946
2025-04-19T13:20:00.000+0000,999964.8185597761,993045.38326,1000434.5611753736
2025-04-19T13:30:00.000+0000,999946.8656536001,993045.38326,1000978.7530233888
2025-04-19T13:40:00.000+0000,999951.533496336,993796.9258245759,1001464.67033471
2025-04-19T13:50:00.000+0000,999960.1221199359,993796.9258245759,1001767.6672006615
2025-04-19T14:00:00.000+0000,999954.968945776,993796.9258245759,1002581.827361949
2025-04-19T14:10:00.000+0000,999929.203074976,993796.9258245759,1002583.5311454108
2025-04-19T14:20:00.000+0000,999945.2565475359,989725.8423245759,1003092.0385812082
2025-04-19T14:30:00.000+0000,999941.9185200959,989725.8423245759,1002556.2200957544
2025-04-19T14:40:00.000+0000,999940.7818301759,989520.0478045759,1002340.7355681083
2025-04-19T14:50:00.000+0000,999945.5686556164,974078.6203045762,1002729.066411851
2025-04-19T15:00:00.000+0000,999933.1515894003,974078.6203045762,1002814.5431778973
2025-04-19T15:10:00.000+0000,999939.0025548803,974078.6203045762,1002827.0789087522
2025-04-19T15:20:00.000+0000,999997.3386208003,972355.4651045762,1004780.5403552372
2025-04-19T15:30:00.000+0000,999908.0457522883,972355.4651045762,1001468.934305112
2025-04-19T15:40:00.000+0000,999708.9562023521,944849.5760645759,999347.9774315988
2025-04-19T15:50:00.000+0000,999836.6471877759,944849.5760645759,1000373.8447713132
2025-04-19T16:00:00.000+0000,999976.3625160239,944849.5760645759,1001623.9407355108
2025-04-19T16:10:00.000+0000,999828.621420128,860942.226434576,1000718.0603084511
2025-04-19T16:20:00.000+0000,999690.7343650081,856179.1164345759,999167.5944679389
2025-04-19T16:30:00.000+0000,999586.6376488719,850431.2739945761,997604.7723449145
2025-04-19T16:40:00.000+0000,999491.6708020963,850431.2739945761,995125.3399282
2025-04-19T16:50:00.000+0000,999579.461693152,850431.2739945761,995014.063928719
2025-04-19T17:00:00.000+0000,999464.6449700721,850496.4583053761,995772.0865789657
2025-04-19T17:10:00.000+0000,999480.1386452082,847348.2583053759,995700.1383516502
2025-04-19T17:20:00.000+0000,999598.754290256,847348.2583053759,997685.2176147613
2025-04-19T17:30:00.000+0000,999315.2649832797,847493.3926749198,999438.6499525822
2025-04-19T17:40:00.000+0000,998920.0224804399,847493.3926749198,1002425.6124327619
2025-04-19T17:50:00.000+0000,998737.7006147117,847630.1791181519,1000627.5570222938
2025-04-19T18:00:00.000+0000,998804.4203461916,847890.4395630957,1002897.2176409484
2025-04-19T18:10:00.000+0000,998947.3174170076,845963.1575831756,1003157.896242669
2025-04-19T18:20:00.000+0000,999136.8614604155,845172.3415831756,1002733.6077803813
2025-04-19T18:30:00.000+0000,999126.1159343917,845172.3415831756,1003055.2968842156
2025-04-19T18:40:00.000+0000,999022.7510025435,836409.0330531757,1001843.0594927426
2025-04-19T18:50:00.000+0000,999447.9236722477,830718.6378531756,1001678.6835194723
2025-04-19T19:00:00.000+0000,999700.5916950639,830718.6378531756,1000697.8630167544
2025-04-19T19:10:00.000+0000,999677.8058483356,830718.6378531756,1000973.6016347238
2025-04-19T19:20:00.000+0000,999692.4265224318,830718.6378531756,1000916.5898437893
2025-04-19T19:30:00.000+0000,999562.7153619352,819283.8773531752,1001432.3332868814
2025-04-19T19:40:00.000+0000,999727.5804242872,819283.8773531752,1002106.5653079657
2025-04-19T19:50:00.000+0000,999490.1780082793,819410.9769720712,1001433.9305393193
2025-04-19T20:00:00.000+0000,999751.4337263673,819531.4404441352,1000356.6690701586
2025-04-19T20:10:00.000+0000,999966.2287627594,819604.0780575193,1000406.120053359
2025-04-19T20:20:00.000+0000,999914.9673547192,819681.5221026792,1000735.7828169125
2025-04-19T20:30:00.000+0000,1000053.1373402312,819681.5221026792,1001876.097703049
2025-04-19T20:40:00.000+0000,999940.4472744631,819681.5221026792,1003225.2360121028
2025-04-19T20:50:00.000+0000,1000165.0593209591,819174.4018520073,1002241.830227834
2025-04-19T21:00:00.000+0000,1000008.9899747113,819174.4018520073,1002203.6030750502
2025-04-19T21:10:00.000+0000,999984.1417292232,819241.6007298633,1003500.730388423
2025-04-19T21:20:00.000+0000,1000051.9197334073,819241.6007298633,1003813.3978593509
2025-04-19T21:30:00.000+0000,999966.2533313993,819241.6007298633,1002983.2955063065
2025-04-19T21:40:00.000+0000,1000076.6667999033,819241.6007298633,1003812.7679455148
2025-04-19T21:50:00.000+0000,1000185.3982950633,819241.6007298633,1004640.5096960245
2025-04-19T22:00:00.000+0000,1000184.9698680793,819241.6007298633,1003683.4727417281
2025-04-19T22:10:00.000+0000,1000440.7470824793,819241.6007298633,1003625.7196027619
2025-04-19T22:20:00.000+0000,1000437.6487231513,819241.6007298633,1003149.1050505943
2025-04-19T22:30:00.000+0000,1000393.6871805433,819241.6007298633,1003419.7124051871
2025-04-19T22:40:00.000+0000,1000385.8272635114,819241.6007298633,1004316.3671904181
