date,total_balance_normal,unlocked_balance_normal,benchmark
2024-12-13T23:00:00.000+0000,1000000.0,1000000.0,999999.9999999999
2024-12-13T23:10:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-13T23:20:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-13T23:30:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-13T23:40:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-13T23:50:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:00:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:10:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:20:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:30:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:40:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T00:50:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:00:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:10:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:20:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:30:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:40:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T01:50:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:00:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:10:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:20:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:30:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:40:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T02:50:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:00:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:10:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:20:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:30:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:40:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
2024-12-14T03:50:00.000+0000,999747.5111264796,684388.9080999997,999999.9999999999
