date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-20T12:20:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-04-20T12:30:00.000+0000,998311.3527819207,454585.4092000004,1000383.4972657647
2025-04-20T12:40:00.000+0000,1000152.99328992,454585.4092000004,1000370.3242650696
2025-04-20T12:50:00.000+0000,1001773.6369369607,454585.4092000004,999909.6657151524
2025-04-20T13:00:00.000+0000,1000152.99328992,454585.4092000004,999242.0559400229
2025-04-20T13:10:00.000+0000,1001405.3088353605,454585.4092000004,997408.979706461
2025-04-20T13:20:00.000+0000,999195.3402257606,454585.4092000004,998677.0737835817
2025-04-20T13:30:00.000+0000,997943.0246803209,454585.4092000004,999691.7731708493
2025-04-20T13:40:00.000+0000,997132.7028568,454585.4092000004,1000801.1205231075
2025-04-20T13:50:00.000+0000,998385.0184022398,454585.4092000004,1000613.0105442201
2025-04-20T14:00:00.000+0000,997280.0340974408,454585.4092000004,1000140.7765450594
2025-04-20T14:10:00.000+0000,996911.7059958405,454585.4092000004,1002548.4629336945
2025-04-20T14:20:00.000+0000,998532.3496428805,454585.4092000004,1001512.5996650414
2025-04-20T14:30:00.000+0000,997869.3590600006,454585.4092000004,1003129.7732585167
2025-04-20T14:40:00.000+0000,997280.0340974408,454585.4092000004,1002432.3330908754
2025-04-20T14:50:00.000+0000,994038.7468033601,454585.4092000004,1002906.8459259815
2025-04-20T15:00:00.000+0000,993596.7530814409,454585.4092000004,1001162.0103070871
2025-04-20T15:10:00.000+0000,991534.1157124804,454585.4092000004,1000554.1028578256
2025-04-20T15:20:00.000+0000,994038.7468033601,454585.4092000004,998672.4574497915
2025-04-20T15:30:00.000+0000,994259.7436643203,454585.4092000004,999161.0733503918
2025-04-20T15:40:00.000+0000,993891.4155627203,454585.4092000004,998794.436507079
2025-04-20T15:50:00.000+0000,995585.7248300794,454585.4092000004,996107.3250842493
2025-04-20T16:00:00.000+0000,994112.4124236808,454585.4092000004,996419.8475563774
2025-04-20T16:10:00.000+0000,991681.44695312,454585.4092000004,998648.0546023643
