date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-09T17:10:00.000+0000,1000000.0,1000000.0,990976.3977011011,1000000.0,1000000.0,1000000,1000000
2025-04-09T17:20:00.000+0000,996335.7266097758,13431.813782191743,1011059.1307865609,993081.7971399355,17922.67676833576,1000000,1000000
2025-04-09T17:30:00.000+0000,978300.46444132,13431.813782191743,1049010.2953327964,978953.7605383999,99730.28838966363,1000000,1000000
2025-04-09T17:40:00.000+0000,970728.1034503038,24253.749302191798,1051931.55004293,972971.8806138076,225292.79545966367,1000000,1000000
2025-04-09T17:50:00.000+0000,949497.184783904,24253.749302191798,1060940.066150335,956200.2546570078,225292.79545966367,1000000,1000000
2025-04-09T18:00:00.000+0000,964571.1370370478,24253.749302191798,1068738.3962327784,968108.1090863356,225292.79545966367,1000000,1000000
2025-04-09T18:10:00.000+0000,980140.4773924078,980140.4773924078,1073699.0829465354,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T18:20:00.000+0000,980140.4773924078,980140.4773924078,1084117.1959268185,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T18:30:00.000+0000,980140.4773924078,980140.4773924078,1081849.3227373778,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T18:40:00.000+0000,980140.4773924078,980140.4773924078,1071945.1162527406,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T18:50:00.000+0000,980140.4773924078,980140.4773924078,1069271.4961727853,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T19:00:00.000+0000,980140.4773924078,980140.4773924078,1070260.586635755,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T19:10:00.000+0000,980140.4773924078,980140.4773924078,1074451.8946934473,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T19:20:00.000+0000,980140.4773924078,980140.4773924078,1079106.4127601935,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T19:30:00.000+0000,980140.4773924078,980140.4773924078,1077564.6167767472,980407.3014546557,980407.3014546557,1000000,1000000
2025-04-09T19:40:00.000+0000,977234.5453643678,616.8050424078524,1076208.5398025059,977499.1115961757,122.56575465579772,1000000,1000000
2025-04-09T19:50:00.000+0000,972636.2003356877,616.8050424078524,1076811.164195312,972897.1937780156,122.56575465579772,1000000,1000000
2025-04-09T20:00:00.000+0000,972777.687875032,616.8050424078524,1078798.7812021282,973038.7912493437,122.56575465579772,1000000,1000000
2025-04-09T20:10:00.000+0000,978932.3958364958,616.8050424078524,1079675.7404762395,979198.2812521118,122.56575465579772,1000000,1000000
2025-04-09T20:20:00.000+0000,979569.0897635437,616.8050424078524,1077563.8040563487,979835.4698730875,122.56575465579772,1000000,1000000
2025-04-09T20:30:00.000+0000,977941.9830610879,616.8050424078524,1078031.4512187906,978207.0989528158,122.56575465579772,1000000,1000000
2025-04-09T20:40:00.000+0000,978437.1894487916,616.8050424078524,1081266.124133262,978702.6901024637,122.56575465579772,1000000,1000000
2025-04-09T20:50:00.000+0000,963368.7665086559,616.8050424078524,1083986.1373281886,963622.5594060316,122.56575465579772,1000000,1000000
2025-04-09T21:00:00.000+0000,963298.0227389839,616.8050424078524,1087053.7707992368,963551.7606703679,122.56575465579772,1000000,1000000
2025-04-09T21:10:00.000+0000,958841.1652496476,616.8050424078524,1089870.804079441,959091.4403235357,122.56575465579772,1000000,1000000
2025-04-09T21:20:00.000+0000,961458.6847275118,616.8050424078524,1088748.1917151758,961710.9935431039,122.56575465579772,1000000,1000000
2025-04-09T21:30:00.000+0000,966976.6987619279,616.8050424078524,1084056.823460779,967233.2949248957,122.56575465579772,1000000,1000000
2025-04-09T21:40:00.000+0000,956860.3396988318,616.8050424078524,1085828.0126713568,957109.0757249437,122.56575465579772,1000000,1000000
2025-04-09T21:50:00.000+0000,952120.5071308078,616.8050424078524,1088017.7478053286,952365.5604354559,122.56575465579772,1000000,1000000
2025-04-09T22:00:00.000+0000,957638.5211652237,616.8050424078524,1089174.9220241206,957887.8618172479,122.56575465579772,1000000,1000000
2025-04-09T22:10:00.000+0000,961246.4534184958,616.8050424078524,1091611.7529977113,961498.5973361117,122.56575465579772,1000000,1000000
2025-04-09T22:20:00.000+0000,962802.8163512801,616.8050424078524,1092028.5516470848,963056.1695207196,122.56575465579772,1000000,1000000
2025-04-09T22:30:00.000+0000,964642.1543627516,616.8050424078524,1090955.45788189,964896.9366479837,122.56575465579772,1000000,1000000
2025-04-09T22:40:00.000+0000,966764.4674529119,616.8050424078524,1088341.7787708044,967020.8987179038,122.56575465579772,1000000,1000000
2025-04-09T22:50:00.000+0000,969311.243161104,616.8050424078524,1087890.891795676,969569.6532018076,122.56575465579772,1000000,1000000
2025-04-09T23:00:00.000+0000,969877.1933184798,616.8050424078524,1086845.2006347517,970136.0430871199,122.56575465579772,1000000,1000000
2025-04-09T23:10:00.000+0000,975607.4386619119,616.8050424078524,1083373.9383104704,975870.7406759039,122.56575465579772,1000000,1000000
2025-04-09T23:20:00.000+0000,983672.2284045197,616.8050424078524,1082191.3969179434,983941.7965415997,122.56575465579772,1000000,1000000
2025-04-09T23:30:00.000+0000,986501.9791914,616.8050424078524,1083528.1299620643,986773.74596816,122.56575465579772,1000000,1000000
2025-04-09T23:40:00.000+0000,992373.7120741762,616.8050424078524,1084737.2598108167,992650.0410282717,122.56575465579772,1000000,1000000
2025-04-09T23:50:00.000+0000,993293.3810799117,616.8050424078524,1084387.4262745301,993570.4245919036,122.56575465579772,1000000,1000000
