date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-03-06T15:10:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000.0,1000000.0
2025-03-06T15:20:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T15:30:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T15:40:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T15:50:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T16:00:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T16:10:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T16:20:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T16:30:00.000+0000,999987.36466984,984205.8373,999999.9999999999,999992.95735696,991196.6962,1000000.0,1000000.0
2025-03-06T16:40:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T16:50:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:00:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:10:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:20:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:30:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:40:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T17:50:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T18:00:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T18:10:00.000+0000,999987.36466984,999987.36466984,999999.9999999999,999992.95735696,999992.95735696,1000000.0,1000000.0
2025-03-06T18:20:00.000+0000,999386.4240083755,352133.88877983927,999999.9999999999,999656.7801029773,637571.8125169609,1000000.0,1000000.0
2025-03-06T18:30:00.000+0000,1001618.1867886784,352133.88877983927,999999.9999999999,1000905.2692320008,637571.8125169609,1000000.0,1000000.0
2025-03-06T18:40:00.000+0000,1008230.8172488392,352133.88877983927,999999.9999999999,1004604.4962809605,637571.8125169609,1000000.0,1000000.0
2025-03-06T18:50:00.000+0000,1010421.2510887661,352133.88877983927,999999.9999999999,1005829.8652409287,637571.8125169609,1000000.0,1000000.0
2025-03-06T19:00:00.000+0000,1013107.6322132077,352133.88877983927,999999.9999999999,1007332.6762295691,637571.8125169609,1000000.0,1000000.0
2025-03-06T19:10:00.000+0000,1008272.1461892158,352133.88877983927,999999.9999999999,1004627.616450017,637571.8125169609,1000000.0,1000000.0
2025-03-06T19:20:00.000+0000,1016537.934264415,352133.88877983927,999999.9999999999,1009251.6502612168,637571.8125169609,1000000.0,1000000.0
