date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T07:10:00.000+0000,1000000.0,1000000.0,999999.9999999998,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T07:20:00.000+0000,999986.16219212,998007.73635,1002271.4948982242,999990.7744785519,998671.77871,1000000.0,1000000.0
2025-04-22T07:30:00.000+0000,999968.81652976,998007.73635,1005176.9745024994,999979.210307296,998671.77871,1000000.0,1000000.0
2025-04-22T07:40:00.000+0000,999968.81652976,998007.73635,1009283.7054123362,999979.210307296,998671.77871,1000000.0,1000000.0
2025-04-22T07:50:00.000+0000,999966.7758636,998007.73635,1010184.1032104173,999977.8498165599,998671.77871,1000000.0,1000000.0
2025-04-22T08:00:00.000+0000,999951.4708674,998007.73635,1011868.0439478583,999967.64613604,998671.77871,1000000.0,1000000.0
2025-04-22T08:10:00.000+0000,999959.63353204,998007.73635,1012601.9718065601,999973.088098984,998671.77871,1000000.0,1000000.0
2025-04-22T08:20:00.000+0000,999963.71486436,998007.73635,1009628.1361069193,999975.809080456,998671.77871,1000000.0,1000000.0
2025-04-22T08:30:00.000+0000,999980.04019364,998007.73635,1009589.62743125,999986.693006344,998671.77871,1000000.0,1000000.0
2025-04-22T08:40:00.000+0000,999982.0808598,998007.73635,1009874.305121203,999988.05349708,998671.77871,1000000.0,1000000.0
2025-04-22T08:50:00.000+0000,999982.0808598,998007.73635,1010476.1341410987,999988.05349708,998671.77871,1000000.0,1000000.0
2025-04-22T09:00:00.000+0000,999983.1011928801,998007.73635,1010599.740840767,999988.733742448,998671.77871,1000000.0,1000000.0
2025-04-22T09:10:00.000+0000,999976.9791944,998007.73635,1009026.6419573491,999984.65227024,998671.77871,1000000.0,1000000.0
2025-04-22T09:20:00.000+0000,999979.0198605601,998007.73635,1010121.0992656508,999986.012760976,998671.77871,1000000.0,1000000.0
2025-04-22T09:30:00.000+0000,999985.14185904,998007.73635,1010471.0276551112,999990.094233184,998671.77871,1000000.0,1000000.0
2025-04-22T09:40:00.000+0000,999989.22319136,998007.73635,1011863.7013300845,999992.815214656,998671.77871,1000000.0,1000000.0
2025-04-22T09:50:00.000+0000,999995.3451898401,998007.73635,1010896.7001414605,999996.896686864,998671.77871,1000000.0,1000000.0
2025-04-22T10:00:00.000+0000,999998.40618908,998007.73635,1011363.6076114045,999998.937422968,998671.77871,1000000.0,1000000.0
2025-04-22T10:10:00.000+0000,999999.4265221601,998007.73635,1011563.5111558695,999999.617668336,998671.77871,1000000.0,1000000.0
2025-04-22T10:20:00.000+0000,999999.4265221601,998007.73635,1007872.5470575003,999999.617668336,998671.77871,1000000.0,1000000.0
2025-04-22T10:30:00.000+0000,999994.32485676,998007.73635,1009368.1558431349,999996.2164414959,998671.77871,1000000.0,1000000.0
2025-04-22T10:40:00.000+0000,999994.32485676,998007.73635,1012202.1408963939,999996.2164414959,998671.77871,1000000.0,1000000.0
2025-04-22T10:50:00.000+0000,999993.30452368,998007.73635,1012153.1602677122,999995.536196128,998671.77871,1000000.0,1000000.0
2025-04-22T11:00:00.000+0000,999991.2638575201,998007.73635,1012431.5180900423,999994.175705392,998671.77871,1000000.0,1000000.0
2025-04-22T11:10:00.000+0000,999990.24352444,998007.73635,1012758.3139301157,999993.495460024,998671.77871,1000000.0,1000000.0
2025-04-22T11:20:00.000+0000,999985.14185904,998007.73635,1014386.3346523584,999990.094233184,998671.77871,1000000.0,1000000.0
2025-04-22T11:30:00.000+0000,999973.91819516,998007.73635,1014197.8234826536,999982.611534136,998671.77871,1000000.0,1000000.0
2025-04-22T11:40:00.000+0000,999948.40986816,998007.73635,1013607.1063397218,999965.605399936,998671.77871,1000000.0,1000000.0
2025-04-22T11:50:00.000+0000,999945.34886892,998007.73635,1014694.7639812279,999963.564663832,998671.77871,1000000.0,1000000.0
2025-04-22T12:00:00.000+0000,999962.69453128,998007.73635,1013813.4315187111,999975.128835088,998671.77871,1000000.0,1000000.0
2025-04-22T12:10:00.000+0000,999964.73519744,998007.73635,1014794.4979436352,999976.489325824,998671.77871,1000000.0,1000000.0
2025-04-22T12:20:00.000+0000,999945.34886892,998007.73635,1014684.8769369881,999963.564663832,998671.77871,1000000.0,1000000.0
2025-04-22T12:30:00.000+0000,999946.369202,998007.73635,1016067.2641035501,999964.2449092,998671.77871,1000000.0,1000000.0
2025-04-22T12:40:00.000+0000,999940.24720352,998007.73635,1013775.5168984252,999960.163436992,998671.77871,1000000.0,1000000.0
2025-04-22T12:50:00.000+0000,999934.12520504,998007.73635,1018429.1207710679,999956.081964784,998671.77871,1000000.0,1000000.0
2025-04-22T13:00:00.000+0000,999944.32853584,998007.73635,1019732.6806957223,999962.884418464,998671.77871,1000000.0,1000000.0
2025-04-22T13:10:00.000+0000,999936.1658712,998007.73635,1023525.7026319685,999957.44245552,998671.77871,1000000.0,1000000.0
2025-04-22T13:20:00.000+0000,999932.08453888,998007.73635,1022921.4940576173,999954.721474048,998671.77871,1000000.0,1000000.0
2025-04-22T13:30:00.000+0000,999945.34886892,998007.73635,1022216.3123258245,999963.564663832,998671.77871,1000000.0,1000000.0
2025-04-22T13:40:00.000+0000,999926.9828734801,998007.73635,1026601.0899687025,999951.320247208,998671.77871,1000000.0,1000000.0
2025-04-22T13:50:00.000+0000,999943.3082027601,998007.73635,1025839.7427290964,999962.204173096,998671.77871,1000000.0,1000000.0
2025-04-22T14:00:00.000+0000,999946.369202,998007.73635,1027429.8421543429,999964.2449092,998671.77871,1000000.0,1000000.0
2025-04-22T14:10:00.000+0000,999930.04387272,998007.73635,1032312.551475479,999953.360983312,998671.77871,1000000.0,1000000.0
2025-04-22T14:20:00.000+0000,999938.20653736,998007.73635,1030652.5635055823,999958.802946256,998671.77871,1000000.0,1000000.0
2025-04-22T14:30:00.000+0000,999933.10487196,998007.73635,1031210.7244523028,999955.401719416,998671.77871,1000000.0,1000000.0
2025-04-22T14:40:00.000+0000,999932.08453888,998007.73635,1034801.0155680646,999954.721474048,998671.77871,1000000.0,1000000.0
2025-04-22T14:50:00.000+0000,999938.20653736,998007.73635,1037917.0272962519,999958.802946256,998671.77871,1000000.0,1000000.0
2025-04-22T15:00:00.000+0000,999920.860875,998007.73635,1045712.5510695621,999947.238775,998671.77871,1000000.0,1000000.0
2025-04-22T15:10:00.000+0000,999912.69821036,998007.73635,1052477.7959602734,999941.796812056,998671.77871,1000000.0,1000000.0
2025-04-22T15:20:00.000+0000,999900.4542134,998007.73635,1051194.3411570583,999933.6338676399,998671.77871,1000000.0,1000000.0
2025-04-22T15:30:00.000+0000,999914.7388765201,998007.73635,1045723.1027780494,999943.157302792,998671.77871,1000000.0,1000000.0
2025-04-22T15:40:00.000+0000,999925.9625404,998007.73635,1042493.5307959991,999950.64000184,998671.77871,1000000.0,1000000.0
2025-04-22T15:50:00.000+0000,999907.59654496,998007.73635,1045946.9721126329,999938.395585216,998671.77871,1000000.0,1000000.0
2025-04-22T16:00:00.000+0000,999863.72222252,998007.73635,1050210.2503057504,999909.145034392,998671.77871,1000000.0,1000000.0
2025-04-22T16:10:00.000+0000,999894.33221492,998007.73635,1045173.4709617485,999929.552395432,998671.77871,1000000.0,1000000.0
2025-04-22T16:20:00.000+0000,999880.0475518,998007.73635,1047026.6366253647,999920.02896028,998671.77871,1000000.0,1000000.0
2025-04-22T16:30:00.000+0000,999889.23054952,998007.73635,1047492.6429103686,999926.151168592,998671.77871,1000000.0,1000000.0
2025-04-22T16:40:00.000+0000,999886.16955028,998007.73635,1045128.2830379833,999924.110432488,998671.77871,1000000.0,1000000.0
2025-04-22T16:50:00.000+0000,999897.39321416,998007.73635,1044496.5442252544,999931.593131536,998671.77871,1000000.0,1000000.0
2025-04-22T17:00:00.000+0000,999895.352548,998007.73635,1047398.3917919225,999930.2326408,998671.77871,1000000.0,1000000.0
2025-04-22T17:10:00.000+0000,999896.37288108,998007.73635,1043898.5234011484,999930.912886168,998671.77871,1000000.0,1000000.0
2025-04-22T17:20:00.000+0000,999897.39321416,998007.73635,1044561.5251722807,999931.593131536,998671.77871,1000000.0,1000000.0
2025-04-22T17:30:00.000+0000,999888.21021644,998007.73635,1046248.4386631129,999925.470923224,998671.77871,1000000.0,1000000.0
2025-04-22T17:40:00.000+0000,999890.2508826,998007.73635,1046913.6596490333,999926.83141396,998671.77871,1000000.0,1000000.0
2025-04-22T17:50:00.000+0000,999852.49855864,998007.73635,1048379.5315508645,999901.662335344,998671.77871,1000000.0,1000000.0
2025-04-22T18:00:00.000+0000,999712.71292668,998007.73635,1050200.145056452,999808.468719928,998671.77871,1000000.0,1000000.0
