date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-15T05:30:00.000+0000,1000000.0,1000000.0,999539.5009037245,1000000,1000000,1000000.0,1000000.0
2025-04-15T05:40:00.000+0000,999208.0226401279,772280.8099199999,1001903.3711130924,1000000,1000000,999604.011320064,886140.40496
2025-04-15T05:50:00.000+0000,998892.617486272,772280.8099199999,999648.4646577237,1000000,1000000,999446.3087431359,886140.40496
2025-04-15T06:00:00.000+0000,998548.7640692479,772280.8099199999,998176.3721776751,1000000,1000000,999274.382034624,886140.40496
2025-04-15T06:10:00.000+0000,998686.9904396159,772280.8099199999,997865.741042784,1000000,1000000,999343.495219808,886140.40496
2025-04-15T06:20:00.000+0000,997948.876283712,772280.8099199999,997736.690182305,1000000,1000000,998974.4381418559,886140.40496
2025-04-15T06:30:00.000+0000,998119.5658627199,772280.8099199999,999403.7184565293,1000000,1000000,999059.78293136,886140.40496
2025-04-15T06:40:00.000+0000,998657.9522487678,772280.8099199999,998999.0327779762,1000000,1000000,999328.976124384,886140.40496
2025-04-15T06:50:00.000+0000,998568.5925137919,772280.8099199999,997364.6473775262,1000000,1000000,999284.296256896,886140.40496
2025-04-15T07:00:00.000+0000,998421.6317765119,772280.8099199999,998796.9872645111,1000000,1000000,999210.815888256,886140.40496
2025-04-15T07:10:00.000+0000,998092.2974549119,772280.8099199999,1000823.9172251082,1000000,1000000,999046.148727456,886140.40496
2025-04-15T07:20:00.000+0000,999988.0388475519,772280.8099199999,1002306.5763445258,1000000,1000000,999994.019423776,886140.40496
2025-04-15T07:30:00.000+0000,1000041.6018028798,788402.6221439999,1001725.398829415,1000000,1000000,1000020.80090144,894201.311072
2025-04-15T07:40:00.000+0000,1000050.608192,788402.6221439999,1001703.0253846345,1000000,1000000,1000025.304096,894201.311072
2025-04-15T07:50:00.000+0000,999987.0191039998,788402.6221439999,1001424.8702737282,1000000,1000000,999993.5095519999,894201.311072
2025-04-15T08:00:00.000+0000,999646.8298732799,788402.6221439999,1002145.2838502938,1000000,1000000,999823.41493664,894201.311072
2025-04-15T08:10:00.000+0000,998274.0036645439,484812.10274399986,1002862.4268339982,1000000,1000000,999137.064725312,742422.967072
2025-04-15T08:20:00.000+0000,997447.3623071038,484812.10274399986,1002794.7155543863,1000000,1000000,998723.782016192,742422.967072
2025-04-15T08:30:00.000+0000,996631.7955628798,484812.10274399986,1001507.8770046984,1000000,1000000,998315.9967455999,742422.967072
2025-04-15T08:40:00.000+0000,995060.8520439039,484812.10274399986,1002262.6594424905,1000000,1000000,997530.6009253121,742422.967072
2025-04-15T08:50:00.000+0000,992482.7879864319,484812.10274399986,1001616.7921445488,1000000,1000000,996241.6828053761,742422.967072
2025-04-15T09:00:00.000+0000,992444.265029472,347217.9250639999,1001349.5968126422,1000000,1000000,996222.4194284161,673636.436692
2025-04-15T09:10:00.000+0000,995116.7129065117,322181.4864220159,1005129.6743526214,1000000,1000000,997558.556080352,661120.302915376
2025-04-15T09:20:00.000+0000,993936.2015626719,322181.4864220159,1006078.9919308724,1000000,1000000,996968.3485640162,661120.302915376
2025-04-15T09:30:00.000+0000,991280.2231965518,322181.4864220159,1001594.7997084584,1000000,1000000,995640.462753192,661120.302915376
