date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T08:00:00.000+0000,1000000.0,1000000.0,999999.9999999998,1000000.0,1000000.0,1000000,1000000
2025-04-22T08:10:00.000+0000,999236.1695004,884119.3372,999695.3328548924,999618.08892736,942060.2063,1000000,1000000
2025-04-22T08:20:00.000+0000,1000122.63036392,884119.3372,996758.8062866842,1000061.3123647199,942060.2063,1000000,1000000
2025-04-22T08:30:00.000+0000,1000225.18345576,884119.3372,996723.3762572329,1000112.58941024,942060.2063,1000000,1000000
2025-04-22T08:40:00.000+0000,1000093.3659941598,884119.3372,996992.2868336139,1000046.67708232,942060.2063,1000000,1000000
2025-04-22T08:50:00.000+0000,1000009.07058448,884119.3372,997579.6445146461,1000004.5297272,942060.2063,1000000,1000000
2025-04-22T09:00:00.000+0000,999894.8638230399,884119.3372,997709.6262235111,999947.42634648,942060.2063,1000000,1000000
2025-04-22T09:10:00.000+0000,1000418.6351704799,884119.3372,996159.5582517746,1000209.3118703199,942060.2063,1000000,1000000
2025-04-22T09:20:00.000+0000,999771.85251088,884119.3372,997243.5352977884,999885.9237879199,942060.2063,1000000,1000000
2025-04-22T09:30:00.000+0000,999910.66137488,884119.3372,997581.2139650332,999955.3266212,942060.2063,1000000,1000000
2025-04-22T09:40:00.000+0000,1000168.46786456,884119.3372,998961.3941366686,1000084.22751792,942060.2063,1000000,1000000
2025-04-22T09:50:00.000+0000,1000291.3505796801,884119.3372,998009.9215365435,1000145.6712235999,942060.2063,1000000,1000000
2025-04-22T10:00:00.000+0000,1000262.8641870399,884119.3372,998476.2951045756,1000131.43142456,942060.2063,1000000,1000000
2025-04-22T10:10:00.000+0000,1000364.89889392,884119.3372,998680.1105232828,1000182.4465797599,942060.2063,1000000,1000000
2025-04-22T10:20:00.000+0000,1000902.7832419199,884119.3372,995043.6034238079,1000451.38255872,942060.2063,1000000,1000000
2025-04-22T10:30:00.000+0000,1000740.66703872,884119.3372,996514.3106446983,1000370.3270550399,942060.2063,1000000,1000000
2025-04-22T10:40:00.000+0000,1000632.15771568,884119.3372,999298.1392408862,1000316.0726932801,942060.2063,1000000,1000000
2025-04-22T10:50:00.000+0000,1000831.1782717599,884119.3372,999241.8075992763,1000415.58531944,942060.2063,1000000,1000000
2025-04-22T11:00:00.000+0000,1000093.88437912,884119.3372,999525.3991161601,1000046.93897264,942060.2063,1000000,1000000
2025-04-22T11:10:00.000+0000,999642.4951796,884119.3372,999842.7040517111,999821.24087568,942060.2063,1000000,1000000
2025-04-22T11:20:00.000+0000,999475.7175085599,884119.3372,1001447.3616889534,999737.8548379199,942060.2063,1000000,1000000
2025-04-22T11:30:00.000+0000,999671.111768,884119.3372,1001267.7977611884,999835.5501191199,942060.2063,1000000,1000000
2025-04-22T11:40:00.000+0000,999368.1147596799,884119.3372,1000679.639490749,999684.0548123999,942060.2063,1000000,1000000
2025-04-22T11:50:00.000+0000,999462.8984719999,884119.3372,1001759.894952144,999731.4458691999,942060.2063,1000000,1000000
2025-04-22T12:00:00.000+0000,999778.0675348799,884119.3372,1000882.0133047501,999889.0294014399,942060.2063,1000000,1000000
2025-04-22T12:10:00.000+0000,999232.8011972,884119.3372,1001846.3478694089,999616.39458392,942060.2063,1000000,1000000
2025-04-22T12:20:00.000+0000,998478.54838256,884119.3372,1001739.3745667643,999239.2918076799,942060.2063,1000000,1000000
2025-04-22T12:30:00.000+0000,999116.0065077599,884119.3372,1003110.1235594044,999558.0082303999,942060.2063,1000000,1000000
2025-04-22T12:40:00.000+0000,999223.60925664,884119.3372,1000850.2038082317,999611.80825592,942060.2063,1000000,1000000
2025-04-22T12:50:00.000+0000,998704.6295728,884119.3372,1005442.7393768579,999352.3227105599,942060.2063,1000000,1000000
2025-04-22T13:00:00.000+0000,998323.8109715999,884119.3372,1006738.7888912929,999161.9139595199,942060.2063,1000000,1000000
2025-04-22T13:10:00.000+0000,997979.11874616,884119.3372,1010522.2081434473,998989.5668475999,942060.2063,1000000,1000000
2025-04-22T13:20:00.000+0000,998408.3643747199,884119.3372,1009932.1599264796,999204.1843161599,942060.2063,1000000,1000000
2025-04-22T13:30:00.000+0000,998357.2176248799,884119.3372,1009227.1152839408,999178.6125899199,942060.2063,1000000,1000000
2025-04-22T13:40:00.000+0000,996173.17455824,884119.3372,1013557.7145774348,998086.5873096,942060.2063,1000000,1000000
2025-04-22T13:50:00.000+0000,995851.2712870399,884119.3372,1012811.2081134235,997925.63097776,942060.2063,1000000,1000000
2025-04-22T14:00:00.000+0000,995990.7287317599,884119.3372,1014378.4216484572,997995.36514576,942060.2063,1000000,1000000
2025-04-22T14:10:00.000+0000,995882.4798002399,884119.3372,1019199.4689670275,997941.2496728,942060.2063,1000000,1000000
2025-04-22T14:20:00.000+0000,996554.6425395199,884119.3372,1017567.0658653392,998277.3326911199,942060.2063,1000000,1000000
2025-04-22T14:30:00.000+0000,995909.93182104,884119.3372,1018116.5148302852,997954.9815784799,942060.2063,1000000,1000000
2025-04-22T14:40:00.000+0000,995557.3408196799,884119.3372,1021663.7318604197,997778.6843292,942060.2063,1000000,1000000
2025-04-22T14:50:00.000+0000,995978.68687296,884119.3372,1024698.2922737641,997989.34636464,942060.2063,1000000,1000000
2025-04-22T15:00:00.000+0000,995070.8604155999,884119.3372,1032330.0335082605,997535.4377822399,942060.2063,1000000,1000000
2025-04-22T15:10:00.000+0000,995035.89860744,884119.3372,1038966.7384406413,997517.95348088,942060.2063,1000000,1000000
2025-04-22T15:20:00.000+0000,995172.6347309599,884119.3372,1037692.3333030294,997586.31404864,942060.2063,1000000,1000000
2025-04-22T15:30:00.000+0000,996257.21037576,884119.3372,1032324.3962145998,998128.60107168,942060.2063,1000000,1000000
2025-04-22T15:40:00.000+0000,997079.57525712,884119.3372,1029133.6212170377,998539.77436968,942060.2063,1000000,1000000
2025-04-22T15:50:00.000+0000,996501.4206511199,884119.3372,1032541.0926882732,998250.7028120799,942060.2063,1000000,1000000
2025-04-22T16:00:00.000+0000,996249.31159984,884119.3372,1036759.6638410839,998124.65093432,942060.2063,1000000,1000000
2025-04-22T16:10:00.000+0000,996470.3439323999,884119.3372,1031792.302232581,998235.1641529601,942060.2063,1000000,1000000
2025-04-22T16:20:00.000+0000,996449.3673271199,884119.3372,1033605.2795875142,998224.6767496,942060.2063,1000000,1000000
2025-04-22T16:30:00.000+0000,996462.1863636799,884119.3372,1034057.1751209721,998231.08571832,942060.2063,1000000,1000000
2025-04-22T16:40:00.000+0000,996647.6107054399,884119.3372,1031744.1746344982,998323.79918816,942060.2063,1000000,1000000
2025-04-22T16:50:00.000+0000,996666.644766,884119.3372,1031122.1033535509,998333.3137704,942060.2063,1000000,1000000
2025-04-22T17:00:00.000+0000,996540.0071571999,884119.3372,1033983.012142399,998269.99386688,942060.2063,1000000,1000000
2025-04-22T17:10:00.000+0000,996957.8603070399,884119.3372,1030545.3228456437,998478.9291847999,942060.2063,1000000,1000000
2025-04-22T17:20:00.000+0000,996880.8158919199,884119.3372,1031183.9225049559,998440.40592808,942060.2063,1000000,1000000
2025-04-22T17:30:00.000+0000,996494.42924872,884119.3372,1032855.4951602588,998247.21230672,942060.2063,1000000,1000000
2025-04-22T17:40:00.000+0000,996759.22794016,884119.3372,1033516.2019110303,998379.6090045599,942060.2063,1000000,1000000
2025-04-22T17:50:00.000+0000,996454.4185828799,884119.3372,1034956.8402126171,998227.21032112,942060.2063,1000000,1000000
2025-04-22T18:00:00.000+0000,995844.40928104,884119.3372,1036753.2970766572,997922.2046210399,942060.2063,1000000,1000000
2025-04-22T18:10:00.000+0000,996248.7940142399,884119.3372,1035818.9289335826,998124.39433976,942060.2063,1000000,1000000
2025-04-22T18:20:00.000+0000,996638.93555112,884119.3372,1035402.330275286,998319.4641589599,942060.2063,1000000,1000000
2025-04-22T18:30:00.000+0000,996450.5334934399,884119.3372,1035526.7750646842,998225.2646788799,942060.2063,1000000,1000000
2025-04-22T18:40:00.000+0000,996393.5599087998,884119.3372,1036081.6159628989,998196.77978504,942060.2063,1000000,1000000
2025-04-22T18:50:00.000+0000,996370.381966,884119.3372,1037289.9497148916,998185.19126328,942060.2063,1000000,1000000
2025-04-22T19:00:00.000+0000,996315.09213328,884119.3372,1037941.9917215077,998157.55089328,942060.2063,1000000,1000000
2025-04-22T19:10:00.000+0000,996103.6415291999,884119.3372,1037597.2328487567,998051.82704008,942060.2063,1000000,1000000
2025-04-22T19:20:00.000+0000,996341.1183955999,884119.3372,1036036.0469607414,998170.5612766399,942060.2063,1000000,1000000
2025-04-22T19:30:00.000+0000,996357.6931251999,884119.3372,1030591.1656314293,998178.85173896,942060.2063,1000000,1000000
2025-04-22T19:40:00.000+0000,996399.9051285599,884119.3372,1030867.7146364474,998199.9548429599,942060.2063,1000000,1000000
2025-04-22T19:50:00.000+0000,996385.7905292799,884119.3372,1033135.3781490102,998192.89379632,942060.2063,1000000,1000000
2025-04-22T20:00:00.000+0000,996388.8984409599,884119.3372,1033960.3628638813,998194.4492509599,942060.2063,1000000,1000000
2025-04-22T20:10:00.000+0000,996697.0745027199,884119.3372,1032772.1672291185,998348.53168632,942060.2063,1000000,1000000
2025-04-22T20:20:00.000+0000,996503.4925922399,884119.3372,1032757.782583043,998251.73978184,942060.2063,1000000,1000000
2025-04-22T20:30:00.000+0000,995958.74463952,884119.3372,1033866.0168609279,997979.36685464,942060.2063,1000000,1000000
2025-04-22T20:40:00.000+0000,995654.7116606398,884119.3372,1034246.1934209813,997827.35306304,942060.2063,1000000,1000000
2025-04-22T20:50:00.000+0000,995927.7973172,884119.3372,1033924.6972373249,997963.8923441599,942060.2063,1000000,1000000
2025-04-22T21:00:00.000+0000,995336.3044903199,884119.3372,1033734.2933190829,997668.14463176,942060.2063,1000000,1000000
2025-04-22T21:10:00.000+0000,995041.07686152,884119.3372,1035344.1763839943,997520.5353137599,942060.2063,1000000,1000000
2025-04-22T21:20:00.000+0000,993641.9807345599,884119.3372,1039497.5810791194,996820.9960931999,942060.2063,1000000,1000000
2025-04-22T21:30:00.000+0000,993401.52455352,884119.3372,1040323.8966698148,996700.76525488,942060.2063,1000000,1000000
2025-04-22T21:40:00.000+0000,990041.8826189599,884119.3372,1043013.4320548417,995020.9751628799,942060.2063,1000000,1000000
2025-04-22T21:50:00.000+0000,990424.6445642399,884119.3372,1057954.5325341811,995212.3620308,942060.2063,1000000,1000000
2025-04-22T22:00:00.000+0000,989812.56651872,884119.3372,1057764.2440751563,994906.3405439999,942060.2063,1000000,1000000
2025-04-22T22:10:00.000+0000,990953.2083746399,884119.3372,1056079.525489213,995476.65282888,942060.2063,1000000,1000000
2025-04-22T22:20:00.000+0000,990369.3547315199,884119.3372,1060017.2207021909,995184.7216607999,942060.2063,1000000,1000000
2025-04-22T22:30:00.000+0000,990887.6858346399,884119.3372,1055168.657636457,995443.87587144,942060.2063,1000000,1000000
2025-04-22T22:40:00.000+0000,990796.0084352798,884119.3372,1055035.013781,995398.02967776,942060.2063,1000000,1000000
2025-04-22T22:50:00.000+0000,990644.5107304798,884119.3372,1057136.4891295976,995322.28732016,942060.2063,1000000,1000000
2025-04-22T23:00:00.000+0000,990634.7996056,884119.3372,1062320.3050566535,995317.43380608,942060.2063,1000000,1000000
