date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-27T20:20:00.000+0000,1000000.0,1000000.0,999177.5373550043
2025-04-27T20:30:00.000+0000,996992.3952964,183505.951,999760.8448888925
2025-04-27T20:40:00.000+0000,997524.0361431999,183505.951,999482.6402780686
2025-04-27T20:50:00.000+0000,997903.7796052,183505.951,999183.8078463094
2025-04-27T21:00:00.000+0000,995093.6779864001,183505.951,997868.3027647254
2025-04-27T21:10:00.000+0000,993498.7554459999,183505.951,997919.4911574377
2025-04-27T21:20:00.000+0000,1004511.3158439999,183505.951,999712.1140054911
2025-04-27T21:30:00.000+0000,1006865.7253084001,183505.951,1000705.3408929021
2025-04-27T21:40:00.000+0000,1010435.3138512004,183505.951,1001742.5249791046
2025-04-27T21:50:00.000+0000,1006789.7766160001,183505.951,1000844.2991240013
2025-04-27T22:00:00.000+0000,999422.7534532,183505.951,996484.0315181075
2025-04-27T22:10:00.000+0000,1000334.1377620001,183505.951,995029.7421338573
2025-04-27T22:20:00.000+0000,1006789.7766160001,183505.951,994222.1733021131
2025-04-27T22:30:00.000+0000,1001777.1629175999,183505.951,992716.3168649584
2025-04-27T22:40:00.000+0000,1030865.5121067998,183505.951,994583.9597442858
2025-04-27T22:50:00.000+0000,1034267.82897408,1034267.82897408,995425.7054896818
2025-04-27T23:00:00.000+0000,1034267.82897408,1034267.82897408,993375.6306947013
2025-04-27T23:10:00.000+0000,1034267.82897408,1034267.82897408,993118.078578318
2025-04-27T23:20:00.000+0000,1034267.82897408,1034267.82897408,994332.5860348853
2025-04-27T23:30:00.000+0000,1034267.82897408,1034267.82897408,994558.9152064845
2025-04-27T23:40:00.000+0000,1034267.82897408,1034267.82897408,993575.2241849517
2025-04-27T23:50:00.000+0000,1034267.82897408,1034267.82897408,993502.574724324
2025-04-28T00:00:00.000+0000,1034267.82897408,1034267.82897408,987885.152576262
2025-04-28T00:10:00.000+0000,1034267.82897408,1034267.82897408,987410.245217033
2025-04-28T00:20:00.000+0000,1034267.82897408,1034267.82897408,987773.4143446649
2025-04-28T00:30:00.000+0000,1034267.82897408,1034267.82897408,990296.8893244425
2025-04-28T00:40:00.000+0000,1034267.82897408,1034267.82897408,987539.1665370632
2025-04-28T00:50:00.000+0000,1034267.82897408,1034267.82897408,986937.2455602528
2025-04-28T01:00:00.000+0000,1034267.82897408,1034267.82897408,985666.2706522059
2025-04-28T01:10:00.000+0000,1034267.82897408,1034267.82897408,985267.2495962966
2025-04-28T01:20:00.000+0000,1034267.82897408,1034267.82897408,982415.1381022816
2025-04-28T01:30:00.000+0000,1034267.82897408,1034267.82897408,976515.9481527854
2025-04-28T01:40:00.000+0000,1034267.82897408,1034267.82897408,976545.2848132539
2025-04-28T01:50:00.000+0000,1034267.82897408,1034267.82897408,978156.8136713554
2025-04-28T02:00:00.000+0000,1034267.82897408,1034267.82897408,978092.5184782341
2025-04-28T02:10:00.000+0000,1034267.82897408,1034267.82897408,980290.6011092656
2025-04-28T02:20:00.000+0000,1034267.82897408,1034267.82897408,982192.7392001043
2025-04-28T02:30:00.000+0000,1034267.82897408,1034267.82897408,982946.76635068
2025-04-28T02:40:00.000+0000,1034267.82897408,1034267.82897408,982963.9546372581
2025-04-28T02:50:00.000+0000,1034267.82897408,1034267.82897408,984409.3684901618
2025-04-28T03:00:00.000+0000,1034267.82897408,1034267.82897408,983347.9673264003
2025-04-28T03:10:00.000+0000,1034267.82897408,1034267.82897408,983737.3205866579
2025-04-28T03:20:00.000+0000,1034267.82897408,1034267.82897408,987218.5271105189
