date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-12T06:30:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-04-12T06:40:00.000+0000,999999.8409264,999801.158,998485.4125926225
2025-04-12T06:50:00.000+0000,999994.3968931176,998792.7253999976,997814.5577930894
2025-04-12T07:00:00.000+0000,999992.9288684773,998918.0580535976,997252.2578761566
2025-04-12T07:10:00.000+0000,999991.6530899173,998987.2166823973,998367.1210206086
2025-04-12T07:20:00.000+0000,999997.3940934372,998987.2166823973,998933.5158709222
2025-04-12T07:30:00.000+0000,999995.2412171173,998987.2166823973,1000352.6318066267
2025-04-12T07:40:00.000+0000,999998.4306635173,998987.2166823973,1001563.2111950133
2025-04-12T07:50:00.000+0000,999999.8659143973,998987.2166823973,1003356.7366062521
2025-04-12T08:00:00.000+0000,999990.6165198373,998987.2166823973,1003500.5432385444
2025-04-12T08:10:00.000+0000,999984.8755163173,998987.2166823973,1009007.4670888036
2025-04-12T08:20:00.000+0000,999984.2376270373,998987.2166823973,1006250.4754820828
2025-04-12T08:30:00.000+0000,999988.4636435173,998987.2166823973,1005357.4603717803
2025-04-12T08:40:00.000+0000,999987.1081287973,998987.2166823973,1005125.433640653
2025-04-12T08:50:00.000+0000,999994.2843831973,998987.2166823973,1005508.2401384006
2025-04-12T09:00:00.000+0000,999995.5601617573,998987.2166823973,1006316.7580300913
2025-04-12T09:10:00.000+0000,999999.5469697573,998987.2166823973,1004196.6579711861
2025-04-12T09:20:00.000+0000,1000000.3443313573,998987.2166823973,1005855.7454633863
2025-04-12T09:30:00.000+0000,999994.6033278373,998987.2166823973,1005836.8418377463
2025-04-12T09:40:00.000+0000,999991.3341452773,998987.2166823973,1006587.6914134899
2025-04-12T09:50:00.000+0000,999996.8359403173,998987.2166823973,1007588.3241303616
2025-04-12T10:00:00.000+0000,1000003.2148331173,998987.2166823973,1006691.4677154135
2025-04-12T10:10:00.000+0000,1000002.2579991973,998987.2166823973,1005356.7536088508
2025-04-12T10:20:00.000+0000,999999.7861782373,998987.2166823973,1005237.193370601
2025-04-12T10:30:00.000+0000,1000000.0253867173,998987.2166823973,1005433.2629868907
2025-04-12T10:40:00.000+0000,1000001.8593183972,998987.2166823973,1003912.3072644845
2025-04-12T10:50:00.000+0000,1000004.2514031973,998987.2166823973,1004453.1371767218
2025-04-12T11:00:00.000+0000,999995.4006894373,998987.2166823973,1006447.4037405623
2025-04-12T11:10:00.000+0000,999988.4636435173,998987.2166823973,1007841.9857753016
2025-04-12T11:20:00.000+0000,999990.0583667173,998987.2166823973,1008906.3674334821
2025-04-12T11:30:00.000+0000,999994.1249108773,998987.2166823973,1006683.8660893613
2025-04-12T11:40:00.000+0000,999991.4936175973,998987.2166823973,1006087.3568541687
2025-04-12T11:50:00.000+0000,999988.5433796773,998987.2166823973,1006677.3653570293
2025-04-12T12:00:00.000+0000,999983.9984185573,998987.2166823973,1005923.2754951909
2025-04-12T12:10:00.000+0000,999979.2142489573,998987.2166823973,1007851.3435289938
2025-04-12T12:20:00.000+0000,999970.5230075173,998987.2166823973,1008755.1735329984
2025-04-12T12:30:00.000+0000,999974.2706070372,998987.2166823973,1009110.0021834011
2025-04-12T12:40:00.000+0000,999979.2142489573,998987.2166823973,1012100.980130695
2025-04-12T12:50:00.000+0000,999970.2040628773,998987.2166823973,1011969.4325165212
2025-04-12T13:00:00.000+0000,999959.9180982372,998987.2166823973,1014743.2323968601
2025-04-12T13:10:00.000+0000,999956.9678603173,998987.2166823973,1019025.519084669
2025-04-12T13:20:00.000+0000,999951.8647460773,998987.2166823973,1014910.9071671029
2025-04-12T13:30:00.000+0000,999957.6057495973,998987.2166823973,1016956.9458818426
2025-04-12T13:40:00.000+0000,999953.3797331173,998987.2166823973,1018957.353799196
2025-04-12T13:50:00.000+0000,999934.8809439973,998987.2166823973,1026451.992824326
2025-04-12T14:00:00.000+0000,999918.7742396772,998987.2166823973,1029505.8271782887
2025-04-12T14:10:00.000+0000,999914.9469039973,998987.2166823973,1032097.8700887032
2025-04-12T14:20:00.000+0000,999921.2460606373,998987.2166823973,1033682.6744030712
2025-04-12T14:30:00.000+0000,999922.6813115173,998987.2166823973,1040152.2160794365
2025-04-12T14:40:00.000+0000,999929.2196766373,998987.2166823973,1037838.3304806126
2025-04-12T14:50:00.000+0000,999928.5817873573,998987.2166823973,1038848.4119309522
2025-04-12T15:00:00.000+0000,999928.5020511973,998987.2166823973,1037765.63121539
2025-04-12T15:10:00.000+0000,999932.6483315172,998987.2166823973,1037646.8608856688
2025-04-12T15:20:00.000+0000,999905.7772455973,998987.2166823973,1044220.3061477066
2025-04-12T15:30:00.000+0000,999916.7010995173,998987.2166823973,1044331.2812540459
2025-04-12T15:40:00.000+0000,999919.1729204773,998987.2166823973,1042963.3545277141
2025-04-12T15:50:00.000+0000,999925.7112855973,998987.2166823973,1041860.3877072869
2025-04-12T16:00:00.000+0000,999919.4918651173,998987.2166823973,1041295.5791189809
2025-04-12T16:10:00.000+0000,999914.2292785574,998987.2166823973,1039445.4506554662
2025-04-12T16:20:00.000+0000,999915.5050571173,998987.2166823973,1042646.8988825823
2025-04-12T16:30:00.000+0000,999923.6381454373,998987.2166823973,1040376.3727797626
2025-04-12T16:40:00.000+0000,999924.7544516773,998987.2166823973,1034239.6311411035
2025-04-12T16:50:00.000+0000,999934.7214716773,998987.2166823973,1034762.9355912015
2025-04-12T17:00:00.000+0000,999939.1069604773,998987.2166823973,1030552.6242010335
2025-04-12T17:10:00.000+0000,999943.2532407973,998987.2166823973,1027858.7341159101
2025-04-12T17:20:00.000+0000,999937.5919734373,998987.2166823973,1029661.2896221143
2025-04-12T17:30:00.000+0000,999937.7514457573,998987.2166823973,1033020.1393854283
2025-04-12T17:40:00.000+0000,999936.7148756773,998987.2166823973,1031450.5078352283
2025-04-12T17:50:00.000+0000,999937.2730287972,998987.2166823973,1031938.8431952498
2025-04-12T18:00:00.000+0000,999940.4624751973,998987.2166823973,1033845.3694645214
2025-04-12T18:10:00.000+0000,999938.9474881573,998987.2166823973,1034112.1760231135
2025-04-12T18:20:00.000+0000,999932.4888591972,998987.2166823973,1035911.022122269
2025-04-12T18:30:00.000+0000,999930.1765105573,998987.2166823973,1037137.2235811548
2025-04-12T18:40:00.000+0000,999926.4289110373,998987.2166823973,1038805.4227548
2025-04-12T18:50:00.000+0000,999917.8174057573,998987.2166823973,1041662.4378092855
2025-04-12T19:00:00.000+0000,999917.0997803173,998987.2166823973,1040117.7952852708
2025-04-12T19:10:00.000+0000,999922.0434222373,998987.2166823973,1041008.9370756664
2025-04-12T19:20:00.000+0000,999923.3192007972,998987.2166823973,1038126.2564608697
2025-04-12T19:30:00.000+0000,999929.4588851173,998987.2166823973,1036567.8878785474
2025-04-12T19:40:00.000+0000,999929.3791489573,998987.2166823973,1037615.737222906
2025-04-12T19:50:00.000+0000,999927.2262726373,998987.2166823973,1038186.2577665211
2025-04-12T20:00:00.000+0000,999921.0865883173,998987.2166823973,1039319.9829106359
2025-04-12T20:10:00.000+0000,999928.1831065573,998987.2166823973,1039736.1276578372
2025-04-12T20:20:00.000+0000,999923.4786731174,998987.2166823973,1041040.5243281818
2025-04-12T20:30:00.000+0000,999910.0032620773,998987.2166823973,1044498.8804651446
2025-04-12T20:40:00.000+0000,999888.1555542373,998987.2166823973,1049189.95966877
2025-04-12T20:50:00.000+0000,999883.4511207973,998987.2166823973,1047286.7226967242
2025-04-12T21:00:00.000+0000,999898.9199358373,998987.2166823973,1043113.9788891622
2025-04-12T21:10:00.000+0000,999892.1423622373,998987.2166823973,1044803.9103927889
2025-04-12T21:20:00.000+0000,999887.1189841573,998987.2166823973,1045430.9408279876
2025-04-12T21:30:00.000+0000,999892.2220983973,998987.2166823973,1045322.4976999576
2025-04-12T21:40:00.000+0000,999903.0662161573,998987.2166823973,1046790.4719384485
2025-04-12T21:50:00.000+0000,999901.3917567973,998987.2166823973,1046575.8350689127
2025-04-12T22:00:00.000+0000,999892.7802515173,998987.2166823973,1047030.688716229
2025-04-12T22:10:00.000+0000,999888.6339711973,998987.2166823973,1048700.4933632636
2025-04-12T22:20:00.000+0000,999887.9163457573,998987.2166823973,1048914.7736524006
2025-04-12T22:30:00.000+0000,999891.1057921574,998987.2166823973,1047829.9249673379
2025-04-12T22:40:00.000+0000,999896.7670595173,998987.2166823973,1047210.6920820972
2025-04-12T22:50:00.000+0000,999903.7838415973,998987.2166823973,1045831.2617704528
2025-04-12T23:00:00.000+0000,999900.5943951973,998987.2166823973,1045611.5529601967
2025-04-12T23:10:00.000+0000,999893.9762939173,998987.2166823973,1043981.7819473944
2025-04-12T23:20:00.000+0000,999894.0560300773,998987.2166823973,1045140.1782913166
2025-04-12T23:30:00.000+0000,999891.9828899173,998987.2166823973,1044056.7877007299
2025-04-12T23:40:00.000+0000,999890.9463198372,998987.2166823973,1045039.1178133648
2025-04-12T23:50:00.000+0000,999891.1855283173,998987.2166823973,1045023.743047269
2025-04-13T00:00:00.000+0000,999885.0458439973,998987.2166823973,1044904.8614148531
2025-04-13T00:10:00.000+0000,999880.8995636773,998987.2166823973,1047170.1268811303
2025-04-13T00:20:00.000+0000,999885.7634694373,998987.2166823973,1043116.9345731104
2025-04-13T00:30:00.000+0000,999899.7172974373,998987.2166823973,1041076.0157436952
2025-04-13T00:40:00.000+0000,999882.2550783973,998987.2166823973,1044486.7178751307
2025-04-13T00:50:00.000+0000,999880.7400913573,998987.2166823973,1047728.5803784194
2025-04-13T01:00:00.000+0000,999890.5476390372,998987.2166823973,1045651.0440738383
2025-04-13T01:10:00.000+0000,999883.2916484773,998987.2166823973,1046931.2868933284
2025-04-13T01:20:00.000+0000,999890.1489582373,998987.2166823973,1047357.5055447425
2025-04-13T01:30:00.000+0000,999892.4613068773,998987.2166823973,1044370.5314618137
2025-04-13T01:40:00.000+0000,999891.9031537573,998987.2166823973,1040891.9541931775
2025-04-13T01:50:00.000+0000,999900.0362420772,998987.2166823973,1035976.0519857574
2025-04-13T02:00:00.000+0000,999897.0860041573,998987.2166823973,1036658.8607998814
2025-04-13T02:10:00.000+0000,999908.4882750373,998987.2166823973,1033398.7473869938
2025-04-13T02:20:00.000+0000,999914.5482231973,998987.2166823973,1032856.2915213783
2025-04-13T02:30:00.000+0000,999911.8371937573,998987.2166823973,1035557.2407883517
2025-04-13T02:40:00.000+0000,999914.3090147173,998987.2166823973,1038517.8906018521
2025-04-13T02:50:00.000+0000,999908.4085388773,998987.2166823973,1040368.0868302991
2025-04-13T03:00:00.000+0000,999909.6045812774,998987.2166823973,1042420.698912431
2025-04-13T03:10:00.000+0000,999911.7574575973,998987.2166823973,1040886.1646791121
2025-04-13T03:20:00.000+0000,999912.1561383973,998987.2166823973,1039965.3569506477
2025-04-13T03:30:00.000+0000,999915.9834740773,998987.2166823973,1040374.786607656
2025-04-13T03:40:00.000+0000,999917.8971419173,998987.2166823973,1040884.8361157199
2025-04-13T03:50:00.000+0000,999915.8240017573,998987.2166823973,1039595.302018894
2025-04-13T04:00:00.000+0000,999919.7310735973,998987.2166823973,1037154.5559748898
2025-04-13T04:10:00.000+0000,999926.0302302373,998987.2166823973,1034426.5448535127
2025-04-13T04:20:00.000+0000,999921.4055329573,998987.2166823973,1036341.8986775586
