date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T13:30:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T13:40:00.000+0000,999927.1706852807,908963.3566000006,1001922.0282079814,999999.839356,999799.195,999963.7287511842,954660.9389800001
2025-04-22T13:50:00.000+0000,1000008.5317777445,353769.5899627851,1001182.0951482846,999855.2855007995,679270.9949999993,999816.6112462317,913404.6360543277
2025-04-22T14:00:00.000+0000,1000742.3932036159,468962.017032568,1002732.2873905577,999945.9094192407,837569.9674616008,1000019.2874210791,869824.9216348152
2025-04-22T14:10:00.000+0000,999095.6825560948,1.0039814959820959,1007496.1543182337,998803.6037709928,1.6812440418968357,1000190.7481526711,884984.1470348232
2025-04-22T14:20:00.000+0000,999912.1329828075,1.6057897602941567,1005879.5457858369,999907.8945210833,18481.766012193908,1000157.828482183,907602.610859047
2025-04-22T14:30:00.000+0000,999782.6589669273,2.337246008547079,1006422.6001087723,998937.9218398654,91315.29321632208,1000135.203586591,907715.416542247
2025-04-22T14:40:00.000+0000,998218.4068589369,48120.84481624879,1009928.8988148,996112.427916267,388.8001518182598,1000723.478065631,931207.9153670471
2025-04-22T14:50:00.000+0000,999931.6517734244,136711.51086408904,1012948.2403435106,998322.6548950261,43132.38899180213,1000882.110725479,938076.604298327
2025-04-22T15:00:00.000+0000,996348.4401135037,143331.696670409,1020521.6765326636,992595.0344899626,102402.7511958021,1001244.5809571269,938076.604298327
2025-04-22T15:10:00.000+0000,995394.6858017213,149550.99946664897,1027102.4703100084,990942.8025221446,136218.68744560974,1001454.812899007,940739.688246327
2025-04-22T15:20:00.000+0000,995986.753858049,120389.08790280932,1025844.1743089694,992014.9367880174,125563.88074548141,1001398.410187303,942248.0804576069
2025-04-22T15:30:00.000+0000,997034.955016561,5011.515934489187,1020523.2871255302,993670.7474488976,126429.3931711695,1000888.577844687,885587.833541687
2025-04-22T15:40:00.000+0000,999294.6876519776,6430.752601689184,1017369.8840185164,997696.364932042,144960.94044924987,1000489.8962393431,876208.0379000871
2025-04-22T15:50:00.000+0000,996084.8157154892,56220.96554008901,1020738.6286360142,992902.593879354,164234.85996844986,1000870.3426385431,910547.2785128871
2025-04-22T16:00:00.000+0000,988756.2269305696,78250.61521008909,1024900.8022667705,983108.6835807147,178212.08452621795,1001355.1595444871,912063.6788213671
2025-04-22T16:10:00.000+0000,993720.6462853149,298838.48821060284,1019991.3552523658,990650.4938818496,291157.9111217378,1001160.1129966552,952892.4320468071
2025-04-22T16:20:00.000+0000,994001.7158178427,301670.1011066029,1021790.0798817837,991272.9895466017,304912.25525660184,1001197.9148702872,954310.3815789672
2025-04-22T16:30:00.000+0000,995503.2569531788,306217.703172155,1022241.3851536786,993019.022172145,305763.7385345937,1001277.3710444552,956318.4628277671
2025-04-22T16:40:00.000+0000,996562.8248601874,306702.1073385549,1019945.6026028871,994256.9060121946,306053.21576739376,1001157.6194024711,956318.4628277671
