date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T13:30:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-22T13:40:00.000+0000,999947.337299457,934171.6243200011,1001922.0282079814
2025-04-22T13:50:00.000+0000,1000006.305009041,532851.2131440006,1001182.0951482846
2025-04-22T14:00:00.000+0000,1000536.7477216567,616104.9806424722,1002732.2873905577
2025-04-22T14:10:00.000+0000,999100.1863343841,6.477573313123621,1007496.1543182337
2025-04-22T14:20:00.000+0000,1000035.8534513866,2.2496071690464667,1005879.5457858369
2025-04-22T14:30:00.000+0000,999671.9510790177,2.1163777130075156,1006422.6001087723
2025-04-22T14:40:00.000+0000,997737.9772401402,34786.291108514175,1009928.8988148
2025-04-22T14:50:00.000+0000,999752.3041005012,77784.57919667625,1012948.2403435106
2025-04-22T15:00:00.000+0000,995470.3400787809,97433.1166770763,1020521.6765326636
2025-04-22T15:10:00.000+0000,994216.6883531165,103345.44663093248,1027102.4703100084
2025-04-22T15:20:00.000+0000,995081.4727217172,90212.13494469262,1025844.1743089694
2025-04-22T15:30:00.000+0000,996162.2413772608,90981.59772941256,1020523.2871255302
2025-04-22T15:40:00.000+0000,999002.9745589879,91212.99046701255,1017369.8840185164
2025-04-22T15:50:00.000+0000,994517.8275493871,106997.38584061257,1020738.6286360142
2025-04-22T16:00:00.000+0000,984871.8926256696,133111.3375529329,1024900.8022667705
2025-04-22T16:10:00.000+0000,992085.3060846217,227810.65260403775,1019991.3552523658
2025-04-22T16:20:00.000+0000,992536.8657269102,229857.95265267772,1021790.0798817837
2025-04-22T16:30:00.000+0000,994334.2355697977,241190.1494668138,1022241.3851536786
2025-04-22T16:40:00.000+0000,995526.080900142,241539.85268025365,1019945.6026028871
2025-04-22T16:50:00.000+0000,995389.453534261,237894.1961352938,1019330.917219527
2025-04-22T17:00:00.000+0000,994646.7337058459,238285.72206377398,1022160.0203743577
2025-04-22T17:10:00.000+0000,995232.6564823347,252903.65275625398,1018754.4803224395
2025-04-22T17:20:00.000+0000,996094.247457694,253140.27987299816,1019393.2383391974
2025-04-22T17:30:00.000+0000,995473.065201373,255284.30607875818,1021043.2518206502
2025-04-22T17:40:00.000+0000,996558.5991888861,256051.1401203581,1021695.8622127086
2025-04-22T17:50:00.000+0000,995372.9215704219,256060.18947507802,1023123.082059421
2025-04-22T18:00:00.000+0000,994415.9855497577,241018.092275078,1024899.5648389234
2025-04-22T18:10:00.000+0000,994875.2366946867,243612.74521082186,1023971.6657406383
2025-04-22T18:20:00.000+0000,995763.90326223,249531.886106822,1023564.0873260879
2025-04-22T18:30:00.000+0000,995524.7736890543,250016.2120758305,1023687.634305019
2025-04-22T18:40:00.000+0000,994878.381097151,250750.0393939506,1024237.4298747052
2025-04-22T18:50:00.000+0000,995174.6942768145,265104.3518498707,1025433.6463462973
2025-04-22T19:00:00.000+0000,993962.3209020558,269653.9037942707,1026070.4292872122
2025-04-22T19:10:00.000+0000,994641.9498982946,235801.9747548306,1025731.7251918241
2025-04-22T19:20:00.000+0000,995039.735285199,236030.41952269466,1024185.9098890898
2025-04-22T19:30:00.000+0000,995381.1248049187,236030.41952269466,1018801.975705579
2025-04-22T19:40:00.000+0000,998298.2980378458,237731.7343810947,1019072.5700154142
2025-04-22T19:50:00.000+0000,997449.1199841984,238159.26281451053,1021315.3841382815
2025-04-22T20:00:00.000+0000,998176.8938889261,238493.26937532637,1022138.5380052922
2025-04-22T20:10:00.000+0000,998824.9355205431,239338.66502731832,1020965.0651702862
2025-04-22T20:20:00.000+0000,999643.9161814463,239338.66502731832,1020953.1498525077
2025-04-22T20:30:00.000+0000,998371.3601113897,239338.66502731832,1022050.1301514807
2025-04-22T20:40:00.000+0000,996778.085501591,239338.66502731832,1022424.3412350134
2025-04-22T20:50:00.000+0000,996161.151064295,239338.66502731832,1022100.9311954754
2025-04-22T21:00:00.000+0000,996891.1359787985,239338.66502731832,1021914.9099697414
2025-04-22T21:10:00.000+0000,993371.6504415013,239338.66502731832,1023507.3950136987
2025-04-22T21:20:00.000+0000,990962.7113157583,239338.66502731832,1027627.3042001254
2025-04-22T21:30:00.000+0000,992208.667422822,239338.66502731832,1028452.9164678487
2025-04-22T21:40:00.000+0000,979928.38029867,169290.60533219852,1031114.427057123
2025-04-22T21:50:00.000+0000,979641.2356703806,5481.306165509317,1045892.3504315112
2025-04-22T22:00:00.000+0000,981571.5825664509,95996.01182518734,1045693.4679414448
2025-04-22T22:10:00.000+0000,984210.4758315952,165753.42481430707,1044031.6550832172
2025-04-22T22:20:00.000+0000,983668.7563441627,180280.1544260671,1047921.2919464763
2025-04-22T22:30:00.000+0000,986948.1061842832,191810.53310822713,1043124.1599069708
2025-04-22T22:40:00.000+0000,988003.4938681475,219477.3183591073,1042989.5038167599
2025-04-22T22:50:00.000+0000,981462.4166795389,239120.8179974913,1045065.8148380299
2025-04-22T23:00:00.000+0000,978025.4948284113,255251.46245005142,1050180.8867901375
2025-04-22T23:10:00.000+0000,978019.4966008354,246699.4500119791,1050213.0809839948
2025-04-22T23:20:00.000+0000,981120.7378091468,338499.6199836587,1048788.379047787
2025-04-22T23:30:00.000+0000,980363.4014732988,343129.90298805124,1052856.3716825007
2025-04-22T23:40:00.000+0000,981070.8050373471,347321.3036228991,1053695.6670258932
2025-04-22T23:50:00.000+0000,981297.0720787875,271215.3265448585,1053380.9982173855
2025-04-23T00:00:00.000+0000,979697.3945686509,261292.76076277872,1051903.210900037
2025-04-23T00:10:00.000+0000,978309.5032620049,291831.3558077404,1052018.3767842404
2025-04-23T00:20:00.000+0000,976958.5511367403,296050.5151455808,1051866.8329854517
2025-04-23T00:30:00.000+0000,980222.9212198043,326211.9848110525,1050351.052658249
2025-04-23T00:40:00.000+0000,982309.3492431326,413787.3986145726,1047585.6043868342
2025-04-23T00:50:00.000+0000,983158.7045304524,413787.3986145726,1047670.0577366136
2025-04-23T01:00:00.000+0000,981145.6924394844,447455.1284660931,1047276.7850636912
2025-04-23T01:10:00.000+0000,980250.76081982,435414.97558209195,1055386.372505893
