date,total_balance_normal,unlocked_balance_normal,benchmark
2025-05-08T15:20:00.000+0000,1000000.0,1000000.0,1000000.0
2025-05-08T15:30:00.000+0000,1000000.0,1000000.0,997653.9971772765
2025-05-08T15:40:00.000+0000,1000000.0,1000000.0,1006883.5640639142
2025-05-08T15:50:00.000+0000,997819.8942415998,157083.82360000018,1004205.9540314181
2025-05-08T16:00:00.000+0000,999127.3514384001,157083.82360000018,1002716.1153184036
2025-05-08T16:10:00.000+0000,999457.3769066399,157083.82360000018,1006099.4822265824
2025-05-08T16:20:00.000+0000,998030.2064571204,172409.0162299201,1003777.4753763517
2025-05-08T16:30:00.000+0000,997684.0654916,172409.0162299201,1002655.1154686691
2025-05-08T16:40:00.000+0000,997439.8769988001,172409.0162299201,1005777.6741477229
2025-05-08T16:50:00.000+0000,997090.1366151199,172409.0162299201,1006423.9117161187
2025-05-08T17:00:00.000+0000,996910.3063944802,172409.0162299201,1004690.3158164234
2025-05-08T17:10:00.000+0000,996780.21325232,172409.0162299201,1005813.276017095
2025-05-08T17:20:00.000+0000,996165.3176626401,172409.0162299201,1006493.1204384449
2025-05-08T17:30:00.000+0000,995985.0630817602,172409.0162299201,1004883.6604350973
2025-05-08T17:40:00.000+0000,996999.36928712,172409.0162299201,1001150.4638349051
2025-05-08T17:50:00.000+0000,997952.57960832,172409.0162299201,1003083.3395851816
2025-05-08T18:00:00.000+0000,997821.8467783198,172409.0162299201,1003440.4851581254
2025-05-08T18:10:00.000+0000,997883.5246964802,172409.0162299201,1006480.4190265795
2025-05-08T18:20:00.000+0000,997988.81639568,172409.0162299201,1007671.4840182804
2025-05-08T18:30:00.000+0000,998430.1081796003,172409.0162299201,1008535.45741757
2025-05-08T18:40:00.000+0000,999750.2592131998,172409.0162299201,1009568.3958684208
2025-05-08T18:50:00.000+0000,999539.1309510402,172409.0162299201,1009061.791117909
2025-05-08T19:00:00.000+0000,1000367.4303809602,172409.0162299201,1008994.9079638923
2025-05-08T19:10:00.000+0000,1000662.3625463203,172409.0162299201,1008606.2967944087
2025-05-08T19:20:00.000+0000,1001843.5277576,172409.0162299201,1010453.6873601403
2025-05-08T19:30:00.000+0000,1001621.9687467201,172409.0162299201,1010131.0404319144
2025-05-08T19:40:00.000+0000,1002128.3592100001,172409.0162299201,1010727.4639072792
2025-05-08T19:50:00.000+0000,1005883.59671472,172409.0162299201,1014620.1613484409
2025-05-08T20:00:00.000+0000,1008012.25022848,172409.0162299201,1020512.3970420696
2025-05-08T20:10:00.000+0000,1008424.0330384801,172409.0162299201,1017854.088523913
2025-05-08T20:20:00.000+0000,1009311.1731581602,172409.0162299201,1019283.0501661147
2025-05-08T20:30:00.000+0000,1010303.44120816,172409.0162299201,1023061.6198451361
2025-05-08T20:40:00.000+0000,1010338.5840713601,172409.0162299201,1029494.2577259885
2025-05-08T20:50:00.000+0000,1014549.1027595205,172409.0162299201,1034933.7847796163
2025-05-08T21:00:00.000+0000,1013661.4003900001,172409.0162299201,1031021.9551685955
2025-05-08T21:10:00.000+0000,1015065.3237520806,172409.0162299201,1034729.9115902835
2025-05-08T21:20:00.000+0000,1014952.0570380001,172409.0162299201,1042737.6432239725
2025-05-08T21:30:00.000+0000,1014370.2734375198,172409.0162299201,1041173.859728802
2025-05-08T21:40:00.000+0000,1012114.7495013601,172409.0162299201,1035156.0026371623
2025-05-08T21:50:00.000+0000,1011746.3243774401,172409.0162299201,1032124.3055810621
2025-05-08T22:00:00.000+0000,1012852.1088415994,261168.52017519978,1032511.7356954741
2025-05-08T22:10:00.000+0000,1013149.5676839999,261168.52017519978,1031847.7705757901
2025-05-08T22:20:00.000+0000,1013338.1077311997,261168.52017519978,1035042.786611106
2025-05-08T22:30:00.000+0000,1013048.583536,261168.52017519978,1033921.8526960595
2025-05-08T22:40:00.000+0000,1013846.7704751994,261168.52017519978,1036288.2844528137
2025-05-08T22:50:00.000+0000,1012968.2498543999,261168.52017519978,1036989.8619316838
2025-05-08T23:00:00.000+0000,1011304.6957631996,261168.52017519978,1034755.569480916
2025-05-08T23:10:00.000+0000,1011888.2465487999,261168.52017519978,1037811.7668532084
2025-05-08T23:20:00.000+0000,1013247.3234167997,261168.52017519978,1039972.742542116
2025-05-08T23:30:00.000+0000,1014419.2860959999,261168.52017519978,1040187.1887551943
2025-05-08T23:40:00.000+0000,1015057.8928015998,261168.52017519978,1043871.7849123153
2025-05-08T23:50:00.000+0000,1015497.5168207994,261168.52017519978,1044482.7603855814
2025-05-09T00:00:00.000+0000,1014715.2251551999,261168.52017519978,1044386.5846722268
2025-05-09T00:10:00.000+0000,1014288.7875783999,261168.52017519978,1043197.8516263
2025-05-09T00:20:00.000+0000,1014691.3382799992,261168.52017519978,1041720.2129247925
2025-05-09T00:30:00.000+0000,1015963.6156431996,261168.52017519978,1039764.3424033974
2025-05-09T00:40:00.000+0000,1017047.2020799997,261168.52017519978,1041305.6125968302
2025-05-09T00:50:00.000+0000,1017556.9799311998,261168.52017519978,1042227.5141362424
2025-05-09T01:00:00.000+0000,1016609.3566367998,261168.52017519978,1040018.4693670892
2025-05-09T01:10:00.000+0000,1018627.4918359995,261168.52017519978,1043551.1457641227
2025-05-09T01:20:00.000+0000,1018480.3366543999,261168.52017519978,1041904.8789500396
2025-05-09T01:30:00.000+0000,1016928.7828911997,261168.52017519978,1040864.2547920886
2025-05-09T01:40:00.000+0000,1015993.4417631999,261168.52017519978,1041061.0325547635
2025-05-09T01:50:00.000+0000,1016280.1602047998,261168.52017519978,1042921.8479975134
2025-05-09T02:00:00.000+0000,1016141.3263607996,261168.52017519978,1043741.8717865795
2025-05-09T02:10:00.000+0000,1016553.9859687999,261168.52017519978,1043595.8988935797
2025-05-09T02:20:00.000+0000,1017018.7558552,261168.52017519978,1041525.5168209777
2025-05-09T02:30:00.000+0000,1017781.1214743999,261168.52017519978,1041389.1544009221
2025-05-09T02:40:00.000+0000,1018239.8462007998,261168.52017519978,1041941.594664166
2025-05-09T02:50:00.000+0000,1019429.8914023999,261168.52017519978,1043069.3456822787
2025-05-09T03:00:00.000+0000,1021179.0779327994,261168.52017519978,1043450.885516088
2025-05-09T03:10:00.000+0000,1023807.6823656,261168.52017519978,1047898.2361333118
2025-05-09T03:20:00.000+0000,1023025.5165991997,261168.52017519978,1046827.0922175131
2025-05-09T03:30:00.000+0000,1021506.1070999997,261168.52017519978,1043570.4299876691
2025-05-09T03:40:00.000+0000,1021808.8946759996,261168.52017519978,1042479.1820421987
2025-05-09T03:50:00.000+0000,1019043.0351352001,261168.52017519978,1038950.7517279873
2025-05-09T04:00:00.000+0000,1019676.8316919995,261168.52017519978,1038885.2834355514
2025-05-09T04:10:00.000+0000,1019930.7244151996,261168.52017519978,1041551.6494195967
2025-05-09T04:20:00.000+0000,1020951.9987416,261168.52017519978,1042162.9581902435
2025-05-09T04:30:00.000+0000,1020833.3417431999,261168.52017519978,1040701.7543457823
2025-05-09T04:40:00.000+0000,1020728.8963663997,261168.52017519978,1041572.9826894142
2025-05-09T04:50:00.000+0000,1019860.1818943997,261168.52017519978,1042682.059299677
2025-05-09T05:00:00.000+0000,1019259.1541015998,261168.52017519978,1042563.4307052542
2025-05-09T05:10:00.000+0000,1019729.1947679997,261168.52017519978,1043663.628409077
2025-05-09T05:20:00.000+0000,1019277.1287103997,261168.52017519978,1042593.0303327453
2025-05-09T05:30:00.000+0000,1018724.6700311999,261168.52017519978,1043476.243507161
2025-05-09T05:40:00.000+0000,1018828.9075744001,261168.52017519978,1044680.2268193776
2025-05-09T05:50:00.000+0000,1018632.9374759998,261168.52017519978,1044053.064863235
2025-05-09T06:00:00.000+0000,1019402.9140015998,261168.52017519978,1045618.8345705525
