date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-07T06:30:00.000+0000,1000000.0,1000000.0,998154.3364827419,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-07T06:40:00.000+0000,995671.1804732801,382537.42179999995,977567.5404671384,997906.8572012798,701434.2267999998,1000000.0,1000000.0
2025-04-07T06:50:00.000+0000,996512.9766971199,382537.42179999995,973512.5991605907,998313.8965091198,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:00:00.000+0000,999501.7784413602,382537.42179999995,982674.46159424,999759.0916273599,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:10:00.000+0000,995199.2644084,382537.42179999995,986346.7478592799,997678.6684983998,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:20:00.000+0000,994735.8513356801,382537.42179999995,987185.3611658295,997454.5913036799,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:30:00.000+0000,994570.0429885599,382537.42179999995,984831.5690964533,997374.4168945599,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:40:00.000+0000,990735.1935244,382537.42179999995,991187.7176071818,995520.1267143998,701434.2267999998,1000000.0,1000000.0
2025-04-07T07:50:00.000+0000,993796.2707020002,382537.42179999995,987124.1929008025,997000.2696519999,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:00:00.000+0000,990318.54690856,382537.42179999995,987388.6458082269,995318.6628145599,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:10:00.000+0000,985935.25445008,382537.42179999995,990191.1128344887,993199.1803580798,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:20:00.000+0000,981033.27946984,382537.42179999995,1007740.8938044466,990828.8959038398,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:30:00.000+0000,977342.9808724001,382537.42179999995,1007575.0423119526,989044.5013623999,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:40:00.000+0000,974991.90354016,382537.42179999995,1015739.0550031404,987907.6693561599,701434.2267999998,1000000.0,1000000.0
2025-04-07T08:50:00.000+0000,978877.77095728,382537.42179999995,1011637.7964202794,989786.6285852798,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:00:00.000+0000,978831.0045004,382537.42179999995,1008903.6952543131,989764.0152903998,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:10:00.000+0000,982402.2612076001,382537.42179999995,1001814.4634480176,991490.8487175999,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:20:00.000+0000,981373.39915624,382537.42179999995,1003699.6197322118,990993.3562302398,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:30:00.000+0000,979634.53725952,382537.42179999995,1011266.3972666998,990152.5528115199,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:40:00.000+0000,977049.62764288,382537.42179999995,1014505.6086301485,988902.6543308798,701434.2267999998,1000000.0,1000000.0
2025-04-07T09:50:00.000+0000,979183.8786750401,382537.42179999995,1009667.1324295115,989934.6428790399,701434.2267999998,1000000.0,1000000.0
2025-04-07T10:00:00.000+0000,980705.9142716802,382537.42179999995,1008906.7135722534,990670.6028396799,701434.2267999998,1000000.0,1000000.0
2025-04-07T10:10:00.000+0000,972066.8742371199,382537.42179999995,1016776.8599526249,986493.3105491198,701434.2267999998,1000000.0,1000000.0
2025-04-07T10:20:00.000+0000,972666.3351844,382537.42179999995,1021881.099359504,986783.1718743999,701434.2267999998,1000000.0,1000000.0
