date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-23T08:10:00.000+0000,1000000.0,1000000.0,999721.2228435633
2025-04-23T08:20:00.000+0000,993464.0973800002,478.34700000008024,1001820.9688669636
2025-04-23T08:30:00.000+0000,993471.5967756801,152556.63496160007,1000698.9899779211
2025-04-23T08:40:00.000+0000,989436.5266124799,1180.8675297600653,1001441.1370652174
2025-04-23T08:50:00.000+0000,988140.26764992,1180.8675297600653,1002171.7374033041
2025-04-23T09:00:00.000+0000,987331.08051792,752701.0250457599,1003041.5054501505
2025-04-23T09:10:00.000+0000,988585.1270774398,752701.0250457599,1004349.4870353253
2025-04-23T09:20:00.000+0000,989592.4759531198,752701.0250457599,1003192.3484315814
2025-04-23T09:30:00.000+0000,989640.2531008,982373.24256384,1002276.6456238697
2025-04-23T09:40:00.000+0000,989642.14818352,982373.24256384,1002158.0708618159
2025-04-23T09:50:00.000+0000,989644.04326624,982373.24256384,998895.0754402031
2025-04-23T10:00:00.000+0000,989654.1503740799,982373.24256384,995027.043734855
2025-04-23T10:10:00.000+0000,988862.4943295997,84.09477407991699,996202.3507270273
2025-04-23T10:20:00.000+0000,989204.2183315199,84.09477407991699,997979.869525313
2025-04-23T10:30:00.000+0000,995574.2008654396,862967.3684676796,999663.2493863953
2025-04-23T10:40:00.000+0000,995095.5992532796,862967.3684676796,999932.1728742775
2025-04-23T10:50:00.000+0000,995552.6709031996,875819.2098627995,1001733.050927622
2025-04-23T11:00:00.000+0000,995768.7034387995,875819.2098627995,1002391.3879864004
2025-04-23T11:10:00.000+0000,995778.9907023995,875819.2098627995,1003241.6621697411
2025-04-23T11:20:00.000+0000,995809.8524931995,875819.2098627995,1002785.8654489906
2025-04-23T11:30:00.000+0000,995953.8741835995,875819.2098627995,1002240.9537955015
2025-04-23T11:40:00.000+0000,995789.2779659994,875819.2098627995,1000394.2669435218
2025-04-23T11:50:00.000+0000,994709.1152879995,875819.2098627995,998645.2424555306
2025-04-23T12:00:00.000+0000,995676.1180663995,875819.2098627995,1000073.0402966972
2025-04-23T12:10:00.000+0000,996447.6628363995,875819.2098627995,1003556.6349196959
2025-04-23T12:20:00.000+0000,996807.7170623995,875819.2098627995,1002783.7773966421
2025-04-23T12:30:00.000+0000,995984.7359743995,875819.2098627995,1003556.2503468839
2025-04-23T12:40:00.000+0000,994667.9662335995,875819.2098627995,1003090.0541751846
2025-04-23T12:50:00.000+0000,994986.8714051995,875819.2098627995,1004425.7267264784
2025-04-23T13:00:00.000+0000,994945.7223507995,875819.2098627995,1003809.6618362581
2025-04-23T13:10:00.000+0000,995624.6817483995,875819.2098627995,1006467.6422506617
2025-04-23T13:20:00.000+0000,996992.8878071995,875819.2098627995,1006453.4674541999
2025-04-23T13:30:00.000+0000,994853.1369783995,875819.2098627995,999683.6939183038
2025-04-23T13:40:00.000+0000,994760.5516059995,875819.2098627995,998942.4067826562
2025-04-23T13:50:00.000+0000,991664.0852623995,875819.2098627995,991997.8328137432
2025-04-23T14:00:00.000+0000,992260.7465511995,875819.2098627995,994055.0480142421
2025-04-23T14:10:00.000+0000,989143.7056803994,875819.2098627995,989867.4372067102
2025-04-23T14:20:00.000+0000,990203.2938311995,875819.2098627995,990858.042606198
2025-04-23T14:30:00.000+0000,989442.0363247995,875819.2098627995,994357.6836726936
2025-04-23T14:40:00.000+0000,989822.6650779995,875819.2098627995,995513.0826717505
2025-04-23T14:50:00.000+0000,990131.2829859995,875819.2098627995,994133.0466106312
2025-04-23T15:00:00.000+0000,989174.5674711996,875819.2098627995,992314.4539824104
2025-04-23T15:10:00.000+0000,988382.4481739996,875819.2098627995,985425.822633799
2025-04-23T15:20:00.000+0000,988351.5863831996,875819.2098627995,981381.6522978204
2025-04-23T15:30:00.000+0000,989380.3127431995,875819.2098627995,984629.2886160166
2025-04-23T15:40:00.000+0000,992178.4030787196,875819.2098627995,990628.7473364634
2025-04-23T15:50:00.000+0000,992300.2797992795,926730.6041379996,991822.3089478507
2025-04-23T16:00:00.000+0000,992190.0103854396,926730.6041379996,994984.1886972289
2025-04-23T16:10:00.000+0000,991267.2295011996,926730.6041379996,993981.6292608874
2025-04-23T16:20:00.000+0000,990472.1289908796,926730.6041379996,990773.4752768393
2025-04-23T16:30:00.000+0000,991865.0057972795,926730.6041379996,995707.3556765888
2025-04-23T16:40:00.000+0000,992951.8875663994,144.30503799951293,998104.5902076208
2025-04-23T16:50:00.000+0000,967750.4926241594,336105.82583383954,998020.6528887849
2025-04-23T17:00:00.000+0000,977965.3568899995,336105.82583383954,998848.3835057379
2025-04-23T17:10:00.000+0000,983970.9864396794,369519.17135575955,1000931.2445150049
2025-04-23T17:20:00.000+0000,958960.5351202395,369519.17135575955,998625.4787237651
2025-04-23T17:30:00.000+0000,957920.6302102394,369519.17135575955,997683.2270459464
2025-04-23T17:40:00.000+0000,945029.2610626394,369519.17135575955,997514.5866846005
2025-04-23T17:50:00.000+0000,954392.5080677593,369519.17135575955,997621.2354693844
2025-04-23T18:00:00.000+0000,953724.3370325594,369519.17135575955,1000457.6029954159
2025-04-23T18:10:00.000+0000,973429.6973227996,369519.17135575955,1003578.9937884032
2025-04-23T18:20:00.000+0000,971984.1367971195,369519.17135575955,1001882.3144347138
2025-04-23T18:30:00.000+0000,970282.6154040793,369519.17135575955,1000249.4034286872
2025-04-23T18:40:00.000+0000,969581.1740064797,369519.17135575955,997980.51081819
2025-04-23T18:50:00.000+0000,972805.9048563195,369519.17135575955,997887.3473314026
2025-04-23T19:00:00.000+0000,971390.4135559995,369519.17135575955,995044.6256004795
2025-04-23T19:10:00.000+0000,968651.7888099194,369519.17135575955,991368.7247159076
2025-04-23T19:20:00.000+0000,959583.9280066395,369519.17135575955,987860.0381891456
2025-04-23T19:30:00.000+0000,962137.9365639195,369519.17135575955,989017.9691112305
2025-04-23T19:40:00.000+0000,966966.3273586396,369519.17135575955,992494.1674051456
2025-04-23T19:50:00.000+0000,971220.6570699195,369519.17135575955,990980.1765934576
2025-04-23T20:00:00.000+0000,977110.7666095995,369519.17135575955,993986.6469135559
2025-04-23T20:10:00.000+0000,987235.0431036795,369519.17135575955,994803.3514415519
2025-04-23T20:20:00.000+0000,983840.9553478395,369519.17135575955,997736.9580115362
2025-04-23T20:30:00.000+0000,977584.4149875195,369519.17135575955,998657.4402067696
2025-04-23T20:40:00.000+0000,980783.6800263196,369519.17135575955,997319.8180580426
2025-04-23T20:50:00.000+0000,981950.6651907193,369519.17135575955,997267.1802608634
2025-04-23T21:00:00.000+0000,993560.6271847996,369519.17135575955,998335.926545853
2025-04-23T21:10:00.000+0000,1007370.3245815997,369519.17135575955,998881.3173250401
2025-04-23T21:20:00.000+0000,1005041.5080264794,369519.17135575955,998120.2612287679
2025-04-23T21:30:00.000+0000,1007655.7545547995,369519.17135575955,997880.0959837602
2025-04-23T21:40:00.000+0000,1024846.2813226396,369519.17135575955,995595.4539893412
2025-04-23T21:50:00.000+0000,1022316.5880975196,369519.17135575955,995134.1713260992
2025-04-23T22:00:00.000+0000,1014044.6782236795,369519.17135575955,995405.5239418226
2025-04-23T22:10:00.000+0000,1003513.5956350395,369519.17135575955,995170.5792722304
2025-04-23T22:20:00.000+0000,1011450.8447518393,369519.17135575955,996847.0032605669
2025-04-23T22:30:00.000+0000,1013220.8595063195,369519.17135575955,998195.9176462595
