date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-23T08:10:00.000+0000,1000000.0,1000000.0,999721.2228435633,1000000,1000000,1000000.0,1000000.0
2025-04-23T08:20:00.000+0000,993473.6101040001,1933.1076000000821,1001820.9688669636,1000000,1000000,993465.5475820003,700.1232999999775
2025-04-23T08:30:00.000+0000,993369.1307543998,126247.11796703993,1000698.9899779211,1000000,1000000,993570.1505326402,158478.47635855988
2025-04-23T08:40:00.000+0000,989340.5467927996,7586.947697439792,1001441.1370652174,1000000,1000000,989542.8590031205,3818.843284160563
2025-04-23T08:50:00.000+0000,987262.64704352,7586.947697439792,1002171.7374033041,1000000,1000000,987084.1160723207,3818.843284160563
2025-04-23T09:00:00.000+0000,984536.1429931201,382619.3785398401,1003041.5054501505,1000000,1000000,985729.6067473603,575521.0133657603
2025-04-23T09:10:00.000+0000,987753.25704128,382619.3785398401,1004349.4870353253,1000000,1000000,987922.0823625603,575521.0133657603
2025-04-23T09:20:00.000+0000,990337.49619472,382619.3785398401,1003192.3484315814,1000000,1000000,989683.2512993603,575521.0133657603
2025-04-23T09:30:00.000+0000,990492.41316192,988765.89468256,1002276.6456238697,1000000,1000000,989789.4270907198,988926.1678510398
2025-04-23T09:40:00.000+0000,990492.86340144,988765.89468256,1002158.0708618159,1000000,1000000,989789.6522104798,988926.1678510398
2025-04-23T09:50:00.000+0000,990493.31364096,988765.89468256,998895.0754402031,1000000,1000000,989789.8773302397,988926.1678510398
2025-04-23T10:00:00.000+0000,990495.7149184,988765.89468256,995027.043734855,1000000,1000000,989791.0779689597,988926.1678510398
2025-04-23T10:10:00.000+0000,989704.0977625602,974.2701184000907,996202.3507270273,1000000,1000000,988999.4932203197,310.14216895968366
2025-04-23T10:20:00.000+0000,990045.80497792,974.2701184000907,997979.869525313,1000000,1000000,989341.1864468795,310.14216895968366
2025-04-23T10:30:00.000+0000,995190.8458497601,74204.51172024016,999663.2493863953,1000000,1000000,994652.6977357597,198073.34873391964
2025-04-23T10:40:00.000+0000,991866.8425814401,74204.51172024016,999932.1728742775,1000000,1000000,991777.7013743196,198073.34873391964
2025-04-23T10:50:00.000+0000,995145.6186604801,133218.2110617601,1001733.050927622,1000000,1000000,994660.6295851995,235472.21878343966
2025-04-23T11:00:00.000+0000,996700.77593856,133218.2110617601,1002391.3879864004,1000000,1000000,996030.4170778394,235472.21878343966
2025-04-23T11:10:00.000+0000,996774.8310470401,133218.2110617601,1003241.6621697411,1000000,1000000,996095.6450536796,235472.21878343966
2025-04-23T11:20:00.000+0000,996996.99637248,133218.2110617601,1002785.8654489906,1000000,1000000,996291.3289811998,235472.21878343966
2025-04-23T11:30:00.000+0000,998033.7678912,133218.2110617601,1002240.9537955015,1000000,1000000,997204.5206429597,235472.21878343966
2025-04-23T11:40:00.000+0000,996848.8861555199,133218.2110617601,1000394.2669435218,1000000,1000000,996160.8730295196,235472.21878343966
2025-04-23T11:50:00.000+0000,989073.09976512,133218.2110617601,998645.2424555306,1000000,1000000,989311.9355663194,235472.21878343966
2025-04-23T12:00:00.000+0000,996034.27996224,133218.2110617601,1000073.0402966972,1000000,1000000,995443.3652952795,235472.21878343966
2025-04-23T12:10:00.000+0000,1001588.4130982403,133218.2110617601,1003556.6349196959,1000000,1000000,1000335.4634832798,235472.21878343966
2025-04-23T12:20:00.000+0000,1004180.3418950401,133218.2110617601,1002783.7773966421,1000000,1000000,1002618.4426376796,235472.21878343966
2025-04-23T12:30:00.000+0000,998255.9332166398,133218.2110617601,1003556.2503468839,1000000,1000000,997400.2045704795,235472.21878343966
2025-04-23T12:40:00.000+0000,988776.8793312,133218.2110617601,1003090.0541751846,1000000,1000000,989051.0236629597,235472.21878343966
2025-04-23T12:50:00.000+0000,991072.58769408,133218.2110617601,1004425.7267264784,1000000,1000000,991073.0909139996,235472.21878343966
2025-04-23T13:00:00.000+0000,990776.36726016,133218.2110617601,1003809.6618362581,1000000,1000000,990812.1790106397,235472.21878343966
2025-04-23T13:10:00.000+0000,995664.0044198402,133218.2110617601,1006467.6422506617,1000000,1000000,995117.2254160799,235472.21878343966
2025-04-23T13:20:00.000+0000,1005513.3338476801,133218.2110617601,1006453.4674541999,1000000,1000000,1003792.5462027998,235472.21878343966
2025-04-23T13:30:00.000+0000,990109.87128384,133218.2110617601,999683.6939183038,1000000,1000000,990225.1272280796,235472.21878343966
2025-04-23T13:40:00.000+0000,989443.37530752,133218.2110617601,998942.4067826562,1000000,1000000,989638.0754455195,235472.21878343966
2025-04-23T13:50:00.000+0000,967152.78765504,133218.2110617601,991997.8328137432,1000000,1000000,970004.4547176796,235472.21878343966
2025-04-23T14:00:00.000+0000,971447.98394688,133218.2110617601,994055.0480142421,1000000,1000000,973787.6773163995,235472.21878343966
2025-04-23T14:10:00.000+0000,949009.28607744,133218.2110617601,989867.4372067102,1000000,1000000,954023.6006368797,235472.21878343966
2025-04-23T14:20:00.000+0000,956636.9622508802,133218.2110617601,990858.042606198,1000000,1000000,960742.0821483997,235472.21878343966
2025-04-23T14:30:00.000+0000,951156.88422336,133218.2110617601,994357.6836726936,1000000,1000000,955915.2119362396,235472.21878343966
2025-04-23T14:40:00.000+0000,953896.9232371202,133218.2110617601,995513.0826717505,1000000,1000000,958328.6470423196,235472.21878343966
2025-04-23T14:50:00.000+0000,956118.57649152,133218.2110617601,994133.0466106312,1000000,1000000,960285.4863175196,235472.21878343966
2025-04-23T15:00:00.000+0000,949231.4514028801,133218.2110617601,992314.4539824104,1000000,1000000,954219.2845643996,235472.21878343966
2025-04-23T15:10:00.000+0000,943529.20804992,133218.2110617601,985425.822633799,1000000,1000000,949196.7304247196,235472.21878343966
2025-04-23T15:20:00.000+0000,943307.0427244802,133218.2110617601,981381.6522978204,1000000,1000000,949001.0464971997,235472.21878343966
2025-04-23T15:30:00.000+0000,950712.5535724801,133218.2110617601,984629.2886160166,1000000,1000000,955523.8440811995,235472.21878343966
2025-04-23T15:40:00.000+0000,974113.96785216,133218.2110617601,990628.7473364634,1000000,1000000,976135.8844466396,235472.21878343966
2025-04-23T15:50:00.000+0000,974113.9678521601,974113.9678521601,991822.3089478507,1000000,1000000,976135.8844466397,976135.8844466397
2025-04-23T16:00:00.000+0000,974113.9678521601,974113.9678521601,994984.1886972289,1000000,1000000,976135.8844466397,976135.8844466397
2025-04-23T16:10:00.000+0000,974113.9678521601,974113.9678521601,993981.6292608874,1000000,1000000,976135.8844466397,976135.8844466397
2025-04-23T16:20:00.000+0000,974113.9678521601,974113.9678521601,990773.4752768393,1000000,1000000,976135.8844466397,976135.8844466397
2025-04-23T16:30:00.000+0000,974113.9678521601,974113.9678521601,995707.3556765888,1000000,1000000,976135.8844466397,976135.8844466397
2025-04-23T16:40:00.000+0000,973335.0583296,477.06465216000447,998104.5902076208,1000000,1000000,975354.9800584797,5.399246639543435
2025-04-23T16:50:00.000+0000,933946.4812201601,247762.3040713599,998020.6528887849,1000000,1000000,939918.3832335195,264917.05863991956
2025-04-23T17:00:00.000+0000,945824.7853686399,247762.3040713599,998848.3835057379,1000000,1000000,951603.1047720797,264917.05863991956
2025-04-23T17:10:00.000+0000,953619.9224660798,247762.3040713599,1000931.2445150049,1000000,1000000,959271.2032817595,264917.05863991956
2025-04-23T17:20:00.000+0000,923181.7680855999,247762.3040713599,998625.4787237651,1000000,1000000,929329.1043391994,264917.05863991956
2025-04-23T17:30:00.000+0000,921962.1207846401,247762.3040713599,997683.2270459464,1000000,1000000,928129.3338240797,264917.05863991956
2025-04-23T17:40:00.000+0000,905046.1430017601,247762.3040713599,997514.5866846005,1000000,1000000,911489.0384187195,264917.05863991956
2025-04-23T17:50:00.000+0000,916977.47529376,247762.3040713599,997621.2354693844,1000000,1000000,923225.9238927197,264917.05863991956
2025-04-23T18:00:00.000+0000,915227.5465576,247762.3040713599,1000457.6029954159,1000000,1000000,921504.5140231997,264917.05863991956
2025-04-23T18:10:00.000+0000,939133.8220249603,269015.69454592,1003578.9937884032,1000000,1000000,945179.3031279196,275565.57460663957
2025-04-23T18:20:00.000+0000,936924.7542940801,269015.69454592,1001882.3144347138,1000000,1000000,942971.8981657596,275565.57460663957
2025-04-23T18:30:00.000+0000,935743.1599264,269015.69454592,1000249.4034286872,1000000,1000000,941791.1931859995,275565.57460663957
2025-04-23T18:40:00.000+0000,936154.1492716802,269015.69454592,997980.51081819,1000000,1000000,942201.8731789596,275565.57460663957
2025-04-23T18:50:00.000+0000,939955.8007155203,269015.69454592,997887.3473314026,1000000,1000000,946000.6631138396,275565.57460663957
2025-04-23T19:00:00.000+0000,938928.3273523201,269015.69454592,995044.6256004795,1000000,1000000,944973.9631314395,275565.57460663957
2025-04-23T19:10:00.000+0000,935743.1599264,269015.69454592,991368.7247159076,1000000,1000000,941791.1931859995,275565.57460663957
