date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-18T12:40:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-18T12:50:00.000+0000,999200.0051752012,6.469000000910086,999021.933727996,999200.0267416007,33.42700000067225,1000000.0,1000000.0
2025-04-18T13:00:00.000+0000,998903.4865800004,6.469000000910086,997300.5401402167,998903.5161400008,33.42700000067225,1000000.0,1000000.0
2025-04-18T13:10:00.000+0000,999817.6796400005,373653.0444144005,996218.2047793403,999802.9270352006,340673.037128,1000000.0,1000000.0
2025-04-18T13:20:00.000+0000,999399.8651592004,266123.99941440043,997120.3603908084,999363.1161656003,287195.45712799986,1000000.0,1000000.0
2025-04-18T13:30:00.000+0000,999545.0318232002,266123.99941440043,997393.8648809491,999538.4314840001,287195.45712799986,1000000.0,1000000.0
2025-04-18T13:40:00.000+0000,1000102.1177976001,373612.51575360046,995950.7227197262,1000124.8459768002,340652.8809488003,1000000.0,1000000.0
2025-04-18T13:50:00.000+0000,1000705.6276032007,373612.51575360046,997032.9978861192,1000760.1283440008,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:00:00.000+0000,999545.0318232002,373612.51575360046,996716.1242512162,999538.4314840001,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:10:00.000+0000,1001912.6472144003,373612.51575360046,995077.7353786142,1002030.6930783996,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:20:00.000+0000,1002748.276176001,373612.51575360046,994432.4722761223,1002910.3148176004,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:30:00.000+0000,1003676.7528000006,373612.51575360046,994263.2967208752,1003887.6723056005,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:40:00.000+0000,1004883.7724112005,373612.51575360046,993713.9040980032,1005158.2370400005,340652.8809488003,1000000.0,1000000.0
2025-04-18T14:50:00.000+0000,1006369.3350096005,373612.51575360046,992946.2803158695,1006722.0090208,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:00:00.000+0000,1005951.5205288001,373612.51575360046,990793.5072479178,1006282.1981512001,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:10:00.000+0000,1007715.6261144003,373612.51575360046,990754.6099458617,1008139.1773784002,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:20:00.000+0000,1008319.13592,373612.51575360046,989942.9082684751,1008774.4597455997,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:30:00.000+0000,1008179.8644264003,373612.51575360046,990029.7569552213,1008627.8561224004,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:40:00.000+0000,1006787.1494904007,373612.51575360046,990422.6174073863,1007161.8198904006,340652.8809488003,1000000.0,1000000.0
2025-04-18T15:50:00.000+0000,1007529.9307896004,373612.51575360046,990829.670217281,1007943.7058808,340652.8809488003,1000000.0,1000000.0
