date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-02-13T06:10:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000,1000000,1000000.0,1000000.0
2025-02-13T06:20:00.000+0000,997634.0673747999,4942.449999999973,999999.9999999999,1000000,1000000,998067.9860171202,187438.78000000014
2025-02-13T06:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T06:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T06:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T07:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T08:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T09:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T10:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T11:50:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T12:00:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T12:10:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T12:20:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T12:30:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
2025-02-13T12:40:00.000+0000,998013.3771839995,998013.3771839995,999999.9999999999,1000000,1000000,998278.4789879199,998278.4789879199
