date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-23T19:30:00.000+0000,1000000.0,1000000.0,999695.7907084062
2025-04-23T19:40:00.000+0000,999923.021129064,893905.0559448396,1001600.3907191473
2025-04-23T19:50:00.000+0000,1001050.2803374797,339603.8258803761,1000072.0808533833
2025-04-23T20:00:00.000+0000,998774.0289312399,339603.8258803761,1003103.6056577115
2025-04-23T20:10:00.000+0000,995839.109470528,385758.59346360806,1003928.5773022845
2025-04-23T20:20:00.000+0000,999230.0634553921,465281.4251667522,1006890.4463596549
2025-04-23T20:30:00.000+0000,995754.7257210875,548127.1936677196,1007820.337873476
2025-04-23T20:40:00.000+0000,995341.2134757433,650343.5617024393,1006470.5144978194
2025-04-23T20:50:00.000+0000,998412.2509187515,696793.3723122715,1006417.775640029
2025-04-23T21:00:00.000+0000,995766.3549202795,711520.3738282315,1007496.274715526
2025-04-23T21:10:00.000+0000,996407.9475752075,747993.8298816874,1008044.873323703
2025-04-23T21:20:00.000+0000,998376.4283973832,777238.3860928873,1007278.4162170906
2025-04-23T21:30:00.000+0000,996253.3067374155,755711.1722893674,1007034.2546935672
2025-04-23T21:40:00.000+0000,995807.8509666953,777161.2672704874,1004730.4290092686
2025-04-23T21:50:00.000+0000,997017.6229624953,766254.5248704874,1004266.8562692774
2025-04-23T22:00:00.000+0000,997825.7189181354,513408.01016171934,1004538.6027772451
2025-04-23T22:10:00.000+0000,995921.3609453035,513408.01016171934,1004302.2761832012
2025-04-23T22:20:00.000+0000,992383.3046065435,603946.1143475914,1005992.6638023466
2025-04-23T22:30:00.000+0000,992414.0391692077,626868.6615176796,1007354.1865404325
2025-04-23T22:40:00.000+0000,992301.8750923116,647475.3180036716,1008911.4679229187
2025-04-23T22:50:00.000+0000,990961.1805167036,757176.7946571916,1009521.2329563238
2025-04-23T23:00:00.000+0000,994038.9152675755,790449.4767999116,1009715.7097751235
2025-04-23T23:10:00.000+0000,993237.0251529036,849451.3634534635,1009622.6393680644
2025-04-23T23:20:00.000+0000,993583.2116850954,829555.3527040236,1009298.0326386159
2025-04-23T23:30:00.000+0000,993625.0395560075,857314.7476222075,1008488.1183466137
2025-04-23T23:40:00.000+0000,993486.2418945275,804443.9739927675,1006317.5133119938
2025-04-23T23:50:00.000+0000,993827.7052151596,741525.3242954875,1005882.84318572
2025-04-24T00:00:00.000+0000,993866.4469797196,768722.1733671676,1006578.0994190171
2025-04-24T00:10:00.000+0000,994761.0677536957,803170.0896298396,1005483.6559338132
2025-04-24T00:20:00.000+0000,993192.8127087597,674697.9505883676,1002819.9444464593
2025-04-24T00:30:00.000+0000,991367.2577513999,693391.2540516879,1002210.706785563
2025-04-24T00:40:00.000+0000,993900.3939599281,773021.4796670481,1003842.9431398774
2025-04-24T00:50:00.000+0000,994154.0720888078,845882.4154930479,1003479.0663835047
2025-04-24T01:00:00.000+0000,993010.4032209679,825834.278978984,1003486.5543520111
2025-04-24T01:10:00.000+0000,992287.7457442961,825834.278978984,999664.4855708424
2025-04-24T01:20:00.000+0000,991509.5284366,847309.9034214319,999488.418800556
2025-04-24T01:30:00.000+0000,992444.985824688,865946.9242675119,1002178.2048642159
2025-04-24T01:40:00.000+0000,991512.6320914,792899.151033128,1002183.9963834581
2025-04-24T01:50:00.000+0000,990887.1514390323,816336.6036590482,1003478.3015778142
2025-04-24T02:00:00.000+0000,990827.2805840642,832932.4223942322,1003664.218613341
2025-04-24T02:10:00.000+0000,991080.8029937523,865567.8594411922,1004907.8548855477
2025-04-24T02:20:00.000+0000,991260.5199650642,877410.8382725522,1005162.1942850554
2025-04-24T02:30:00.000+0000,991421.8663246322,910986.7320517522,1003574.5466346361
2025-04-24T02:40:00.000+0000,991591.515332352,917167.4379282321,997786.0180533396
2025-04-24T02:50:00.000+0000,991519.3610622075,669857.7446914876,997493.2531066374
2025-04-24T03:00:00.000+0000,990593.4601039515,669857.7446914876,996947.2018205093
2025-04-24T03:10:00.000+0000,991676.6121085755,675429.1847708476,998868.7747866018
2025-04-24T03:20:00.000+0000,993433.3137221591,40.35351084734259,999993.0044709174
2025-04-24T03:30:00.000+0000,1008047.990639743,40.35351084734259,996397.8848645887
2025-04-24T03:40:00.000+0000,1011751.3847461427,24.167783551309867,994220.2036015701
