date,total_balance_normal,unlocked_balance_normal,benchmark
2025-01-19T09:40:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-01-19T09:50:00.000+0000,999923.5591539204,904448.9424000004,999999.9999999999
2025-01-19T10:00:00.000+0000,1000918.9661907204,904448.9424000004,999999.9999999999
2025-01-19T10:10:00.000+0000,1002519.6781958404,904448.9424000004,999999.9999999999
2025-01-19T10:20:00.000+0000,1004515.6421462405,957706.5294182404,999999.9999999999
2025-01-19T10:30:00.000+0000,1003461.9847470404,957706.5294182404,999999.9999999999
2025-01-19T10:40:00.000+0000,1004148.1843478398,1004148.1843478398,999999.9999999999
2025-01-19T10:50:00.000+0000,1004148.1843478398,1004148.1843478398,999999.9999999999
2025-01-19T11:00:00.000+0000,1000039.4644953595,642850.8785478395,999999.9999999999
2025-01-19T11:10:00.000+0000,990360.5632158397,642850.8785478395,999999.9999999999
2025-01-19T11:20:00.000+0000,993361.3786414394,642850.8785478395,999999.9999999999
2025-01-19T11:30:00.000+0000,977609.6407209595,642850.8785478395,999999.9999999999
2025-01-19T11:40:00.000+0000,979303.3212916794,642850.8785478395,999999.9999999999
2025-01-19T11:50:00.000+0000,976938.2718460794,642850.8785478395,999999.9999999999
2025-01-19T12:00:00.000+0000,985142.1960519995,642850.8785478395,999999.9999999999
2025-01-19T12:10:00.000+0000,1003660.7875174395,642850.8785478395,999999.9999999999
2025-01-19T12:20:00.000+0000,997582.8647486395,642850.8785478395,999999.9999999999
2025-01-19T12:30:00.000+0000,992659.4929995195,642850.8785478395,999999.9999999999
2025-01-19T12:40:00.000+0000,998935.7747540795,642850.8785478395,999999.9999999999
2025-01-19T12:50:00.000+0000,1006163.1624147194,642850.8785478395,999999.9999999999
2025-01-19T13:00:00.000+0000,997628.6398991994,642850.8785478395,999999.9999999999
2025-01-19T13:10:00.000+0000,992517.0814199995,642850.8785478395,999999.9999999999
2025-01-19T13:20:00.000+0000,996062.1125244794,642850.8785478395,999999.9999999999
2025-01-19T13:30:00.000+0000,1001433.0635235196,642850.8785478395,999999.9999999999
2025-01-19T13:40:00.000+0000,1000675.2304753596,642850.8785478395,999999.9999999999
2025-01-19T13:50:00.000+0000,998025.3578707195,642850.8785478395,999999.9999999999
2025-01-19T14:00:00.000+0000,1001763.6618331195,642850.8785478395,999999.9999999999
2025-01-19T14:10:00.000+0000,1012673.4060499195,642850.8785478395,999999.9999999999
2025-01-19T14:20:00.000+0000,1026817.9275729595,642850.8785478395,999999.9999999999
2025-01-19T14:30:00.000+0000,1031364.9258619195,642850.8785478395,999999.9999999999
2025-01-19T14:40:00.000+0000,1054267.7595254395,642850.8785478395,999999.9999999999
