date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-16T20:10:00.000+0000,1000000.0,1000000.0,999681.765016916,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-16T20:20:00.000+0000,999418.7935403995,273491.9254999993,998085.1771303597,1000000.0,1000000.0,999687.5837731997,609479.7164999997
2025-04-16T20:30:00.000+0000,998236.5561887189,270643.7073999993,996206.6706175669,1000000.0,1000000.0,999052.0353123996,607942.6887999998
2025-04-16T20:40:00.000+0000,997189.1049206387,228875.29716759923,993280.3367574438,999996.2206552001,995275.819,998488.8644098397,590148.0644492797
2025-04-16T20:50:00.000+0000,996030.3547491989,228875.29716759923,991068.208030106,999990.5132248,995275.819,997841.6939128797,590148.0644492797
2025-04-16T21:00:00.000+0000,996119.4336290393,84559.0037595993,991283.404723614,1000022.6175208,1000022.6175208,997889.3365682396,414665.56844927976
2025-04-16T21:10:00.000+0000,997359.2201266397,84559.0037595993,994919.4846202028,1000022.6175208,1000022.6175208,998565.2028467999,414665.56844927976
2025-04-16T21:20:00.000+0000,999509.4293819991,85132.04026335927,997590.1777097649,1000022.6175208,1000022.6175208,1000062.64563344,414975.13989383983
2025-04-16T21:30:00.000+0000,998690.7578435994,85132.04026335927,996994.1265663207,1000022.6175208,1000022.6175208,999655.0252907998,414975.13989383983
2025-04-16T21:40:00.000+0000,998793.7655714394,85132.04026335927,997263.3254377438,1000022.6175208,1000022.6175208,999791.01031568,414975.13989383983
2025-04-16T21:50:00.000+0000,999970.0289073591,97538.30060871936,998632.0593143571,1000022.6175208,1000022.6175208,1000585.34533888,421389.26088871993
2025-04-16T22:00:00.000+0000,999010.4929507198,97538.30060871936,997535.8973053629,1000022.6175208,1000022.6175208,999891.3066143997,421389.26088871993
2025-04-16T22:10:00.000+0000,998038.1400558396,97538.30060871936,996029.0389826765,1000022.6175208,1000022.6175208,999259.6409515198,421389.26088871993
2025-04-16T22:20:00.000+0000,997699.0656325595,97538.30060871936,995434.4513629053,1000022.6175208,1000022.6175208,999102.2616557601,421389.26088871993
2025-04-16T22:30:00.000+0000,997383.0458507994,97538.30060871936,994948.1487570745,1000022.6175208,1000022.6175208,998790.0220474398,421389.26088871993
2025-04-16T22:40:00.000+0000,999386.7663909596,97538.30060871936,997579.466695064,1000022.6175208,1000022.6175208,1000236.3284759198,421389.26088871993
2025-04-16T22:50:00.000+0000,998928.7350094392,95923.42980871936,996495.065396107,1000021.9386006399,999173.9673208,999846.145772,421389.26088871993
2025-04-16T23:00:00.000+0000,997362.3546859991,95923.42980871936,994165.9427222853,1000026.3744491199,999173.9673208,998772.6275741599,421389.26088871993
2025-04-16T23:10:00.000+0000,996347.2384079996,83983.65495495938,993142.1445642158,1000024.8502269599,992901.03334336,998001.89945032,421389.26088871993
2025-04-16T23:20:00.000+0000,995761.1571483992,85636.48563175937,992203.55984258,1000012.7099469599,993769.2337269599,997512.0058789599,421389.26088871993
2025-04-16T23:30:00.000+0000,994592.4025007195,85636.48563175937,989453.2607577882,1000070.71350696,993769.2337269599,996575.4621138398,421389.26088871993
2025-04-16T23:40:00.000+0000,994745.0092175994,268.863050719381,989409.5741164308,999873.15511896,645501.37951896,996683.42377536,409863.9604887201
2025-04-16T23:50:00.000+0000,994356.2338287997,268.863050719381,990803.1784325268,999576.72245496,645501.37951896,996651.7909808799,409307.3821093601
2025-04-17T00:00:00.000+0000,994063.3376333592,268.863050719381,989402.1190981842,1000221.1205237599,649944.55013656,996275.3149028801,409307.3821093601
2025-04-17T00:10:00.000+0000,994018.4911392794,268.863050719381,990037.3537902932,999820.3909960801,647983.16053656,996367.9782128801,409307.3821093601
2025-04-17T00:20:00.000+0000,993732.5513742391,520.5160671194388,989120.6301114936,1000190.9910786399,647983.16053656,996071.6506647199,409475.1432929601
2025-04-17T00:30:00.000+0000,995147.4291657594,11501.13403951945,991085.122866163,1000021.3413071199,652680.73546776,997207.7855291199,415399.93716296006
2025-04-17T00:40:00.000+0000,994889.7653618396,11501.13403951945,991471.9967653853,999973.1169175201,656911.3382757601,997187.5270488799,415399.93716296006
2025-04-17T00:50:00.000+0000,995456.3601231193,11501.13403951945,991902.8488951919,999493.4809335201,658860.1108095201,997456.02407928,415399.93716296006
2025-04-17T01:00:00.000+0000,995844.5782999196,11501.13403951945,992262.7274850333,999800.1953655202,663794.5351095201,997732.8585344001,415399.93716296006
2025-04-17T01:10:00.000+0000,997461.6204304793,11501.13403951945,994558.416734329,998471.0994935201,663794.5351095201,999028.9785082398,415399.93716296006
2025-04-17T01:20:00.000+0000,997111.5987719994,11501.13403951945,994658.1259109868,998317.74227752,663794.5351095201,998759.0408312798,415399.93716296006
