date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-18T14:00:00.000+0000,1000000.0,1000000.0,999524.1306826861
2025-04-18T14:10:00.000+0000,999438.6081745608,839208.4881000009,997880.3222538244
2025-04-18T14:20:00.000+0000,998826.698494241,839208.4881000009,997233.0546849533
2025-04-18T14:30:00.000+0000,999466.1130530409,837347.0731000006,997059.6471973578
2025-04-18T14:40:00.000+0000,999909.1556019196,831775.7723999996,996507.0372415223
2025-04-18T14:50:00.000+0000,1000354.6832943996,831775.7723999996,995736.4507972179
2025-04-18T15:00:00.000+0000,1000647.8360843994,831341.2434649596,993577.0869676098
2025-04-18T15:10:00.000+0000,1003975.7967990236,829999.1880002395,993538.2749064278
2025-04-18T15:20:00.000+0000,1003884.0894036796,829999.1880002395,992724.3188412562
2025-04-18T15:30:00.000+0000,1004309.8614637502,821025.3486602384,992812.8568960669
2025-04-18T15:40:00.000+0000,1003537.9630846465,819215.8318602383,993207.3441879749
2025-04-18T15:50:00.000+0000,1003352.9461566943,805795.2352602388,993615.9455330686
2025-04-18T16:00:00.000+0000,1003744.977886871,805795.2352602388,993562.8416632691
2025-04-18T16:10:00.000+0000,1002100.8239930868,799300.826260239,994377.6571724082
2025-04-18T16:20:00.000+0000,1001041.6280257188,790313.2340650387,995410.5212474696
2025-04-18T16:30:00.000+0000,1000759.8143071984,793501.6027279187,995746.6829553866
2025-04-18T16:40:00.000+0000,1001118.7126286625,793587.3340879186,994958.1180045081
2025-04-18T16:50:00.000+0000,1000579.4856556227,793785.7421343987,995195.4129577328
2025-04-18T17:00:00.000+0000,998073.0166762309,793787.8527445587,995339.8590627431
2025-04-18T17:10:00.000+0000,997874.0492576065,793787.8527445587,996392.9036518328
2025-04-18T17:20:00.000+0000,998593.4720086067,793787.8527445587,995697.5637612421
2025-04-18T17:30:00.000+0000,997414.5067059906,794775.6554696787,996543.3186978878
2025-04-18T17:40:00.000+0000,997108.9921533186,794775.6554696787,998485.881035376
2025-04-18T17:50:00.000+0000,997380.5795894146,794973.4692919187,998678.5072352614
2025-04-18T18:00:00.000+0000,998382.3680969507,794973.4692919187,997635.2833076338
2025-04-18T18:10:00.000+0000,998114.5174690146,794973.4692919187,998618.8062154786
2025-04-18T18:20:00.000+0000,997761.7665656785,794973.4692919187,998580.4838986944
2025-04-18T18:30:00.000+0000,998502.9966268628,794973.4692919187,999040.318486239
2025-04-18T18:40:00.000+0000,997763.8565323667,794973.4692919187,999353.4006791522
2025-04-18T18:50:00.000+0000,995998.3238993187,794973.4692919187,999688.6666988407
2025-04-18T19:00:00.000+0000,996734.9133459665,794973.4692919187,998845.6045978485
