date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-17T10:20:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-17T10:30:00.000+0000,998923.5746648002,671332.9380000004,999695.0632239727,1000000.0,1000000.0,999462.7254031999,835952.8920000001
2025-04-17T10:40:00.000+0000,998726.3645592006,671332.9380000004,999368.6453583143,1000000.0,1000000.0,999364.2922128002,835952.8920000001
2025-04-17T10:50:00.000+0000,998923.5746648002,671332.9380000004,999736.3719732547,1000000.0,1000000.0,999462.7254031999,835952.8920000001
2025-04-17T11:00:00.000+0000,999342.6461392005,671332.9380000004,1000929.4767109897,1000000.0,1000000.0,999671.8959328003,835952.8920000001
2025-04-17T11:10:00.000+0000,997937.5241368006,671332.9380000004,998203.2096103323,1000000.0,1000000.0,998970.5594512002,835952.8920000001
2025-04-17T11:20:00.000+0000,998455.2006640004,671332.9380000004,999315.2962531286,1000000.0,1000000.0,999228.946576,835952.8920000001
2025-04-17T11:30:00.000+0000,998726.3645592006,671332.9380000004,999923.7525337096,1000000.0,1000000.0,999364.2922128002,835952.8920000001
2025-04-17T11:40:00.000+0000,998902.7799464001,312597.1970000003,1001403.7025118477,1000000.0,1000000.0,999452.06528,656680.7269
2025-04-17T11:50:00.000+0000,998222.8293424005,312597.1970000003,1001232.9539645787,1000000.0,1000000.0,999112.48006568,656680.7269
2025-04-17T12:00:00.000+0000,998020.8530527999,291346.65850000025,1001225.8851848274,1000000.0,1000000.0,999011.6054299998,646097.7894
2025-04-17T12:10:00.000+0000,999189.4004244006,291346.65850000025,1002379.9063675099,1000000.0,1000000.0,999595.0434773599,646097.7894
2025-04-17T12:20:00.000+0000,1001348.5922879203,291346.65850000025,1004941.6891541964,1000000.0,1000000.0,1000673.2663084802,646097.7894
2025-04-17T12:30:00.000+0000,1001048.4466966405,299757.39952000015,1004495.4622316064,1000000.0,1000000.0,1000523.4024955202,650296.4527799999
2025-04-17T12:40:00.000+0000,1001483.7686602401,299757.39952000015,1005145.74937394,1000000.0,1000000.0,1000740.6764371999,650296.4527799999
2025-04-17T12:50:00.000+0000,1002027.7534240002,291381.14952000015,1005699.5906454265,999987.2980119999,992159.83,1001012.4326581598,650296.4527799999
2025-04-17T13:00:00.000+0000,999859.6354420001,291381.14952000015,1002979.3962741587,999998.40412,992159.83,999911.68596056,650296.4527799999
2025-04-17T13:10:00.000+0000,998371.7212263999,291381.14952000015,1000984.7597810347,1000027.63072,992159.83,999160.74929088,650296.4527799999
2025-04-17T13:20:00.000+0000,998919.1161598401,291381.14952000015,1001705.8954532633,1000022.369932,992159.83,999435.4677401598,650296.4527799999
2025-04-17T13:30:00.000+0000,996823.5238499201,270323.4032787202,998997.8977609731,1000027.63072,992159.83,998373.5570009601,639809.86382
2025-04-17T13:40:00.000+0000,997171.9328995203,270323.4032787202,999333.2254702253,1000036.3986999999,992159.83,998550.6479148,639809.86382
2025-04-17T13:50:00.000+0000,997294.0129572802,309371.93224448024,999531.8915352372,1000041.074956,992159.83,998610.7243151999,659291.9592651199
2025-04-17T14:00:00.000+0000,992614.0079925604,299861.6439003202,993812.9750740252,1000067.378896,992159.83,996254.74340344,650291.1315868798
2025-04-17T14:10:00.000+0000,991065.5660379202,299861.6439003202,992025.3949528593,1000100.5020184,996236.613604,995481.1324876798,650291.1315868798
2025-04-17T14:20:00.000+0000,990013.5653123203,299861.6439003202,990790.254127077,1000109.6087272,996236.613604,994955.5707736798,650291.1315868798
2025-04-17T14:30:00.000+0000,986404.7956395202,299861.6439003202,986509.5744660958,1000114.6027287999,996236.613604,993152.7802607998,650291.1315868798
2025-04-17T14:40:00.000+0000,988006.39033792,299945.57670032023,988641.615392061,1000104.9084904,996236.613604,993952.6207760798,650291.1315868798
2025-04-17T14:50:00.000+0000,988666.4059027198,306223.54730032024,989554.7965980947,1000108.4336679999,996236.613604,994282.2442661598,653440.46988688
2025-04-17T15:00:00.000+0000,989688.9192347198,285039.02180032025,991036.7350418083,1000079.057188,996236.613604,994792.8115731198,642890.40738688
2025-04-17T15:10:00.000+0000,993712.8758027202,302780.84497792023,996196.342936953,1000065.2502424,996236.613604,996802.51401648,651753.42129888
2025-04-17T15:20:00.000+0000,992670.1216739203,323963.8470083202,994769.2908177294,1000076.11954,1000076.11954,996281.8938460803,662302.72509888
2025-04-17T15:30:00.000+0000,993993.0003236802,323963.8470083202,996458.5629921422,1000076.11954,1000076.11954,996942.37503808,662302.72509888
2025-04-17T15:40:00.000+0000,995367.0854754398,323963.8470083202,998281.352878272,1000076.11954,1000076.11954,997628.5441632799,662302.72509888
2025-04-17T15:50:00.000+0000,996830.2397148802,323963.8470083202,999405.3561309336,1000076.11954,1000076.11954,998358.73204528,662302.72509888
2025-04-17T16:00:00.000+0000,994535.4302323201,336075.1187113602,996597.0954904864,1000076.11954,1000076.11954,997212.846088,668343.7652363201
2025-04-17T16:10:00.000+0000,997255.4631416001,344453.2818145602,999971.0828360452,1000076.11954,1000076.11954,998571.37363472,672526.16563712
2025-04-17T16:20:00.000+0000,1000832.7399288806,384095.41921336035,1004377.7299078464,1000076.11954,1000076.11954,1000358.1152969602,692315.5510534401
2025-04-17T16:30:00.000+0000,1003921.4476843205,384095.41921336035,1008032.4161787191,1000076.11954,1000076.11954,1001901.29186728,692315.5510534401
2025-04-17T16:40:00.000+0000,1002070.1508076004,452416.15066792036,1005382.3548503745,1000076.11954,1000076.11954,1000976.6428787201,726467.88750928
2025-04-17T16:50:00.000+0000,1003022.8685232002,452416.15066792036,1006668.2695435027,1000076.11954,1000076.11954,1001452.53735832,726467.88750928
2025-04-17T17:00:00.000+0000,1003159.0951546405,460557.1856255204,1006935.0334645361,1000076.11954,1000076.11954,1001520.33617584,730524.97024448
2025-04-17T17:10:00.000+0000,1004676.11826448,473291.26020952046,1009092.009530874,1000076.11954,1000076.11954,1002278.0246397603,736885.28591808
2025-04-17T17:20:00.000+0000,1004001.5034884006,490278.83926552034,1007958.1228740541,1000076.11954,1000076.11954,1001941.0907027202,745379.0754460801
2025-04-17T17:30:00.000+0000,1005738.25687328,492012.4712495203,1011006.0283011668,1000076.11954,1000076.11954,1002808.0802557602,746235.1900060801
2025-04-17T17:40:00.000+0000,1004997.6108644805,492012.4712495203,1009792.8972579034,1000076.11954,1000076.11954,1002438.4901645599,746235.1900060801
2025-04-17T17:50:00.000+0000,1006910.6977696001,522400.08029864024,1012712.8485925575,1000076.11954,1000076.11954,1003393.9123148803,761412.8823307201
2025-04-17T18:00:00.000+0000,1006296.1729830403,537655.9274493603,1011766.3958264467,1000076.11954,1000076.11954,1003087.0927670402,769040.8059060801
2025-04-17T18:10:00.000+0000,1007210.6871859202,537655.9274493603,1013692.1797951784,1000062.514396,993718.66354,1003543.7319631999,769040.8059060801
2025-04-17T18:20:00.000+0000,1006354.7413799202,546070.3449149602,1012521.7861022097,1000053.1139223999,993718.66354,1003118.99382576,776653.7946388801
2025-04-17T18:30:00.000+0000,1006013.0768736806,264942.60631496034,1012498.8714189501,1000071.32734,1000071.32734,1002948.57095376,633155.6607388802
2025-04-17T18:40:00.000+0000,1004355.1266957602,264942.60631496034,1010246.2390680958,1000071.32734,1000071.32734,1002121.2657278404,633155.6607388802
2025-04-17T18:50:00.000+0000,1002034.5941081606,264942.60631496034,1007111.1938415949,1000071.32734,1000071.32734,1000963.2110133601,633155.6607388802
2025-04-17T19:00:00.000+0000,1002947.3916854403,264942.60631496034,1008250.192867372,1000071.32734,1000071.32734,1001418.4673167202,633155.6607388802
2025-04-17T19:10:00.000+0000,998455.8073298401,292778.5479324003,1001472.359869207,1000071.32734,1000071.32734,999176.2086598402,647031.1526579201
2025-04-17T19:20:00.000+0000,996653.2209535205,322919.9650927203,998434.0547753836,1000071.32734,1000071.32734,998276.2184284802,662101.8612380802
2025-04-17T19:30:00.000+0000,994530.8125396799,386397.3675127202,995435.8476319944,1000071.32734,1000071.32734,997217.2343940003,693755.9259115203
2025-04-17T19:40:00.000+0000,996108.9990795999,386397.3675127202,997975.370237045,1000071.32734,1000071.32734,998004.9130465601,693755.9259115203
2025-04-17T19:50:00.000+0000,996058.6458944005,386397.3675127202,997562.9617846482,1000071.32734,1000071.32734,997979.6156007203,693755.9259115203
2025-04-17T20:00:00.000+0000,998409.3158527999,386397.3675127202,1001124.4780279583,1000071.32734,1000071.32734,999152.5435071203,693755.9259115203
2025-04-17T20:10:00.000+0000,999353.2250208808,386410.7677839203,1002487.2168592429,1000071.32734,1000071.32734,999623.6951840004,693755.9259115203
2025-04-17T20:20:00.000+0000,1000365.2609439207,386410.7677839203,1003943.4428784621,1000071.32734,1000071.32734,1000128.7526145603,693755.9259115203
2025-04-17T20:30:00.000+0000,999823.7580930402,399057.2704815201,1002706.8895868165,1000071.32734,1000071.32734,999858.4665165602,700072.4736275204
2025-04-17T20:40:00.000+0000,999449.0662864805,428730.87399240024,1002281.8067952127,1000071.32734,1000071.32734,999671.4720319206,714909.2753829603
2025-04-17T20:50:00.000+0000,1001770.8944368005,428730.87399240024,1005653.1030189092,1000071.32734,1000071.32734,1000829.8640763202,714909.2753829603
2025-04-17T21:00:00.000+0000,1000493.2920370401,428730.87399240024,1003919.4551440752,1000071.32734,1000071.32734,1000192.3815706404,714909.2753829603
2025-04-17T21:10:00.000+0000,1000357.4885668004,428730.87399240024,1003966.1543975901,1000071.32734,1000071.32734,1000124.8614300003,714909.2753829603
2025-04-17T21:20:00.000+0000,999560.3677739999,428730.87399240024,1002782.0270651842,1000071.32734,1000071.32734,999727.1522520803,714909.2753829603
2025-04-17T21:30:00.000+0000,1000229.2531372805,432929.46043400024,1003776.6194657772,1000071.32734,1000071.32734,1000060.9724820803,717008.5686037603
2025-04-17T21:40:00.000+0000,1000586.86721696,432929.46043400024,1004226.3556359251,1000071.32734,1000071.32734,1000239.3522640005,717008.5686037603
2025-04-17T21:50:00.000+0000,1001343.4182915199,432929.46043400024,1005555.7597199737,1000071.32734,1000071.32734,1000616.8779016805,717008.5686037603
2025-04-17T22:00:00.000+0000,1000629.8495035999,447819.35737928026,1004482.357411203,1000071.32734,1000071.32734,1000260.9564668004,724453.5170764003
2025-04-17T22:10:00.000+0000,1001455.8573682405,447819.35737928026,1005993.4474133576,1000071.32734,1000071.32734,1000673.1328616802,724453.5170764003
2025-04-17T22:20:00.000+0000,1000854.5451032,447819.35737928026,1004905.5734450526,1000071.32734,1000071.32734,1000373.0043567204,724453.5170764003
2025-04-17T22:30:00.000+0000,1000229.3923258402,447819.35737928026,1003780.6224409048,1000071.32734,1000071.32734,1000061.1108712803,724453.5170764003
2025-04-17T22:40:00.000+0000,999587.9862615203,447819.35737928026,1002725.636587604,1000071.32734,1000071.32734,999741.0575189602,724453.5170764003
2025-04-17T22:50:00.000+0000,998096.74281144,447819.35737928026,999921.3213805137,1000071.32734,1000071.32734,998996.8039984803,724453.5170764003
2025-04-17T23:00:00.000+0000,998810.4016272802,452012.6100912803,1001184.0667278259,1000071.32734,1000071.32734,999352.9230751204,726550.1434324003
2025-04-17T23:10:00.000+0000,1000089.4447735203,466831.36979192036,1003257.0770197327,1000071.32734,1000071.32734,999991.1625747202,733959.5232827204
2025-04-17T23:20:00.000+0000,1000754.6654708802,466831.36979192036,1004534.0860374556,1000071.32734,1000071.32734,1000323.1522703202,733959.5232827204
2025-04-17T23:30:00.000+0000,1000670.1423435207,466831.36979192036,1004248.2607334425,1000071.32734,1000071.32734,1000280.9004988002,733959.5232827204
2025-04-17T23:40:00.000+0000,1000189.0468280803,466831.36979192036,1003290.7302888383,1000071.32734,1000071.32734,1000040.7682584005,733959.5232827204
2025-04-17T23:50:00.000+0000,1000685.4035248006,466831.36979192036,1004032.7389442818,1000071.32734,1000071.32734,1000288.4262733605,733959.5232827204
2025-04-18T00:00:00.000+0000,1000254.95825672,466831.36979192036,1003278.7847136734,1000071.32734,1000071.32734,1000073.6217545602,733959.5232827204
2025-04-18T00:10:00.000+0000,999698.0198641606,466831.36979192036,1002230.8460665082,1000071.32734,1000071.32734,999795.6242306406,733959.5232827204
2025-04-18T00:20:00.000+0000,999502.2799814404,466831.36979192036,1001894.6700632571,1000071.32734,1000071.32734,999697.9486336804,733959.5232827204
2025-04-18T00:30:00.000+0000,999664.4044780005,466831.36979192036,1002482.9729245632,1000071.32734,1000071.32734,999778.9806561604,733959.5232827204
2025-04-18T00:40:00.000+0000,998806.2955148006,466831.36979192036,1001119.1106703256,1000071.32734,1000071.32734,999350.8134641604,733959.5232827204
2025-04-18T00:50:00.000+0000,998681.8658382405,466831.36979192036,1000647.1362381921,1000071.32734,1000071.32734,999288.6409420004,733959.5232827204
2025-04-18T01:00:00.000+0000,999118.2253711204,466831.36979192036,1001397.4528805465,1000071.32734,1000071.32734,999506.2530129602,733959.5232827204
2025-04-18T01:10:00.000+0000,1002003.2743840002,466831.36979192036,1006501.2224836337,1000071.32734,1000071.32734,1000946.0809284004,733959.5232827204
2025-04-18T01:20:00.000+0000,1001758.9847721604,466831.36979192036,1006133.0294707287,1000071.32734,1000071.32734,1000824.1041879205,733959.5232827204
2025-04-18T01:30:00.000+0000,1001857.0360683204,466831.36979192036,1006026.1357604491,1000071.32734,1000071.32734,1000873.0448040804,733959.5232827204
2025-04-18T01:40:00.000+0000,1000759.3135494405,466831.36979192036,1004226.9131794802,1000071.32734,1000071.32734,1000325.2204144804,733959.5232827204
