date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-13T17:00:00.000+0000,1000000.0,1000000.0,1000000.0
2025-04-13T17:10:00.000+0000,999885.4901936001,874007.0156,999887.2501255285
2025-04-13T17:20:00.000+0000,1000195.72700544,874007.0156,1006592.3174903966
2025-04-13T17:30:00.000+0000,1000063.6415584,874007.0156,1004981.6600024202
2025-04-13T17:40:00.000+0000,1000340.03706496,874007.0156,1008089.1930394602
2025-04-13T17:50:00.000+0000,1000293.225744,874007.0156,1012996.0023130446
2025-04-13T18:00:00.000+0000,1000189.01837664,874007.0156,1011667.3378704803
2025-04-13T18:10:00.000+0000,996716.4019905606,286684.37060000026,1010354.1394107396
2025-04-13T18:20:00.000+0000,996360.5988609607,413065.84327296057,1008985.3507102114
2025-04-13T18:30:00.000+0000,986433.2181144006,360335.29927296063,1010778.1439175105
2025-04-13T18:40:00.000+0000,984431.8255104006,399135.6773184005,1011582.1029434697
2025-04-13T18:50:00.000+0000,983408.8915128005,399135.6773184005,1010876.7068145296
2025-04-13T19:00:00.000+0000,978472.8425136006,399135.6773184005,1004820.8386155476
2025-04-13T19:10:00.000+0000,979241.6969376003,593276.7760896002,1006011.8842658136
2025-04-13T19:20:00.000+0000,978443.2711896001,593276.7760896002,1004367.4095028194
2025-04-13T19:30:00.000+0000,971612.2953456002,593276.7760896002,989416.3402884417
2025-04-13T19:40:00.000+0000,969719.7306096002,593276.7760896002,982179.9410406405
2025-04-13T19:50:00.000+0000,971671.4379936001,593276.7760896002,989230.5262342445
2025-04-13T20:00:00.000+0000,970163.3004696004,593276.7760896002,987741.3049666295
2025-04-13T20:10:00.000+0000,973889.2872936003,593276.7760896002,996580.901619257
2025-04-13T20:20:00.000+0000,973800.5733216002,593276.7760896002,997234.7410767681
2025-04-13T20:30:00.000+0000,968182.0217616002,593276.7760896002,986208.4943826068
2025-04-13T20:40:00.000+0000,965852.6867696,348431.6190896001,982610.2866764546
2025-04-13T20:50:00.000+0000,965957.7756312003,348431.6190896001,984231.6453154935
2025-04-13T21:00:00.000+0000,962043.2977207999,348431.6190896001,977435.7870443979
2025-04-13T21:10:00.000+0000,963738.2077072002,348431.6190896001,980292.133410072
2025-04-13T21:20:00.000+0000,967071.5139272001,348431.6190896001,985293.1995184895
2025-04-13T21:30:00.000+0000,963241.6672576002,348431.6190896001,978723.6589991706
2025-04-13T21:40:00.000+0000,964215.1528456004,348431.6190896001,980225.1456349972
2025-04-13T21:50:00.000+0000,967082.3602432001,348431.6190896001,985251.2676553924
2025-04-13T22:00:00.000+0000,967670.8550704003,348431.6190896001,985509.2369475318
2025-04-13T22:10:00.000+0000,967233.4412816002,348431.6190896001,985065.6752422429
2025-04-13T22:20:00.000+0000,968438.5524208001,348431.6190896001,986374.4028836354
