date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-20T14:20:00.000+0000,1000000.0,1000000.0,999316.803533043,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-20T14:30:00.000+0000,999962.07043184,980918.1076,1000850.2771645152,999988.4350001599,993153.1577999999,999962.02270064,985726.546
2025-04-20T14:40:00.000+0000,999946.8273111919,974737.4944100002,1000155.1335273124,999977.1887955598,988486.3606599999,999955.2240439199,985726.546
2025-04-20T14:50:00.000+0000,999938.6487554079,963498.13127,1000628.3979674736,999967.734211592,981321.39116,999967.12710312,983232.39201
2025-04-20T15:00:00.000+0000,999872.292782688,963498.13127,998887.8836020394,999938.5247186479,981321.39116,999923.444617088,983232.39201
2025-04-20T15:10:00.000+0000,999900.843393912,961257.6712999999,998280.8988722509,999961.3033011921,981321.39116,999881.6705893519,980039.55618
2025-04-20T15:20:00.000+0000,999935.8642517761,961257.6712999999,996404.1672859932,999998.861910248,981321.39116,999858.848061992,980039.55618
2025-04-20T15:30:00.000+0000,999974.753015856,961257.6712999999,996891.5835735204,1000057.1723145761,981321.39116,999825.0706155839,980039.55618
2025-04-20T15:40:00.000+0000,999853.9156131758,961257.6712999999,996527.5732947816,1000017.792653528,981321.39116,999676.80085636,980039.55618
2025-04-20T15:50:00.000+0000,999809.0484956079,961257.6712999999,993847.5577222665,1000057.715759472,981321.39116,999598.0827013039,980039.55618
2025-04-20T16:00:00.000+0000,999619.9845278799,961257.6712999999,994159.5042204957,999944.703901344,981321.39116,999499.908623448,980039.55618
2025-04-20T16:10:00.000+0000,999594.593846688,961257.6712999999,996382.2618197117,999834.52239712,981321.39116,999605.387223008,980039.55618
2025-04-20T16:20:00.000+0000,999484.111623232,961257.6712999999,997658.4292652067,999765.420373,981321.39116,999696.9441887919,980039.55618
2025-04-20T16:30:00.000+0000,999420.9671083838,962316.552996416,996707.1181082616,999708.309408352,981321.39116,999686.0279187999,981437.6639917679
2025-04-20T16:40:00.000+0000,995000.2297809521,890103.88421312,998026.225568413,999687.367094896,980739.551813432,993375.8705983679,879717.3979061838
2025-04-20T16:50:00.000+0000,995044.1830185121,890103.88421312,999099.829251901,999691.297178312,980739.551813432,993519.0162101918,879717.3979061838
2025-04-20T17:00:00.000+0000,995076.798775016,890303.68309604,997949.0733106702,999658.083180784,980890.546920632,993603.8781762639,879717.3979061838
2025-04-20T17:10:00.000+0000,994735.44824408,890303.68309604,997287.4909040334,999768.6766152,980890.546920632,992790.2209731839,879717.3979061838
2025-04-20T17:20:00.000+0000,994341.639213544,890303.68309604,997180.1988236168,999816.9512046081,980890.546920632,992218.2613172558,879717.3979061838
2025-04-20T17:30:00.000+0000,994233.9579275439,890303.68309604,996554.2294913831,999827.61637564,980890.546920632,991975.9851333839,879717.3979061838
2025-04-20T17:40:00.000+0000,993960.077447352,890479.78959804,997381.5780613996,999835.1085471039,980890.546920632,991644.9159108158,879968.5842961839
2025-04-20T17:50:00.000+0000,993999.1321186001,890479.78959804,998114.598720605,999821.431567448,980890.546920632,991768.886734752,879968.5842961839
2025-04-20T18:00:00.000+0000,994222.375760696,892002.4507938,997573.7569633423,999842.130624944,980890.546920632,992031.7080293761,882138.9859846641
2025-04-20T18:10:00.000+0000,994592.2651122959,892002.4507938,998707.2637342305,999816.206380944,980890.546920632,992569.7245415599,882138.9859846641
2025-04-20T18:20:00.000+0000,998007.365524552,896333.4180459599,998686.22613733,999834.280550032,980890.546920632,997290.387697392,888311.9988205039
2025-04-20T18:30:00.000+0000,996765.2308379039,896333.4180459599,997366.8221231049,999899.668897472,980890.546920632,995529.5787323839,888311.9988205039
2025-04-20T18:40:00.000+0000,996660.6042461919,896333.4180459599,997133.5230930775,999886.29324656,980890.546920632,995436.5608662559,888311.9988205039
